DATOS MÓVILES 2016_ CRUZ ROJA,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
MZO,11,19,6.73,59.49291667,1.5175,51.3025,NA
MZO,11,20,24.93,59.05583333,1.544583333,47.2775,NA
MZO,11,21,24.77,59.54,1.589166667,40.80875,NA
MZO,11,22,21.41,59.82083333,1.627916667,33.785,NA
MZO,11,23,19.95,59.83541667,2.790833333,27.17375,NA
MZO,12,0,15.71,60.15625,3.051666667,21.70125,NA
MZO,12,1,20.95,60.02083333,3.233333333,16.22,NA
MZO,12,2,13.68,60.14791667,3.444583333,10.655,NA
MZO,12,3,10.16,60.39916667,3.642083333,6.2775,NA
MZO,12,4,10.75,61.2425,3.7725,4.67875,NA
MZO,12,5,8.79,62.25458333,3.724166667,4.14375,NA
MZO,12,6,7.38,62.63625,3.672083333,4.045,NA
MZO,12,7,7.06,62.38291667,3.629583333,3.67625,NA
MZO,12,8,9.45,61.28,3.67,2.67625,NA
MZO,12,9,10.26,58.75916667,3.725416667,2.56875,NA
MZO,12,10,4.31,57.58958333,4.07375,5.08625,NA
MZO,12,11,10.16,57.99208333,7.767916667,8.78625,NA
MZO,12,12,0.08,58.92958333,9.004166667,14.6225,NA
MZO,12,13,NA,58.6425,9.545416667,21.74375,NA
MZO,12,14,NA,58.70791667,9.680833333,29.285,NA
MZO,12,15,NA,58.67791667,9.7525,37.0875,NA
MZO,12,16,NA,58.61583333,9.739583333,44.8775,NA
MZO,12,17,NA,58.0975,9.760416667,52.69875,NA
MZO,12,18,NA,57.67583333,9.789583333,57.5325,NA
MZO,12,19,12.77,57.53791667,9.831666667,58.98,NA
MZO,12,20,38.72,57.7925,9.99,54.12375,NA
MZO,12,21,36.03,58.82916667,10.67375,47.13625,NA
MZO,12,22,32.08,59.575,10.86708333,39.83875,NA
MZO,12,23,27.19,61.41333333,9.954583333,32.1175,NA
MZO,13,0,18,64.75083333,10.10583333,24.16375,NA
MZO,13,1,13.04,66.91166667,10.38,15.555,NA
MZO,13,2,9.12,68.7225,10.28208333,8.847142857,NA
MZO,13,3,10.77,69.85458333,10.21583333,3.281666667,NA
MZO,13,4,11.14,71.66875,10.19041667,NA,NA
MZO,13,5,1.06,73.58625,10.23916667,NA,NA
MZO,13,6,1.39,74.96875,10.3,NA,NA
MZO,13,7,0.08,75.42791667,10.39583333,NA,NA
MZO,13,8,2.24,77.09583333,10.42333333,NA,NA
MZO,13,9,2.23,77.54625,10.79833333,NA,NA
MZO,13,10,0.08,77.88708333,10.62416667,NA,NA
MZO,13,11,NA,78.58375,6.95625,NA,NA
MZO,13,12,NA,77.10416667,5.82,NA,NA
MZO,13,13,NA,76.39875,6.499583333,34.14666667,NA
MZO,13,14,NA,76.43583333,6.896666667,38.87714286,NA
MZO,13,15,NA,76.43625,6.8275,41.7025,NA
MZO,13,16,NA,76.62666667,6.835416667,49.6525,NA
MZO,13,17,NA,77.29625,6.814583333,56.95,NA
MZO,13,18,NA,77.61916667,6.785,63.5175,NA
MZO,13,19,NA,77.64458333,6.706666667,65.1525,NA
MZO,13,20,NA,77.01666667,6.6275,58.84625,NA
MZO,13,21,NA,77.12708333,5.95625,50.64125,NA
MZO,13,22,NA,77.67166667,5.868333333,43.49,NA
MZO,13,23,NA,76.85625,5.713333333,35.95625,NA
MZO,14,0,NA,76.5325,5.39125,28.025,NA
MZO,14,1,NA,76.07208333,5.011666667,19.63875,NA
MZO,14,2,NA,75.64166667,5.784166667,10.8275,NA
MZO,14,3,NA,75.85416667,6.174583333,4.3925,NA
MZO,14,4,NA,74.5925,6.212916667,4.235,NA
MZO,14,5,NA,72.87375,6.935416667,4.504285714,NA
MZO,14,6,NA,73.2775,9.189166667,3.464285714,NA
MZO,14,7,NA,74.41916667,9.480833333,3.84,NA
MZO,14,8,NA,74.82791667,11.31291667,4.173333333,NA
MZO,14,9,NA,75.38666667,13.39166667,7.078333333,NA
MZO,14,10,NA,75.75625,13.4525,9.723333333,NA
MZO,14,11,NA,76.395,13.76958333,14.45166667,NA
MZO,14,12,NA,77.22666667,14.09541667,21.81166667,NA
MZO,14,13,NA,77.71833333,12.91625,27.78142857,NA
MZO,14,14,NA,77.39666667,12.88291667,37.05714286,NA
MZO,14,15,NA,77.75916667,13.12083333,40.44625,NA
