DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR,UV
AGOSTO,4,0,0.022,0.007,0.010,0.49,17,12,17.97,2.07,207.02,90.33,625.97,1.39
AGOSTO,4,1,0.016,0.007,0.014,0.61,15,7,18.14,1.41,198.99,90.62,625.78,1.92
AGOSTO,4,2,0.014,0.006,0.014,0.61,22,24,17.95,1.4,187.91,91.31,625.64,2.62
AGOSTO,4,3,0.015,0.006,0.012,0.54,24,20,17.87,1.11,238.18,91.39,625.45,3.5
AGOSTO,4,4,0.014,0.006,0.012,0.52,30,16,18.12,0.8,262.92,90.82,625.22,4.86
AGOSTO,4,5,0.009,0.006,0.015,0.53,22,13,18.25,0.97,289.37,91.79,625.21,6.75
AGOSTO,4,6,0.006,0.006,0.016,0.53,21,12,18.04,1.1,253.72,92.76,625.24,7.77
AGOSTO,4,7,0.006,0.006,0.015,0.73,19,19,18.26,0.84,233.78,93.2,625.31,7.76
AGOSTO,4,8,0.009,0.006,0.014,0.88,30,11,19.05,1.84,107.68,86.03,625.5,7.8
AGOSTO,4,9,0.012,0.006,0.012,0.79,18,10,19.94,2.58,94.58,79.23,625.75,8.28
AGOSTO,4,10,0.020,0.006,0.009,0.68,30,2,22.16,3.9,84.92,68.26,625.72,9.45
AGOSTO,4,11,0.026,0.006,0.009,0.66,17,5,23.87,3.25,96.55,60.6,625.49,9.64
AGOSTO,4,12,0.033,0.006,0.010,0.7,24,5,24.94,3.24,111.4,55.14,625.22,10.04
AGOSTO,4,13,0.039,0.006,0.011,0.67,65,8,25.85,3.11,114.41,52.77,624.88,9.9
AGOSTO,4,14,0.043,0.006,0.011,0.72,15,4,26.42,3.45,118.74,49.85,624.47,9.84
AGOSTO,4,15,0.041,0.006,0.011,0.71,48,4,26.58,2.46,112.74,46.57,623.78,8.21
AGOSTO,4,16,0.044,0.006,0.011,0.62,44,3,27.18,2.98,137.71,44.37,623.4,7.55
AGOSTO,4,17,0.032,0.006,0.011,0.65,27,21,25.13,5.19,171.39,54.3,623.47,5.84
AGOSTO,4,18,0.021,0.006,0.011,0.66,35,19,21.93,5.21,168.63,72.87,623.58,4.34
AGOSTO,4,19,0.021,0.006,0.012,0.72,19,20,20.28,2.92,162.22,76.09,624.05,3.2
AGOSTO,4,20,0.018,0.006,0.013,0.69,17,32,19.9,4.78,76.77,79.32,625.45,2.95
AGOSTO,4,21,0.024,0.006,0.012,0.74,29,28,18.19,2.78,139.1,89.2,626.04,2.41
AGOSTO,4,22,0.021,0.006,0.013,0.71,20,9,18.03,2.26,129.67,91.59,626.51,2.52
AGOSTO,4,23,0.021,0.006,0.012,0.61,20,12,17.83,2.43,118.38,92.38,626.9,2.52
AGOSTO,5,0,0.020,0.006,0.011,0.56,5,9,17.7,1.86,79.79,92.71,626.83,2.57
AGOSTO,5,1,0.018,0.006,0.011,0.52,25,13,17.91,1.81,81.84,91.82,626.63,2.82
AGOSTO,5,2,0.022,0.006,0.009,0.51,18,12,17.98,2.83,88.71,90.5,626.39,3.07
AGOSTO,5,3,0.021,0.006,0.008,0.45,23,8,17.63,3.08,82.19,91.14,625.83,3.27
AGOSTO,5,4,0.019,0.006,0.009,0.46,21,5,17.16,2.89,120.93,91.46,625.67,3.52
