DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR,UV
AGOSTO,21,3,0.027,0.005,0.008,0.46,35,NA,16.9,2.3,115.72,73.88,625.5,2.14
AGOSTO,21,4,0.025,0.004,0.008,0.46,18,NA,16.39,2.43,117.74,77.89,625.31,2.06
AGOSTO,21,5,0.019,0.004,0.010,0.49,5,NA,16.26,2.1,100.12,79.1,625.26,2
AGOSTO,21,6,0.017,0.003,0.010,0.57,33,NA,16.19,2.06,83.02,79.65,625.2,1.96
AGOSTO,21,7,0.011,0.003,0.014,0.71,3,NA,16.19,2.29,84.57,79.54,625.17,1.96
AGOSTO,21,8,0.013,0.005,0.013,0.87,12,NA,16.8,2.47,87.71,77.04,625.49,2.38
AGOSTO,21,9,0.019,0.009,0.011,0.75,137,NA,18.5,2.88,64.41,67.01,625.61,3.11
AGOSTO,21,10,0.023,0.010,0.009,0.67,64,NA,20.78,3.86,67.13,56.4,625.56,4.36
AGOSTO,21,11,0.025,0.016,0.009,0.68,71,NA,21.12,3.73,71.55,55.72,625.64,4.72
AGOSTO,21,12,0.027,0.008,0.010,0.81,6,NA,21.84,3.16,91.96,55.91,625.59,5.44
AGOSTO,21,13,0.031,0.007,0.011,0.85,48,NA,22.94,2.86,101.2,53.92,625.31,5.25
AGOSTO,21,14,0.035,0.007,0.010,0.77,6,16,24.03,2.68,98.29,50.72,624.88,5.74
AGOSTO,21,15,0.041,0.006,0.010,0.74,48,4,24.87,2.52,94.3,48.17,624.19,5.46
AGOSTO,21,16,0.049,0.005,0.011,0.73,46,4,25.55,2.58,119.87,45.84,623.58,5.25
AGOSTO,21,17,0.055,0.004,0.011,0.74,43,5,26.15,2.93,97.43,43.51,623.34,4.42
AGOSTO,21,18,0.039,0.007,0.011,0.74,50,24,24.2,3.93,64.54,47.46,623.5,2.89
AGOSTO,21,19,0.035,0.006,0.010,0.56,38,31,20.67,3.78,260.31,60.89,624.19,2.29
AGOSTO,21,20,0.028,0.004,0.014,0.72,22,20,20.18,1.96,189.87,63.15,624.59,2.18
AGOSTO,21,21,0.022,0.004,0.016,0.79,6,21,20.26,1.72,129.47,65.21,625.08,2.17
AGOSTO,21,22,0.027,0.004,0.012,0.67,42,22,18.42,2.78,123.49,78.08,625.53,1.97
AGOSTO,21,23,0.022,0.004,0.012,0.69,20,12,17.53,2.03,92.24,87.38,625.79,1.94
AGOSTO,22,0,0.023,0.004,0.010,0.57,24,10,17.88,2.63,63.01,86.79,625.55,1.92
AGOSTO,22,1,0.018,0.004,0.011,0.54,21,12,17.66,1.79,99.71,86.46,625.21,1.88
AGOSTO,22,2,0.019,0.004,0.010,0.51,14,8,17.45,1.88,81.74,86.64,624.9,1.84
AGOSTO,22,3,0.020,0.004,0.008,0.49,18,9,17.38,1.66,78.07,85.68,624.53,1.81
AGOSTO,22,4,0.019,0.004,0.009,0.5,16,7,17.14,1.85,89.51,85.25,624.17,1.75
AGOSTO,22,5,0.019,0.004,0.009,0.5,15,10,16.87,2.13,84.64,84.37,624.09,1.7
AGOSTO,22,6,0.017,0.004,0.010,0.57,4,8,16.36,2.07,76.55,84.56,624.24,1.64
AGOSTO,22,7,0.015,0.005,0.014,0.73,20,12,16.57,2.47,67.31,81.98,624.37,1.7
AGOSTO,22,8,0.013,0.005,0.016,1.07,6,4,18.15,1.84,97.48,74.2,624.55,2.38
AGOSTO,22,9,0.017,0.005,0.013,0.87,43,9,19.57,2.38,101.8,71.83,624.76,3.42
AGOSTO,22,10,0.030,0.007,0.010,0.74,31,7,21.32,3.27,83.02,62.69,624.63,4.66
AGOSTO,22,11,0.037,0.008,0.009,0.71,31,8,22.72,3.07,88.64,55.78,624.5,6.14
AGOSTO,22,12,0.040,0.006,0.008,0.66,23,3,23.93,3.17,93.71,50.22,624.12,7.35
AGOSTO,22,13,0.041,0.007,0.009,0.64,21,2,25.45,2.68,106.89,44.56,623.69,7.88
AGOSTO,22,14,0.041,0.009,0.010,0.69,30,3,26.39,2.89,100.71,40.97,623.2,7.88
AGOSTO,22,15,0.043,0.012,0.010,0.66,29,2,27.3,2.96,106.03,40.21,622.58,6.84
AGOSTO,22,16,0.044,0.012,0.010,0.68,35,6,27.15,2.05,113.35,40.03,622.05,4.49
AGOSTO,22,17,0.039,0.008,0.012,0.74,27,11,26.9,2.03,118.61,41.45,621.72,3.66
AGOSTO,22,18,0.043,0.006,0.010,0.64,33,10,27,1.91,195,42.79,621.62,3.16
AGOSTO,22,19,0.038,0.005,0.012,0.63,25,19,24.97,2.21,277.7,51.54,621.98,2.52
AGOSTO,22,20,0.016,0.005,0.024,0.86,25,27,23.42,1.07,267.63,60.76,622.55,2.3
AGOSTO,22,21,0.010,0.004,0.025,1.17,32,19,23.4,1.46,153.49,60.18,622.95,2.28
AGOSTO,22,22,0.023,0.005,0.014,0.79,43,22,23.61,2.07,93.64,52.63,623.44,2.29
AGOSTO,22,23,0.023,0.005,0.012,0.7,41,29,22.03,2.73,88.12,60.45,623.97,2.18
AGOSTO,23,0,0.024,0.005,0.011,0.59,34,19,20.74,2.55,86.16,65.43,624.27,2.09
AGOSTO,23,1,0.021,0.007,0.012,0.55,29,15,19.84,2.61,80.61,70.16,624.42,2.05
AGOSTO,23,2,0.020,0.010,0.012,0.52,34,20,18.85,2.35,83.34,75.17,624.34,1.99
AGOSTO,23,3,0.016,0.019,0.016,0.51,22,30,18.57,2.84,77.99,76.98,624.1,1.98
AGOSTO,23,4,0.026,0.016,0.010,0.51,45,26,18.31,3.3,68.69,76.8,623.97,1.93
AGOSTO,23,5,0.020,0.016,0.013,0.52,26,21,17.84,2.44,70.3,79.49,623.97,1.84
AGOSTO,23,6,0.020,0.017,0.014,0.56,41,30,17.62,2.75,76.76,78.91,624.07,1.75
AGOSTO,23,7,0.014,0.011,0.015,0.76,26,19,17.03,1.76,120.14,81.46,624.37,1.76
AGOSTO,23,8,0.013,0.009,0.018,0.98,56,16,18.69,1.93,108.82,75.15,624.7,2.32
AGOSTO,23,9,0.024,0.009,0.012,0.84,58,12,20.31,3.27,95.95,69.86,625.14,3.23
AGOSTO,23,10,0.034,0.007,0.010,0.77,40,11,22.2,4.48,83.1,60.79,625.34,4.5
AGOSTO,23,11,0.038,0.007,0.010,0.75,37,9,23.32,4.53,76.94,55.68,625.43,5.27
AGOSTO,23,12,0.041,0.006,0.009,0.72,31,11,24.43,4.25,81,50.14,625.13,5.9
AGOSTO,23,13,0.043,0.007,0.010,0.75,5,8,25.47,3.82,78.04,48.41,624.77,6.05
AGOSTO,23,14,0.042,0.006,0.010,0.74,37,1,26.45,4.43,88.78,44.81,624.03,6.89
AGOSTO,23,15,0.042,0.007,0.009,0.7,45,1,27.13,4.07,81.04,41.84,623.4,6.07
AGOSTO,23,16,0.041,0.005,0.010,0.7,75,1,27.86,3.97,88.1,39.02,622.78,5.15
AGOSTO,23,17,0.040,0.006,0.010,0.72,42,4,28.16,3.75,81.56,38.27,622.37,3.95
AGOSTO,23,18,0.038,0.013,0.011,0.67,34,5,28.15,3.84,65.18,38.63,622.01,2.87
AGOSTO,23,19,0.032,0.017,0.013,0.74,33,25,25.68,3.81,64.27,46.24,622.41,2.04
AGOSTO,23,20,0.025,0.008,0.012,0.8,61,25,22.65,4.91,73.09,63.24,623.32,1.86
AGOSTO,23,21,0.023,0.007,0.013,0.79,42,37,20.41,3.24,70.92,78.7,624.1,1.7
AGOSTO,23,22,0.022,0.005,0.011,0.68,9,17,21.03,3.05,74.5,72.83,624.54,1.74
AGOSTO,23,23,0.023,0.007,0.011,0.62,13,17,20.55,2.94,62.3,72.01,624.73,1.75
AGOSTO,24,0,0.025,0.008,0.010,0.58,17,11,19.71,2.48,100.35,73.81,624.7,1.72
AGOSTO,24,1,0.023,0.006,0.009,0.53,20,17,18.85,2.61,110.62,77.78,624.71,1.69
AGOSTO,24,2,0.023,0.005,0.009,0.5,5,7,18.58,2.85,99.71,79.3,624.54,1.69
AGOSTO,24,3,0.023,0.004,0.008,0.5,28,7,18.51,2.45,84.21,80.25,624.3,1.68
AGOSTO,24,4,0.020,0.004,0.010,0.5,11,4,18.46,2.78,80.06,80.64,624.32,1.66
AGOSTO,24,5,0.022,0.004,0.009,0.5,14,8,18.39,2.86,76.66,78.73,624.53,1.67
AGOSTO,24,6,0.018,0.005,0.010,0.55,32,6,18.06,2.43,85.53,79.73,624.65,1.63
AGOSTO,24,7,0.012,0.005,0.013,0.69,59,8,17.8,1.65,85.79,82.2,624.85,1.65
AGOSTO,24,8,0.014,0.006,0.012,0.89,19,5,19.57,1.87,94.34,73.78,625.21,2.18
AGOSTO,24,9,0.020,0.006,0.010,0.77,6,6,20.76,3.31,82.44,68.63,625.53,3.07
AGOSTO,24,10,0.024,0.005,0.009,0.73,39,7,21.61,3.78,85.94,63.56,625.86,4
AGOSTO,24,11,0.027,0.004,0.009,0.76,20,5,22.28,4.09,104.29,60.16,625.76,5.01
AGOSTO,24,12,0.033,0.004,0.009,0.75,6,2,23.79,3.98,92.72,53.89,625.45,5.68
AGOSTO,24,13,0.037,0.003,0.009,0.73,34,5,24.99,4.16,86.26,49.8,625.09,7.02
AGOSTO,24,14,0.041,0.003,0.009,0.71,6,2,26.1,4.38,85.94,44.94,624.4,7.28
AGOSTO,24,15,0.041,0.005,0.010,0.69,39,1,26.99,4.1,82.46,39.46,623.8,6.1
AGOSTO,24,16,0.040,0.008,0.009,0.66,51,1,27.68,4.43,69.81,35.47,623.41,4.74
AGOSTO,24,17,0.038,0.006,0.010,0.68,150,6,27.65,5.12,75.97,35.99,623.19,3.71
AGOSTO,24,18,0.030,0.014,0.010,0.65,62,19,26.38,5.75,68.41,39.92,623.18,2.68
AGOSTO,24,19,0.026,0.013,0.010,0.62,74,16,25.4,5.28,61.15,42.26,623.51,2.02
AGOSTO,24,20,0.021,0.043,0.012,0.62,37,31,23.57,5.16,60.78,45.51,624.07,1.8
AGOSTO,24,21,0.021,0.042,0.011,1.59,7,32,22.52,4.12,54.92,47.84,624.69,1.76
AGOSTO,24,22,0.021,0.085,0.012,0.74,47,41,21.54,4.69,58.5,50.85,625.14,1.7
AGOSTO,24,23,0.021,0.046,0.011,0.63,25,33,20.26,3.02,104.3,56.58,625.67,1.61
AGOSTO,25,0,0.021,0.010,0.009,0.54,49,20,18.97,3.62,96.21,63.48,625.93,1.56
AGOSTO,25,1,0.022,0.006,0.009,0.5,40,16,18.24,2.16,103.98,66.51,626.04,1.52
AGOSTO,25,2,0.020,0.005,0.009,0.5,36,18,17.41,3.76,85.54,71.19,625.6,1.51
AGOSTO,25,3,0.019,0.010,0.010,0.49,33,17,17.16,4.2,69.75,74.24,625.06,1.5
AGOSTO,25,4,0.022,0.028,0.011,0.48,51,16,17.21,5.03,73.46,72.22,624.53,1.5
AGOSTO,25,5,0.018,0.025,0.011,0.49,44,33,16.23,2.18,113.9,75.8,624.69,1.43
AGOSTO,25,6,0.014,0.021,0.013,0.57,27,26,15.46,2.38,98.68,78.91,625.03,1.38
AGOSTO,25,7,0.012,0.007,0.015,0.72,3,15,15.36,2.14,117.28,80.01,625.46,1.42
AGOSTO,25,8,0.014,0.006,0.014,0.84,9,14,16.84,2.56,114.16,74.13,625.71,2
AGOSTO,25,9,0.022,0.005,0.011,0.75,72,13,18.74,3.1,97.71,67.58,625.83,2.96
AGOSTO,25,10,0.028,0.005,0.010,0.74,59,14,20.05,2.69,120.33,62.6,626.02,3.93
AGOSTO,25,11,0.033,0.004,0.010,0.7,48,12,21.46,2.83,106.76,55.5,626.04,5
AGOSTO,25,12,0.037,0.005,0.010,0.77,47,15,23.11,3.7,99.92,49.59,625.61,5.99
AGOSTO,25,13,0.042,0.004,0.010,0.73,68,7,24.35,3.19,101.56,44.55,625.05,6.69
AGOSTO,25,14,0.047,0.004,0.010,0.74,6,5,25.04,3.26,96.34,42.22,624.46,5.8
AGOSTO,25,15,0.047,0.004,0.010,0.76,42,4,25.92,3.41,108.14,39.43,623.92,5.55
AGOSTO,25,16,0.039,0.014,0.010,0.94,48,8,26.03,4.05,66.98,37.54,623.51,3.73
AGOSTO,25,17,0.035,0.022,0.011,0.75,129,9,26.26,3.38,66.16,35.23,623.27,3.18
AGOSTO,25,18,0.035,0.013,0.010,0.7,41,16,24.56,4.49,56.59,39.86,623.27,2.24
AGOSTO,25,19,0.032,0.005,0.010,0.65,31,19,22.66,4.58,69.73,49.16,623.82,1.92
AGOSTO,25,20,0.032,0.011,0.009,1.28,3,17,21.63,5.54,49.75,51.96,624.18,1.75
AGOSTO,25,21,0.030,0.007,0.009,0.77,6,23,20.68,5.02,46.87,58.13,624.57,1.7
AGOSTO,25,22,0.026,0.056,0.012,1.41,37,16,20.74,3.76,59.38,57.05,625.04,1.68
AGOSTO,25,23,0.029,0.021,0.010,0.61,44,14,20.11,3.94,76.44,58.17,625.23,1.64
AGOSTO,26,0,0.029,0.009,0.009,0.59,26,16,18.83,3.36,85.87,66.87,625.35,1.59
AGOSTO,26,1,0.026,0.008,0.008,0.56,24,11,18.07,3.03,83.83,71.3,625.3,1.55
AGOSTO,26,2,0.025,0.008,0.009,0.53,58,14,17.49,2.88,88.29,73.68,625.2,1.51
AGOSTO,26,3,0.025,0.007,0.009,0.52,21,10,17.23,2.69,71.69,74.86,624.91,1.49
AGOSTO,26,4,0.023,0.023,0.011,0.53,6,12,17.09,2.03,67.87,74.43,624.85,1.47
AGOSTO,26,5,0.024,0.022,0.011,0.59,38,18,16.94,1.46,85.57,74.31,624.9,1.45
AGOSTO,26,6,0.024,0.019,0.011,0.62,27,16,16.59,1.66,68.44,75.24,625.02,1.43
AGOSTO,26,7,0.012,0.010,0.017,0.76,34,15,15.48,1.78,127.79,81.18,625.27,1.43
AGOSTO,26,8,0.014,0.006,0.014,0.8,59,5,16.48,2.09,93.18,77.9,625.47,1.88
AGOSTO,26,9,0.023,0.006,0.012,0.86,51,13,18.7,3,92.83,71.65,625.51,2.85
AGOSTO,26,10,0.030,0.005,0.010,0.83,49,6,20.69,3.56,90.55,62.64,625.44,4.05
AGOSTO,26,11,0.037,0.005,0.010,0.79,96,7,22.33,3.79,94.21,54.87,625.26,5.14
AGOSTO,26,12,0.042,0.006,0.009,0.78,51,5,23.62,4.06,83.7,49.14,624.82,6.08
AGOSTO,26,13,0.046,0.006,0.010,0.77,36,2,24.89,3.81,94.65,43.72,624.23,6.52
AGOSTO,26,14,0.046,0.009,0.010,0.77,45,1,25.94,3.69,95.23,39.5,623.65,6.48
AGOSTO,26,15,0.047,0.007,0.010,0.73,29,1,26.94,3.55,102.26,36.82,622.99,5.59
AGOSTO,26,16,0.044,0.008,0.010,0.73,3,4,26.66,2.95,102.35,38.04,622.48,3.23
AGOSTO,26,17,0.041,0.006,0.009,0.67,5,8,25.9,3.83,85.63,40.28,622.3,2.69
AGOSTO,26,18,0.040,0.004,0.009,0.61,29,6,25.98,3.83,90.64,39.46,622.28,2.47
AGOSTO,26,19,0.038,0.008,0.009,0.72,32,9,25.5,3.81,77.93,41.05,622.57,1.92
AGOSTO,26,20,0.033,0.012,0.010,0.8,26,25,22.78,4.67,45.84,50.95,623.15,1.71
AGOSTO,26,21,0.029,0.018,0.013,1,18,23,22.17,3.56,74.4,54.32,623.59,1.72
AGOSTO,26,22,0.026,0.023,0.013,0.73,27,28,21.97,3.35,84.08,56.75,624.31,1.71
AGOSTO,26,23,0.027,0.009,0.009,0.67,41,22,20.09,4.35,116.08,70.92,625.05,1.65
AGOSTO,27,0,0.023,0.006,0.010,0.69,42,9,19.25,2.43,92.79,76.56,625.11,1.63
AGOSTO,27,1,0.022,0.005,0.010,0.63,30,17,19.69,2.14,87.57,72.19,624.96,1.64
AGOSTO,27,2,0.024,0.006,0.009,0.72,31,10,19.49,2.3,67.24,70.84,624.72,1.63
AGOSTO,27,3,0.027,0.035,0.010,0.59,35,14,19.46,3.57,60.3,68.85,624.31,1.62
AGOSTO,27,4,0.025,0.013,0.010,0.53,22,11,18.87,2.15,96.59,72.15,624,1.58
AGOSTO,27,5,0.027,0.007,0.009,0.52,28,6,18.45,2.03,83.76,73.61,624.06,1.56
AGOSTO,27,6,0.027,0.005,0.009,0.53,14,4,18.13,2.4,88.46,74.32,624.22,1.54
AGOSTO,27,7,0.025,0.005,0.009,0.56,11,5,17.58,2.03,70.84,76.23,624.6,1.54
AGOSTO,27,8,0.024,0.004,0.010,0.71,30,8,18.08,2.46,83.22,74.56,625.01,1.87
AGOSTO,27,9,0.027,0.004,0.009,0.7,9,1,20.32,3.48,81.15,66.18,625.09,2.86
AGOSTO,27,10,0.033,0.004,0.008,0.69,23,2,22.04,3.94,68.99,57.43,625.06,3.67
AGOSTO,27,11,0.032,0.004,0.008,0.72,25,4,22.51,4.26,73.52,56.27,624.94,4.14
AGOSTO,27,12,0.034,0.003,0.009,0.81,70,2,23.63,4.12,70.38,53.42,624.52,4.83
AGOSTO,27,13,0.035,0.003,0.009,0.78,5,2,24.77,4.34,82,49.41,623.98,6.3
AGOSTO,27,14,0.038,0.003,0.008,0.68,34,1,25.8,4.03,71.86,46.07,623.46,6.14
AGOSTO,27,15,0.039,0.003,0.008,0.71,80,1,26.79,3.85,74.42,42.52,622.73,5.62
AGOSTO,27,16,0.040,0.003,0.009,0.72,45,1,27.64,3.74,79.21,39.85,622.16,4.76
AGOSTO,27,17,0.039,0.004,0.010,0.76,37,10,27.4,3.49,86.57,38.91,621.8,2.96
AGOSTO,27,18,0.037,0.004,0.010,0.76,39,18,26.89,2.9,81.34,40.44,621.73,2.31
AGOSTO,27,19,0.032,0.004,0.012,0.85,32,15,26.7,2.47,77.72,41.03,621.84,1.9
AGOSTO,27,20,0.025,0.011,0.014,1.02,42,20,26.06,2.7,60.59,43.45,622.13,1.8
AGOSTO,27,21,0.024,0.007,0.011,0.75,32,19,25.13,3.52,68.95,46.33,622.71,1.78
AGOSTO,27,22,0.022,0.010,0.012,0.79,25,18,23.76,2.98,60.72,52.04,623.25,1.74
AGOSTO,27,23,0.022,0.015,0.010,0.71,22,27,22.32,3.55,80.81,58.57,623.74,1.72
AGOSTO,28,0,0.022,0.007,0.009,0.6,25,17,21.29,3.08,83.19,64.27,624.03,1.7
AGOSTO,28,1,0.023,0.005,0.007,0.54,19,6,20.08,3.56,84.28,69.71,623.87,1.65
AGOSTO,28,2,0.023,0.004,0.007,0.53,21,5,19.16,3.25,83.01,73.81,623.73,1.63
AGOSTO,28,3,0.024,0.004,0.007,0.51,17,8,18.86,2.99,89.76,75.28,623.57,1.62
AGOSTO,28,4,0.023,0.004,0.008,0.51,17,4,18.98,2.95,73.09,74.53,623.45,1.63
AGOSTO,28,5,0.025,0.004,0.007,0.53,16,7,18.56,3.46,78.21,75.95,623.4,1.62
AGOSTO,28,6,0.019,0.004,0.010,0.61,19,8,17.99,2.69,93.26,78.7,623.58,1.59
AGOSTO,28,7,0.014,0.004,0.013,0.89,27,12,17.85,2.51,94.22,79.28,624.17,1.63
AGOSTO,28,8,0.015,0.007,0.014,1.06,40,15,19.1,2.41,82.92,72.21,624.65,2.13
AGOSTO,28,9,0.022,0.008,0.012,0.87,53,8,20.94,2.69,105.42,63.94,624.86,3.04
AGOSTO,28,10,0.031,0.005,0.010,0.8,6,5,22.6,3.08,86.3,56.33,624.81,4.2
AGOSTO,28,11,0.035,0.004,0.009,0.74,40,2,23.8,3.07,97.74,52.95,624.72,5.3
AGOSTO,28,12,0.038,0.004,0.009,0.7,41,3,25.06,2.94,93.72,48.03,624.57,6.28
AGOSTO,28,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,28,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,28,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,28,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,28,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,28,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,28,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,28,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,28,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,28,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,28,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,29,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,30,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,31,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
