DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
ABRIL,9,6,0.021,0.008,0.89,0.008,28,12,15.68,2.20,106.36,NA,623.73
ABRIL,9,7,0.017,0.008,0.92,0.010,12,16,14.94,2.57,107.07,NA,624.22
ABRIL,9,8,0.019,0.007,0.93,0.010,28,13,15.78,2.78,102.30,NA,624.95
ABRIL,9,9,0.023,0.007,0.95,0.010,36,14,18.21,2.66,96.77,NA,625.35
ABRIL,9,10,0.032,0.009,0.95,0.009,40,19,20.70,2.63,106.24,NA,625.39
ABRIL,9,11,0.048,0.027,1.03,0.009,38,25,23.01,1.90,195.66,NA,625.20
ABRIL,9,12,0.054,0.025,0.96,0.008,71,22,24.40,2.53,228.14,NA,624.77
ABRIL,9,13,0.053,0.015,0.94,0.008,40,24,25.81,2.75,232.33,NA,624.13
ABRIL,9,14,0.052,0.010,0.94,0.009,35,11,27.23,2.54,208.80,NA,623.37
ABRIL,9,15,0.052,0.009,0.90,0.007,34,4,28.61,2.69,243.46,NA,622.58
ABRIL,9,16,0.052,0.008,0.89,0.007,40,12,29.15,3.16,250.86,NA,621.99
ABRIL,9,17,0.050,0.008,0.89,0.006,39,13,29.26,2.70,241.59,NA,621.51
ABRIL,9,18,0.050,0.008,0.88,0.006,27,18,28.92,2.84,275.57,NA,621.33
ABRIL,9,19,0.049,0.008,0.89,0.007,29,14,28.16,2.61,285.21,NA,621.29
ABRIL,9,20,0.035,0.008,0.95,0.015,29,36,26.59,1.76,267.98,NA,621.58
ABRIL,9,21,0.027,0.008,0.97,0.018,54,30,25.28,1.32,261.22,NA,622.03
ABRIL,9,22,0.016,0.008,1.03,0.023,39,37,24.01,2.08,202.55,NA,622.68
ABRIL,9,23,0.026,0.010,0.93,0.010,68,38,22.43,4.25,75.47,NA,623.48
ABRIL,10,0,0.027,0.010,0.90,0.008,59,25,20.45,5.14,79.01,NA,623.99
ABRIL,10,1,0.031,0.009,0.88,0.007,61,27,18.77,6.15,69.49,NA,624.20
ABRIL,10,2,0.028,0.008,0.88,0.007,76,14,18.20,5.42,65.85,NA,624.12
ABRIL,10,3,0.028,0.008,0.88,0.007,29,11,17.34,2.43,79.32,NA,624.33
ABRIL,10,4,0.028,0.008,0.88,0.007,20,10,16.74,1.87,89.46,NA,624.28
ABRIL,10,5,0.024,0.008,0.88,0.009,17,9,16.33,1.94,90.12,NA,624.25
ABRIL,10,6,0.025,0.008,0.89,0.009,24,17,15.97,3.20,85.22,NA,624.31
ABRIL,10,7,0.019,0.008,0.93,0.013,20,10,15.50,2.95,90.66,NA,624.60
ABRIL,10,8,0.018,0.008,0.96,0.013,29,13,15.98,3.44,93.06,NA,624.94
ABRIL,10,9,0.024,0.008,0.96,0.011,31,14,17.71,3.93,88.97,NA,625.30
ABRIL,10,10,0.028,0.008,0.98,0.010,48,9,19.25,3.89,80.21,NA,625.39
ABRIL,10,11,0.031,0.008,0.98,0.011,43,15,20.72,2.89,86.83,NA,625.31
ABRIL,10,12,0.040,0.008,0.94,0.010,40,10,22.93,2.21,124.78,NA,624.96
ABRIL,10,13,0.050,0.030,0.96,0.011,43,12,24.97,1.76,170.20,NA,624.31
ABRIL,10,14,0.061,0.042,1.00,0.010,42,16,26.65,1.92,231.69,NA,623.53
ABRIL,10,15,0.062,0.026,0.99,0.010,45,12,27.52,2.00,212.90,NA,622.88
ABRIL,10,16,0.058,0.015,0.93,0.008,36,8,28.27,2.32,240.56,NA,622.29
ABRIL,10,17,0.056,0.009,0.90,0.007,38,11,29.09,1.98,252.13,NA,621.97
ABRIL,10,18,0.051,0.010,0.92,0.008,38,13,28.52,2.23,152.33,NA,621.69
ABRIL,10,19,0.049,0.011,0.99,0.011,102,23,27.60,2.14,84.14,NA,621.84
ABRIL,10,20,0.031,0.015,1.04,0.016,45,39,25.41,3.05,73.86,NA,622.21
ABRIL,10,21,0.024,0.023,0.96,0.013,68,37,22.90,4.74,78.50,NA,622.74
ABRIL,10,22,0.024,0.017,0.94,0.011,54,34,21.56,5.12,77.02,NA,623.33
ABRIL,10,23,0.024,0.019,0.91,0.009,59,28,20.09,4.96,79.80,NA,624.05
ABRIL,11,0,0.024,0.030,0.90,0.010,40,19,19.22,4.85,69.55,NA,624.68
ABRIL,11,1,0.024,0.039,0.89,0.010,40,17,18.54,4.82,62.51,NA,624.57
