DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR
SEPTIEMBRE,4,4,0.034,0.004,0.009,0.62,5,11,18.47,2.20,129.29,75.02,623.54
SEPTIEMBRE,4,5,0.028,0.004,0.012,0.61,32,11,17.96,2.40,110.01,75.22,623.40
SEPTIEMBRE,4,6,0.021,0.004,0.015,0.69,34,13,17.18,2.31,118.15,79.38,623.62
SEPTIEMBRE,4,7,0.016,0.004,0.018,1.03,32,16,17.17,1.66,111.36,82.27,624.05
SEPTIEMBRE,4,8,0.015,0.004,0.019,1.20,7,16,18.03,2.66,88.71,78.20,623.98
SEPTIEMBRE,4,9,0.025,0.004,0.016,1.06,64,16,20.27,2.75,81.94,67.71,624.14
SEPTIEMBRE,4,10,0.038,0.004,0.013,0.96,55,18,21.55,3.24,93.61,60.86,624.24
SEPTIEMBRE,4,11,0.047,0.004,0.012,0.85,5,12,23.37,2.80,119.57,56.00,624.11
SEPTIEMBRE,4,12,0.056,0.004,0.013,0.96,36,11,24.99,2.80,124.90,51.38,623.81
SEPTIEMBRE,4,13,0.058,0.005,0.011,0.81,5,13,26.11,2.51,158.74,46.30,623.30
SEPTIEMBRE,4,14,0.054,0.006,0.010,0.75,11,2,27.67,2.33,190.50,40.21,622.70
SEPTIEMBRE,4,15,0.054,0.006,0.009,0.67,33,2,28.33,2.35,147.93,38.68,622.06
SEPTIEMBRE,4,16,0.055,0.005,0.009,0.66,42,2,29.15,2.35,162.76,36.13,621.39
SEPTIEMBRE,4,17,0.052,0.006,0.010,0.68,4,4,29.52,2.39,189.88,33.19,620.78
SEPTIEMBRE,4,18,0.051,0.005,0.010,0.65,22,14,28.96,2.47,191.26,33.04,620.73
SEPTIEMBRE,4,19,0.047,0.005,0.011,0.70,24,28,27.76,1.96,240.13,35.97,621.05
SEPTIEMBRE,4,20,0.036,0.005,0.020,0.80,28,33,26.33,1.69,267.74,41.95,621.42
SEPTIEMBRE,4,21,0.030,0.005,0.023,0.92,44,30,24.65,1.98,186.20,50.65,621.82
SEPTIEMBRE,4,22,0.034,0.004,0.015,0.74,32,41,22.66,2.41,187.59,61.58,622.92
SEPTIEMBRE,4,23,0.038,0.004,0.011,0.66,26,30,21.60,2.26,194.90,63.96,623.31
SEPTIEMBRE,5,0,0.034,0.004,0.012,0.64,27,18,21.48,1.72,184.86,64.82,623.46
SEPTIEMBRE,5,1,0.027,0.004,0.012,0.62,27,24,20.74,1.74,146.23,69.92,623.37
SEPTIEMBRE,5,2,0.026,0.004,0.011,0.60,24,21,19.97,1.78,144.62,74.88,623.28
SEPTIEMBRE,5,3,0.028,0.003,0.009,0.59,18,14,18.95,1.86,103.41,77.10,623.13
SEPTIEMBRE,5,4,0.024,0.003,0.010,0.60,21,12,18.41,1.77,81.06,82.44,622.98
SEPTIEMBRE,5,5,0.022,0.003,0.012,0.65,32,13,18.27,1.45,111.63,83.29,622.90
SEPTIEMBRE,5,6,0.017,0.003,0.015,0.71,24,16,17.85,1.38,145.46,83.94,623.17
SEPTIEMBRE,5,7,0.012,0.004,0.017,0.86,29,15,17.17,1.29,132.63,85.84,623.53
SEPTIEMBRE,5,8,0.014,0.004,0.017,1.13,57,19,18.61,1.52,139.88,80.33,623.84
SEPTIEMBRE,5,9,0.018,0.004,0.015,1.04,62,20,19.99,2.37,101.03,74.24,624.11
SEPTIEMBRE,5,10,0.031,0.004,0.013,0.87,57,12,22.05,2.81,94.50,63.78,624.36
SEPTIEMBRE,5,11,0.039,0.004,0.011,0.84,5,17,23.61,3.27,92.43,56.20,624.32
SEPTIEMBRE,5,12,0.053,0.004,0.011,0.83,41,10,25.21,2.84,117.74,50.45,623.95
SEPTIEMBRE,5,13,0.067,0.004,0.012,0.85,42,8,26.34,2.98,117.60,48.11,623.31
SEPTIEMBRE,5,14,0.073,0.005,0.013,0.90,45,7,27.99,2.59,139.24,43.80,622.68
SEPTIEMBRE,5,15,0.074,0.005,0.011,0.75,55,4,28.98,2.66,142.82,38.44,622.08
