DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP,WS,WD,HR,PBAR
NOVIEMBRE,3,13,0.044,0.009,0.006,0.82,64,12,25.15,3.61,85.39,30.44,624.95
NOVIEMBRE,3,14,0.048,0.008,0.005,0.79,33,12,27.15,3.33,84.42,25.36,624.05
NOVIEMBRE,3,15,0.049,0.010,0.005,0.77,35,7,28.20,3.58,82.08,21.39,623.31
NOVIEMBRE,3,16,0.049,0.014,0.006,0.74,41,13,28.61,3.30,78.37,18.95,623.00
NOVIEMBRE,3,17,0.048,0.013,0.007,0.77,37,8,28.48,3.03,66.37,19.37,622.84
NOVIEMBRE,3,18,0.045,0.009,0.007,0.72,62,22,27.41,4.05,48.52,21.44,622.90
NOVIEMBRE,3,19,0.035,0.016,0.010,0.74,28,31,25.21,4.46,35.02,25.79,623.32
NOVIEMBRE,3,20,0.030,0.029,0.009,0.77,36,33,23.42,4.75,62.94,29.11,623.91
NOVIEMBRE,3,21,0.030,0.009,0.008,0.81,41,28,21.71,4.53,79.27,31.38,624.46
NOVIEMBRE,3,22,0.027,0.009,0.008,0.78,35,26,19.71,4.06,82.58,35.59,624.91
NOVIEMBRE,3,23,0.027,0.008,0.006,0.68,44,18,18.73,4.22,80.36,39.14,625.09
NOVIEMBRE,4,0,0.027,0.008,0.004,0.64,35,14,17.12,3.94,84.94,45.08,625.04
NOVIEMBRE,4,1,0.026,0.008,0.004,0.59,19,14,15.58,3.76,109.09,53.01,625.11
NOVIEMBRE,4,2,0.026,0.008,0.004,0.57,18,15,14.61,3.45,101.70,58.59,625.21
NOVIEMBRE,4,3,0.024,0.008,0.004,0.57,21,14,13.33,3.16,108.92,65.46,625.16
NOVIEMBRE,4,4,0.025,0.008,0.003,0.57,9,16,12.83,3.53,89.48,68.49,625.14
NOVIEMBRE,4,5,0.026,0.008,0.003,0.56,6,13,12.45,3.81,85.51,69.68,625.18
NOVIEMBRE,4,6,0.024,0.008,0.004,0.61,7,15,12.12,3.72,87.08,70.54,625.41
NOVIEMBRE,4,7,0.018,0.008,0.008,0.70,23,19,11.49,3.37,82.98,74.79,625.97
NOVIEMBRE,4,8,0.016,0.008,0.009,0.83,9,13,11.97,3.10,84.33,72.71,626.43
NOVIEMBRE,4,9,0.021,0.008,0.007,0.88,41,14,13.86,3.22,89.97,63.03,626.68
NOVIEMBRE,4,10,0.026,0.008,0.006,0.88,36,18,17.24,2.98,90.36,46.24,626.66
NOVIEMBRE,4,11,0.032,0.008,0.006,0.86,37,18,20.03,3.66,96.33,35.50,626.52
NOVIEMBRE,4,12,0.040,0.009,0.004,0.75,33,9,22.49,3.16,78.51,28.27,625.99
NOVIEMBRE,4,13,0.042,0.008,0.006,0.83,31,13,24.58,3.66,90.36,22.27,624.98
NOVIEMBRE,4,14,0.044,0.018,0.004,0.72,23,9,26.29,4.07,53.37,18.54,624.04
NOVIEMBRE,4,15,0.048,0.014,0.004,0.68,29,10,27.15,4.34,53.60,16.29,623.38
NOVIEMBRE,4,16,0.046,0.011,0.004,0.68,25,9,27.51,5.00,32.01,14.79,622.91
NOVIEMBRE,4,17,0.046,0.009,0.004,0.65,38,12,26.91,5.58,30.07,12.11,622.75
NOVIEMBRE,4,18,0.044,0.009,0.006,0.71,40,19,25.66,5.02,22.89,10.50,623.03
NOVIEMBRE,4,19,0.035,0.010,0.010,1.00,36,53,23.43,4.04,30.67,12.22,623.42
NOVIEMBRE,4,20,0.033,0.032,0.010,0.81,52,34,21.94,3.74,56.75,16.42,623.79
NOVIEMBRE,4,21,0.033,0.009,0.008,0.87,37,22,20.03,3.48,79.52,21.01,624.41
NOVIEMBRE,4,22,0.031,0.020,0.008,0.81,39,19,18.73,3.60,83.50,27.64,624.84
NOVIEMBRE,4,23,0.028,0.008,0.007,0.79,42,19,16.80,3.14,83.44,36.06,625.17
NOVIEMBRE,5,0,0.027,0.008,0.007,0.71,31,16,15.38,2.76,102.95,42.50,625.19
NOVIEMBRE,5,1,0.030,0.008,0.006,0.63,25,20,15.04,3.06,102.79,41.20,625.20
NOVIEMBRE,5,2,0.032,0.008,0.003,0.59,22,15,13.67,3.49,94.53,44.93,625.17
NOVIEMBRE,5,3,0.032,0.008,0.003,0.59,14,13,13.00,3.53,83.79,48.95,624.98
NOVIEMBRE,5,4,0.028,0.008,0.004,0.59,11,12,11.59,2.64,114.15,55.16,624.88
NOVIEMBRE,5,5,0.026,0.008,0.005,0.60,19,20,10.86,3.22,111.56,59.12,625.01
NOVIEMBRE,5,6,0.022,0.008,0.007,0.68,2,15,10.48,2.51,82.42,62.46,625.01
NOVIEMBRE,5,7,0.016,0.008,0.010,0.75,23,21,9.71,1.82,103.85,67.82,625.24
NOVIEMBRE,5,8,0.019,0.008,0.008,0.81,27,21,10.73,2.16,89.62,64.09,625.81
NOVIEMBRE,5,9,0.024,0.008,0.006,0.85,40,15,13.00,2.85,96.73,55.57,626.14
NOVIEMBRE,5,10,0.030,0.008,0.006,0.87,24,11,16.65,2.69,99.12,41.11,626.05
NOVIEMBRE,5,11,0.038,0.008,0.005,0.86,22,14,20.09,3.50,99.79,26.22,625.63
NOVIEMBRE,5,12,0.043,0.008,0.005,0.82,25,12,22.53,4.30,91.43,16.79,624.96
NOVIEMBRE,5,13,0.045,0.008,0.006,0.90,28,7,24.36,3.70,99.47,14.99,624.14
NOVIEMBRE,5,14,0.049,0.008,0.005,0.76,24,7,25.89,2.86,93.83,14.46,623.27
NOVIEMBRE,5,15,0.054,0.012,0.004,0.71,26,5,27.15,2.59,102.12,15.68,622.53
NOVIEMBRE,5,16,0.054,0.012,0.005,0.74,27,8,27.87,2.58,122.98,14.77,622.09
NOVIEMBRE,5,17,0.054,0.011,0.005,0.72,23,11,27.99,2.17,96.01,13.06,622.00
NOVIEMBRE,5,18,0.052,0.009,0.004,0.68,23,19,26.83,2.80,95.03,12.16,622.17
NOVIEMBRE,5,19,0.037,0.011,0.012,0.93,14,31,24.62,2.55,45.98,14.61,622.52
NOVIEMBRE,5,20,0.036,0.018,0.009,0.70,29,35,22.38,4.36,43.42,19.13,623.02
NOVIEMBRE,5,21,0.032,0.030,0.010,0.80,23,24,20.71,3.63,71.18,24.64,623.60
NOVIEMBRE,5,22,0.029,0.009,0.008,0.82,35,28,18.33,3.47,90.97,30.01,624.21
NOVIEMBRE,5,23,0.035,0.008,0.004,0.68,43,17,17.48,4.38,79.00,32.14,624.40
NOVIEMBRE,6,0,0.036,0.008,0.003,0.61,37,18,16.36,3.99,79.86,37.39,624.66
NOVIEMBRE,6,1,0.037,0.008,0.002,0.58,17,18,15.75,3.78,84.32,40.20,624.69
NOVIEMBRE,6,2,0.036,0.008,0.002,0.56,18,14,14.77,3.04,85.07,45.11,624.59
NOVIEMBRE,6,3,0.033,0.008,0.003,0.57,10,15,13.90,2.98,92.44,51.06,624.40
NOVIEMBRE,6,4,0.032,0.008,0.003,0.57,9,13,13.13,2.95,103.67,55.04,624.29
NOVIEMBRE,6,5,0.026,0.008,0.005,0.59,11,14,11.94,2.70,109.42,61.58,624.28
NOVIEMBRE,6,6,0.021,0.008,0.008,0.70,16,17,11.31,2.20,100.11,65.93,624.45
NOVIEMBRE,6,7,0.017,0.008,0.011,0.92,6,19,10.93,2.57,96.07,68.43,624.74
NOVIEMBRE,6,8,0.013,0.009,0.014,1.23,42,20,11.72,2.29,98.01,65.84,625.10
NOVIEMBRE,6,9,0.020,0.009,0.011,1.10,66,17,14.17,2.71,96.15,57.45,625.43
NOVIEMBRE,6,10,0.031,0.008,0.007,0.90,48,17,17.03,3.21,102.83,49.91,625.58
NOVIEMBRE,6,11,0.038,0.009,0.006,0.90,45,19,19.65,2.77,108.61,42.54,625.37
NOVIEMBRE,6,12,0.045,0.010,0.006,0.84,33,14,22.43,2.26,125.57,34.73,624.80
NOVIEMBRE,6,13,0.053,0.012,0.006,0.81,46,18,25.16,1.68,141.78,28.23,623.93
NOVIEMBRE,6,14,0.063,0.051,0.007,0.80,43,14,27.35,1.81,161.76,22.07,622.95
NOVIEMBRE,6,15,0.071,0.032,0.004,0.68,60,15,28.58,1.94,233.13,17.58,622.10
NOVIEMBRE,6,16,0.064,0.011,0.004,0.66,41,8,29.55,1.76,204.38,17.31,621.61
NOVIEMBRE,6,17,0.064,0.010,0.005,0.66,28,17,29.47,1.68,241.61,17.85,621.50
NOVIEMBRE,6,18,0.057,0.009,0.008,0.68,25,25,28.21,2.25,272.00,19.51,621.72
NOVIEMBRE,6,19,0.023,0.009,0.032,1.25,58,36,25.63,1.41,252.90,23.16,622.02
NOVIEMBRE,6,20,0.018,0.010,0.031,1.52,118,42,23.82,1.26,180.32,26.26,622.58
NOVIEMBRE,6,21,0.009,0.011,0.035,2.45,82,50,22.97,NA,245.80,28.44,623.20
NOVIEMBRE,6,22,0.018,0.021,0.022,1.83,109,54,22.21,2.54,108.83,29.49,623.78
NOVIEMBRE,6,23,0.016,0.012,0.021,1.03,97,31,20.35,1.58,109.76,33.00,624.02
NOVIEMBRE,7,0,0.022,0.009,0.013,0.78,72,31,19.50,2.69,109.50,36.11,624.16
NOVIEMBRE,7,1,0.026,0.010,0.009,0.66,47,17,17.97,2.02,90.77,40.13,624.28
NOVIEMBRE,7,2,0.026,0.009,0.008,0.64,25,22,16.94,2.19,92.36,43.37,624.15
NOVIEMBRE,7,3,0.025,0.009,0.007,0.62,24,18,15.82,2.19,104.40,47.90,623.95
NOVIEMBRE,7,4,0.022,0.009,0.009,0.63,8,20,14.96,1.85,99.65,51.58,623.81
NOVIEMBRE,7,5,0.018,0.010,0.011,0.71,33,22,14.66,2.62,105.04,55.49,623.72
NOVIEMBRE,7,6,0.011,0.009,0.014,0.75,35,27,13.79,2.80,91.46,61.38,623.80
NOVIEMBRE,7,7,0.010,0.009,0.015,0.97,43,28,13.13,1.67,66.75,64.54,624.19
NOVIEMBRE,7,8,0.011,0.010,0.014,1.27,59,28,13.74,1.70,103.63,60.76,624.81
NOVIEMBRE,7,9,0.015,0.011,0.014,1.25,91,31,16.27,2.63,103.21,55.12,625.10
NOVIEMBRE,7,10,0.024,0.011,0.012,0.94,88,26,19.80,1.46,140.96,41.28,625.34
NOVIEMBRE,7,11,0.043,0.031,0.010,0.82,64,31,22.87,1.37,155.55,31.63,625.20
NOVIEMBRE,7,12,0.058,0.055,0.008,0.82,67,28,25.46,1.50,143.25,24.96,624.58
NOVIEMBRE,7,13,0.069,0.030,0.007,0.77,66,24,27.78,1.47,194.84,20.20,623.76
NOVIEMBRE,7,14,0.065,0.019,0.006,0.80,47,8,29.55,2.06,194.27,17.61,622.78
NOVIEMBRE,7,15,0.070,0.025,0.004,0.66,54,12,30.38,1.90,261.76,17.37,621.95
NOVIEMBRE,7,16,0.067,0.019,0.004,0.69,53,11,31.06,2.17,239.19,16.32,621.49
NOVIEMBRE,7,17,0.069,0.022,0.003,0.60,34,19,31.06,1.71,279.67,16.10,621.35
NOVIEMBRE,7,18,0.064,0.015,0.006,0.70,33,24,29.86,1.78,259.91,17.89,621.48
NOVIEMBRE,7,19,0.021,0.011,0.034,1.54,50,39,27.05,1.14,238.74,22.31,621.74
NOVIEMBRE,7,20,0.010,0.011,0.039,1.96,99,52,25.18,1.15,245.17,24.58,622.17
NOVIEMBRE,7,21,0.009,0.011,0.037,2.69,101,49,23.29,NA,136.44,29.52,622.67
NOVIEMBRE,7,22,0.012,0.017,0.033,3.05,125,76,22.05,1.29,115.59,32.17,623.14
NOVIEMBRE,7,23,0.014,0.011,0.024,1.07,238,64,21.16,1.94,164.52,29.07,623.66
NOVIEMBRE,8,0,0.013,0.010,0.021,0.93,75,39,19.87,2.40,133.33,31.02,623.77
NOVIEMBRE,8,1,0.017,0.009,0.015,0.76,76,23,19.05,2.99,100.09,31.76,623.66
NOVIEMBRE,8,2,0.021,0.009,0.011,0.68,50,22,17.82,1.73,109.83,34.28,623.70
NOVIEMBRE,8,3,0.017,0.009,0.014,0.72,32,23,17.06,1.73,79.05,37.28,623.69
NOVIEMBRE,8,4,0.012,0.009,0.017,0.74,45,28,16.32,1.68,86.16,40.13,623.62
NOVIEMBRE,8,5,0.009,0.009,0.019,0.75,40,24,15.65,1.13,84.91,42.15,623.65
NOVIEMBRE,8,6,0.009,0.010,0.019,0.85,40,32,14.92,1.29,156.55,46.79,623.82
NOVIEMBRE,8,7,0.009,0.010,0.018,1.19,50,32,14.46,1.48,106.13,50.95,624.21
NOVIEMBRE,8,8,0.010,0.010,0.017,1.42,52,30,14.73,1.47,78.89,46.39,624.72
NOVIEMBRE,8,9,0.014,0.010,0.016,1.28,103,26,17.21,1.45,97.50,39.07,624.91
NOVIEMBRE,8,10,0.027,0.009,0.012,0.92,88,27,20.23,1.47,148.90,36.26,625.13
NOVIEMBRE,8,11,0.045,0.009,0.008,0.86,78,26,22.97,1.44,203.47,39.09,624.95
NOVIEMBRE,8,12,0.062,0.011,0.007,0.80,48,22,25.06,1.87,202.84,30.51,624.33
NOVIEMBRE,8,13,0.076,0.013,0.005,0.76,51,19,26.97,1.69,222.36,27.43,623.43
NOVIEMBRE,8,14,0.074,0.014,0.004,0.76,51,9,29.40,1.51,224.00,20.73,622.43
NOVIEMBRE,8,15,0.082,0.037,0.006,0.78,42,11,30.33,1.77,156.49,20.03,621.57
NOVIEMBRE,8,16,0.088,0.047,0.005,0.71,54,26,31.03,1.74,275.52,18.48,620.98
NOVIEMBRE,8,17,0.085,0.039,0.009,0.85,54,31,31.05,1.79,241.66,18.39,620.75
NOVIEMBRE,8,18,0.075,0.029,0.011,0.89,61,37,29.77,1.69,246.25,19.58,620.90
NOVIEMBRE,8,19,0.036,0.014,0.026,1.23,57,44,27.07,1.28,240.97,23.57,621.11
NOVIEMBRE,8,20,0.010,0.012,0.041,2.45,91,45,25.22,NA,170.17,26.55,621.46
NOVIEMBRE,8,21,0.012,0.025,0.039,2.71,115,59,24.38,1.60,111.19,25.86,622.16
NOVIEMBRE,8,22,0.024,0.014,0.021,1.23,142,50,23.44,1.68,171.37,26.31,622.86
NOVIEMBRE,8,23,0.028,0.012,0.020,1.32,58,45,21.46,1.60,150.61,40.11,623.00
NOVIEMBRE,9,0,0.022,0.011,0.020,1.12,69,38,20.33,NA,139.65,46.17,623.01
NOVIEMBRE,9,1,0.010,0.010,0.025,1.05,60,47,19.64,1.42,117.96,37.29,622.89
NOVIEMBRE,9,2,0.013,0.009,0.019,0.73,69,31,18.77,1.53,114.81,28.37,622.89
NOVIEMBRE,9,3,0.010,0.009,0.019,0.75,44,25,17.68,1.63,106.25,31.26,622.78
NOVIEMBRE,9,4,0.009,0.009,0.018,0.73,46,24,16.37,1.01,141.61,33.24,622.58
NOVIEMBRE,9,5,0.009,0.011,0.016,0.86,37,31,14.88,NA,266.47,44.66,622.67
NOVIEMBRE,9,6,0.010,0.011,0.016,0.92,51,27,15.33,NA,130.01,39.90,622.70
NOVIEMBRE,9,7,0.009,0.010,0.016,1.16,64,41,14.75,1.32,93.31,37.61,623.01
NOVIEMBRE,9,8,0.010,0.012,0.014,1.77,73,31,15.20,1.03,122.95,38.45,623.52
NOVIEMBRE,9,9,0.011,0.012,0.019,1.64,111,34,17.76,1.04,155.90,39.47,623.85
NOVIEMBRE,9,10,0.026,0.010,0.015,1.07,110,32,21.31,1.06,181.43,51.23,624.00
NOVIEMBRE,9,11,0.041,0.009,0.009,0.86,71,34,22.63,1.71,223.03,52.73,623.83
NOVIEMBRE,9,12,0.054,0.009,0.004,0.75,54,25,24.38,2.31,286.31,48.46,623.18
NOVIEMBRE,9,13,0.065,0.009,0.004,0.77,45,19,25.90,2.11,246.79,40.97,622.39
NOVIEMBRE,9,14,0.067,0.009,0.004,0.77,44,15,27.35,2.94,270.72,36.28,621.58
NOVIEMBRE,9,15,0.067,0.009,0.004,0.80,58,9,28.34,3.07,243.36,32.53,620.82
NOVIEMBRE,9,16,0.071,0.009,0.003,0.68,55,16,28.92,2.96,298.05,30.44,620.19
NOVIEMBRE,9,17,0.064,0.009,0.007,0.81,51,27,27.82,2.43,250.54,31.06,620.16
NOVIEMBRE,9,18,0.047,0.009,0.013,0.96,54,45,25.39,3.34,185.49,45.21,620.92
NOVIEMBRE,9,19,0.042,0.008,0.007,0.84,76,54,20.32,4.13,212.02,71.76,621.80
NOVIEMBRE,9,20,0.028,0.009,0.016,1.21,27,46,19.22,2.29,105.78,78.18,622.60
NOVIEMBRE,9,21,0.024,0.008,0.015,1.19,31,42,19.16,2.56,143.27,80.24,622.94
NOVIEMBRE,9,22,0.027,0.008,0.011,1.00,32,33,18.63,1.96,113.53,77.95,623.12
NOVIEMBRE,9,23,0.028,0.008,0.008,0.87,21,22,17.92,2.46,113.44,79.20,623.32
NOVIEMBRE,10,0,0.024,0.009,0.009,0.83,19,24,17.51,1.87,122.58,81.77,623.22
NOVIEMBRE,10,1,0.024,0.009,0.011,0.80,20,27,17.71,1.68,116.61,79.99,622.91
NOVIEMBRE,10,2,0.021,0.009,0.011,0.84,28,31,17.10,1.34,114.10,82.36,622.65
NOVIEMBRE,10,3,0.014,0.008,0.015,0.81,27,34,16.42,1.14,82.94,85.36,622.53
NOVIEMBRE,10,4,0.010,0.008,0.019,0.81,33,33,16.53,1.36,107.89,84.83,622.38
NOVIEMBRE,10,5,0.010,0.009,0.018,0.83,35,34,15.99,1.64,126.69,86.13,622.37
NOVIEMBRE,10,6,0.010,0.009,0.016,0.91,38,34,15.38,1.38,93.06,88.15,622.43
NOVIEMBRE,10,7,0.009,0.009,0.015,1.31,33,33,14.80,1.52,104.32,90.29,622.88
NOVIEMBRE,10,8,0.009,0.009,0.015,1.72,37,34,15.53,2.04,102.28,87.67,623.38
NOVIEMBRE,10,9,0.012,0.009,0.014,1.41,48,33,17.42,2.71,92.72,78.80,623.64
NOVIEMBRE,10,10,0.023,0.008,0.011,1.09,49,28,20.17,3.22,92.68,67.32,624.00
NOVIEMBRE,10,11,0.037,0.008,0.009,0.99,39,22,21.95,3.52,82.32,59.95,623.86
NOVIEMBRE,10,12,0.048,0.008,0.008,0.99,41,18,23.68,3.20,84.90,51.65,623.36
NOVIEMBRE,10,13,0.058,0.008,0.006,0.88,48,14,25.41,2.12,126.22,45.76,622.80
NOVIEMBRE,10,14,0.064,0.009,0.006,0.91,90,8,26.99,1.95,154.84,41.01,621.87
NOVIEMBRE,10,15,0.067,0.009,0.004,0.77,43,5,27.97,1.80,205.42,37.44,620.94
NOVIEMBRE,10,16,0.057,0.009,0.012,1.09,44,27,26.76,1.90,140.11,39.01,620.55
NOVIEMBRE,10,17,0.045,0.009,0.012,1.02,51,38,24.30,3.60,199.35,50.39,621.05
NOVIEMBRE,10,18,0.030,0.008,0.006,0.79,67,39,18.92,3.61,223.09,75.75,621.37
NOVIEMBRE,10,19,0.023,0.008,0.008,0.82,9,27,18.94,2.40,280.84,74.18,622.00
NOVIEMBRE,10,20,0.021,0.008,0.012,0.90,16,32,19.27,2.69,312.27,71.82,623.08
NOVIEMBRE,10,21,0.027,0.008,0.010,0.90,27,28,19.28,1.79,243.42,73.73,623.62
NOVIEMBRE,10,22,0.014,0.008,0.017,1.21,31,29,18.75,1.63,120.17,78.51,624.01
NOVIEMBRE,10,23,0.016,0.008,0.011,0.98,43,26,18.46,2.46,102.38,81.78,624.09
NOVIEMBRE,11,0,0.024,0.008,0.004,0.75,26,22,18.22,2.90,75.53,82.10,623.95
NOVIEMBRE,11,1,0.026,0.008,0.005,0.71,15,24,18.25,2.20,90.72,78.58,623.65
NOVIEMBRE,11,2,0.018,0.008,0.008,0.75,22,24,17.24,1.54,145.24,83.49,623.74
NOVIEMBRE,11,3,0.020,0.008,0.005,0.68,17,22,16.60,2.60,83.50,86.26,623.64
NOVIEMBRE,11,4,0.018,0.008,0.006,0.70,13,23,16.23,1.68,109.96,87.82,623.50
NOVIEMBRE,11,5,0.015,0.008,0.007,0.70,14,25,15.90,1.62,97.87,89.22,623.38
NOVIEMBRE,11,6,0.012,0.008,0.010,0.77,23,24,15.66,1.47,106.67,89.16,623.52
NOVIEMBRE,11,7,0.011,0.008,0.010,0.90,9,24,15.45,1.12,121.90,89.77,623.84
NOVIEMBRE,11,8,0.011,0.008,0.011,1.12,32,30,16.37,1.21,107.69,86.35,624.03
NOVIEMBRE,11,9,0.015,0.008,0.010,1.13,37,23,18.32,2.47,93.39,77.16,624.18
NOVIEMBRE,11,10,0.028,0.008,0.005,0.93,49,27,20.64,4.11,84.31,68.80,624.37
NOVIEMBRE,11,11,0.034,0.008,0.006,0.94,31,27,21.85,4.26,80.64,64.33,624.36
NOVIEMBRE,11,12,0.040,0.008,0.007,0.96,35,22,23.35,4.52,77.76,57.51,623.81
