DATOS HORARIOS 2023_DIF,,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,
JUNIO,2,0,0.024,0.008,1.08,0.015,58,39,24.68,1.11,215.92,33.87,622.75,
JUNIO,2,1,0.017,0.008,1.07,0.018,49,47,23.57,1.41,269.31,37.19,623.02,
JUNIO,2,2,0.029,0.008,1.04,0.011,53,43,22.82,1.83,236.50,38.90,622.86,
JUNIO,2,3,0.030,0.008,1.03,0.010,64,44,21.70,1.48,248.96,40.20,622.71,
JUNIO,2,4,0.031,0.008,1.03,0.009,34,27,21.41,2.10,239.51,39.63,622.65,
JUNIO,2,5,0.026,0.008,1.03,0.011,19,27,20.27,1.33,254.34,43.08,622.83,
JUNIO,2,6,0.024,0.008,1.04,0.012,7,25,19.96,1.36,272.25,44.77,622.85,
JUNIO,2,7,0.015,0.008,1.08,0.018,53,37,19.79,1.26,278.15,46.10,623.30,
JUNIO,2,8,0.020,0.008,1.12,0.016,37,26,21.85,1.22,243.31,41.50,623.46,
JUNIO,2,9,0.032,0.008,1.06,0.011,62,25,24.16,1.60,270.48,38.14,623.55,
JUNIO,2,10,0.044,0.008,1.05,0.009,54,23,26.14,2.28,273.23,35.88,623.63,
JUNIO,2,11,0.051,0.008,1.06,0.009,40,19,28.22,2.34,229.82,27.26,623.23,
JUNIO,2,12,0.061,0.008,1.04,0.008,46,16,30.02,2.50,248.14,24.44,622.80,
JUNIO,2,13,0.065,0.008,1.03,0.007,44,12,31.72,2.27,241.93,20.38,622.00,
JUNIO,2,14,0.063,0.008,1.02,0.008,36,7,33.70,2.80,263.60,15.96,621.24,
JUNIO,2,15,0.064,0.008,1.01,0.007,46,5,35.26,3.00,271.09,10.76,620.59,
JUNIO,2,16,0.064,0.008,1.02,0.007,35,16,35.75,2.58,253.84,9.53,619.93,
JUNIO,2,17,0.062,0.008,1.02,0.008,30,14,36.06,2.46,222.91,8.61,619.39,
JUNIO,2,18,0.065,0.008,1.00,0.007,29,10,35.83,2.32,253.02,9.00,619.12,
JUNIO,2,19,0.059,0.008,1.03,0.010,28,20,34.91,2.57,237.61,9.25,619.06,
JUNIO,2,20,0.038,0.008,1.12,0.021,27,28,33.02,2.24,220.60,10.55,619.37,
JUNIO,2,21,0.037,0.008,1.12,0.020,41,31,31.65,2.68,192.00,13.43,619.92,
JUNIO,2,22,0.046,0.008,1.06,0.010,46,41,29.50,4.06,209.31,22.59,620.52,
JUNIO,2,23,0.038,0.011,1.10,0.013,71,40,27.86,2.39,140.55,26.84,621.44,
JUNIO,3,0,0.026,0.023,1.11,0.018,66,63,26.71,1.51,150.87,29.32,622.33,
JUNIO,3,1,0.023,0.012,1.07,0.018,67,49,26.04,2.00,214.07,29.08,622.40,
JUNIO,3,2,0.028,0.010,1.05,0.014,68,44,24.69,1.29,268.25,30.54,622.23,
JUNIO,3,3,0.035,0.009,1.03,0.009,54,36,23.46,2.09,244.54,31.82,621.91,
JUNIO,3,4,0.035,0.008,1.03,0.008,40,24,22.30,2.29,228.20,34.08,621.71,
JUNIO,3,5,0.033,0.008,1.03,0.010,28,25,21.59,1.77,286.76,36.86,621.82,
JUNIO,3,6,0.023,0.008,1.06,0.016,51,29,20.75,1.17,242.39,39.20,622.03,
JUNIO,3,7,0.023,0.008,1.09,0.016,162,30,20.53,1.31,252.06,39.11,622.32,
JUNIO,3,8,0.021,0.009,1.09,0.016,46,26,21.63,1.83,253.47,36.32,622.67,
JUNIO,3,9,0.037,0.009,1.06,0.009,58,21,24.41,2.64,255.69,29.94,622.84,
JUNIO,3,10,0.047,0.008,1.06,0.009,48,21,26.25,3.60,268.69,26.25,622.79,
JUNIO,3,11,0.054,0.008,1.04,0.008,44,17,28.25,3.39,271.87,21.26,622.50,
JUNIO,3,12,0.057,0.008,1.03,0.007,43,14,29.91,3.49,282.95,18.62,622.14,
JUNIO,3,13,0.059,0.008,1.04,0.008,37,10,31.85,3.20,265.28,15.29,621.56,
JUNIO,3,14,0.058,0.008,1.04,0.008,38,6,33.43,3.48,264.87,12.16,620.92,
JUNIO,3,15,0.054,0.008,1.02,0.007,43,25,34.73,3.83,254.11,9.11,620.19,
JUNIO,3,16,0.054,0.008,1.02,0.007,45,30,35.52,4.03,270.60,7.96,619.51,
JUNIO,3,17,0.052,0.007,1.01,0.007,39,21,35.94,4.20,279.88,7.37,618.87,
JUNIO,3,18,0.055,0.008,1.02,0.008,36,21,35.30,4.23,246.73,8.02,618.63,
JUNIO,3,19,0.055,0.008,1.02,0.009,37,30,34.46,4.05,232.39,8.81,618.70,
JUNIO,3,20,0.053,0.008,1.03,0.011,16,38,32.20,4.63,237.45,10.55,619.07,
JUNIO,3,21,0.054,0.008,1.04,0.011,60,35,30.34,4.78,245.73,12.02,619.66,
JUNIO,3,22,0.041,0.008,1.02,0.010,50,33,28.81,4.20,261.15,12.94,620.31,
JUNIO,3,23,0.031,0.009,1.03,0.010,39,24,27.48,3.13,255.08,12.97,620.95,
JUNIO,4,0,0.031,0.008,1.03,0.010,42,34,26.01,2.05,250.27,14.44,621.41,
JUNIO,4,1,0.026,0.008,1.04,0.011,40,30,24.34,1.53,274.53,16.39,621.59,
JUNIO,4,2,0.018,0.008,1.06,0.015,30,24,23.68,1.57,231.68,17.59,621.36,
JUNIO,4,3,0.019,0.008,1.05,0.014,45,23,22.46,1.06,230.12,19.67,621.07,
JUNIO,4,4,0.022,0.008,1.05,0.013,27,25,21.44,0.82,220.88,22.84,621.06,
JUNIO,4,5,0.010,0.008,1.09,0.019,37,29,20.61,0.91,194.66,25.16,621.20,
JUNIO,4,6,0.006,0.008,1.09,0.020,65,34,19.45,0.75,246.92,26.49,621.41,
JUNIO,4,7,0.009,0.008,1.08,0.018,49,25,20.26,0.87,261.22,22.59,621.74,
JUNIO,4,8,0.014,0.008,1.09,0.016,45,15,22.48,1.15,288.83,20.45,622.03,
JUNIO,4,9,0.027,0.008,1.08,0.013,52,18,24.64,1.77,271.43,23.03,622.17,
JUNIO,4,10,0.044,0.008,1.05,0.009,54,19,27.50,2.02,265.98,18.59,622.16,
JUNIO,4,11,0.046,0.008,1.03,0.007,73,17,29.12,2.17,255.37,14.39,622.15,
JUNIO,4,12,0.050,0.008,1.04,0.007,26,17,30.46,2.99,270.47,13.93,621.74,
JUNIO,4,13,0.046,0.009,1.02,0.007,8,7,32.32,4.25,265.68,9.27,620.93,
JUNIO,4,14,0.045,0.009,1.03,0.007,76,9,33.62,4.69,251.12,7.40,620.28,
JUNIO,4,15,0.044,0.009,1.01,0.006,53,5,34.51,5.58,274.43,5.32,619.62,
JUNIO,4,16,0.046,0.009,1.01,0.006,63,19,34.88,5.79,278.25,5.05,619.16,
JUNIO,4,17,0.046,0.009,1.01,0.006,56,12,34.89,5.31,276.82,5.29,618.80,
JUNIO,4,18,0.044,0.008,1.01,0.006,42,20,34.42,5.52,273.83,5.33,618.76,
JUNIO,4,19,0.043,0.008,1.02,0.007,44,23,32.94,5.31,273.65,6.80,618.95,
JUNIO,4,20,0.035,0.008,1.02,0.009,67,25,30.68,3.88,260.51,7.65,619.53,
JUNIO,4,21,0.030,0.008,1.05,0.011,42,22,28.59,3.37,253.70,9.58,620.11,
JUNIO,4,22,0.031,0.007,1.04,0.009,34,24,27.71,3.52,272.80,9.65,620.56,
JUNIO,4,23,0.025,0.008,1.07,0.012,35,33,25.73,2.24,256.06,11.84,621.18,
JUNIO,5,0,0.020,0.008,1.06,0.014,43,39,24.33,2.41,263.78,14.33,621.63,
JUNIO,5,1,0.024,0.008,1.05,0.012,48,21,24.12,1.99,220.33,16.63,621.90,
JUNIO,5,2,0.021,0.008,1.04,0.011,32,38,22.37,2.18,154.79,31.60,622.08,
JUNIO,5,3,0.022,0.008,1.03,0.008,47,69,20.18,3.00,107.89,55.65,622.08,
JUNIO,5,4,0.022,0.008,1.03,0.009,22,26,19.15,2.76,94.74,62.01,622.17,
JUNIO,5,5,0.020,0.008,1.03,0.009,32,31,18.65,2.47,107.27,64.78,622.17,
JUNIO,5,6,0.017,0.008,1.05,0.011,22,17,17.95,2.18,109.65,67.48,622.32,
JUNIO,5,7,0.012,0.008,1.14,0.014,28,18,17.83,2.38,96.47,67.29,622.61,
JUNIO,5,8,0.016,0.008,1.14,0.013,44,20,19.75,2.93,84.57,61.11,622.91,
JUNIO,5,9,0.026,0.008,1.13,0.011,56,53,21.81,3.87,93.73,55.35,623.14,
JUNIO,5,10,0.035,0.008,1.09,0.009,47,23,24.05,2.08,131.42,39.63,623.20,
JUNIO,5,11,0.046,0.008,1.04,0.007,131,20,26.07,2.19,240.15,28.19,622.95,
JUNIO,5,12,0.049,0.008,1.04,0.007,37,12,27.86,2.45,241.28,20.27,622.71,
JUNIO,5,13,0.056,0.010,1.04,0.007,30,14,28.56,1.95,166.17,18.58,622.35,
JUNIO,5,14,0.061,0.011,1.05,0.008,23,7,30.29,2.42,238.51,16.04,621.77,
JUNIO,5,15,0.065,0.009,1.05,0.008,28,7,31.24,2.53,223.11,14.06,621.10,
JUNIO,5,16,0.073,0.009,1.04,0.008,31,7,32.27,3.03,236.75,12.78,620.39,
JUNIO,5,17,0.069,0.009,1.04,0.008,42,16,32.68,3.26,231.68,11.30,619.90,
JUNIO,5,18,0.067,0.008,1.02,0.007,33,17,33.05,2.98,270.17,9.39,619.62,
JUNIO,5,19,0.064,0.011,1.06,0.008,26,20,32.33,2.58,225.20,10.39,619.73,
JUNIO,5,20,0.039,0.013,1.12,0.010,40,44,27.07,6.07,47.32,26.98,620.35,
JUNIO,5,21,0.032,0.044,1.13,0.012,91,30,26.16,5.11,74.63,29.97,621.01,
JUNIO,5,22,0.032,0.013,1.07,0.011,46,33,24.93,4.85,87.38,33.68,621.79,
JUNIO,5,23,0.034,0.009,1.07,0.010,36,34,24.09,4.00,78.50,33.99,622.53,
JUNIO,6,0,0.040,0.009,1.03,0.008,31,26,23.42,4.45,74.49,34.01,623.01,
JUNIO,6,1,0.027,0.051,1.02,0.014,26,31,22.55,4.36,67.44,41.40,623.20,
JUNIO,6,2,0.025,0.030,1.02,0.010,31,41,21.89,5.60,63.62,54.04,623.27,
JUNIO,6,3,0.024,0.017,1.01,0.009,15,20,20.97,5.15,65.19,60.58,623.19,
JUNIO,6,4,0.025,0.018,1.02,0.010,29,19,20.78,4.08,65.35,61.11,623.24,
JUNIO,6,5,0.021,0.029,1.02,0.012,31,25,20.21,4.05,76.71,63.00,623.33,
JUNIO,6,6,0.023,0.030,1.03,0.010,55,25,19.87,3.16,88.11,63.44,623.49,
JUNIO,6,7,0.018,0.016,1.10,0.012,25,16,19.51,3.09,91.60,65.03,623.47,
JUNIO,6,8,0.017,0.012,1.15,0.014,31,15,20.43,3.39,98.14,61.72,623.74,
JUNIO,6,9,0.029,0.011,1.13,0.011,121,22,22.27,3.15,107.60,54.86,624.05,
JUNIO,6,10,0.040,0.011,1.13,0.010,55,25,23.90,2.73,121.44,48.63,623.94,
JUNIO,6,11,0.048,0.010,1.10,0.010,49,27,25.79,2.81,126.77,40.79,623.65,
JUNIO,6,12,0.053,0.010,1.08,0.009,49,22,27.03,2.88,109.24,37.16,623.22,
JUNIO,6,13,NA,NA,NA,NA,51,19,28.40,2.26,163.87,33.21,622.59,
JUNIO,6,14,NA,NA,NA,NA,56,15,30.06,2.23,238.47,29.61,622.07,
JUNIO,6,15,NA,NA,NA,NA,74,21,31.11,2.53,156.79,26.52,621.46,
JUNIO,6,16,NA,NA,NA,NA,66,37,31.55,2.61,119.06,23.90,620.69,
JUNIO,6,17,NA,NA,NA,NA,28,34,32.47,2.58,250.58,18.51,620.27,
JUNIO,6,18,NA,NA,NA,NA,5,41,31.73,2.63,238.26,18.01,619.88,
JUNIO,6,19,NA,NA,NA,NA,38,34,31.30,2.21,176.35,19.65,620.05,
JUNIO,6,20,NA,NA,NA,NA,38,46,28.72,3.45,72.04,25.14,620.56,
JUNIO,6,21,NA,NA,NA,NA,62,42,27.05,2.62,99.98,29.27,621.37,
JUNIO,6,22,NA,NA,NA,NA,59,45,26.08,2.74,130.70,32.71,622.30,
JUNIO,6,23,NA,NA,NA,NA,48,29,25.28,3.74,78.36,37.75,622.68,
JUNIO,7,0,NA,NA,NA,NA,50,31,24.16,4.07,86.53,42.62,622.92,
JUNIO,7,1,NA,NA,NA,NA,39,31,22.94,3.11,104.78,45.37,623.08,
JUNIO,7,2,NA,NA,NA,NA,32,28,22.40,3.27,91.48,52.31,622.94,
JUNIO,7,3,NA,NA,NA,NA,32,20,21.52,2.84,117.42,59.88,622.76,
JUNIO,7,4,NA,NA,NA,NA,22,24,20.71,2.29,105.02,60.57,622.72,
JUNIO,7,5,NA,NA,NA,NA,28,28,20.28,2.04,124.50,61.42,622.98,
JUNIO,7,6,NA,NA,NA,NA,32,22,19.92,1.95,157.01,62.83,623.20,
JUNIO,7,7,NA,NA,NA,NA,44,28,19.58,1.87,158.02,65.26,623.53,
JUNIO,7,8,NA,NA,NA,NA,38,25,21.75,1.47,219.66,55.24,623.95,
JUNIO,7,9,0.036,0.008,0.46,0.010,59,25,22.94,2.15,274.98,51.93,624.30,
JUNIO,7,10,0.043,0.008,0.43,0.009,45,19,24.19,2.74,263.77,49.94,624.20,
JUNIO,7,11,0.049,0.008,0.40,0.008,55,45,25.45,3.95,263.32,45.43,623.99,
JUNIO,7,12,0.053,0.008,0.41,0.008,56,49,26.99,3.83,257.45,39.89,623.60,
JUNIO,7,13,0.060,0.008,0.40,0.008,64,46,28.46,3.22,267.08,35.83,623.06,
JUNIO,7,14,0.064,0.008,0.47,0.009,45,33,29.97,3.11,229.09,31.64,622.27,
JUNIO,7,15,0.067,0.008,0.39,0.008,51,17,31.33,3.73,259.78,26.19,621.57,
JUNIO,7,16,0.066,0.008,0.36,0.009,54,10,32.58,3.14,232.93,21.53,621.00,
JUNIO,7,17,0.064,0.007,0.30,0.008,41,16,32.81,3.57,256.19,20.33,620.30,
JUNIO,7,18,0.062,0.007,0.29,0.007,33,21,32.59,4.12,263.76,19.70,619.86,
JUNIO,7,19,0.057,0.007,0.30,0.009,38,27,31.88,4.46,245.07,18.71,619.99,
JUNIO,7,20,0.047,0.007,0.40,0.011,44,34,30.40,3.81,227.44,19.41,620.56,
JUNIO,7,21,0.041,0.007,0.39,0.011,39,27,28.98,3.91,224.54,18.31,621.14,
JUNIO,7,22,0.036,0.008,0.39,0.012,29,31,27.76,3.03,209.99,18.21,621.71,
JUNIO,7,23,0.030,0.008,0.46,0.014,35,40,26.14,3.16,118.22,28.80,622.77,
JUNIO,8,0,0.031,0.008,0.38,0.011,49,52,24.13,4.00,85.43,42.98,623.38,
JUNIO,8,1,0.032,0.008,0.33,0.010,59,43,23.10,3.55,96.70,43.17,623.45,
JUNIO,8,2,0.030,0.008,0.31,0.010,30,24,22.18,3.74,94.82,44.65,623.28,
JUNIO,8,3,0.028,0.008,0.30,0.012,17,19,21.55,2.42,119.06,46.52,623.18,
JUNIO,8,4,0.021,0.008,0.32,0.015,27,26,21.06,1.37,121.99,48.12,623.27,
JUNIO,8,5,0.024,0.008,0.33,0.013,43,24,20.69,1.55,241.91,51.74,623.49,
JUNIO,8,6,0.023,0.008,0.40,0.013,36,27,19.64,1.50,225.82,58.02,623.73,
JUNIO,8,7,0.019,0.008,0.46,0.015,43,29,19.41,1.59,251.30,56.55,624.23,
JUNIO,8,8,0.023,0.008,0.45,0.013,59,24,20.75,3.06,260.39,54.80,624.47,
JUNIO,8,9,0.035,0.008,0.39,0.009,57,30,22.83,4.52,257.25,53.01,624.78,
JUNIO,8,10,0.041,0.008,0.36,0.008,56,20,24.78,4.47,262.50,43.28,624.92,
JUNIO,8,11,0.046,0.008,0.34,0.007,50,21,26.35,3.98,266.35,32.99,624.75,
JUNIO,8,12,0.051,0.008,0.32,0.007,50,50,27.58,3.66,266.03,32.07,624.45,
JUNIO,8,13,0.054,0.008,0.32,0.007,42,27,29.38,3.47,257.72,25.33,623.82,
JUNIO,8,14,0.051,0.008,0.34,0.008,40,13,30.87,3.60,232.15,18.64,623.20,
JUNIO,8,15,0.048,0.008,0.30,0.008,53,7,32.39,3.86,247.06,13.08,622.49,
JUNIO,8,16,0.050,0.007,0.26,0.007,189,11,33.03,3.95,251.03,11.35,621.99,
JUNIO,8,17,0.051,0.007,0.27,0.008,47,6,33.47,4.63,241.36,10.06,621.45,
JUNIO,8,18,0.054,0.008,0.25,0.007,34,13,33.26,4.31,242.79,9.14,621.31,
JUNIO,8,19,0.056,0.008,0.29,0.009,31,17,32.53,4.53,242.65,9.18,621.38,
JUNIO,8,20,0.049,0.008,0.37,0.012,43,35,30.14,3.83,225.44,12.14,621.81,
JUNIO,8,21,0.046,0.008,0.45,0.015,98,34,28.39,3.47,219.85,13.16,622.31,
JUNIO,8,22,0.045,0.008,0.40,0.013,49,33,27.08,3.27,216.30,13.59,622.78,
JUNIO,8,23,0.039,0.008,0.41,0.014,44,36,25.70,2.42,263.76,14.04,623.28,
JUNIO,9,0,0.033,0.008,0.40,0.015,63,42,23.62,1.26,241.01,17.88,623.73,
JUNIO,9,1,0.029,0.008,0.34,0.013,52,64,23.26,2.12,245.95,26.08,623.87,
JUNIO,9,2,0.032,0.008,0.28,0.009,53,158,22.81,2.38,249.79,33.72,623.53,
JUNIO,9,3,0.027,0.008,0.27,0.011,35,49,21.43,1.64,255.59,36.93,623.44,
JUNIO,9,4,0.022,0.008,0.31,0.013,39,35,20.29,1.15,283.59,39.46,623.72,
JUNIO,9,5,0.020,0.008,0.32,0.014,42,34,19.87,1.09,244.99,40.55,623.86,
JUNIO,9,6,0.026,0.008,0.32,0.012,38,30,19.64,1.51,269.26,43.46,624.18,
JUNIO,9,7,0.012,0.008,0.52,0.020,42,35,18.85,1.43,293.66,44.83,624.63,
JUNIO,9,8,0.011,0.008,0.66,0.023,66,39,20.97,1.27,245.20,37.24,624.90,
JUNIO,9,9,0.030,0.008,0.55,0.017,74,39,24.50,1.21,233.58,32.02,624.95,
JUNIO,9,10,0.044,0.008,0.39,0.010,61,32,25.98,2.24,253.81,32.50,624.72,
JUNIO,9,11,0.048,0.008,0.29,0.008,45,18,27.83,2.94,280.70,24.28,624.55,
JUNIO,9,12,0.054,0.008,0.23,0.008,37,9,29.60,3.19,279.15,20.07,624.25,
JUNIO,9,13,0.058,0.008,0.25,0.008,58,14,31.19,2.66,247.70,14.92,623.82,
JUNIO,9,14,0.059,0.008,0.29,0.008,25,13,32.83,2.65,253.26,11.11,623.14,
JUNIO,9,15,0.059,0.008,0.28,0.008,31,9,33.83,2.32,226.57,10.06,622.47,
JUNIO,9,16,0.064,0.008,0.28,0.008,34,9,34.15,2.43,218.33,9.49,621.83,
JUNIO,9,17,0.067,0.008,0.22,0.007,33,16,35.06,2.26,238.27,9.30,621.36,
JUNIO,9,18,0.060,0.008,0.37,0.011,26,16,34.89,3.07,182.19,9.11,621.07,
JUNIO,9,19,0.060,0.008,0.33,0.011,33,23,33.88,2.94,190.28,9.75,621.15,
JUNIO,9,20,0.035,0.008,0.76,0.026,35,26,32.26,2.16,168.33,11.33,621.40,
JUNIO,9,21,0.012,0.008,1.28,0.039,54,31,30.60,1.54,171.28,12.81,621.58,
JUNIO,9,22,0.007,0.009,1.29,0.040,57,37,29.42,1.46,183.77,14.70,621.90,
JUNIO,9,23,0.019,0.022,0.56,0.027,71,53,28.51,2.09,201.60,19.06,622.82,
JUNIO,10,0,0.015,0.011,0.66,0.024,74,45,27.97,1.96,69.87,24.67,623.07,
JUNIO,10,1,0.017,0.009,0.45,0.020,73,42,26.39,1.96,105.37,32.43,622.86,
JUNIO,10,2,0.014,0.008,0.41,0.018,56,44,24.80,1.85,110.03,36.04,622.66,
JUNIO,10,3,0.020,0.008,0.34,0.015,50,37,24.16,1.70,136.59,36.59,622.55,
JUNIO,10,4,0.019,0.008,0.35,0.016,41,34,23.13,1.23,151.23,37.25,622.58,
JUNIO,10,5,0.019,0.009,0.37,0.019,45,39,22.54,1.43,142.21,32.29,622.88,
JUNIO,10,6,0.022,0.008,0.38,0.016,55,41,21.71,1.21,162.59,33.21,623.20,
JUNIO,10,7,0.018,0.008,0.65,0.019,52,36,21.76,1.03,163.13,36.54,623.58,
JUNIO,10,8,0.021,0.009,0.65,0.020,52,26,23.65,1.42,168.55,34.27,623.96,
JUNIO,10,9,0.039,0.008,0.58,0.010,70,36,25.09,3.19,207.95,35.87,624.23,
JUNIO,10,10,0.044,0.008,0.45,0.009,64,28,27.12,2.59,235.50,35.48,624.13,
JUNIO,10,11,0.050,0.009,0.42,0.009,123,29,28.94,2.96,244.18,30.10,623.85,
JUNIO,10,12,0.057,0.008,0.33,0.008,45,78,30.66,3.52,267.48,23.12,623.47,
JUNIO,10,13,0.062,0.008,0.33,0.008,41,35,31.76,3.58,249.93,19.91,622.94,
JUNIO,10,14,0.066,0.008,0.31,0.008,41,10,33.58,3.22,251.42,16.08,622.30,
JUNIO,10,15,0.066,0.008,0.28,0.007,53,10,34.67,3.49,240.84,13.03,621.66,
JUNIO,10,16,0.064,0.008,0.33,0.009,52,11,35.42,3.45,215.06,11.34,621.10,
JUNIO,10,17,0.066,0.008,0.25,0.008,170,20,35.81,2.84,228.00,10.57,620.73,
JUNIO,10,18,0.067,0.008,0.22,0.007,31,18,35.58,3.05,251.51,10.40,620.56,
JUNIO,10,19,0.064,0.008,0.24,0.009,37,29,34.43,3.58,246.62,12.38,620.61,
JUNIO,10,20,0.052,0.008,0.35,0.013,40,63,32.63,3.28,232.96,14.67,620.91,
JUNIO,10,21,0.054,0.008,0.35,0.012,51,72,30.70,3.30,239.95,16.70,621.31,
JUNIO,10,22,0.057,0.008,0.37,0.012,41,37,29.49,3.15,232.86,18.44,621.83,
JUNIO,10,23,0.043,0.008,0.37,0.011,42,42,28.23,3.14,229.22,22.00,622.39,
JUNIO,11,0,0.033,0.008,0.34,0.011,53,39,26.40,1.91,257.98,26.44,622.78,
JUNIO,11,1,0.031,0.008,0.33,0.012,48,43,25.09,2.40,258.01,31.03,622.82,
JUNIO,11,2,0.033,0.008,0.33,0.010,49,34,24.27,1.48,259.65,34.42,622.73,
JUNIO,11,3,0.030,0.008,0.33,0.010,47,32,23.21,0.95,216.48,35.38,622.71,
JUNIO,11,4,0.031,0.008,0.31,0.009,50,29,22.43,1.14,271.40,36.49,622.83,
JUNIO,11,5,0.028,0.008,0.32,0.011,33,34,21.68,1.13,294.90,38.21,622.95,
JUNIO,11,6,0.010,0.008,0.40,0.022,54,33,20.63,1.08,302.64,41.45,623.15,
JUNIO,11,7,0.010,0.008,0.47,0.021,53,32,20.45,1.13,283.17,42.55,623.55,
JUNIO,11,8,0.022,0.008,0.46,0.015,60,26,22.47,1.36,266.30,38.30,623.81,
JUNIO,11,9,0.038,0.008,0.40,0.011,67,28,24.58,2.22,276.62,38.12,624.03,
JUNIO,11,10,0.047,0.008,0.44,0.010,58,24,26.67,2.37,265.24,34.43,623.90,
JUNIO,11,11,0.055,0.008,0.35,0.008,59,25,28.90,2.95,270.54,27.41,623.70,
JUNIO,11,12,0.058,0.008,0.30,0.007,45,19,30.78,3.02,279.78,20.74,623.33,
JUNIO,11,13,0.063,0.008,0.26,0.007,37,14,32.41,2.87,276.29,16.87,622.84,
JUNIO,11,14,0.061,0.008,0.28,0.007,31,8,33.81,2.51,244.18,12.87,622.30,
JUNIO,11,15,0.065,0.008,0.29,0.007,41,6,35.12,2.26,222.64,10.48,621.66,
JUNIO,11,16,0.063,0.008,0.22,0.007,41,9,36.45,2.58,245.10,7.20,621.13,
JUNIO,11,17,0.064,0.008,0.28,0.008,29,15,36.36,2.56,226.04,8.02,620.84,
JUNIO,11,18,0.062,0.008,0.27,0.009,28,16,35.95,3.51,172.25,7.85,620.60,
JUNIO,11,19,0.062,0.008,0.27,0.009,41,26,35.27,2.78,196.45,8.98,620.72,
JUNIO,11,20,0.049,0.008,0.48,0.016,36,23,34.01,1.68,206.18,9.86,620.96,
JUNIO,11,21,0.027,0.010,0.92,0.027,46,31,32.43,2.35,129.82,13.54,621.52,
JUNIO,11,22,0.036,0.008,0.36,0.011,61,52,29.42,5.03,164.02,25.83,622.92,
JUNIO,11,23,0.035,0.008,0.40,0.011,72,37,28.33,3.60,161.92,27.98,623.48,
JUNIO,12,0,0.032,0.008,0.41,0.012,40,36,27.27,1.97,169.90,29.62,623.76,
JUNIO,12,1,0.024,0.008,0.34,0.013,45,43,25.54,2.08,274.88,32.42,623.88,
JUNIO,12,2,0.030,0.008,0.29,0.011,55,36,24.23,3.17,272.61,33.29,623.71,
JUNIO,12,3,0.031,0.008,0.29,0.010,40,30,23.75,2.81,275.15,33.75,623.61,
JUNIO,12,4,0.024,0.008,0.33,0.013,37,34,22.52,1.91,268.57,37.18,623.76,
