DATOS HORARIOS 2019_DIF,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
OCT,6,3,14.24,8.18,0.134,2.49,18,11,2.15,109.73,17.96,73.89,623.14
OCT,6,4,9.52,5.38,0.151,3.63,17,9,1.67,115.36,17.01,80.52,623.07
OCT,6,5,7.42,2.81,0.167,4.50,18,10,1.59,125.99,16.55,81.86,623.27
OCT,6,6,1.77,5.25,0.247,8.11,18,12,1.57,97.83,16.12,84.67,623.59
OCT,6,7,1.22,9.20,0.512,9.54,22,10,1.44,170.83,16.32,82.60,623.79
OCT,6,8,5.68,7.14,0.613,8.60,37,16,1.31,126.26,17.33,77.90,624.14
OCT,6,9,13.81,10.16,0.515,6.95,31,16,1.68,122.25,19.54,69.83,624.52
OCT,6,10,27.27,6.64,0.451,4.25,31,24,2.88,102.17,21.41,63.24,624.75
OCT,6,11,35.93,6.86,0.328,2.83,20,14,2.58,94.63,23.43,54.58,624.51
OCT,6,12,40.02,0.90,0.370,2.78,16,13,2.51,110.86,25.15,45.08,624.05
OCT,6,13,43.76,0.90,0.264,2.13,12,10,2.37,115.68,26.51,37.45,623.24
OCT,6,14,45.47,3.83,0.254,2.40,10,9,2.48,114.31,27.64,32.49,622.40
OCT,6,15,45.56,7.59,0.194,1.71,23,12,2.57,151.84,28.70,31.83,621.68
OCT,6,16,47.10,2.81,0.149,0.30,9,22,3.43,129.78,29.81,26.04,621.17
OCT,6,17,49.84,4.15,0.160,0.30,21,2,3.49,94.03,29.78,25.24,620.92
OCT,6,18,45.68,2.78,0.179,0.30,26,4,4.19,51.89,28.62,27.56,620.85
OCT,6,19,28.93,20.03,0.387,8.38,31,6,2.89,53.57,27.43,29.99,620.88
OCT,6,20,30.23,45.75,0.287,5.52,49,18,4.48,54.93,25.73,34.75,621.23
OCT,6,21,29.01,34.15,0.259,4.68,55,34,4.50,65.46,24.23,39.81,621.79
OCT,6,22,27.13,5.78,0.241,2.80,41,22,3.76,75.02,22.48,47.70,622.73
OCT,6,23,28.06,1.22,0.183,0.54,31,15,3.95,83.07,21.43,52.66,623.22
OCT,7,0,24.86,3.74,0.132,1.08,20,13,3.77,78.35,20.36,58.88,623.41
OCT,7,1,22.49,4.46,0.153,0.43,15,9,3.22,86.79,19.18,66.72,623.59
OCT,7,2,19.91,7.10,0.162,1.29,17,9,2.88,77.35,18.48,70.79,623.37
OCT,7,3,19.90,3.79,0.164,2.48,25,19,2.74,70.43,18.01,73.65,623.20
OCT,7,4,19.32,6.10,0.171,3.76,22,8,2.37,96.48,17.42,76.17,623.10
OCT,7,5,18.42,4.83,0.213,4.50,21,16,2.03,87.77,17.15,76.96,623.16
OCT,7,6,1.94,3.25,0.671,13.73,30,11,2.03,79.26,16.24,80.89,623.25
OCT,7,7,1.22,2.45,0.878,14.52,61,16,2.00,78.91,16.18,80.66,623.44
OCT,7,8,1.22,1.68,0.858,11.63,57,18,2.63,91.18,16.76,78.04,623.69
OCT,7,9,13.79,1.53,0.581,5.76,40,18,3.62,85.34,19.12,69.75,624.02
OCT,7,10,26.98,1.01,0.377,3.36,29,19,4.30,77.77,21.21,60.13,624.27
OCT,7,11,28.35,0.90,0.423,4.29,30,13,3.59,86.18,21.93,57.34,624.15
OCT,7,12,33.61,1.30,0.473,5.04,22,17,4.22,90.44,24.01,48.43,623.65
OCT,7,13,33.78,2.52,0.489,6.03,28,11,4.07,80.07,25.27,41.08,622.95
OCT,7,14,35.41,2.97,0.359,4.48,33,17,4.28,77.64,26.48,35.37,622.26
OCT,7,15,35.51,4.57,0.269,3.46,22,19,3.98,69.78,27.20,33.12,621.82
OCT,7,16,31.94,6.88,0.319,4.38,33,13,4.14,62.96,27.40,31.67,621.48
OCT,7,17,30.21,8.54,0.365,4.67,37,13,4.70,62.50,27.24,30.01,621.39
OCT,7,18,27.83,13.82,0.337,6.00,41,9,4.70,53.86,26.72,29.35,621.57
OCT,7,19,22.88,4.94,0.359,6.01,47,3,4.56,43.41,24.73,36.12,621.99
OCT,7,20,20.25,16.17,0.296,5.97,39,5,4.75,44.54,22.93,43.72,622.57
OCT,7,21,20.95,23.95,0.222,5.29,33,11,4.55,50.27,21.64,48.02,623.13
OCT,7,22,22.53,20.56,0.181,3.36,41,16,4.64,60.74,20.39,52.89,623.56
OCT,7,23,24.45,14.32,0.139,2.36,25,14,4.27,69.67,19.45,49.62,623.87
OCT,8,0,21.53,3.24,0.132,2.42,17,12,2.89,71.99,17.99,53.33,624.06
OCT,8,1,24.01,2.95,0.124,0.88,10,9,2.98,80.22,16.98,56.69,623.97
OCT,8,2,26.50,3.60,0.133,0.30,10,7,2.91,84.20,16.83,60.38,623.86
OCT,8,3,19.77,2.99,0.122,0.93,9,7,2.08,110.32,16.18,65.52,623.77
OCT,8,4,13.44,4.68,0.122,3.34,12,6,2.11,104.23,15.80,69.20,623.67
OCT,8,5,11.84,2.17,0.135,3.30,10,8,2.25,78.27,16.41,70.82,623.54
OCT,8,6,1.22,2.31,0.484,9.63,19,12,2.26,96.34,16.79,71.02,623.62
OCT,8,7,1.22,2.49,0.613,8.69,43,12,2.79,94.84,17.03,69.93,623.75
OCT,8,8,7.54,2.49,0.628,5.84,28,9,3.23,93.62,17.65,65.44,624.04
OCT,8,9,19.23,2.87,0.576,4.56,37,9,3.38,90.51,18.63,61.19,624.56
OCT,8,10,31.55,3.00,0.371,1.22,24,12,4.70,76.43,20.67,51.36,624.63
OCT,8,11,34.95,3.05,0.312,1.51,24,14,4.73,75.40,22.10,47.17,624.46
OCT,8,12,36.48,2.69,0.352,1.39,27,12,4.50,69.56,23.29,44.45,624.07
OCT,8,13,35.97,3.23,0.473,2.48,20,10,3.91,83.65,24.33,42.10,623.39
OCT,8,14,36.26,3.62,0.359,1.73,21,16,3.87,86.30,25.02,41.15,622.75
OCT,8,15,37.78,7.98,0.331,1.38,18,14,4.05,90.05,25.99,38.09,622.09
OCT,8,16,35.79,6.62,0.368,2.16,21,13,4.07,82.28,26.00,37.80,621.70
OCT,8,17,36.15,2.80,0.313,2.04,30,8,4.51,82.79,25.83,38.27,621.62
OCT,8,18,32.75,2.10,0.340,2.74,41,5,4.17,70.81,25.22,39.37,621.78
OCT,8,19,23.68,2.05,0.501,5.96,43,4,3.51,79.60,24.10,41.97,622.15
OCT,8,20,19.47,1.50,0.416,5.96,46,3,3.11,67.31,22.86,46.19,622.62
OCT,8,21,18.50,1.55,0.345,4.56,37,6,2.77,71.11,21.54,50.28,623.12
OCT,8,22,15.13,1.91,0.290,4.68,36,8,2.38,78.69,19.94,57.80,623.62
OCT,8,23,13.89,2.15,0.200,3.58,26,8,3.31,75.27,18.66,64.53,623.89
OCT,9,0,16.56,1.87,0.146,1.42,18,9,2.97,78.22,17.99,69.39,623.71
OCT,9,1,18.00,2.23,0.122,0.30,4,10,2.29,86.51,17.62,72.06,623.47
OCT,9,2,13.33,1.98,0.131,2.55,11,9,1.99,82.66,17.18,75.73,623.17
OCT,9,3,11.70,1.64,0.129,3.72,14,8,3.00,86.88,16.76,78.77,622.83
OCT,9,4,16.70,1.59,0.122,1.30,10,9,2.94,78.62,17.10,78.46,622.75
OCT,9,5,18.57,5.63,0.141,1.55,11,11,3.52,64.17,17.54,77.11,622.78
OCT,9,6,9.51,4.17,0.573,7.20,16,8,2.44,88.88,16.53,79.70,622.98
OCT,9,7,5.65,2.44,0.665,8.81,47,6,2.52,82.60,15.74,83.33,623.29
OCT,9,8,11.28,2.33,0.693,6.32,34,9,2.53,79.20,16.99,77.70,623.51
OCT,9,9,21.40,2.24,0.491,4.13,31,10,2.95,92.50,19.48,67.31,623.85
OCT,9,10,31.91,1.02,0.392,2.03,28,12,4.46,83.07,21.76,56.20,623.90
OCT,9,11,37.80,1.18,0.308,2.00,32,11,4.94,81.32,23.19,51.06,623.82
OCT,9,12,43.49,0.90,0.364,2.82,30,6,4.82,89.88,24.40,47.30,623.55
OCT,9,13,47.58,1.16,0.353,2.33,18,7,3.63,77.22,25.68,43.07,622.72
OCT,9,14,52.91,1.73,0.314,1.81,16,12,2.93,89.90,27.18,38.94,621.84
OCT,9,15,54.96,2.97,0.265,2.32,12,14,2.97,111.70,28.33,35.72,620.95
OCT,9,16,55.97,2.01,0.244,1.65,20,11,2.41,83.67,29.16,33.27,620.48
OCT,9,17,50.28,5.77,0.263,2.27,26,7,1.73,147.58,28.72,32.23,620.25
OCT,9,18,47.33,6.18,0.258,3.30,27,8,1.66,240.86,28.05,33.99,620.22
OCT,9,19,30.03,3.99,0.412,11.54,47,9,2.06,252.81,26.03,40.61,620.27
OCT,9,20,18.81,3.02,0.462,14.98,51,8,1.64,278.66,24.20,48.00,620.45
OCT,9,21,10.67,3.69,0.578,17.48,66,9,1.65,180.45,23.56,49.88,621.02
OCT,9,22,20.58,6.02,0.337,6.91,46,12,2.03,60.51,23.78,46.43,621.58
OCT,9,23,16.60,6.38,0.303,6.70,29,12,1.98,100.59,22.54,51.32,621.89
OCT,10,0,16.64,1.88,0.175,4.87,33,11,3.06,83.88,21.18,57.27,621.96
OCT,10,1,15.83,2.88,0.165,4.79,21,9,3.48,78.54,20.54,60.45,621.89
OCT,10,2,22.86,2.67,0.122,0.53,125,8,2.36,85.98,19.54,64.01,621.97
OCT,10,3,18.34,3.51,0.122,2.48,10,9,2.12,109.82,18.88,67.33,621.80
OCT,10,4,5.80,5.88,0.136,10.03,17,8,2.10,109.43,18.03,71.76,621.74
OCT,10,5,1.23,7.03,0.186,12.76,37,8,2.13,109.76,17.46,74.31,621.77
OCT,10,6,2.70,5.61,0.443,11.72,35,19,2.36,115.67,17.00,77.21,622.16
OCT,10,7,1.22,6.40,0.797,13.56,53,16,2.47,95.18,17.02,77.67,622.52
OCT,10,8,1.22,5.63,0.832,10.65,58,25,2.25,111.48,17.43,76.53,622.89
OCT,10,9,11.23,5.93,0.592,6.35,40,17,2.50,97.55,20.10,66.77,623.29
OCT,10,10,23.41,4.43,0.345,2.75,27,15,2.93,82.92,21.97,60.49,623.48
OCT,10,11,30.84,2.72,0.319,2.37,19,14,2.83,85.95,23.93,53.82,623.29
OCT,10,12,37.45,2.79,0.306,2.70,18,13,2.51,81.79,26.03,45.01,622.78
OCT,10,13,44.71,3.21,0.319,3.53,15,16,2.64,93.74,27.75,37.67,621.91
OCT,10,14,41.32,4.21,0.216,2.44,13,17,3.11,85.26,29.08,28.35,620.99
OCT,10,15,39.45,3.85,0.176,1.37,9,15,2.79,94.45,30.22,23.56,620.17
OCT,10,16,41.08,4.97,0.141,0.52,19,2,2.33,151.55,31.24,20.78,619.61
OCT,10,17,41.61,6.37,0.122,0.90,18,2,2.61,94.59,30.55,20.07,619.37
OCT,10,18,35.70,4.91,0.324,5.35,30,4,2.54,126.08,29.21,24.90,619.58
OCT,10,19,19.63,1.99,0.503,8.42,49,7,3.43,163.85,26.06,44.77,619.94
OCT,10,20,15.82,5.17,0.416,6.15,47,9,3.45,159.93,24.18,55.03,620.34
OCT,10,21,18.66,4.22,0.372,4.32,41,11,2.01,143.61,23.21,58.01,620.95
OCT,10,22,18.92,5.02,0.273,3.73,35,8,1.78,118.65,22.91,59.38,621.83
OCT,10,23,18.24,8.67,0.206,2.75,25,9,1.92,96.83,22.61,59.97,622.18
OCT,11,0,18.33,3.03,0.142,1.44,22,13,2.39,147.46,21.99,61.95,622.25
OCT,11,1,18.37,0.90,0.133,0.30,22,11,3.19,157.41,21.49,62.77,622.09
OCT,11,2,16.89,0.90,0.133,0.30,14,9,2.17,164.61,20.89,65.18,622.08
OCT,11,3,13.89,1.04,0.155,0.30,12,9,1.39,199.38,20.37,67.71,621.95
OCT,11,4,14.77,1.83,0.167,1.85,13,8,1.40,189.06,19.86,73.44,621.93
OCT,11,5,18.46,1.35,0.182,1.01,18,10,1.43,230.33,19.15,78.98,622.13
OCT,11,6,6.71,1.60,0.292,6.37,27,13,1.35,249.39,18.66,81.32,622.33
OCT,11,7,1.22,2.05,0.488,8.53,30,12,1.50,239.98,18.06,84.71,622.72
OCT,11,8,1.22,1.67,0.562,5.98,37,12,1.80,240.64,19.03,81.17,623.17
OCT,11,9,22.92,1.22,0.251,1.14,20,18,1.62,276.16,21.15,72.57,623.38
OCT,11,10,27.52,1.93,0.294,3.17,17,19,1.99,215.36,23.28,64.45,623.42
OCT,11,11,42.62,2.13,0.232,1.04,24,18,2.06,234.86,24.83,57.87,623.23
OCT,11,12,49.43,3.37,0.332,1.23,20,18,1.86,175.81,26.49,49.19,622.70
OCT,11,13,53.29,8.73,0.319,1.86,11,24,2.15,184.40,28.35,39.66,621.75
OCT,11,14,48.67,4.94,0.329,2.69,21,21,2.70,121.63,29.48,34.33,620.86
OCT,11,15,45.29,4.74,0.277,2.16,35,15,3.75,73.20,30.72,24.93,620.27
OCT,11,16,47.03,5.85,0.270,2.16,52,14,3.87,67.45,31.51,22.11,619.75
OCT,11,17,36.29,15.67,0.213,2.42,49,11,4.43,65.02,31.76,15.77,619.53
OCT,11,18,31.98,9.92,0.148,2.78,52,9,5.16,48.16,30.48,13.40,619.72
OCT,11,19,23.52,18.21,0.266,6.38,58,9,5.04,56.62,28.46,15.46,620.25
OCT,11,20,25.89,22.55,0.176,4.10,53,11,4.93,56.96,26.74,19.39,620.74
OCT,11,21,22.45,7.15,0.201,4.61,47,12,3.87,65.07,25.11,25.19,621.39
OCT,11,22,20.14,10.95,0.178,3.85,46,7,3.64,67.07,23.13,37.15,622.30
OCT,11,23,22.77,12.33,0.164,1.27,46,5,2.89,88.10,21.96,50.13,622.88
OCT,12,0,20.86,2.03,0.150,0.37,28,13,2.96,82.60,20.17,58.63,622.86
OCT,12,1,20.44,0.99,0.122,0.30,24,14,2.76,94.34,19.51,61.95,623.02
OCT,12,2,12.00,2.73,0.150,4.66,23,10,2.11,83.93,19.04,64.54,623.14
OCT,12,3,17.60,3.90,0.122,2.57,17,10,2.41,64.37,18.95,67.61,622.68
OCT,12,4,14.51,3.75,0.122,3.48,18,14,1.43,154.49,18.50,69.71,622.59
OCT,12,5,6.82,4.30,0.172,7.48,26,13,2.07,135.51,18.08,72.78,623.03
OCT,12,6,5.62,3.79,0.266,7.99,25,19,2.40,82.89,17.77,74.64,623.01
OCT,12,7,1.22,2.78,0.531,9.56,46,15,2.52,148.14,17.27,76.85,623.31
OCT,12,8,2.01,2.85,0.708,9.49,38,20,2.82,106.98,18.24,73.16,623.67
OCT,12,9,13.87,4.70,0.609,7.77,48,22,2.84,85.47,19.75,67.46,623.74
OCT,12,10,22.77,1.64,0.440,3.68,32,18,3.85,93.37,21.44,61.96,623.90
OCT,12,11,29.96,0.90,0.407,4.25,35,18,4.20,87.61,23.52,55.26,623.78
OCT,12,12,35.53,1.47,0.421,5.16,29,18,4.17,90.94,25.21,46.43,623.32
OCT,12,13,40.61,1.08,0.402,4.51,38,19,4.16,92.13,26.06,42.18,622.71
OCT,12,14,42.00,1.62,0.440,4.64,24,17,4.16,96.74,27.63,36.23,621.95
OCT,12,15,45.57,2.18,0.356,3.93,29,13,3.74,88.57,28.72,33.49,621.30
OCT,12,16,47.75,2.74,0.303,3.67,29,18,3.13,84.60,28.87,32.83,620.92
OCT,12,17,43.63,1.43,0.324,3.25,30,3,3.50,80.07,28.93,32.61,620.54
OCT,12,18,37.23,1.39,0.313,3.47,34,7,3.31,78.59,28.04,35.06,620.62
OCT,12,19,25.90,3.14,0.277,3.50,36,5,4.49,45.89,25.82,44.36,620.90
