DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,3,8,0.0151,0.0048,0.445,0.0156,37,28,1.14,76.11,18.46
SEP,3,9,0.0198,0.0574,0.474,0.0167,43,21,1.95,117.49,19.95
SEP,3,10,0.0334,0.0961,0.228,0.0088,53,36,3.72,88.81,22.13
SEP,3,11,0.0415,0.0495,0.447,0.0061,42,43,3.77,71.75,23.41
SEP,3,12,0.0454,0.0424,0.318,0.0059,25,24,3.68,75.17,25.2
SEP,3,13,0.0522,0.0224,0.35,0.0047,24,26,3.43,77.73,26.77
SEP,3,14,0.053,0.0291,0.322,0.0051,17,16,2.72,71.46,28.27
SEP,3,15,0.0513,0.0305,NA,0.0044,17,14,4.02,62.95,28.97
SEP,3,16,0.0528,0.0355,NA,0.0066,18,16,2.49,89.49,30.03
SEP,3,17,0.0493,0.0232,NA,0.0078,21,24,2.24,108.06,30.73
SEP,3,18,0.0499,0.0324,NA,0.0087,38,25,2.61,94.26,30.16
SEP,3,19,0.0436,0.0752,NA,0.0079,35,24,2.66,76.42,29.59
SEP,3,20,0.0318,0.0098,0.159,NA,28,25,2.67,56.48,28.06
SEP,3,21,0.0287,0.0026,NA,NA,26,16,3.26,51.75,25.84
SEP,3,22,0.0264,0.0155,NA,0.0071,26,16,3.35,61.5,24.21
SEP,3,23,0.0149,0.1895,0.28,0.0179,40,16,2.13,88.94,22.66
SEP,4,0,0.0125,0.1414,NA,0.0205,55,37,3.15,92.34,21.68
SEP,4,1,0.0127,0.1183,NA,0.021,62,65,3.89,82.13,20.94
SEP,4,2,0.0184,0.0916,NA,NA,32,34,2.66,62.35,20.35
SEP,4,3,0.0242,0.0064,NA,NA,19,17,1.67,74.54,20.04
SEP,4,4,0.0148,0.0117,NA,NA,21,13,1.25,210.04,19.12
SEP,4,5,0.0157,0.0088,NA,0.011,27,21,1.29,135.64,18.52
SEP,4,6,0.0144,0.0301,NA,0.013,32,22,2.19,81.37,18.26
SEP,4,7,0.013,0.1221,NA,0.0162,57,24,3.87,85.95,18.45
SEP,4,8,0.0155,0.0947,NA,0.0136,44,NA,3.45,85.74,19.46
SEP,4,9,0.0243,0.0819,NA,0.0061,35,45,4.09,78.5,20.79
SEP,4,10,0.0318,0.0408,NA,0.003,26,21,5.01,69.13,22.58
SEP,4,11,0.0359,0.0101,NA,0.0031,18,15,4.51,67.22,23.76
SEP,4,12,0.0378,0.0124,NA,0.0033,13,12,4.47,73.79,25.39
SEP,4,13,0.0389,0.0337,NA,0.0043,21,10,4.87,92.01,26.47
SEP,4,14,0.0388,0.0486,NA,0.0069,32,20,4.41,83.86,27
SEP,4,15,0.0408,0.0211,NA,0.0041,23,22,4.11,66.84,27.21
SEP,4,16,0.0393,0.0351,NA,0.0063,25,14,3.86,65.85,27.04
SEP,4,17,0.0346,0.008,NA,0.0041,26,17,5.18,63.61,26.24
SEP,4,18,0.0224,0.0211,NA,0.0073,46,22,5.75,70.59,21.72
SEP,4,19,0.0271,0.0038,NA,0.0042,20,28,5.29,50.2,20.65
SEP,4,20,0.0278,0.0021,NA,0.0039,7,9,5.07,52.97,20.84
SEP,4,21,0.0289,0.0015,NA,NA,5,6,5.18,54.72,20.31
SEP,4,22,0.0291,0.0014,NA,NA,5,2,4.4,68.3,19.65
SEP,4,23,0.0292,0.0013,NA,NA,5,3,4.65,51.26,19.73
SEP,5,0,0.0295,0.0013,NA,NA,9,8,3.79,58.84,19.87
SEP,5,1,0.0297,0.0023,NA,0.0033,9,9,4.23,53.07,19.97
SEP,5,2,0.0312,0.0015,NA,NA,6,9,4.07,56.36,19.45
SEP,5,3,0.0243,0.0409,NA,0.0079,16,8,2.76,84.36,18.75
SEP,5,4,0.024,0.0793,NA,0.0064,13,23,3.59,75,18.37
SEP,5,5,0.0208,0.0544,NA,0.0087,13,4,2.6,74.83,18.13
SEP,5,6,0.0196,0.0636,NA,0.0093,23,15,2.63,81.17,17.97
SEP,5,7,0.0208,0.0774,NA,0.0066,10,10,4.14,72.71,17.89
SEP,5,8,0.0168,0.0573,NA,0.0105,14,9,2.23,92.01,18.43
SEP,5,9,0.0222,0.0609,NA,0.0072,19,22,3.46,74.13,19.5
SEP,5,10,0.029,0.0312,NA,0.0045,6,14,4.7,67.98,21.16
SEP,5,11,0.0344,0.0151,NA,0.0043,11,13,4.91,66.71,22.34
SEP,5,12,0.0378,0.025,NA,0.005,15,10,4.01,72.94,23.09
SEP,5,13,0.0354,0.0635,NA,0.0103,30,11,4.6,94.32,24.34
SEP,5,14,0.0383,0.0365,NA,0.0088,33,29,4.3,91.27,24.76
SEP,5,15,0.0368,0.035,NA,0.0053,20,22,3.42,67.83,24.68
SEP,5,16,0.0358,0.0356,NA,0.0043,13,10,4.26,75.34,24.62
SEP,5,17,0.0364,0.035,NA,0.0054,11,9,4.26,75.74,24.54
SEP,5,18,0.0329,0.0342,NA,NA,13,9,3.55,68.5,24.01
SEP,5,19,0.0255,0.025,NA,0.0088,55,15,3,70.15,23.29
SEP,5,20,0.0222,0.0425,NA,0.0087,21,17,4.27,87.27,21.66
SEP,5,21,0.024,0.0989,NA,0.0067,32,23,3.54,68.4,21.63
SEP,5,22,0.0226,0.0513,NA,NA,23,25,3.41,68.85,21.36
SEP,5,23,0.0214,0.085,NA,0.0058,24,13,3.42,68.99,21.14
SEP,6,0,0.0216,0.1065,NA,NA,11,14,4.5,73.49,20.62
SEP,6,1,0.0197,0.1993,NA,NA,20,12,3.92,77.97,20.2
SEP,6,2,0.0231,0.1584,NA,0.0049,10,11,3.78,80.1,20.16
SEP,6,3,0.0155,0.0911,NA,0.0123,10,10,3.62,79.71,19.52
SEP,6,4,0.0154,0.1044,NA,0.0119,13,16,3.22,78.69,19.27
SEP,6,5,0.02,0.1954,NA,NA,12,16,2.8,79.61,19.21
SEP,6,6,0.0148,0.0451,NA,0.0099,10,12,2.61,90.57,18.92
SEP,6,7,0.0195,0.0524,NA,NA,16,19,3.2,65.39,19.14
SEP,6,8,0.0223,0.0059,NA,0.0046,7,12,2.23,49.78,19.75
SEP,6,9,0.0271,0.0122,NA,0.003,2,11,3.58,68.52,20.96
SEP,6,10,0.0296,0.0177,NA,0.003,11,8,4.22,64.64,21.78
SEP,6,11,0.03,0.0312,NA,0.0047,10,7,3.52,78,22.52
SEP,6,12,0.0307,0.0393,NA,0.0068,18,10,3.78,98.21,23.99
SEP,6,13,0.0348,0.0422,NA,0.0049,18,19,4.48,78.22,24.79
SEP,6,14,0.0368,0.0269,NA,0.0036,12,13,4.54,70.56,25.64
SEP,6,15,0.0352,0.0074,NA,0.0033,7,13,4.26,57.65,25.72
SEP,6,16,0.0308,0.0029,NA,0.0043,13,8,3.99,98.53,23.56
SEP,6,17,0.0334,0.0079,NA,NA,2,4,4.18,88.29,25.87
SEP,6,18,0.0328,0.0028,NA,0.003,13,5,4.84,59.31,24.67
SEP,6,19,0.0285,0.0014,NA,0.0035,6,6,4.56,54.04,23.55
SEP,6,20,0.0257,0.0012,NA,NA,8,7,4.27,55.12,22.46
SEP,6,21,0.0246,0.0013,NA,0.004,6,8,4.04,45.7,21.85
SEP,6,22,0.0245,0.0012,NA,NA,2,8,3.89,55.04,21.23
SEP,6,23,0.0235,0.0013,NA,0.0031,4,6,3.22,52.76,20.54
SEP,7,0,0.0198,0.031,NA,NA,7,4,1.7,62.87,20.08
SEP,7,1,0.0206,0.0024,NA,0.0046,7,4,1.24,154.95,19.83
SEP,7,2,0.0189,0.0016,NA,NA,8,6,0.99,240.06,19.53
SEP,7,3,0.0177,0.0012,NA,0.0062,5,6,1.13,105.89,19.44
SEP,7,4,0.0161,0.0176,NA,NA,6,5,1.27,104.9,19.64
SEP,7,5,0.0124,0.0137,NA,0.0098,13,9,1.73,109.47,18.51
SEP,7,6,0.0117,0.0277,NA,0.0109,17,16,1.96,94.29,18.16
SEP,7,7,0.0086,0.0349,NA,0.0151,17,11,1.94,119.13,17.59
SEP,7,8,0.0102,0.008,NA,0.0135,14,10,0.67,180.34,18.52
SEP,7,9,0.0175,0.0335,NA,0.0121,18,8,1.71,82.3,20.49
SEP,7,10,0.0238,0.0478,NA,0.0068,18,9,3.99,73.31,21.54
SEP,7,11,0.0308,0.03,NA,0.0058,15,12,4.86,81.58,23.11
