DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,14,4,0.0276,0.0233,NA,NA,18,10,2.6,75.03,17.45
SEP,14,5,0.0275,0.027,NA,0.0061,18,15,2.38,104.12,16.77
SEP,14,6,0.0245,0.0326,NA,0.0092,16,15,1.93,88.64,16.44
SEP,14,7,0.0163,0.0308,NA,0.0166,34,20,1.26,109.38,16.18
SEP,14,8,0.0194,0.0193,NA,0.0149,24,27,1.41,87.37,17.46
SEP,14,9,0.0329,0.0567,NA,0.0101,21,14,1.64,102.59,19.85
SEP,14,10,0.04,NA,NA,0.0053,21,12,2.95,61.01,21.21
SEP,14,11,0.0438,NA,NA,0.0058,11,11,2.54,112.81,23.01
SEP,14,12,0.0473,0.0214,NA,0.005,22,10,3.43,77.62,23.85
SEP,14,13,0.05,0.0045,NA,0.0034,18,18,3.84,62.43,25.01
SEP,14,14,0.0503,0.013,NA,0.0058,16,12,2.77,91.73,26.12
SEP,14,15,0.0508,0.011,NA,0.0063,18,21,2.75,85.89,26.41
SEP,14,16,0.0526,0.0101,NA,0.006,17,17,2.23,115.54,27.19
SEP,14,17,0.0504,0.0085,NA,0.0068,23,16,2.99,92.16,27.04
SEP,14,18,0.0482,0.0087,NA,0.0056,28,15,3,72.19,26.59
SEP,14,19,0.0413,NA,NA,0.0053,17,12,3.52,51.69,25.61
SEP,14,20,0.038,NA,NA,0.0062,20,18,3.6,53.29,24.36
SEP,14,21,0.032,0.0656,NA,NA,21,11,3.61,62.69,23.19
SEP,14,22,0.0331,NA,NA,NA,22,17,3.05,51.12,22.69
SEP,14,23,0.0345,0.0159,NA,0.0055,10,7,3.47,62.15,22.13
SEP,15,0,0.0284,0.0468,NA,0.0075,22,16,2.29,97.14,21.15
SEP,15,1,0.029,0.0351,NA,NA,22,24,2.86,87.75,20.61
SEP,15,2,0.0274,0.0489,NA,NA,20,15,1.75,83.39,20.33
SEP,15,3,0.0263,0.0399,NA,NA,18,20,2.37,94.08,19.84
SEP,15,4,0.0231,0.0209,NA,0.0084,9,17,2.86,87.5,19.13
SEP,15,5,0.0255,0.073,NA,0.0069,15,20,2.91,78.06,18.88
SEP,15,6,0.0276,0.1111,NA,NA,8,6,3.27,77.85,18.97
SEP,15,7,0.0261,0.0279,NA,0.0083,13,9,3.05,61.88,19.19
SEP,15,8,0.0227,0.0163,NA,0.0115,8,12,2.41,95.61,19.47
SEP,15,9,0.0241,0.014,NA,0.0118,21,15,2.04,108.15,20.81
SEP,15,10,0.0304,0.0057,NA,0.0084,19,22,2.02,104.53,21.87
SEP,15,11,0.0367,NA,NA,0.0042,13,13,2.03,67.24,23.08
SEP,15,12,0.0397,0.0059,NA,0.004,13,12,2.58,91.67,24.55
SEP,15,13,0.0438,NA,NA,NA,13,10,2.63,72.1,25.81
SEP,15,14,0.0361,NA,NA,0.0062,10,NA,2.81,117.15,25.77
SEP,15,15,0.0445,NA,NA,0.0043,9,6,2.8,71.48,26.33
SEP,15,16,0.0442,NA,NA,0.0044,8,7,2.55,89.51,27.67
SEP,15,17,0.0437,NA,NA,0.0053,11,7,2.84,129.98,27.47
SEP,15,18,0.039,NA,NA,0.0075,22,6,4.17,301.21,24.39
SEP,15,19,0.0308,NA,NA,0.0118,25,8,2.74,307.98,22.47
SEP,15,20,0.0237,NA,NA,0.0156,12,10,2.02,274.66,22.44
SEP,15,21,0.029,0.0069,NA,0.0059,12,9,3.94,52.43,22.44
SEP,15,22,0.0253,0.0404,NA,0.0056,21,8,3.72,58.2,21.62
SEP,15,23,0.0311,NA,NA,0.0036,12,8,3.55,55.58,21.16
SEP,16,0,0.0311,NA,NA,0.0033,3,7,3.19,74.94,20.54
SEP,16,1,0.0268,0.032,NA,NA,16,6,3.75,91.6,19.77
SEP,16,2,0.0247,0.0642,NA,0.0055,14,10,3.27,91.79,19.44
SEP,16,3,0.0223,0.059,NA,NA,16,17,2.9,92.59,19.27
SEP,16,4,0.023,0.0659,NA,NA,18,20,3.34,74.7,19.12
SEP,16,5,0.0252,0.0616,NA,NA,8,14,2.4,76.21,19
SEP,16,6,0.0203,0.0358,NA,NA,17,15,2.1,95.01,18.36
SEP,16,7,0.0111,0.0029,NA,0.0125,23,16,1.94,125.24,17.25
SEP,16,8,0.0124,0.0581,NA,0.0129,32,16,2.07,114.22,18.24
SEP,16,9,0.0174,0.0423,NA,0.011,42,33,2.42,110.11,19.38
SEP,16,10,0.029,0.094,NA,0.0058,24,24,2.88,85.26,21.99
SEP,16,11,0.0336,0.0148,NA,0.0046,15,17,3.07,97.85,23.28
SEP,16,12,0.0363,0.0218,NA,0.0046,17,13,3.01,92.14,23.91
SEP,16,13,0.038,NA,NA,0.0038,9,13,3.09,71.6,24.58
SEP,16,14,0.0381,NA,NA,0.0037,5,10,2.27,109.5,25.45
SEP,16,15,0.0383,NA,NA,0.0059,8,5,1.92,189.37,26.55
SEP,16,16,0.0379,NA,NA,0.0049,13,4,4.4,266.6,25.33
SEP,16,17,0.0345,NA,NA,0.006,9,8,3.84,262.57,24.17
SEP,16,18,0.0311,NA,NA,0.007,9,10,3.45,300.85,24.08
SEP,16,19,0.0242,NA,NA,0.0095,13,11,2.26,311.56,23.15
SEP,16,20,0.0189,NA,NA,0.0125,10,11,1.18,237.39,22.89
SEP,16,21,0.0225,0.0089,NA,0.0081,13,7,3.37,101.7,22.6
SEP,16,22,0.0277,NA,NA,0.0067,16,10,3.28,113.81,21.13
SEP,16,23,0.0276,NA,NA,0.0052,9,14,2.48,101.42,20.27
SEP,17,0,0.0296,NA,NA,0.0057,6,12,1.49,115.58,19.59
SEP,17,1,0.0285,NA,NA,0.005,7,7,1.08,130.51,19.89
SEP,17,2,0.0276,NA,NA,0.0059,10,4,1.01,102.58,19.62
SEP,17,3,0.0225,NA,NA,0.0059,11,5,1.59,110.77,19.36
SEP,17,4,0.0154,NA,NA,NA,19,15,1.4,108.89,19.02
SEP,17,5,0.0099,NA,NA,0.0143,14,7,1.16,125.38,18.36
SEP,17,6,0.008,NA,NA,0.0156,18,16,1.55,129.42,17.96
SEP,17,7,0.0075,0.013,NA,0.0165,20,14,0.67,92.52,18.08
SEP,17,8,0.009,0.012,NA,0.0127,24,14,1.44,132.71,19.05
SEP,17,9,0.0165,0.023,NA,0.01,24,17,2.73,96.73,20.42
SEP,17,10,0.0278,0.0284,NA,0.0062,23,25,3.05,81.86,21.99
SEP,17,11,0.0329,0.0229,0.606,0.0041,15,13,3.38,71.22,22.75
SEP,17,12,0.0348,0.0192,0.287,0.006,14,11,3.06,90.61,24.01
SEP,17,13,0.0369,0.0147,0.653,0.0071,11,17,2.39,99.79,25.13
SEP,17,14,0.0405,0.0216,0.662,0.006,15,13,1.59,107.88,26.45
SEP,17,15,0.0418,0.0096,0.595,0.0046,14,16,1.87,109.03,27.08
SEP,17,16,0.0406,0.0112,0.25,0.005,16,15,2.14,94.45,27.8
SEP,17,17,0.0379,NA,0.275,0.0055,14,14,1.9,136.2,27.93
SEP,17,18,0.0348,NA,0.299,0.0068,12,9,2.57,107.91,27.71
SEP,17,19,0.0368,NA,0.254,0.006,16,5,4.04,66.61,26.32
SEP,17,20,0.0309,0.074,0.257,NA,18,8,3.06,64.68,25.2
SEP,17,21,0.0232,0.002,0.369,0.0124,18,13,1.6,147.34,24.21
SEP,17,22,0.023,NA,0.251,NA,12,12,2.49,77.21,22.95
SEP,17,23,0.019,0.0355,0.224,0.0087,18,NA,2.87,94.86,21.48
SEP,18,0,0.0212,0.0094,0.198,NA,18,NA,3.24,87.15,21.07
SEP,18,1,0.0192,0.0126,0.196,NA,13,NA,3.86,87.39,20.49
SEP,18,2,0.0211,0.0303,0.194,NA,13,NA,3.85,80.86,20.06
SEP,18,3,0.0234,0.0453,0.181,0.0062,10,NA,4.33,75.92,19.91
SEP,18,4,0.0267,0.0104,0.234,NA,7,NA,2.8,59.09,19.27
SEP,18,5,0.027,0.0121,0.177,NA,6,NA,1.86,83.79,19.13
SEP,18,6,0.0224,0.043,0.193,0.0079,11,NA,2.05,87.83,18.99
SEP,18,7,0.0222,0.1371,0.239,0.0094,16,NA,2.85,77.53,19.12
SEP,18,8,0.0252,0.0134,0.256,0.007,9,NA,3.12,55.52,19.42
SEP,18,9,0.0294,0.0914,0.248,0.0051,6,NA,4.01,72.95,20.69
SEP,18,10,0.0307,0.0474,0.284,0.0054,19,NA,3.49,69.2,21.48
SEP,18,11,0.0355,0.0494,0.242,0.0038,9,NA,4.23,69.93,22.63
SEP,18,12,0.0376,0.039,0.255,0.0046,12,NA,3.91,73.23,23.17
SEP,18,13,0.0431,0.0347,0.263,0.004,12,NA,4.24,70.29,23.97
SEP,18,14,0.0445,0.0068,0.276,0.0042,11,7,4.79,60.62,24.58
SEP,18,15,0.0467,NA,0.243,0.0039,14,5,4.92,57.17,25.14
SEP,18,16,0.0472,NA,0.213,0.0034,15,4,5.84,57.08,25.11
SEP,18,17,0.045,NA,0.231,0.0036,24,8,5.57,55.08,25.33
SEP,18,18,0.0447,NA,0.205,0.0043,24,11,5.37,55.99,25.15
SEP,18,19,0.0406,NA,0.262,NA,17,12,4.6,69.03,24.37
SEP,18,20,0.036,0.1299,0.368,NA,16,12,4.13,63.18,23.61
SEP,18,21,0.0345,0.267,0.286,0.0075,30,16,5.07,71.48,22.16
SEP,18,22,0.0303,0.0518,0.307,NA,21,10,3.92,63.01,20.81
SEP,18,23,0.0299,0.1311,0.244,NA,17,8,4.35,72.4,19.8
SEP,19,0,0.0297,0.0731,0.232,NA,12,10,3.49,74.97,18.99
SEP,19,1,0.0279,0.0222,0.204,NA,10,8,2.96,89.78,18.22
SEP,19,2,0.0316,0.1095,0.233,NA,8,6,4.46,69.51,18.22
SEP,19,3,0.0331,0.0528,0.283,NA,12,10,4.2,62.19,18.05
SEP,19,4,0.0342,0.0867,0.227,NA,13,13,4.48,76.63,17.9
SEP,19,5,0.0335,0.1426,0.232,NA,6,9,4.62,77.35,17.77
SEP,19,6,0.0302,0.0202,0.218,NA,5,5,3.73,84.31,17.56
SEP,19,7,0.0285,0.0135,0.238,0.0073,8,10,3.16,83.99,17.71
SEP,19,8,0.0257,0.0201,0.298,0.0078,16,11,3.3,91.96,17.97
SEP,19,9,0.0313,0.0124,0.252,0.0055,10,15,4.18,80.42,19.08
SEP,19,10,0.0329,0.0413,0.297,0.007,10,10,4.21,87.1,20.52
SEP,19,11,0.0351,0.0381,0.302,0.0071,26,18,3.71,77.1,21.65
SEP,19,12,0.0403,0.0276,0.292,0.0047,23,17,3.73,67.21,22.1
SEP,19,13,0.0413,0.0196,0.284,0.0045,8,4,3.27,59.95,22.74
SEP,19,14,0.0412,NA,0.277,NA,14,5,2.93,59.7,22.96
SEP,19,15,0.043,NA,0.279,0.0037,9,6,3.01,50.57,23.16
SEP,19,16,0.0429,NA,0.29,0.0038,10,6,2.9,59.86,23.57
SEP,19,17,0.043,NA,0.257,0.0034,11,9,3.33,55.1,23.51
SEP,19,18,0.0409,NA,0.264,0.0031,14,8,3.68,57.55,22.53
SEP,19,19,0.0384,NA,0.262,0.0032,15,10,3.31,52.81,21.64
SEP,19,20,0.0359,NA,0.263,NA,13,11,3.13,53.38,20.83
SEP,19,21,0.0352,0.1068,0.3,NA,13,5,3.22,79.65,20.43
SEP,19,22,0.0313,0.0177,0.275,NA,18,5,3.18,80.05,19.37
SEP,19,23,0.03,0.0216,0.279,NA,16,9,3.64,81.04,18.48
SEP,20,0,0.0311,0.0373,0.25,NA,18,11,3.89,82.62,17.88
SEP,20,1,0.03,0.0712,0.266,NA,25,13,3.09,75.88,17.42
SEP,20,2,0.0283,0.0355,0.242,NA,15,13,2.23,63.8,17.19
SEP,20,3,0.0296,0.0488,0.228,0.0064,17,11,2.46,66.53,17.3
SEP,20,4,0.0312,0.0019,0.202,NA,12,10,2.78,54.75,17.12
SEP,20,5,0.0326,0.0631,0.219,NA,16,9,2.65,78.73,17.23
SEP,20,6,0.026,0.0599,0.23,NA,14,15,1.82,88.04,15.95
SEP,20,7,0.0196,0.0435,0.302,0.0095,17,10,1.66,89.63,15.37
SEP,20,8,0.0251,0.0206,0.296,0.0069,16,NA,1.59,66.56,16.63
SEP,20,9,0.0339,0.0526,0.27,0.0051,12,10,3.03,81.58,18.08
SEP,20,10,0.0409,0.0479,0.241,0.0038,7,11,4.65,73.82,19.51
SEP,20,11,0.0437,0.0405,0.255,NA,15,12,4.73,68.22,20.65
SEP,20,12,0.0468,0.0087,0.258,NA,11,10,3.77,59.9,22.36
SEP,20,13,0.0453, NA,0.281,0.0038,18,10,3.52,67.92,23.64
SEP,20,14,0.0454, NA,0.342,0.0046,10,12,2.7,125.97,25.26
SEP,20,15,0.0444, NA,0.329,0.0047,11,9,2.59,154.43,26.19
SEP,20,16,0.045, NA,0.293,0.0046,9,10,2.46,154.06,26.96
SEP,20,17,0.0469, NA,0.296,0.0036,11,10,2.51,128.37,26.81
SEP,20,18,0.0438, NA,0.297,0.0044,20,8,2.53,108.03,26.17
SEP,20,19,0.0401, NA,0.308,NA,22,9,2.31,57.43,24.72
SEP,20,20,0.0373, NA,0.332,0.0068,19,10,2.49,60.62,23.15
SEP,20,21,0.0396, NA,0.256,NA,17,10,3.31,52.81,22.26
SEP,20,22,0.0388,0.0466,0.248,NA,11,9,2.54,73.84,22.02
SEP,20,23,0.0362,0.0588,0.265,0.0053,11,10,2.76,85.71,21.29
SEP,21,0,0.0306,0.0366,0.319,NA,23,12,2.95,93.4,20.45
SEP,21,1,0.0255,0.0365,0.322,NA,19,16,2.21,79.74,19.42
SEP,21,2,0.0264,0.033,0.307,0.0084,19,12,2.67,90.29,18.65
SEP,21,3,0.025,0.0414,0.278,0.0078,17,11,1.62,90.9,17.64
SEP,21,4,0.0231,0.0229,0.273,0.0063,15,16,1.02,84.11,16.96
SEP,21,5,0.0233,0.0042,0.278,NA,12,16,1.17,94.52,16.75
SEP,21,6,0.0133,0.0353,0.411,0.0162,18,11,1.29,103.29,15.9
SEP,21,7,0.0123,0.025,0.448,0.0177,27,16,1.49,92.59,15.76
SEP,21,8,0.0161,0.0488,0.484,0.0157,29,17,1.85,92.44,16.78
SEP,21,9,0.0181,0.0314,0.483,0.0146,38,19,1.84,91.88,17.71
SEP,21,10,0.0271,0.0527,0.403,0.0099,34,17,2.42,91.1,19.62
SEP,21,11,0.0344,0.0357,0.445,0.0093,30,33,2.76,111.77,21.83
SEP,21,12,0.0364,0.0109,0.516,0.0139,31,21,1.77,160.31,23.55
SEP,21,13,0.0495,NA,0.525,0.0147,46,26,1.57,232.9,25.52
SEP,21,14,0.0594,NA,0.4,0.0107,40,36,1.73,218.75,26.58
SEP,21,15,0.0571,NA,0.377,0.0089,33,24,1.82,214.82,27.46
SEP,21,16,0.0558,NA,0.347,0.0079,16,16,1.42,209.6,28.78
SEP,21,17,0.0629,NA,0.414,0.0106,28,14,1.6,152,29.26
SEP,21,18,0.0569,0.0057,0.514,0.014,35,19,1.73,222.59,29.01
SEP,21,19,0.0477,0.0034,0.684,0.0209,36,16,2.26,234.47,27.79
SEP,21,20,0.0403,0.0016,0.427,0.0149,43,15,2.75,264.21,24.88
SEP,21,21,0.0402,0.0016,0.391,0.0111,36,15,2.07,246.28,22.22
SEP,21,22,0.0407,0.0013,0.326,0.0076,26,11,1.81,210.58,19.26
SEP,21,23,0.0396,0.0011,0.261,0.006,14,10,1.8,217.82,18.35
SEP,22,0,0.0388,0.001,0.251,NA,8,9,1.11,207.33,18.53
SEP,22,1,0.0381,0.0009,0.228,NA,5,9,1.29,268.91,17.99
SEP,22,2,0.0325,0.0009,0.228,0.0053,11,11,1.53,288.99,17.65
SEP,22,3,0.0237,0.0012,0.278,NA,18,13,1.44,291.35,17.6
SEP,22,4,0.029,0.0013,0.264,0.0092,18,16,1.15,271.61,17.76
SEP,22,5,0.032,0.0009,0.266,NA,15,11,0.67,236.97,17.94
SEP,22,6,0.02,0.0008,0.419,0.0153,15,11,1.18,223.97,17.55
SEP,22,7,0.0146,0.0009,0.757,0.0217,32,13,0.83,254.6,17.56
SEP,22,8,0.0142,0.0012,0.75,0.0215,29,16,0.57,211.61,18.51
SEP,22,9,0.0172,0.0027,0.688,0.0179,34,13,1.21,199.94,19.79
SEP,22,10,0.0355,0.0016,0.684,0.0152,20,17,1.14,208.24,21.97
SEP,22,11,0.0485,0.0008,0.359,0.0071,15,10,1.61,224.01,23.58
SEP,22,12,0.0515,0.0009,0.459,0.0083,16,10,1.81,233.4,25.24
SEP,22,13,0.0561,0.0009,0.372,0.0066,11,10,1.66,219.81,26.81
SEP,22,14,0.057,0.0012,0.46,0.0107,19,11,1.7,216.21,28.06
SEP,22,15,0.0637,0.0016,0.409,0.01,23,16,2.58,168.95,28.09
SEP,22,16,0.0644,0.0022,0.458,0.0124,20,19,2.03,204.11,28.99
SEP,22,17,0.0625,0.0019,0.552,0.0151,36,23,3.24,238.22,28.71
SEP,22,18,0.0447,0.0008,0.407,0.0114,58,20,3.45,295.19,23.72
SEP,22,19,0.0316,0.0007,0.44,0.0127,25,11,1.88,257.22,22.29
SEP,22,20,0.0363,0.0036,0.308,0.0097,15,11,1.84,94.62,23.15
SEP,22,21,0.0383,0.0359,0.309,NA,28,9,2.83,92.6,20.87
SEP,22,22,0.0372,0.0151,0.28,NA,25,27,1.65,93.05,20.03
SEP,22,23,0.031,0.013,0.323,NA,26,17,0.79,159.23,19.83
SEP,23,0,0.0198,0.0069,0.33,0.022,25,18,1.05,258.62,19.08
SEP,23,1,0.0114,0.0043,0.367,0.0256,28,16,0.63,230.59,19.13
SEP,23,2,0.0087,0.0043,0.34,0.0245,29,23,0.58,221.02,18.77
SEP,23,3,0.0074,0.0067,0.281,0.0231,20,16,0.67,93.08,18.05
SEP,23,4,0.0122,0.006,0.303,0.0213,17,8,1.12,157.02,18
SEP,23,5,0.0177,0.018,0.338,0.0146,25,11,0.89,120.13,17.56
SEP,23,6,0.0127,0.0086,0.466,0.0195,28,21,0.75,223.62,16.75
SEP,23,7,0.0069,0.0051,0.738,0.0238,39,21,0.51,106.6,16.36
SEP,23,8,0.0074,0.0051,1.048,0.0215,32,18,0.45,280,16.98
SEP,23,9,0.0153,0.0168,0.801,0.0239,37,11,0.66,201.34,19.64
SEP,23,10,0.0269,0.0256,0.723,0.0254,36,24,1.16,273.48,21.15
SEP,23,11,0.0423,0.0067,0.615,0.0165,42,32,1.61,241.76,22.62
SEP,23,12,0.0497,0.0034,0.463,0.01,20,18,1.59,233.08,24.11
SEP,23,13,0.0514,0.0017,0.446,0.0094,18,19,2.22,229.71,25.7
SEP,23,14,0.0521,0.0011,0.465,0.0092,15,23,1.83,242,27.47
SEP,23,15,0.0555,0.001,0.41,0.0086,14,17,2.35,250.92,28.09
SEP,23,16,0.0608,NA,0.359,0.0084,19,17,1.76,250.91,28.71
SEP,23,17,0.0559,NA,0.271,0.0064,24,22,3.17,103.25,28.32
SEP,23,18,0.0477,NA,0.374,0.0119,27,19,1.84,270.31,28.05
SEP,23,19,0.0341,NA,0.606,0.022,24,14,0.8,267.29,26.94
SEP,23,20,0.0251,0.002,0.805,0.0285,23,13,0.45,289.4,26.07
SEP,23,21,0.0294,0.002,0.539,0.0206,35,9,1.76,229.41,23.98
SEP,23,22,0.0361,0.0018,0.396,0.0123,27,10,1.63,198.14,21.49
SEP,23,23,0.0313,0.0069,0.355,0.0163,19,12,1.32,128.33,21.57
SEP,24,0,0.0213,0.0099,0.392,NA,40,22,0.84,82.58,20.94
SEP,24,1,0.0178,0.0241,0.381,0.0215,38,22,1.82,103.15,20.55
SEP,24,2,0.0169,0.0489,0.379,NA,43,22,1.44,89.09,19.73
SEP,24,3,0.0164,0.0174,0.335,0.0161,26,19,1.13,92.64,19.08
SEP,24,4,0.0168,0.0224,0.332,0.0157,25,17,0.94,94.38,18.57
SEP,24,5,0.0153,0.0176,0.337,0.0151,24,17,0.8,85.09,17.93
SEP,24,6,0.0095,0.0287,0.488,0.0202,26,21,0.46,75.21,17.44
SEP,24,7,0.0076,0.0193,0.774,0.023,44,28,0.66,100.11,17.32
SEP,24,8,0.0098,0.027,0.771,0.0221,51,20,1.04,108.96,17.97
SEP,24,9,0.0138,0.0574,0.653,0.0217,72,34,1,158.17,19.66
SEP,24,10,0.0272,0.0484,0.643,0.0216,63,56,1.21,154.31,21.74
SEP,24,11,0.0445,0.0217,0.378,0.0081,34,40,2.07,87.2,23.78
SEP,24,12,0.0504,0.0253,0.342,0.0076,23,25,2.13,102.74,25.32
SEP,24,13,0.051,0.014,0.374,0.0091,26,25,1.87,145.56,26.98
SEP,24,14,0.0482,0.0084,0.353,0.0076,24,23,2.34,211.47,27.24
SEP,24,15,0.0448,0.0023,0.396,0.0068,10,NA,1.69,183.72,28.53
SEP,24,16,0.051,0.0013,0.385,0.0057,15,11,1.58,161.49,29.43
SEP,24,17,0.051,0.0019,0.335,0.0086,23,16,1.53,194.71,29.04
SEP,24,18,0.0432,0.0021,0.509,0.0123,22,16,1.78,299.76,28.26
SEP,24,19,0.0294,0.0023,0.732,0.024,25,10,0.75,290.89,27.02
SEP,24,20,0.0218,0.0024,0.689,0.0263,46,16,1.02,200.04,25.5
SEP,24,21,0.0355,0.0145,0.351,NA,34,18,1.9,65.54,24.67
SEP,24,22,0.0339,0.0138,0.318,NA,30,19,1.4,139.42,23.42
SEP,24,23,0.0283,0.0124,0.361,NA,26,12,1.89,134.87,22.52
SEP,25,0,0.0385,0.025,0.319,NA,37,16,2.33,92.56,21.72
SEP,25,1,0.0276,0.0306,0.287,NA,38,26,1.5,82.72,21.44
SEP,25,2,0.0268,0.0284,0.27,NA,19,14,1.41,112.8,20.72
SEP,25,3,0.0256,0.0496,0.286,NA,28,14,1.76,80.73,20.53
SEP,25,4,0.0248,0.0308,0.31,NA,23,18,0.58,107.4,20.62
SEP,25,5,0.0238,0.027,0.328,NA,22,21,0.78,107.07,20.46
SEP,25,6,0.0178,0.0124,0.436,0.0139,28,20,1.32,134.91,20.09
SEP,25,7,0.0131,0.0273,0.645,0.0185,49,19,1.11,142.57,19.71
SEP,25,8,0.0144,0.0267,0.534,0.0176,55,33,0.98,92.34,19.79
SEP,25,9,0.0198,0.0232,0.558,0.0144,33,25,1.17,97.55,21.22
SEP,25,10,0.0255,0.0105,0.587,0.0138,39,26,1.52,136.18,22.04
SEP,25,11,0.0354,0.0104,0.542,0.0114,45,28,2,135.53,23.02
SEP,25,12,0.0463,0.0143,0.527,0.0111,38,31,1.82,178.65,24.63
SEP,25,13,0.0584,0.019,0.573,0.0116,44,37,1.72,227.53,25.88
SEP,25,14,0.0578,0.0183,0.421,0.01,39,37,2.48,145.15,27.12
SEP,25,15,0.0599,0.0182,0.43,0.0109,28,22,2.09,146.82,28.38
SEP,25,16,0.0607,0.0034,0.377,0.0063,23,22,1.86,159.63,29.06
SEP,25,17,0.0547,0.0047,0.347,0.0057,11,13,1.84,124.53,29.71
SEP,25,18,0.0532,0.0019,0.352,NA,24,13,2.43,83.38,29.09
SEP,25,19,0.0567,0.0347,0.424,0.0103,39,11,2.67,87.29,26.15
SEP,25,20,0.0409,0.0399,0.469,NA,45,25,2.25,93.17,24.71
SEP,25,21,0.0296,0.028,0.492,0.0209,44,25,1.87,100.79,24.16
SEP,25,22,0.0293,0.0877,0.382,0.0144,45,20,3.06,81.77,23.6
SEP,25,23,0.0273,0.0687,0.367,0.0116,48,29,3.15,78.63,22.55
SEP,26,0,0.0265,0.0405,0.361,0.0107,30,24,2.23,91.89,21.68
SEP,26,1,0.0252,0.0359,0.344,NA,29,24,1.48,97.16,20.43
SEP,26,2,0.0192,0.0198,0.364,0.012,31,23,0.86,127.56,19.24
SEP,26,3,0.0193,0.0219,0.362,NA,25,20,0.85,91.28,18.66
SEP,26,4,0.0155,0.0275,0.411,0.0148,36,18,0.82,85.7,18.2
SEP,26,5,0.0107,0.0055,0.355,0.0171,20,28,0.56,240.73,17.19
SEP,26,6,0.0078,0.0066,0.486,0.0196,22,9,0.59,175.37,16.61
SEP,26,7,0.0095,0.0155,0.545,0.0179,30,16,1.04,106.96,16.24
SEP,26,8,0.0137,0.0484,0.549,0.0163,36,23,1.69,83.75,17.31
SEP,26,9,0.0154,0.0215,0.7,0.0168,49,30,1.86,104.01,18.78
SEP,26,10,0.0291,0.0102,0.592,0.0106,55,41,2.1,120.13,20.8
SEP,26,11,0.0404,0.0074,0.543,0.0106,36,26,1.58,131.52,22.68
SEP,26,12,0.0572,0.02,0.551,0.0106,38,30,1.58,151.31,24.77
SEP,26,13,0.0629,0.016,0.544,0.0085,38,34,1.55,131.78,26.24
SEP,26,14,0.0721,0.0176,0.507,0.0087,38,28,1.77,113.52,27.18
SEP,26,15,0.0696,0.0103,0.538,0.0088,32,26,1.53,148.47,28.29
SEP,26,16,0.0593,0.0056,0.398,0.0062,19,23,1.91,146.47,29.26
SEP,26,17,0.0563,0.0022,0.333,0.0032,14,12,1.88,80.42,29.61
SEP,26,18,0.0595,0.002,0.336,0.0041,20,12,1.56,87.32,29.72
SEP,26,19,0.0527,0.0038,0.357,0.0062,28,12,1.88,53.71,28.43
SEP,26,20,0.0456,0.0032,0.36,NA,22,16,1.88,60.38,26.69
SEP,26,21,0.0425,0.0027,0.352,NA,19,14,2.17,70.53,24.93
SEP,26,22,0.0374,0.0385,0.34,NA,23,12,2.16,81.28,24.12
SEP,26,23,0.0311,0.0254,0.439,NA,25,15,1.5,131.39,23.12
SEP,27,0,0.025,0.0216,0.401,NA,39,12,1.19,105.88,21.62
SEP,27,1,0.0209,0.0159,0.414,0.0149,34,13,0.75,103.95,20.96
SEP,27,2,0.0159,0.0108,0.45,0.0176,25,18,0.61,77.98,20.34
SEP,27,3,0.0155,0.0088,0.457,0.0165,24,7,0.71,151.27,19.98
SEP,27,4,0.0137,0.0047,0.387,0.0164,27,10,0.56,143.09,18.34
SEP,27,5,0.0082,0.0085,0.396,0.0185,23,12,0.75,116.35,16.77
SEP,27,6,0.0141,0.0128,0.451,0.0146,40,11,1.03,128.51,16.54
SEP,27,7,0.01,0.019,0.599,0.0205,31,16,1.04,114.34,16.19
SEP,27,8,0.0155,0.0292,0.636,0.0152,48,28,0.74,108.18,17.38
SEP,27,9,0.0221,0.0345,0.606,0.0158,29,28,1.49,104.95,19.16
SEP,27,10,0.0346,0.0147,0.582,0.0096,26,20,1.42,129.64,21.61
SEP,27,11,0.0486,0.0156,0.535,0.0091,34,23,1.53,149.13,23.68
SEP,27,12,0.0571,0.0111,0.574,0.0098,31,22,1.56,181.81,25.76
SEP,27,13,0.0588,0.0137,0.476,0.0083,26,17,1.67,167.27,27.29
SEP,27,14,0.0584,0.0119,0.478,0.0089,21,20,1.56,165.33,28.57
SEP,27,15,0.0589,0.013,0.46,0.0078,18,15,1.54,165.84,29.92
SEP,27,16,0.0609,0.0055,0.393,NA,23,16,1.56,153.64,30.68
SEP,27,17,0.0589,0.002,0.364,0.0053,13,13,1.77,223.71,30.92
SEP,27,18,0.0586,0.002,0.387,0.0064,22,12,1.91,140.13,30.76
SEP,27,19,0.0504,0.0018,0.383,0.007,27,13,2.52,58.18,28.97
SEP,27,20,0.0283,0.0057,0.836,0.0235,29,14,1.28,199.4,27.56
SEP,27,21,0.0311,0.0059,0.608,NA,38,16,1.17,148.32,26.35
SEP,27,22,0.0381,0.0344,0.394,NA,25,16,1.88,97.68,25.12
SEP,27,23,0.0296,0.0169,0.431,0.0139,34,15,1.49,115.53,24.04
