DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP (°C),WS (m/s),WD (°),HR (%)
NOV,3,0,0.0357,0.0063,0.89,0.0102,17,4,12.8,3.14,55.25,53.96
NOV,3,1,0.0333,0.0111,0.95,0.013,33,9,12.5,1.90,56.56,55.74
NOV,3,2,0.0344,0.0056,0.86,0.0119,22,14,12.2,2.47,52.49,58.29
NOV,3,3,0.038,0.006,0.87,0.0104,14,7,12.2,3.07,51.93,60.77
NOV,3,4,0.0391,0.0084,0.92,0.01,19,7,12.2,3.05,60.98,63.13
NOV,3,5,0.0433,0.0133,0.87,0.0064,13,8,12.3,2.70,79.24,64.01
NOV,3,6,0.0359,0.0267,0.89,0.0088,18,9,11,1.24,106.80,67.86
NOV,3,7,0.0272,0.022,1.02,0.0146,25,12,10.7,1.23,106.68,70.35
NOV,3,8,0.0359,0.0215,0.95,0.0098,21,16,12.6,2.93,86.91,65.74
NOV,3,9,0.0412,0.0182,0.93,0.0081,17,16,14.6,4.68,75.94,60.46
NOV,3,10,0.0451,0.0447,0.95,0.0079,27,8,17,5.97,87.24,54.74
NOV,3,11,0.0484,0.0377,0.97,0.0081,51,20,18.7,6.31,87.96,50.21
NOV,3,12,0.0524,0.0485,0.95,0.0082,41,18,20.5,5.67,89.94,44.87
NOV,3,13,0.0558,0.0429,0.98,0.0087,41,21,22.3,4.63,80.98,40.94
NOV,3,14,0.0583,0.0325,0.97,0.0083,35,18,23.7,4.20,79.47,37.76
NOV,3,15,0.0571,0.0315,0.99,0.008,28,15,25,3.74,81.17,34.17
NOV,3,16,0.056,0.0294,1.02,0.009,36,9,25.7,3.69,85.87,33.28
NOV,3,17,0.0552,0.0215,1,0.0076,39,10,25.6,3.80,64.94,34.24
NOV,3,18,0.049,0.0072,1,0.0074,42,11,23.6,5.12,52.04,39.47
NOV,3,19,0.0421,0.006,1.01,0.0073,50,10,20.5,5.66,49.74,47.49
NOV,3,20,0.0405,0.0054,0.94,0.0056,34,9,18.5,6.77,47.35,52.53
NOV,3,21,0.0385,0.0049,0.93,0.0053,19,7,16.8,6.03,52.86,56.07
NOV,3,22,0.0372,0.0098,0.92,0.0062,19,4,15.4,6.12,55.08,58.62
NOV,3,23,0.0374,0.0064,1.16,0.0062,10,2,14.7,3.85,62.67,59.44
NOV,4,0,0.0334,0.0116,1.59,0.0083,17,5,14.5,4.25,71.50,59.56
NOV,4,1,0.0359,0.0194,1.16,0.0065,10,7,13.4,4.72,76.06,62.57
NOV,4,2,0.0347,0.0138,1.61,0.0079,13,3,13,2.34,72.23,63.60
NOV,4,3,0.0289,0.0309,3.32,0.0116,18,3,12.8,1.67,65.83,63.47
NOV,4,4,0.0254,0.022,2.17,0.0159,16,6,12.5,1.36,61.05,63.16
NOV,4,5,0.0313,0.0191,1.69,0.0104,13,6,12.6,1.39,70.24,61.85
NOV,4,6,0.0332,0.0276,0.92,0.0086,12,6,11.6,1.33,90.10,66.38
NOV,4,7,0.0299,0.0425,0.96,0.0119,19,8,11.1,1.45,91.84,68.22
NOV,4,8,0.0266,0.058,1.08,0.0137,25,12,11.3,1.61,93.59,67.98
NOV,4,9,0.0388,0.0782,0.92,0.007,16,15,12.9,4.07,77.25,60.71
NOV,4,10,0.0395,0.0514,0.95,0.0071,20,9,14.8,4.57,86.72,52.86
NOV,4,11,0.0425,0.0292,1.02,0.0068,19,16,17,4.59,73.90,44.15
NOV,4,12,0.0466,0.057,0.92,0.0056,17,13,19.5,4.97,78.57,34.54
NOV,4,13,0.0485,0.0623,1.01,0.0067,23,9,21.9,4.75,77.99,28.07
NOV,4,14,0.0514,0.0363,1.21,0.0065,23,8,24,3.60,71.49,22.55
NOV,4,15,0.0518,0.0213,1.21,0.0064,21,8,25.7,3.13,68.20,18.60
NOV,4,16,0.0502,0.01,1.45,0.007,28,7,26.6,3.66,57.50,14.68
NOV,4,17,0.0464,0.0072,1.26,0.0066,26,6,26.9,3.60,81.88,15.39
NOV,4,18,0.0404,0.0044,0.99,0.0075,38,6,25.3,3.83,76.62,19.84
NOV,4,19,0.0337,0.0045,0.99,0.0094,38,5,22.3,3.92,55.71,25.06
NOV,4,20,0.0334,0.0046,0.97,0.0082,33,6,19.8,4.32,62.28,29.30
NOV,4,21,0.0357,0.0038,0.94,0.0066,25,6,17.9,4.96,53.80,35.16
NOV,4,22,0.0377,0.0029,0.91,0.0052,21,5,16.5,5.30,49.43,41.26
NOV,4,23,0.037,0.0029,0.91,0.0058,16,5,15.8,4.03,55.06,45.85
NOV,5,0,0.036,0.0026,0.91,0.0059,8,4,14.8,2.48,56.70,49.28
NOV,5,1,0.0349,0.0053,0.95,0.0068,16,1,13.9,2.47,51.99,54.73
NOV,5,2,0.0382,0.0052,0.89,0.0043,10,NA,13.2,2.19,55.58,60.25
NOV,5,3,0.0352,0.0137,0.96,0.0068,11,2,12.6,1.54,57.41,63.15
NOV,5,4,0.0388,0.005,0.89,0.0039,13,3,12.2,1.89,52.15,64.19
NOV,5,5,0.0393,0.0045,0.89,0.0038,11,2,11.8,2.70,50.51,65.95
NOV,5,6,0.0377,0.0042,0.89,0.0042,10,1,11.1,3.28,50.80,67.93
NOV,5,7,0.0363,0.0039,0.92,0.0057,11,4,10.9,3.39,50.15,67.93
NOV,5,8,0.0352,0.0037,0.95,0.0065,8,5,11.3,3.46,53.78,66.31
NOV,5,9,0.0369,0.0042,0.99,0.0064,4,7,12.7,5.22,51.36,61.63
NOV,5,10,0.0401,0.0354,0.99,0.0056,16,7,14.4,4.50,65.42,55.86
NOV,5,11,0.0437,0.0458,1.08,0.0054,17,7,16.2,4.43,75.88,49.78
NOV,5,12,0.0478,0.0372,1.27,0.0055,17,9,18.3,3.98,72.32,44.37
NOV,5,13,0.0507,0.0345,1.83,0.0063,22,8,20.8,3.36,71.08,36.61
NOV,5,14,0.0523,0.0085,1.16,0.0069,21,7,23.5,3.26,80.08,29.73
NOV,5,15,0.0534,0.0051,1,0.0065,22,10,25.1,3.21,90.55,25.72
NOV,5,16,0.0502,0.0047,1.02,0.0069,30,8,26.4,2.84,87.67,22.28
NOV,5,17,0.0476,0.0046,1.02,0.007,58,7,26.2,4.08,93.72,24.06
NOV,5,18,0.0412,0.0048,1.03,0.0076,39,8,24.6,3.90,76.25,29.18
NOV,5,19,0.0337,0.0052,1.05,0.0093,47,7,21.7,3.49,65.86,35.83
NOV,5,20,0.0345,0.0052,1,0.0076,28,7,19.3,4.19,48.47,40.97
NOV,5,21,0.0359,0.0049,0.96,0.0062,26,6,17.7,4.33,65.68,44.53
NOV,5,22,0.0382,0.0042,0.93,0.0047,17,2,16.8,4.80,50.34,46.31
NOV,5,23,0.0351,0.1006,0.97,0.007,16,3,15.9,3.55,70.49,50.18
NOV,6,0,0.0344,0.3107,1.25,0.0086,15,11,14.9,4.67,73.03,55.96
NOV,6,1,0.02,0.0326,2.62,0.0181,25,10,14.4,4.63,59.98,60.03
NOV,6,2,0.0272,NA,1.88,0.0108,16,12,13.5,4.22,54.78,64.45
NOV,6,3,0.0358,NA,0.91,0.0043,13,8,12.9,3.58,45.81,65.25
NOV,6,4,0.0367,NA,0.9,0.0042,8,5,12.7,2.42,50.97,64.05
NOV,6,5,0.0358,NA,0.91,0.0047,11,3,12.4,2.08,58.45,64.21
NOV,6,6,0.0349,NA,0.91,0.005,10,5,12,2.30,49.62,65.04
NOV,6,7,0.0327,NA,0.96,0.0076,10,2,11.9,1.89,50.18,64.39
NOV,6,8,0.03,NA,1.04,0.0102,9,2,12.6,2.06,52.69,61.14
NOV,6,9,0.0337,0.0607,1.77,0.0107,16,6,14.9,3.14,69.16,54.54
NOV,6,10,0.0431,0.0688,1.01,0.0056,20,7,16.4,4.83,74.29,50.36
NOV,6,11,0.045,0.0556,0.99,0.0067,16,9,18.1,4.42,73.02,46.28
NOV,6,12,0.0473,0.0671,1.02,0.0072,20,10,20,3.54,77.83,41.82
NOV,6,13,0.0485,0.0405,1.24,0.0108,28,18,22.1,2.62,123.10,38.69
NOV,6,14,0.0543,0.063,1.48,0.0138,31,15,23.9,1.67,157.08,35.14
NOV,6,15,0.0627,0.0578,1.75,0.0142,32,19,25.5,0.90,182.78,29.21
NOV,6,16,0.0634,0.0537,1.61,0.0165,42,20,26.2,0.91,157.92,25.77
NOV,6,17,0.0572,0.0445,1.61,0.0207,43,16,26.7,1.06,180.73,22.45
NOV,6,18,0.0434,0.0148,1.51,0.0234,41,17,25.8,1.39,154.16,21.26
NOV,6,19,0.0157,0.0098,2.27,0.0439,66,14,24.1,0.74,122.65,24.18
NOV,6,20,0.0095,0.0118,2.1,0.0417,96,16,22.2,1.70,45.46,27.42
NOV,6,21,0.0302,0.0021,1.05,0.0109,52,20,19.7,2.98,46.37,39.14
NOV,6,22,0.0269,0.0299,1.07,0.0116,28,5,18.4,3.43,74.36,46.35
NOV,6,23,0.0261,0.0657,1,0.0113,44,7,17.1,4.53,88.44,51.99
NOV,7,0,0.0291,0.046,0.96,0.0087,37,30,16.1,5.52,83.65,54.69
NOV,7,1,0.0306,0.1695,1.05,0.0082,21,8,15.6,4.11,84.26,57.57
NOV,7,2,0.0299,0.1457,1.06,0.0089,26,9,15.3,3.68,84.66,59.19
NOV,7,3,0.0281,0.0701,0.97,0.0091,28,16,14.3,2.37,85.08,62.61
NOV,7,4,0.0258,0.0377,0.96,0.0082,20,13,13.4,0.69,100.46,65.68
NOV,7,5,0.0216,0.0379,0.95,0.0107,28,15,12.2,1.23,98.69,69.59
NOV,7,6,0.021,0.0435,0.97,0.0113,24,18,11.6,1.61,98.30,71.39
NOV,7,7,0.0147,0.0534,1.04,0.0172,37,18,11.4,1.47,90.19,72.74
NOV,7,8,0.021,0.0514,1.11,0.0166,35,28,11.8,1.89,91.70,71.69
NOV,7,9,0.0257,0.0686,1.24,0.0155,42,27,13.7,2.54,101.22,65.88
NOV,7,10,0.03,0.0617,1.11,0.0119,48,32,16.7,3.39,94.21,59.67
NOV,7,11,0.0374,0.0505,1.12,0.0118,49,27,19.2,2.79,109.02,53.59
NOV,7,12,0.0469,0.0521,1.19,0.014,46,29,21.9,1.91,133.13,45.69
NOV,7,13,0.0642,0.0815,1.29,0.0171,58,21,24.3,1.40,171.28,38.51
NOV,7,14,0.0724,0.0213,1.33,0.0146,55,38,25.8,1.32,225.20,32.03
NOV,7,15,0.0724,0.0073,1.27,0.0137,39,32,27.1,0.85,186.58,28.00
NOV,7,16,0.0638,0.0036,1.23,0.0136,39,15,27.4,1.00,235.58,24.01
NOV,7,17,0.058,0.0031,1.31,0.0154,33,15,27.7,1.76,254.71,20.30
NOV,7,18,0.0551,0.0043,1.38,0.0217,40,20,27,1.47,286.27,23.88
NOV,7,19,0.0245,0.0048,2.11,0.0427,55,16,24.6,0.58,312.27,28.23
NOV,7,20,0.0113,0.0047,2.58,0.0502,61,15,22.8,0.98,232.96,31.85
NOV,7,21,0.0099,0.0048,2.46,0.0484,86,23,21,0.67,85.22,34.55
NOV,7,22,0.023,0.0039,1.62,0.0299,99,26,21,1.87,128.96,38.46
NOV,7,23,0.0121,0.0037,1.68,0.0355,74,16,18.4,1.29,229.86,43.06
NOV,8,0,0.0079,0.0052,1.88,0.0381,92,31,17.6,0.53,157.01,43.89
NOV,8,1,0.0087,0.0067,1.87,0.036,93,28,17.1,0.45,112.38,48.99
NOV,8,2,0.0201,0.0205,1.44,0.0276,84,31,16.5,0.75,100.97,60.34
NOV,8,3,0.0122,0.0131,1.51,0.0264,54,30,16.1,0.46,74.36,63.55
NOV,8,4,0.0127,0.0123,1.21,0.0216,54,21,15,1.55,115.82,64.48
NOV,8,5,0.0129,0.006,1.2,0.0238,57,26,14.5,1.05,111.28,60.31
NOV,8,6,0.0085,0.0068,1.25,0.0227,48,22,13.3,0.59,149.51,62.36
NOV,8,7,0.0088,0.0062,1.46,0.0225,53,15,12.7,0.50,255.87,63.27
NOV,8,8,0.0101,0.0094,1.43,0.0231,56,23,12.9,0.72,158.93,63.31
NOV,8,9,0.0213,0.0447,1.54,0.0277,55,26,16.6,0.60,129.28,55.03
NOV,8,10,0.0412,0.0915,1.94,0.0268,73,38,20,0.53,182.26,48.88
NOV,8,11,0.0756,0.0548,1.85,0.0205,77,53,22.2,1.30,224.97,47.00
NOV,8,12,0.0513,0.0079,1.4,0.0109,53,NA,23.3,2.11,248.22,46.49
NOV,8,13,0.0484,0.0038,1.29,0.0095,25,18,25.2,1.72,202.12,41.02
NOV,8,14,0.0545,0.003,1.27,0.0087,32,13,26,2.08,253.67,37.75
NOV,8,15,0.0531,0.0025,1.24,0.0099,28,15,27.1,1.77,228.91,31.99
NOV,8,16,0.053,0.0024,1.24,0.01,23,13,27.7,1.62,243.34,28.02
NOV,8,17,0.0567,0.0023,1.17,0.0085,31,16,27.7,1.93,289.12,26.74
NOV,8,18,0.0484,0.0026,1.35,0.0179,43,20,27.1,1.54,313.07,28.84
NOV,8,19,0.0173,0.003,2.08,0.0403,54,29,25.3,0.46,118.65,33.64
NOV,8,20,0.0077,0.0045,4.54,0.0478,63,28,24.1,0.45,5.87,37.48
NOV,8,21,0.0069,0.0041,3.32,0.0446,98,35,22.4,0.64,240.20,42.25
NOV,8,22,0.0086,0.0039,3.18,0.0389,110,38,21.4,1.19,226.77,43.01
NOV,8,23,0.0176,0.0023,1.29,0.0202,72,31,19.8,2.06,250.97,44.55
NOV,9,0,0.0162,0.0024,1.25,0.0176,37,11,18.6,1.22,303.02,48.49
NOV,9,1,0.0126,0.0026,1.19,0.021,54,9,17.4,0.83,249.61,51.01
NOV,9,2,0.0087,0.003,1.23,0.0251,41,15,16.9,0.45,164.08,52.70
NOV,9,3,0.0073,0.0042,1.26,0.0245,51,11,16.2,0.56,125.30,56.20
NOV,9,4,0.0097,0.0081,1.23,0.0242,50,13,15.3,1.97,120.35,58.94
NOV,9,5,0.0078,0.0065,1.32,0.0255,55,24,14.6,1.64,124.26,60.66
NOV,9,6,0.0081,0.0667,1.36,0.0254,64,29,14.3,0.97,159.09,61.25
NOV,9,7,0.0072,0.0117,1.41,0.0228,61,39,12.4,0.68,284.45,65.56
NOV,9,8,0.0079,0.0122,1.66,0.0236,69,24,13.3,0.46,184.39,64.11
NOV,9,9,0.0118,0.0233,1.78,0.0271,62,25,16.3,1.61,110.60,56.94
NOV,9,10,0.0255,0.0547,1.44,0.0205,63,35,19.3,1.31,130.08,53.53
NOV,9,11,0.034,0.0173,1.45,0.0207,71,42,21.8,1.50,244.84,46.44
NOV,9,12,0.0555,0.0121,1.33,0.016,40,24,24.3,1.86,256.55,37.37
NOV,9,13,0.0808,0.0118,1.27,0.0146,42,14,25.9,1.96,251.71,31.97
NOV,9,14,0.0694,0.0047,1.3,0.0155,41,21,27.6,1.35,237.63,25.59
NOV,9,15,0.069,0.0071,1.24,0.014,27,18,28.9,1.08,223.96,20.24
NOV,9,16,0.0658,0.0125,1.32,0.0155,34,10,29.3,0.87,208.91,16.95
NOV,9,17,0.0619,0.0095,1.3,0.0177,32,16,29.9,1.05,214.58,16.15
NOV,9,18,0.0406,0.0032,1.76,0.0298,40,15,29,1.78,237.60,16.85
NOV,9,19,0.0106,0.0034,3,0.0501,69,17,27,1.36,204.36,20.79
NOV,9,20,0.0072,0.0042,3.46,0.051,126,16,25.1,0.81,218.69,24.73
NOV,9,21,0.0072,0.0035,2.36,0.0445,123,38,22.8,1.09,282.99,29.25
NOV,9,22,0.0086,0.0028,1.66,0.037,90,18,21,1.38,264.55,34.30
NOV,9,23,0.0124,0.0025,1.51,0.0311,74,18,20.2,1.00,262.39,38.94
NOV,10,0,0.0105,0.0027,1.54,0.0317,67,15,19.5,1.03,265.88,41.41
NOV,10,1,0.0126,0.0027,1.28,0.0274,63,19,18.9,0.71,226.31,45.58
NOV,10,2,0.0135,0.0036,1.26,0.0251,47,10,17.8,0.45,179.77,48.65
NOV,10,3,0.0076,0.0044,1.3,0.031,56,18,16.9,0.45,273.82,51.22
NOV,10,4,0.0074,0.0036,1.29,0.0278,47,22,16.4,0.45,157.87,54.50
NOV,10,5,0.0085,0.0037,1.25,0.026,47,15,15.6,0.67,102.02,59.01
NOV,10,6,0.008,0.0042,1.28,0.0262,45,24,14.4,0.89,117.43,59.62
NOV,10,7,0.0102,0.0106,1.45,0.0276,49,18,13.7,0.75,107.93,59.91
NOV,10,8,0.0113,0.0203,1.79,0.0287,88,24,14.6,1.06,100.12,58.44
NOV,10,9,0.0183,0.0524,1.5,0.0264,72,30,17.1,1.90,98.25,57.26
NOV,10,10,0.0312,0.029,1.34,0.0182,68,40,20.2,1.33,115.23,52.79
NOV,10,11,0.0397,0.0067,1.38,0.019,47,39,23.1,1.07,229.53,45.22
NOV,10,12,0.0545,0.0047,1.23,0.0124,35,13,24.5,1.63,268.32,39.41
NOV,10,13,0.0568,0.0036,1.3,0.0148,35,13,26.5,2.05,229.70,32.40
NOV,10,14,0.0553,0.0027,1.27,0.0127,31,16,28.1,1.35,248.62,24.82
NOV,10,15,0.0542,0.0047,1.27,0.0135,19,10,29.7,0.82,188.18,17.95
NOV,10,16,0.0641,0.0028,1.21,0.0119,23,9,30.1,0.95,140.42,17.65
NOV,10,17,0.064,0.0026,1.23,0.0129,33,10,30.5,0.92,210.44,17.38
NOV,10,18,0.0451,0.0028,1.69,0.0309,41,13,29.3,1.65,247.16,18.85
NOV,10,19,0.0156,0.0031,2.63,0.0489,79,14,27.3,1.61,226.39,22.16
NOV,10,20,0.0086,0.0037,3.05,0.0533,115,20,25.4,0.94,224.46,25.71
NOV,10,21,0.0076,0.0036,2.25,0.0486,142,25,22.9,1.04,320.81,31.86
NOV,10,22,0.01,0.0034,1.96,0.0421,125,32,21.8,1.19,253.92,33.43
NOV,10,23,0.0154,0.0026,1.63,0.0317,94,35,20.8,0.54,239.15,35.10
NOV,11,0,0.0152,0.0043,1.47,0.0292,66,25,20.2,0.61,176.49,37.05
NOV,11,1,0.0105,0.0112,1.44,0.0321,55,16,19,0.92,109.05,40.39
NOV,11,2,0.0128,0.0035,1.35,0.028,51,19,18.1,0.45,220.55,44.02
NOV,11,3,0.01,0.0098,1.37,0.0309,58,18,16.6,0.46,212.30,47.06
NOV,11,4,0.0086,0.006,1.26,0.0288,51,21,15.7,0.49,249.66,48.65
NOV,11,5,0.0085,0.0038,1.22,0.0264,46,17,15.3,0.45,212.39,49.25
NOV,11,6,0.0102,0.0046,1.29,0.0253,41,17,14.7,0.47,90.52,54.43
NOV,11,7,0.0105,0.0071,1.5,0.0268,69,17,14.2,0.48,152.91,58.34
NOV,11,8,0.0112,0.0093,1.96,0.0293,76,25,15.1,0.87,113.37,54.30
NOV,11,9,0.0158,0.012,1.76,0.0311,89,30,17.6,1.85,104.52,48.04
NOV,11,10,0.0345,0.0233,1.35,0.0185,91,42,20.6,1.46,119.21,47.37
NOV,11,11,0.0428,0.012,1.35,0.0162,44,27,23.1,1.24,197.75,43.06
NOV,11,12,0.0542,0.0076,1.27,0.0144,41,21,25,1.08,233.45,38.25
NOV,11,13,0.0551,0.004,1.21,0.0108,40,21,26.8,1.58,211.32,32.15
NOV,11,14,0.0542,0.0028,1.21,0.0108,27,15,28.1,1.83,269.77,26.47
NOV,11,15,0.0585,0.0027,1.26,0.0128,23,11,29,1.64,254.45,24.08
NOV,11,16,0.0668,0.0028,1.28,0.0135,34,11,29.5,1.22,267.90,23.65
NOV,11,17,0.0596,0.0027,1.39,0.018,38,19,30,1.34,260.76,21.81
NOV,11,18,0.0533,0.0026,1.37,0.0192,39,15,29.1,1.59,279.53,23.15
NOV,11,19,0.0195,0.0033,2.47,0.0451,50,9,27.2,0.45,317.11,27.94
NOV,11,20,0.0157,0.0035,2.39,0.0453,86,22,26.2,0.78,255.85,29.61
NOV,11,21,0.0162,0.003,1.95,0.0401,83,24,24.3,1.59,209.83,32.54
NOV,11,22,0.0255,0.0028,1.51,0.0289,80,21,23.1,1.97,211.79,36.39
NOV,11,23,0.0329,0.0026,1.24,0.0162,50,18,21.8,2.19,227.32,44.11
NOV,12,0,0.0192,0.003,1.22,0.0255,42,11,19.8,1.18,284.04,48.14
NOV,12,1,0.013,0.0032,1.3,0.0293,67,24,19.2,0.51,268.48,48.19
NOV,12,2,0.0146,0.0031,1.3,0.0256,55,21,19,0.55,138.81,50.59
NOV,12,3,0.0167,0.0058,1.19,0.0233,46,19,18.1,1.15,117.33,58.03
NOV,12,4,0.0141,0.0135,1.19,0.024,51,17,16.9,0.71,123.23,59.73
NOV,12,5,0.0096,0.0117,1.26,0.0264,45,15,15.7,0.47,206.84,60.42
NOV,12,6,0.009,0.0088,1.36,0.0265,42,19,16,0.45,209.25,60.50
NOV,12,7,0.0094,0.0092,1.46,0.0258,63,21,14.8,0.61,165.04,63.15
NOV,12,8,0.0104,0.0089,1.74,0.0278,118,34,15.2,0.69,120.93,63.63
NOV,12,9,0.0183,0.0235,1.51,0.0255,66,33,17.2,1.85,100.98,59.58
NOV,12,10,0.0318,0.0317,1.43,0.0221,71,29,20,1.77,123.12,55.99
NOV,12,11,0.0418,0.0155,1.52,0.0231,62,38,23.2,0.92,204.50,46.78
NOV,12,12,0.0587,0.0068,1.3,0.0162,49,37,25.8,0.87,210.44,35.93
NOV,12,13,0.0667,0.0053,1.19,0.012,38,18,26.8,1.77,240.54,31.67
NOV,12,14,0.0692,0.0047,1.13,0.0102,36,16,28,1.35,155.19,28.01
NOV,12,15,0.0737,0.0078,1.29,0.0129,33,14,28.9,0.99,209.50,25.14
NOV,12,16,0.0783,0.0242,1.53,0.0181,39,20,29.9,0.85,231.27,21.34
NOV,12,17,0.0726,0.0133,1.47,0.0192,54,25,29.7,1.40,233.74,22.05
NOV,12,18,0.0609,0.008,1.4,0.0213,50,15,28.7,1.75,285.80,23.16
NOV,12,19,0.025,0.0043,1.97,0.0463,61,17,26.9,1.51,284.39,25.93
NOV,12,20,0.0078,0.0052,3.57,0.061,85,21,25.4,0.78,260.45,29.07
NOV,12,21,0.0075,0.0043,2.52,0.0551,115,32,23.2,0.45,160.51,33.38
NOV,12,22,0.0074,0.0049,3.63,0.0522,133,32,22.3,0.66,238.01,36.87
NOV,12,23,0.0115,0.0095,1.83,0.0424,141,45,20.5,1.35,199.84,39.74
NOV,13,0,0.0108,0.0137,1.71,0.0403,123,36,19.9,1.25,112.42,43.62
NOV,13,1,0.0112,0.0111,1.57,0.0375,105,46,19.2,0.56,237.51,46.02
NOV,13,2,0.0079,0.008,1.53,0.04,90,37,18.4,0.63,279.51,46.13
NOV,13,3,0.0076,0.0069,1.52,0.0381,83,37,17.8,0.52,204.83,48.16
NOV,13,4,0.0088,0.0109,1.43,0.0377,78,36,17,0.62,86.98,51.99
