DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,PBAR
JUL,4,17,59.67,9.17,0.62,3.18,17.93,15.08,2.49,121.75,29.8,621.47
JUL,4,18,58.51,11.22,0.68,1.92,19.7,17.02,1.78,133.78,30.58,621.26
JUL,4,19,38.46,5.6,0.64,7.65,24.03,8.02,2.47,254.4,29.99,621.19
JUL,4,20,35.31,5.18,0.57,4.62,23.08,10.95,2.95,109.78,28.91,621.65
JUL,4,21,28.12,5.2,0.64,6.84,17.33,13.59,2.04,190.72,27.19,622.27
JUL,4,22,26.12,17.59,1.14,3.86,22.22,13.66,3.32,58.85,25.84,623.24
JUL,4,23,26.85,18.02,0.55,3.01,17.01,12.47,2.73,112.04,24.02,624.17
JUL,5,0,25.71,11.23,0.57,5.27,23.45,11.98,2.21,98.07,22.09,624.33
JUL,5,1,30.58,7.08,0.53,6.97,20.35,13.41,2.54,111.31,21.16,624.17
JUL,5,2,30.5,6.84,0.52,5.39,16.28,15.82,1.82,132.83,20.92,624.03
JUL,5,3,21.99,6.67,0.54,9.63,15.28,9.96,1.08,211.67,20.58,624.02
JUL,5,4,6.98,7.69,0.55,18.01,12.46,9.88,0.55,226.97,20.12,623.83
JUL,5,5,6.24,9.31,0.55,15.48,17.55,10.8,0.6,177.17,19.9,623.86
JUL,5,6,2.38,9.21,0.57,18.71,16.91,12.99,0.89,133.22,19.22,623.75
JUL,5,7,3.53,10.02,0.66,15.75,21.79,12.52,1.41,119.23,19.05,624
JUL,5,8,7.25,44.9,0.66,12.74,18.33,11.81,1.22,110.47,20.5,624.31
JUL,5,9,12.77,16.29,0.62,8.56,22.08,18.69,2.45,121.71,21.77,624.61
JUL,5,10,27.38,8.46,0.58,1.89,20.49,14.03,2.93,112.66,22.82,624.57
JUL,5,11,33.48,8.72,0.57,2.19,17.82,19.9,2.83,109.87,24.08,624.52
JUL,5,12,39.92,8.9,0.59,1.69,16.38,10.52,2.74,119.83,25.35,624.18
JUL,5,13,46.59,14.22,0.68,4.48,17.5,15.86,2.23,177.95,26.63,623.66
JUL,5,14,56.85,17.2,0.71,3.51,21.76,19.7,2.32,165.44,27.61,623.06
