DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
FEB,5,8,10.78,1.53,1.8,10.76,16.16,17.15,3.76,231.47,14.48,81.68,623.11
FEB,5,9,9,1.61,2.03,13.06,5.68,5.56,2.63,229.12,14.28,81.05,623.31
FEB,5,10,11.66,1.55,1.82,10.56,6.54,8.23,3.68,210.72,14.45,81.77,623.77
FEB,5,11,14.1,1.52,1.77,9.62,6.48,7.72,3.11,216.77,14.84,78.07,623.81
FEB,5,12,16.2,1.58,1.76,9.78,10.06,4.58,3.74,236.48,14.23,78.21,623.7
FEB,5,13,11.98,1.66,1.98,11.23,3.83,3.38,2.67,240.96,14.28,80.52,623.03
FEB,5,14,12.86,1.72,2.03,11.78,4.12,8.72,2.86,226.46,15.66,74.02,622.27
FEB,5,15,13.36,1.75,2.07,11.82,5.37,13.78,1.91,213.83,16.67,70.68,621.68
FEB,5,16,18.47,1.55,1.78,10.07,12.85,9.21,2.96,212.7,17.83,65.83,620.98
FEB,5,17,18.37,1.65,1.81,10.35,22.76,5.56,3.01,214.88,18.59,64.64,620.6
FEB,5,18,16.89,1.54,1.81,9.82,25.07,9.69,3.22,212.54,19.21,63.29,620.65
FEB,5,19,14.34,1.57,1.89,10.61,32.83,12.55,3.81,231.62,16.74,71.09,621.08
FEB,5,20,13.44,1.52,1.68,11.03,10.07,11.87,2.83,275.9,15.19,75.77,621.62
FEB,5,21,9.55,1.5,1.75,10.97,2.54,9.47,2.8,245.85,15.38,76.41,622.11
FEB,5,22,11.69,1.41,1.47,8.12,5.86,5.57,3.57,225.99,15.03,76.26,622.28
FEB,5,23,9,1.44,1.65,9.27,1.81,3.41,1.94,238.33,14.14,78.44,622.46
FEB,6,0,7.43,1.4,1.5,10.16,4.33,4.35,1.41,272.05,13.75,78.86,622.5
FEB,6,1,7.49,1.46,1.44,10.63,12.16,6.78,1.4,202.53,13.57,78.65,622.15
FEB,6,2,6.42,1.48,1.39,10.77,7.54,6.1,1.05,295.11,13.17,78.44,622.12
FEB,6,3,5.92,1.43,1.47,10.73,5.82,5.09,1.25,243.54,12.8,79.48,622.06
FEB,6,4,7.78,1.34,1.29,10.44,4.53,4.32,1.91,232.35,12.23,79.42,621.85
FEB,6,5,9.34,1.27,1.27,10.51,7.59,3.62,1.11,240.26,11.34,78.04,621.93
FEB,6,6,11.42,1.29,1.27,10.41,3.77,5.34,2.26,289.54,11.12,73.79,622.35
FEB,6,7,10.37,1.7,1.91,13.96,5.16,6.55,1.9,266.96,10.82,69.21,622.8
FEB,6,8,8.01,2.16,2.81,16,26.83,7,1.87,258.31,10.34,70.25,622.88
FEB,6,9,13.54,1.87,1.89,14.19,18.9,10.62,1.6,294,11.4,67.19,623.18
FEB,6,10,18.24,1.89,1.7,12.72,20.75,16.41,1.84,266.67,13.78,59.98,623.24
FEB,6,11,23.29,1.63,1.63,10.93,20.36,8.98,2.19,254.53,15.97,50.88,623.2
FEB,6,12,31.06,1.54,1.61,10.2,13.15,9.24,2.53,258.47,18.23,36.61,622.82
FEB,6,13,39.34,1.54,1.54,9.76,15.52,5.83,2.87,274.06,19.71,30,622.13
FEB,6,14,36.26,1.73,1.72,13.11,11.79,3.89,2.79,235.88,20.81,27.49,621.34
FEB,6,15,39.53,1.66,1.68,12.09,17.24,6.78,2.76,242.05,21.98,22.68,620.53
FEB,6,16,40.87,1.59,1.67,13.45,24.14,11.11,2.66,209.75,22.48,24.93,619.87
FEB,6,17,38.82,1.57,1.67,13.72,23.98,13.27,2.81,203.56,22.53,22.08,619.68
FEB,6,18,33.72,1.53,1.73,16.07,30.65,12.77,2.74,206.7,22.06,20.55,620.01
FEB,6,19,17.26,1.89,2.5,24.39,43.2,11.83,1.85,207.68,20.68,24.05,620.24
FEB,6,20,10.33,2.04,2.86,27.31,62.87,10.63,1.41,224.75,19.09,27.99,620.58
FEB,6,21,8.23,2.11,2.97,27.93,54.77,12.54,0.83,224.97,17.74,29.74,621.04
FEB,6,22,8.01,2.23,3.21,26.31,49.12,13.77,0.8,217.18,16.51,33.41,621.59
FEB,6,23,7.73,3.78,2.63,23.75,50.46,18.63,1.01,152.21,14.44,45.61,621.9
FEB,7,0,9.84,14.58,2.66,20.74,65.63,27.63,0.96,72.8,13.28,51.32,622.28
FEB,7,1,7.68,7.29,2.23,20.86,50.33,27.91,0.85,87.32,12.68,51.67,622.34
FEB,7,2,8.59,4.27,2.29,18.7,42.85,16.72,0.46,99.2,11.46,59.06,622.11
FEB,7,3,9.21,3.48,1.64,19.4,41.09,24.44,0.45,135.18,10.94,57.26,622.14
FEB,7,4,8.03,3.2,1.67,17.49,40.15,23.98,NA,108.62,9.76,62.74,621.8
FEB,7,5,7.4,3.18,1.71,18.87,47.11,18.89,NA,165,9.54,61.35,621.8
FEB,7,6,7.06,3.21,1.68,15.47,45.24,26.92,NA,261.77,7.63,67.01,622.2
FEB,7,7,7.47,3.11,1.76,17.44,25.17,13.09,NA,93.64,7.4,64.57,622.53
FEB,7,8,9.13,3.85,3.13,17.21,39.69,12.76,0.83,80.64,8.28,64.85,623.04
FEB,7,9,10.11,5.46,2.77,20.69,123.49,24.9,1.43,113.68,9.75,63.25,623.69
FEB,7,10,12.12,18.87,2.13,20.86,101.26,61.04,1.52,103.43,12.1,61.13,623.96
FEB,7,11,19.87,36.75,1.85,20.83,47.31,40.32,1.86,119.41,15.99,52.55,624.02
FEB,7,12,30.68,33.49,1.89,19.66,44.71,41.72,1.27,164.65,19.23,43.13,623.62
FEB,7,13,45.43,16.79,1.86,16.11,35.11,28.45,1.2,186.92,21.96,29.06,622.92
FEB,7,14,47.78,5.72,1.84,15.65,33.24,24.44,2.1,264,23.49,26.36,622.17
FEB,7,15,42.69,4.17,1.9,16.39,20.08,17.21,2.66,218.88,25.24,16.32,621.45
FEB,7,16,44.73,2.96,1.83,16.74,24.94,15.73,3.09,249.39,26.18,13.83,621.06
FEB,7,17,41.98,1.83,1.75,16.13,24.96,14.51,3.56,253.74,26.23,11.38,621.21
FEB,7,18,31.29,2.05,2.13,23.42,30.78,14.73,2.27,254.71,25.41,16.22,621.48
FEB,7,19,19.68,2.18,2.28,24.86,39.78,13.5,2.34,257.56,23.55,19.08,621.74
FEB,7,20,18.43,2.31,2.56,25.04,59.98,16.38,2.2,205.85,21.67,22.93,622.22
FEB,7,21,16.73,2.17,2.27,22.63,93.04,20.24,1.8,237.79,19.95,29.27,622.93
FEB,7,22,11.97,2.81,2.57,25.4,41.79,7.02,1.4,287,17.85,38.09,623.66
FEB,7,23,14.22,3.31,2.73,24.16,43.89,21.95,1.02,204.49,16.37,42.83,624.21
FEB,8,0,13.66,3.5,2.63,23.16,45.46,17.34,0.66,121.77,15.39,48.45,624.46
FEB,8,1,12.71,8.9,2.38,22.15,51.11,12.82,0.87,182.85,14.3,51.95,624.47
FEB,8,2,13.39,5.96,2.37,21.21,49.18,24.67,0.68,105.02,13.67,56.25,624.25
FEB,8,3,12.42,5.77,1.97,18.32,46.78,28.14,0.72,232.26,12.04,60.55,624.22
FEB,8,4,13.57,3.48,1.75,18.44,31.04,23.99,0.79,235.73,10.75,63.93,624.34
FEB,8,5,14.38,4.51,1.86,17.64,32.41,20.6,0.92,247.5,10.97,64.46,624.29
FEB,8,6,15.79,4.33,1.87,17.16,44.01,18.43,0.81,251.15,10.03,67.14,624.51
FEB,8,7,12.97,4.33,1.84,16.98,43.42,22.26,0.79,161.18,9.43,67.94,624.96
FEB,8,8,16.35,4.89,2.86,16.49,48.69,27.69,0.48,95.78,9.76,69.62,625.48
FEB,8,9,16.79,8.68,2.84,20.79,95.97,41.15,1.23,103.29,11.99,63.82,626.16
FEB,8,10,21.07,20.27,2.23,23.18,82.43,44.63,1.26,123.64,15.19,54.81,626.66
FEB,8,11,37.97,33.4,1.99,21.77,76.67,60.54,0.97,209.98,18.34,47.52,626.72
FEB,8,12,54.74,17.71,1.8,15.58,49.52,41.96,1.41,147.38,20.54,39.91,626.33
FEB,8,13,63.8,6.97,1.62,12.08,32.32,31.25,1.67,148.78,22.32,33.76,625.44
FEB,8,14,64.88,3.18,1.55,10.62,19.85,22.9,1.69,187.71,23.71,25.85,624.37
FEB,8,15,68.12,2.46,1.57,10.26,13.36,14.68,1.63,188.49,25.07,21.9,623.69
FEB,8,16,62.46,2.12,1.6,11.04,17.05,11.09,1.76,236.41,25.7,18.93,623.2
FEB,8,17,62.39,2.02,1.58,10.1,13.07,10.16,1.62,227.61,26.83,16.01,622.83
FEB,8,18,66.52,2.23,1.54,10.14,12.56,11.81,1.7,262.08,26.72,15.77,622.85
FEB,8,19,45.45,1.88,1.86,18.1,24.01,12.52,1.67,284.61,25.23,15.49,623.15
FEB,8,20,14.41,3.61,4.82,32.32,46.93,12.54,1.22,214.58,23.63,18.2,623.49
FEB,8,21,11.36,3.89,4.9,29.46,158.92,31.77,1.23,206,21.44,28.37,624.13
FEB,8,22,14.28,2.87,2.6,24.37,80.57,29.81,1.69,220.94,20.32,37.74,624.55
FEB,8,23,14.44,2.81,2.3,21.63,54.5,13.97,1.68,239.34,18.59,43.36,625.01
FEB,9,0,11.87,2.77,2.16,21.45,37.27,18.77,0.94,261.57,17,47.96,625.53
FEB,9,1,11.18,3.05,2.21,22.21,48.07,13,0.63,214.24,15.8,47.52,625.62
FEB,9,2,11.24,4.4,2.11,21.16,44.05,24.4,0.79,103.99,15.21,52.99,625.46
FEB,9,3,10.76,7.07,1.95,18.64,40.74,18.18,0.61,177.34,14.22,56.64,625.29
FEB,9,4,15.03,6.41,2.01,16.96,42.8,22.48,0.47,215.81,13.56,60.91,625.13
FEB,9,5,11.72,4.41,1.79,15.01,33.91,18.37,0.48,149.36,12.16,63.04,624.72
FEB,9,6,11.41,4.41,1.75,15.94,33.99,23.74,0.67,271.52,11.51,65.11,625.32
FEB,9,7,11.65,3.45,1.84,15.22,45.84,32.88,0.73,247.42,10.81,67.71,625.58
FEB,9,8,11.68,2.91,1.85,14.31,29.81,14.28,0.66,190.74,10.62,68.91,626.01
FEB,9,9,15.9,5.06,1.93,17.94,28.81,19.33,1.04,111.22,13.16,63.43,626.39
FEB,9,10,20.91,8.61,1.99,16.33,50.13,26.67,1.57,134.37,15.88,56.44,626.62
FEB,9,11,34.52,87.3,2.7,20.18,68.21,26.47,1.04,149.06,19.37,48.89,626.6
FEB,9,12,51.74,47.22,2.23,13.94,58.08,67.61,1.47,145.19,21.47,41.77,626.22
FEB,9,13,66.11,18.23,1.91,11.92,38.43,33.32,1.83,132.89,23.28,37.54,625.38
FEB,9,14,57.05,6.35,1.59,9.32,24.7,23.68,1.48,191.52,24.98,34.42,624.46
FEB,9,15,39.46,3.43,1.6,8.23,12.77,16.19,3.22,241.07,25.83,31.64,623.48
FEB,9,16,42.42,2.82,1.58,8.89,16.16,2.66,3.46,240.34,26.69,29.22,622.75
FEB,9,17,44.8,2.45,1.55,8.53,12.64,3.37,2.74,243.13,27.57,26.78,622.33
FEB,9,18,48.29,2.4,1.54,9.07,11.93,8.2,2.75,262.19,27.74,27.79,622.41
FEB,9,19,32.5,2.43,1.98,15.8,26.1,9.9,1.86,204.66,26.6,30.44,622.6
FEB,9,20,17.13,3.14,2.48,22.61,50.81,9.65,1.85,216.9,25.39,34.86,623
FEB,9,21,23.52,2.68,1.85,13.78,56.23,20.77,2.74,221.31,23.83,39.85,623.75
FEB,9,22,22.78,2.37,1.66,9.96,24.99,14.75,2.86,218.2,22.07,42.49,624.28
FEB,9,23,21.03,2.14,1.56,10.32,15.81,11.57,1.55,226.07,20.7,45.12,624.39
FEB,10,0,19.05,2.27,1.52,10.78,12.73,7.22,1.63,288.17,19.41,49.49,624.56
FEB,10,1,14.1,2.4,1.47,12.99,15.28,5.29,1.29,303.44,18.03,52.88,624.57
FEB,10,2,13.03,2.67,1.47,14.05,15.1,5.55,1.17,274.35,17.24,55.52,624.7
FEB,10,3,14.67,2.75,1.56,13.71,23.84,8.45,1.21,249.69,16.59,58.68,624.63
FEB,10,4,14.15,2.38,1.42,12.69,19.33,9.92,1.15,214.24,16.11,60.94,624.32
