DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,7,6,0.020,0.016,0.73,0.023,43,16,13.56,2.06,112.31,44.69
OCT,7,7,0.012,0.024,0.88,0.0296,55,26,12.74,1.99,98.15,47.41
OCT,7,8,0.018,0.042,0.93,0.026,71,34,13.43,2.32,102.3,47.33
OCT,7,9,0.032,0.041,0.82,0.0152,62,29,16.1,2.68,98.4,44.55
OCT,7,10,0.048,0.026,0.69,0.008,47,28,19.1,4.4,88.2,38.89
OCT,7,11,0.055,0.033,0.66,0.0066,36,26,20.93,4,87.4,32.67
OCT,7,12,0.058,0.024,0.65,0.0063,33,20,22.94,3.34,79.89,28.32
OCT,7,13,0.063,0.007,0.65,0.0052,27,17,24.87,2.56,86.33,24.08
OCT,7,14,0.063,0.008,0.62,0.0045,24,17,26.28,2.79,79.77,19.8
OCT,7,15,0.056,0.001,0.65,0.0046,19,10,27.73,2.95,137.4,13.87
OCT,7,16,0.053,0.001,0.62,0.0048,17,9,28.53,2.25,134.19,11
OCT,7,17,0.053,0.001,0.64,0.0049,17,25,28.44,2.88,112.17,10.9
OCT,7,18,0.049,0.001,0.68,0.0073,21,13,27.97,3.13,100.09,10.66
OCT,7,19,0.042,0.001,0.69,0.0105,31,11,25.9,2.72,54.99,12.76
OCT,7,20,0.040,0.001,0.67,0.0092,24,10,23.46,3.18,46.18,16.25
OCT,7,21,0.047,0.001,0.60,0.0056,20,9,22.11,4.14,55.16,22.75
OCT,7,22,0.050,0.001,0.56,NA,18,10,20.74,5.1,53.48,24.59
OCT,7,23,0.046,0.016,0.57,0.0054,18,11,19.1,3.49,86.05,31.15
OCT,8,0,0.045,0.024,0.57,NA,21,9,18.57,3.2,81.08,33.78
OCT,8,1,0.042,0.051,0.57,0.0073,20,10,17.04,2.11,91.08,39.37
OCT,8,2,0.041,0.042,0.58,NA,24,19,16.12,2.38,92.92,43.49
OCT,8,3,0.040,0.051,0.59,NA,21,13,15.13,1.91,94.55,49.05
OCT,8,4,0.036,0.030,0.61,0.0075,16,20,14,1.62,100.76,51.37
OCT,8,5,0.036,0.033,0.64,0.0078,15,10,13.24,1.53,98.74,54.44
OCT,8,6,0.024,0.025,0.75,0.0167,23,17,12.07,0.93,99.31,60.28
OCT,8,7,0.018,0.022,0.87,0.0194,39,14,11.47,0.75,107.61,61.84
OCT,8,8,0.024,0.020,0.80,0.0163,30,20,13.05,1.3,79.69,56.63
OCT,8,9,0.026,0.044,0.93,0.0203,39,20,15.22,1.73,103.99,50.46
OCT,8,10,0.045,0.028,0.88,0.0186,50,27,18.44,0.91,171.2,42.47
OCT,8,11,0.058,0.059,0.87,0.0186,43,27,21.47,0.92,171,36.7
OCT,8,12,0.063,0.043,0.77,0.011,50,32,23.48,1.12,160.76,33.36
OCT,8,13,0.057,0.016,0.77,0.0097,34,23,25.45,1.63,189.05,30.45
OCT,8,14,0.047,0.012,0.75,0.0067,21,20,26.77,2.69,106.73,26.42
OCT,8,15,0.054,0.006,0.68,0.0052,14,10,28,2.03,105.71,23.15
OCT,8,16,0.061,0.012,0.66,0.0063,16,10,29.08,1.16,158.56,21.17
OCT,8,17,0.059,0.006,0.74,0.0093,29,11,29.29,1.26,153.88,20.46
OCT,8,18,0.055,0.006,0.82,0.0151,39,13,28.87,1.66,157.54,21.13
OCT,8,19,0.033,0.003,1.31,0.0329,53,19,27.38,1.31,205.94,22.99
OCT,8,20,0.020,0.003,1.34,0.0372,66,22,25.05,1.1,249.26,29.17
OCT,8,21,0.019,0.003,1.13,0.032,56,20,22.99,1.37,185.79,35.55
OCT,8,22,0.019,0.005,1.04,0.0303,56,20,22.35,0.93,108.28,36.9
OCT,8,23,0.017,0.018,0.79,0.0255,39,21,21.74,2.17,94.76,42.39
OCT,9,0,0.025,0.022,0.63,0.0138,30,12,22.17,3.05,84.66,43.85
OCT,9,1,0.016,0.014,0.67,0.0182,NA,12,19.28,2.02,110.33,51.24
OCT,9,2,0.013,0.015,0.71,0.0209,NA,13,18.29,1.63,82.13,55.25
OCT,9,3,0.018,0.015,0.74,0.0179,NA,20,17.56,1.12,156.93,61
OCT,9,4,0.018,0.007,0.73,0.0206,NA,20,17.02,0.59,116.54,65.06
OCT,9,5,0.014,0.004,0.79,0.0255,NA,25,16.42,0.45,206.43,57.37
OCT,9,6,0.011,0.003,0.91,0.0244,NA,17,15.14,0.45,251.63,59.92
OCT,9,7,0.007,0.005,1.18,0.0273,NA,16,14.71,0.45,105.23,64.45
OCT,9,8,0.008,0.008,2.04,0.0326,NA,25,16.37,0.61,255.06,60.67
OCT,9,9,0.015,0.013,1.49,0.0324,NA,26,18.58,1.08,137.18,55.96
