DATOS HORARIOS 2020_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
ABR,4,12,47.75,5.50,0.49,5.03,34.95,18.51,3.24,247.41,25.86,34.02,622.39
ABR,4,13,43.79,5.42,0.53,5.89,27.94,20.49,3.32,225.41,27.51,26.93,621.64
ABR,4,14,42.54,5.26,0.58,5.65,28.98,18.12,3.78,235.90,28.82,20.73,620.77
ABR,4,15,44.06,5.18,0.58,5.90,26.66,14.44,3.04,233.76,30.17,19.67,620.04
ABR,4,16,51.70,5.31,0.49,4.70,22.78,15.26,2.71,205.16,31.08,20.43,619.24
ABR,4,17,52.14,5.26,0.48,4.69,26.57,20.73,2.69,229.17,31.68,18.89,618.60
ABR,4,18,54.09,5.28,0.49,4.95,32.84,20.93,2.79,233.03,31.84,19.15,618.29
ABR,4,19,47.44,5.36,0.61,9.58,42.92,16.65,2.83,226.01,31.14,20.18,618.45
ABR,4,20,35.95,5.30,0.79,15.63,54.50,15.37,2.65,205.68,30.04,22.36,618.98
ABR,4,21,35.25,5.10,0.51,4.77,45.99,19.84,4.72,237.60,27.79,19.55,619.90
ABR,4,22,29.06,5.15,0.53,4.56,36.99,17.23,3.84,229.34,25.82,18.58,620.71
ABR,4,23,23.26,5.06,0.50,6.02,28.39,9.33,2.54,217.45,24.48,22.83,621.09
ABR,5,0,25.29,5.14,0.46,4.85,29.07,10.14,2.14,241.72,23.17,27.74,621.35
ABR,5,1,21.84,5.31,0.46,6.90,30.47,12.54,1.32,281.70,21.82,30.69,621.32
ABR,5,2,21.15,5.24,0.42,6.59,35.34,22.70,1.64,277.74,21.09,30.78,621.39
ABR,5,3,23.89,5.53,0.44,8.67,31.23,17.96,1.66,257.64,20.15,33.84,621.30
ABR,5,4,26.43,5.23,0.44,6.60,32.03,22.73,1.71,226.68,19.51,36.30,621.26
ABR,5,5,25.50,5.53,0.45,4.62,24.60,19.05,1.70,251.66,18.64,39.40,621.30
ABR,5,6,16.54,5.32,0.45,11.21,55.33,36.00,1.81,295.25,17.30,42.57,621.51
ABR,5,7,11.44,5.43,0.61,15.11,31.78,25.20,1.63,260.21,17.36,43.22,621.81
ABR,5,8,12.62,5.55,0.56,11.08,34.42,24.59,1.43,283.09,17.65,42.16,622.22
ABR,5,9,24.62,5.69,0.62,9.99,47.30,23.47,2.28,250.64,20.00,38.35,622.69
ABR,5,10,34.79,5.63,0.53,5.79,44.90,19.72,2.12,248.64,22.28,35.49,622.89
ABR,5,11,41.12,5.49,0.44,4.24,23.75,14.93,2.13,265.76,24.35,28.84,622.82
ABR,5,12,46.67,5.40,0.38,NA,17.47,19.15,1.95,236.44,26.17,23.46,622.73
ABR,5,13,45.74,5.40,0.49,2.76,25.51,18.00,2.36,246.52,27.04,21.83,622.21
ABR,5,14,52.86,5.78,0.40,NA,21.29,18.33,2.29,158.34,28.23,20.19,621.42
ABR,5,15,54.31,5.45,0.44,2.30,16.28,11.84,2.61,228.69,29.50,19.46,620.54
ABR,5,16,56.70,5.65,0.46,NA,20.71,11.13,2.93,269.56,30.41,19.00,619.92
ABR,5,17,58.06,5.32,0.42,NA,22.17,16.49,2.18,251.03,31.31,17.84,619.42
ABR,5,18,57.34,5.28,0.44,NA,21.71,12.83,1.58,212.16,31.67,17.49,619.01
ABR,5,19,55.41,7.42,0.49,NA,25.64,13.44,1.40,145.95,30.68,18.98,619.06
ABR,5,20,36.84,9.07,0.74,12.82,39.91,13.26,2.52,140.61,29.41,21.18,619.61
ABR,5,21,31.27,5.19,0.56,6.51,48.04,20.02,3.19,191.01,28.41,18.70,620.45
ABR,5,22,28.36,5.15,0.52,5.84,NA,20.27,2.53,212.68,26.41,19.41,621.18
ABR,5,23,23.00,5.19,0.54,6.61,NA,13.54,2.06,212.73,24.84,20.76,621.88
ABR,6,0,23.52,5.12,0.43,4.19,NA,21.16,1.03,217.39,23.65,21.62,622.19
ABR,6,1,16.25,5.14,0.41,9.84,NA,19.02,1.02,150.33,22.63,23.55,622.19
ABR,6,2,10.55,5.19,0.42,13.40,27.85,13.85,0.65,161.58,21.78,24.86,622.02
ABR,6,3,4.68,5.30,0.45,14.32,31.51,13.48,1.38,269.69,20.19,29.34,621.73
ABR,6,4,5.20,5.88,0.42,15.95,32.61,15.10,1.22,271.81,18.56,31.89,621.83
ABR,6,5,6.82,5.58,0.41,13.68,29.01,23.10,0.83,251.90,18.34,31.91,622.09
ABR,6,6,5.90,5.80,0.61,16.83,40.50,29.11,1.25,234.52,18.11,32.32,622.30
ABR,6,7,4.60,6.45,0.90,15.88,44.50,18.10,0.76,145.16,17.18,36.27,622.71
ABR,6,8,8.41,9.44,1.17,20.53,55.52,22.74,0.74,136.94,18.74,34.99,623.36
ABR,6,9,10.43,9.01,0.92,24.31,73.78,27.74,0.83,111.84,21.79,28.81,623.77
ABR,6,10,27.38,7.79,0.87,23.91,62.89,25.30,1.40,192.27,24.02,24.65,623.96
ABR,6,11,36.61,5.81,0.49,7.04,39.63,36.18,2.18,235.51,25.49,21.04,623.77
