DATOS MÓVILES 2020_DIF,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,NO2,MO3,MSO2,MCO,MPM10,MPM2.5,
FEB,5,21,2.99,17.13,9.74,1.49,10.96,6.14,
FEB,5,22,3.22,16.35,9.79,1.45,9.82,6.32,
FEB,5,23,3.66,15.05,9.9,1.42,9.4,6.18,
FEB,6,0,3.23,13.55,9.97,1.39,9.12,6.14,
FEB,6,1,4.06,11.75,10,1.38,8.95,6.27,
FEB,6,2,4.33,10.02,10.03,1.36,8.83,6.07,
FEB,6,3,4.95,8.25,10.06,1.34,8.92,6.01,
FEB,6,4,4.13,6.95,10.1,1.32,8.89,5.84,
FEB,6,5,3.39,6.85,10.08,1.3,8.84,5.7,
FEB,6,6,4.17,6.94,10.06,1.29,8.7,5.38,
FEB,6,7,6.48,6.87,10.04,1.31,8.23,4.88,
FEB,6,8,7.74,6.16,10.02,1.4,7.88,4.53,
FEB,6,9,6.61,6.65,10.02,1.46,8.03,4.32,
FEB,6,10,4.23,8.53,10.02,1.48,7.71,4.38,
FEB,6,11,3.14,11.55,10.03,1.48,7.68,4.4,
FEB,6,12,2.89,15.27,10.03,1.48,7.63,4.4,
FEB,6,13,2.4,19.26,10.02,1.49,7.64,4.56,
FEB,6,14,3.55,23.19,10.04,1.5,7.37,4.92,
FEB,6,15,3.34,27.94,10,1.49,7.32,5.28,
FEB,6,16,3.59,33.21,9.99,1.42,7.06,5.39,
FEB,6,17,3.61,37.53,10.01,1.36,7.22,5.35,
FEB,6,18,3.46,40.32,10.01,1.35,8.44,5.14,
FEB,6,19,4.7,41.31,9.98,1.36,8.78,5.04,
FEB,6,20,5.82,39.45,9.97,1.42,8.24,5.21,
FEB,6,21,5.17,35.98,9.97,1.46,8.17,5.14,
FEB,6,22,5.04,31.7,9.97,1.58,9.59,5.24,
FEB,6,23,4.65,26.55,9.99,1.75,14.16,5.46,
FEB,7,0,4.66,21.16,10.09,1.84,19.43,6.48,
FEB,7,1,4.1,15.91,10.16,1.97,22.41,7.63,
FEB,7,2,3.69,10.93,10.23,2.05,27.22,8.98,
FEB,7,3,3.94,6.91,10.29,2.06,29.44,9.97,
FEB,7,4,3.86,4.75,10.38,2.04,31.28,10.82,
FEB,7,5,3.54,3.34,10.55,2.03,34.46,11.82,
FEB,7,6,2.74,2.64,10.65,1.93,37.33,12.68,
FEB,7,7,2.66,2.49,10.79,1.9,39.52,13.05,
FEB,7,8,2.79,2.59,10.92,2.07,45.99,14,
FEB,7,9,2.84,2.64,11.07,2.16,52.75,15.39,
FEB,7,10,4.9,2.97,11.17,2.21,57.82,16.91,
FEB,7,11,4.05,4.9,11.28,2.24,60.76,18.64,
FEB,7,12,2.47,8.92,11.7,2.26,61.97,19.84,
FEB,7,13,2.19,13.87,11.99,2.27,62.73,21.03,
FEB,7,14,2.67,19.47,12.09,2.26,63.29,21.72,
FEB,7,15,2.98,25.51,12.13,2.12,63.42,22.47,
FEB,7,16,3.16,31.51,12.15,1.86,63.82,23.25,
FEB,7,17,3.27,36.78,12.1,1.63,66.47,23.36,
FEB,7,18,3.26,40.89,12.06,1.51,66.06,23.36,
FEB,7,19,3.14,41.42,12.1,1.48,66.49,23.45,
FEB,7,20,3.02,39.52,12.12,1.47,65.61,22.84,
FEB,7,21,2.91,37.66,12.13,1.46,64.93,22.94,
FEB,7,22,2.86,33.86,12.11,1.45,65.08,22.77,
FEB,7,23,2.8,28.19,12.05,1.52,62.61,22.66,
FEB,8,0,2.76,22.25,11.96,1.65,59.95,22.22,
FEB,8,1,2.74,17.1,11.91,1.8,60.04,21.74,
FEB,8,2,2.76,12.76,11.85,1.9,57.96,21.13,
FEB,8,3,2.79,10.43,11.78,1.94,58.12,20.5,
FEB,8,4,2.75,8.44,11.72,1.93,57.87,20.43,
FEB,8,5,2.63,5.44,11.65,1.94,55.88,20.25,
FEB,8,6,2.62,3.91,11.58,1.96,54.81,20.13,
FEB,8,7,2.55,3.5,11.47,1.92,53.74,20.45,
FEB,8,8,2.33,3.59,11.43,1.94,50.96,20.37,
FEB,8,9,2.18,3.92,11.45,1.93,49.98,20.48,
FEB,8,10,2.05,5.66,11.68,1.9,48.92,21.77,
FEB,8,11,2.56,9.42,11.78,1.87,47.84,21.56,
FEB,8,12,2.75,14.62,11.51,1.89,47.68,21.46,
FEB,8,13,2.93,20.39,11.29,1.89,47.97,20.94,
FEB,8,14,4.32,26.37,11.15,1.87,47.48,20.88,
FEB,8,15,11.38,32.86,11.08,1.85,47.15,20.27,
FEB,8,16,6.23,39.44,10.99,1.7,47.32,20.16,
FEB,8,17,6.69,45.51,10.99,1.56,45.66,20.75,
FEB,8,18,6.21,50.52,11,1.48,45,21.41,
FEB,8,19,17.89,51.3,10.94,1.46,44.74,21.33,
FEB,8,20,44.63,46.82,10.93,1.63,45.98,21.38,
FEB,8,21,42.23,41.49,10.9,1.72,49.44,22.63,
FEB,8,22,27.96,36.34,10.87,1.76,50.67,23.27,
FEB,8,23,21.13,31.44,10.84,1.77,50.66,23.51,
FEB,9,0,19.59,25.48,10.78,1.79,49.75,23.18,
FEB,9,1,24.01,19.07,10.67,1.82,47.92,22.61,
FEB,9,2,26.01,12.13,10.61,1.89,47.11,22.27,
FEB,9,3,25.28,7.46,10.66,1.94,47,22.45,
FEB,9,4,26.19,6.61,10.77,1.75,47.13,22.46,
FEB,9,5,21.82,6.06,10.85,1.67,47.13,22.25,
FEB,9,6,21.76,4.95,10.94,1.66,47.13,22.03,
FEB,9,7,23.14,3.25,10.99,1.65,47.05,21.85,
FEB,9,8,22.82,2.24,10.98,1.69,44.74,21.64,
FEB,9,9,26.6,2.57,10.87,1.75,41.25,20.49,
FEB,9,10,25.45,4.43,10.57,1.76,39.79,18.51,
FEB,9,11,23.07,8.15,11.37,1.81,40.26,18.1,
FEB,9,12,13.05,13.54,11.94,1.83,40.86,18.47,
FEB,9,13,13.04,19.05,12.34,1.82,40.46,18.77,
FEB,9,14,8.07,23.88,12.5,1.8,40.68,18.93,
FEB,9,15,5.83,27.38,12.58,1.79,40.79,18.95,
FEB,9,16,5.9,31.45,12.7,1.73,40.42,18.39,
FEB,9,17,5.57,34.99,12.8,1.64,40.23,17.65,
FEB,9,18,5.86,37.41,12.88,1.57,40.68,17.04,
FEB,9,19,14.54,36.74,13,1.48,40.63,16.92,
FEB,9,20,28.79,32.59,13.08,1.47,39.29,16.74,
FEB,9,21,11.92,28.93,13.16,1.44,35.57,15.67,
FEB,9,22,9.45,25.55,13.31,1.43,33.84,15.16,
FEB,9,23,8.41,23.73,13.44,1.42,32.38,15.26,
FEB,10,0,12.26,20.72,13.57,1.41,31.42,15.52,
FEB,10,1,18.47,16.76,13.73,1.42,31.14,15.85,
FEB,10,2,19.54,12.43,13.88,1.43,30.45,15.43,
FEB,10,3,18.7,9.43,13.89,1.4,28.79,14.77,
FEB,10,4,16.6,8.56,13.85,1.35,27.71,14.01,
FEB,10,5,17.78,7.04,13.8,1.34,27.14,13.67,
FEB,10,6,19.49,5.62,13.78,1.34,26.54,13.43,
FEB,10,7,19.17,4.12,13.79,1.4,26.95,13.6,
FEB,10,8,21.95,3.27,13.84,1.66,29.49,13.45,
FEB,10,9,29.32,3.24,13.96,1.87,33.24,14.13,
FEB,10,10,30.55,4.6,14.32,1.93,34.38,14.54,
FEB,10,11,9.8,7.39,13.51,1.94,33.1,14.39,
FEB,10,12,8.9,10.92,13.05,1.95,31.94,13.22,
FEB,10,13,7.55,14.93,12.76,1.96,31.51,12.75,
FEB,10,14,7.11,19.35,12.79,1.96,31.27,12.38,
FEB,10,15,6.55,23.72,12.88,1.92,31.7,12.24,
FEB,10,16,5.37,28.37,12.94,1.67,31.91,12.15,
FEB,10,17,6.41,32.29,13.03,1.45,32.15,12.15,
FEB,10,18,6.77,35.24,13.09,1.38,32.25,12.26,
FEB,10,19,14.84,35.61,13.11,1.38,32.11,12.41,
FEB,10,20,26.69,33,13.14,1.41,32.28,12.46,
FEB,10,21,25.2,30.11,13.19,1.44,32.69,12.43,
FEB,10,22,14.51,27.31,13.19,1.44,33.22,12.62,
FEB,10,23,13.62,24.6,13.21,1.42,33.49,12.41,
FEB,11,0,26.49,20.74,13.38,1.44,34.31,12.11,
FEB,11,1,25.78,17.83,13.57,1.45,34.95,11.91,
FEB,11,2,25,14.8,13.72,1.47,35.89,12.5,
FEB,11,3,25,12.83,13.81,1.46,36.38,13.04,
FEB,11,4,19.1,12.31,13.78,1.42,36.58,13.5,
FEB,11,5,17.56,11.71,13.76,1.38,36.38,13.38,
FEB,11,6,21.5,10.49,13.81,1.39,36.31,13.41,
FEB,11,7,24.84,8.96,13.87,1.46,36.75,13.15,
FEB,11,8,27.43,8.34,13.95,1.64,36.99,13.23,
FEB,11,9,30.72,7.33,13.97,1.77,39,13.58,
FEB,11,10,30.13,7.27,13.72,1.83,40.31,14.17,
FEB,11,11,24.68,8.84,13.6,1.87,41.93,14.37,
FEB,11,12,9.75,12.15,13.46,1.89,42.59,14.61,
FEB,11,13,7.73,16.36,13.37,1.9,43.25,14.76,
FEB,11,14,6.89,21.67,13.3,1.89,43.55,14.8,
FEB,11,15,7.27,27.53,13.28,1.82,43.05,14.83,
FEB,11,16,7.19,33.63,13.32,1.65,42.87,14.99,
FEB,11,17,6.9,40.16,13.31,1.5,43.11,15.23,
FEB,11,18,7.52,45.63,13.37,1.43,43.54,15.51,
FEB,11,19,19.4,47.2,13.41,1.43,44.62,15.76,
FEB,11,20,17.21,46.66,13.39,1.46,45.36,15.99,
FEB,11,21,9.25,45.06,13.4,1.46,45.59,16.26,
FEB,11,22,9.87,42.53,13.4,1.46,45.36,16.54,
FEB,11,23,9.91,39.33,13.38,1.46,45.79,16.8,
FEB,12,0,11.01,35.32,13.21,1.45,45.21,17.14,
FEB,12,1,13.16,30.65,13,1.44,44.96,17.2,
FEB,12,2,9.72,26.37,12.84,1.42,43.92,16.62,
FEB,12,3,10,24.22,12.71,1.37,43.37,16.05,
FEB,12,4,10.09,22.63,12.69,1.33,43.05,15.53,
FEB,12,5,13.33,20.48,12.64,1.32,43.31,15.5,
FEB,12,6,12.29,18.2,12.56,1.31,43.06,15.48,
FEB,12,7,14.43,15.89,12.5,1.33,41.48,15.36,
FEB,12,8,17.39,13.62,12.38,1.38,38.68,14.97,
FEB,12,9,13.1,12.55,12.19,1.42,31.97,13.89,
FEB,12,10,8.94,12.38,12.06,1.45,27.53,12.19,
FEB,12,11,6.5,13.33,12,1.47,25.07,11.15,
FEB,12,12,9.33,15.21,11.95,1.5,24.39,11.05,
FEB,12,13,6.58,17.88,11.94,1.51,23.97,10.98,
FEB,12,14,6.06,21.09,11.87,1.51,24.7,10.6,
FEB,12,15,6.74,25.29,11.82,1.5,25.53,10.59,
FEB,12,16,6.12,30.19,11.73,1.45,26.61,10.41,
FEB,12,17,6.43,34.39,11.61,1.41,27.79,10.09,
FEB,12,18,7.85,36.13,11.48,1.38,28.57,9.88,
FEB,12,19,11.1,35.92,11.38,1.38,27.8,9.72,
FEB,12,20,15.44,35.25,11.27,1.37,26.96,9.45,
FEB,12,21,10.82,34.36,11.13,1.37,25.98,9.16,
FEB,12,22,11.79,32.37,10.97,1.37,25.64,8.87,
FEB,12,23,14.07,29.2,10.86,1.37,25.85,8.64,
FEB,13,0,14.88,25.38,10.8,1.37,26.04,8.43,
FEB,13,1,22.89,20.72,10.87,1.39,25.94,8.51,
FEB,13,2,23.59,16.98,10.84,1.4,26.65,9.12,
FEB,13,3,22.99,14.54,10.83,1.42,27.26,9.49,
FEB,13,4,23.27,12.05,10.83,1.42,27.89,9.82,
FEB,13,5,21.66,9.5,10.85,1.42,28.6,9.99,
FEB,13,6,21.97,7.75,10.88,1.43,29.16,10.1,
FEB,13,7,21.5,6.34,10.91,1.49,30.79,10.63,
FEB,13,8,24.25,5.13,10.92,1.66,33.2,11.15,
FEB,13,9,26.79,5.08,11.03,1.74,36.53,11.87,
FEB,13,10,25.45,6.48,11.2,1.8,39.75,12.89,
FEB,13,11,16.46,9.19,11.35,1.82,41.38,13.79,
FEB,13,12,11.4,12.93,11.46,1.83,41.72,13.83,
FEB,13,13,10.52,16.63,11.6,1.85,41.73,13.88,
FEB,13,14,9.27,21.23,11.81,1.86,41.56,14.25,
FEB,13,15,6.07,26.79,11.99,1.8,41.29,14.35,
FEB,13,16,5.71,32.66,12.11,1.63,40.41,14.53,
FEB,13,17,7.74,38.87,12.28,1.54,39.22,14.68,
FEB,13,18,7.21,43.72,12.36,1.48,38.31,14.69,
FEB,13,19,10.07,45.81,12.39,1.45,38.78,14.83,
FEB,13,20,29.84,44.21,12.5,1.49,38.69,15.14,
FEB,13,21,23.29,41.8,12.63,1.5,39.83,15.58,
FEB,13,22,21.62,38.46,12.77,1.5,40.75,15.77,
FEB,13,23,19.91,34.4,12.9,1.52,41.22,16.31,
FEB,14,0,15.55,30.5,12.97,1.53,42.22,16.19,
FEB,14,1,14.64,25.89,12.94,1.53,42.59,16.07,
FEB,14,2,13.02,21.36,12.92,1.53,42.46,15.65,
FEB,14,3,9.61,18.08,12.91,1.52,42.29,15.42,
FEB,14,4,8.34,17.57,12.94,1.45,41.75,15.19,
FEB,14,5,9.95,17.77,12.99,1.42,41.18,14.99,
FEB,14,6,11.44,17.83,13.07,1.4,40.56,14.88,
FEB,14,7,15.07,17.55,13.1,1.41,39.26,14.36,
FEB,14,8,16.8,16.72,13.06,1.43,36.92,13.78,
FEB,14,9,13.89,16.38,13.01,1.47,33.98,13.03,
FEB,14,10,10.92,16.69,12.9,1.5,32.12,12.07,
FEB,14,11,11.65,17.22,12.82,1.55,31.67,11.23,
FEB,14,12,12.61,18.33,12.76,1.6,32.38,10.78,
FEB,14,13,13.53,21.02,12.67,1.65,32.91,10.43,
FEB,14,14,15.5,24.34,12.77,1.69,33.05,10.78,
FEB,14,15,9.8,28.35,12.83,1.68,32.83,11.26,
FEB,14,16,6.23,33.32,12.75,1.65,33.41,11.58,
FEB,14,17,8.5,39.47,12.75,1.62,33.57,11.51,
FEB,14,18,8.7,44.64,12.8,1.6,33.62,11.63,
FEB,14,19,15.97,47.82,12.81,1.58,33.71,11.72,
FEB,14,20,43.72,46.44,12.82,1.64,34.55,12.06,
FEB,14,21,54.35,42.02,12.87,1.82,36.36,12.24,
FEB,14,22,21.56,39.06,12.87,1.81,39.31,12.82,
FEB,14,23,16.28,36.11,12.79,1.81,40.38,12.4,
FEB,15,0,11.09,32.73,12.74,1.8,40.35,12.67,
FEB,15,1,9.16,27.84,12.73,1.79,40.51,12.75,
FEB,15,2,10.52,23.01,12.75,1.79,40.31,12.42,
FEB,15,3,10.99,19.69,12.8,1.76,40.26,12.64,
FEB,15,4,11.91,19.91,12.77,1.66,40.43,12.6,
FEB,15,5,12.23,21.71,12.72,1.43,40.55,12.75,
FEB,15,6,11.79,21.53,12.62,1.4,40.79,12.97,
FEB,15,7,15.06,20.62,12.51,1.4,40.55,13.15,
FEB,15,8,18.98,18.85,12.54,1.43,40.74,13.23,
FEB,15,9,18.41,17.15,12.47,1.47,40.97,13.3,
FEB,15,10,15.07,16.77,12.42,1.51,40.84,13.84,
FEB,15,11,15.74,17.27,12.44,1.57,41.09,14.47,
FEB,15,12,14.21,19.29,12.42,1.62,41.31,15.05,
FEB,15,13,13.65,22.97,13.06,1.64,41.37,15.47,
FEB,15,14,15.02,28.09,13.34,1.68,41.53,15.38,
FEB,15,15,11.17,34.42,13.43,1.69,42.11,15.82,
FEB,15,16,12.35,40.91,13.77,1.68,42.7,15.85,
FEB,15,17,13.15,47.12,13.89,1.67,43.38,16.5,
FEB,15,18,16.44,51.11,13.82,1.67,44.5,16.97,
FEB,15,19,17.2,53.18,13.88,1.64,44.74,17.39,
FEB,15,20,50.49,50.48,13.95,1.74,45.48,17.32,
FEB,15,21,55.46,44.87,13.91,1.9,46.58,17.54,
FEB,15,22,47.09,38.76,14,2,47.06,17.91,
FEB,15,23,32.28,32.85,14.14,2.04,47.06,18.85,
FEB,16,0,21.64,28.1,14.28,2.04,47.87,19.25,
FEB,16,1,18.59,22.97,14.3,2.03,48.19,19.49,
FEB,16,2,12.68,19.48,14.36,2,49.11,20.06,
FEB,16,3,13.29,17.07,14.44,1.97,50.72,19.77,
FEB,16,4,12.25,18.15,14.52,1.84,51.75,20.38,
FEB,16,5,16.8,19.66,14.64,1.66,52.38,20.97,
FEB,16,6,19.75,20.82,14.75,1.54,53.1,21.47,
FEB,16,7,25.76,19.7,14.91,1.51,54.15,22.04,
FEB,16,8,29.3,19.05,15.08,1.55,55.05,22.7,
FEB,16,9,23.87,18.27,15.55,1.59,55.71,23.18,
FEB,16,10,21.89,18.68,16.1,1.63,56.05,23.62,
FEB,16,11,18.57,20.71,16.72,1.65,55.85,23.78,
FEB,16,12,19.99,24.44,18.09,1.69,55.91,24.06,
FEB,16,13,14.14,31.51,19.15,1.7,56.35,25.26,
FEB,16,14,15,39.74,20.55,1.71,57.36,25.67,
FEB,16,15,9.97,49.64,21.2,1.69,58.09,25.9,
FEB,16,16,7.2,53.02,21.35,1.62,57.27,26.12,
FEB,16,17,8.63,60.91,21.67,1.58,56.91,26.04,
FEB,16,18,9.06,67.05,22.24,1.54,56.22,26.53,
FEB,16,19,13.81,69.47,22.49,1.53,56.15,26.43,
FEB,16,20,31.91,67.09,22.84,1.54,55.55,26.36,
FEB,16,21,41.74,60.85,23.3,1.61,53.35,26.04,
FEB,16,22,40.75,53.47,23.7,1.68,51.36,25.56,
FEB,16,23,31.93,45.68,24.1,1.73,51.58,25.04,
FEB,17,0,23.27,37.81,24.49,1.75,51.65,24.81,
FEB,17,1,20.99,29.37,24.93,1.75,51.8,24.77,
FEB,17,2,15.62,21.48,25.35,1.74,51.24,24.53,
FEB,17,3,14.52,16.23,25.8,1.71,50,25.03,
FEB,17,4,15.25,14.17,26.2,1.66,49.32,24.33,
FEB,17,5,22.59,12.99,26.32,1.58,48.79,23.57,
FEB,17,6,22.77,11.63,26.48,1.5,48.78,22.84,
FEB,17,7,26.09,10.14,26.77,1.49,48.75,22.39,
FEB,17,8,26.42,8.79,26.96,1.55,49.47,21.82,
FEB,17,9,26.19,8.26,26.98,1.62,50.63,21.59,
FEB,17,10,22.54,8.25,26.89,1.7,51.24,21.44,
FEB,17,11,17.52,9.48,26.69,1.74,51.8,21.15,
FEB,17,12,14.23,12.14,25.75,1.77,50.82,20.58,
FEB,17,13,8.63,16.78,24.59,1.77,49.94,19.08,
FEB,17,14,12.11,20.85,23.23,1.77,48.05,18.07,
FEB,17,15,11.77,25.21,22.58,1.74,46.36,16.79,
FEB,17,16,12.23,29.85,22.32,1.68,46.03,16.09,
FEB,17,17,10.05,34.67,21.95,1.6,45.79,15.67,
FEB,17,18,8.64,39.24,21.63,1.52,45.03,14.49,
FEB,17,19,21.4,40.65,21.37,1.51,44.16,13.85,
FEB,17,20,34.48,38.57,20.97,1.53,44.31,13.35,
FEB,17,21,40.92,34.54,20.49,1.62,44.13,13.21,
FEB,17,22,36.84,31.13,20.1,1.7,46.16,13.19,
FEB,17,23,21.43,28.58,19.72,1.7,46.41,13.48,
,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppb]
FEB,18,0,15.66,25.52,19.28,1.71,73,20,23.14
FEB,18,1,5.80,20.64,18.85,1.72,71,19,27.85
FEB,18,2,3.89,15.01,18.58,1.73,71,16,26.91
FEB,18,3,2.84,10.89,18.54,1.71,67,18,26.32
FEB,18,4,2.23,8.86,18.37,1.68,62,16,25.21
FEB,18,5,2.56,7.84,18.3,1.6,63,15,25.02
