DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m3],PM2.5 Promedio ponderado  de 12 hrs. [µg/m3],NO2 Horario [ppm]
OCT,18,19,0.026,0.034,0.013,0.321,28,8,0.009
OCT,18,20,0.026,0.033,0.013,0.317,27,8,0.008
OCT,18,21,0.023,0.031,0.013,0.322,23,7,0.007
OCT,18,22,0.02,0.029,0.014,0.311,36,6,0.006
OCT,18,23,0.019,0.027,0.013,0.297,33,6,0.005
OCT,19,0,0.017,0.025,0.013,0.29,34,6,0.004
OCT,19,1,0.015,0.023,0.013,0.287,31,6,0.006
OCT,19,2,0.013,0.02,0.013,0.272,26,6,0.006
OCT,19,3,0.012,0.018,0.013,0.243,20,6,0.006
OCT,19,4,0.008,0.016,0.013,0.224,14,6,0.009
OCT,19,5,0.008,0.014,0.012,0.205,12,6,0.009
OCT,19,6,0.006,0.012,0.013,0.196,15,6,0.011
OCT,19,7,0.004,0.01,0.014,0.216,40,6,0.013
OCT,19,8,0.004,0.009,0.015,0.269,60,6,0.013
OCT,19,9,0.007,0.008,0.015,0.324,60,6,0.012
OCT,19,10,0.017,0.008,0.016,0.362,52,NA,0.009
OCT,19,11,0.022,0.009,0.015,0.403,42,NA,0.007
OCT,19,12,0.027,0.012,0.015,0.434,34,NA,0.007
OCT,19,13,0.034,0.015,0.014,0.46,23,NA,0.007
OCT,19,14,0.037,0.019,0.014,0.469,24,NA,0.006
OCT,19,15,0.035,0.023,0.014,0.454,17,NA,0.005
OCT,19,16,0.036,0.027,0.014,0.405,13,10,0.004
OCT,19,17,0.036,0.031,0.014,0.353,11,8,0.004
OCT,19,18,0.03,0.032,0.014,0.332,18,5,0.007
OCT,19,19,0.024,0.033,0.015,0.312,32,3,0.01
OCT,19,20,0.022,0.032,0.015,0.293,42,4,0.008
OCT,19,21,0.023,0.03,0.015,0.267,38,7,0.005
OCT,19,22,0.02,0.028,0.016,0.255,33,9,0.007
OCT,19,23,0.015,0.026,0.016,0.245,31,10,0.007
OCT,20,0,0.016,0.023,0.017,0.235,26,9,0.006
OCT,20,1,0.013,0.02,0.017,0.223,22,9,0.007
OCT,20,2,0.012,0.018,0.017,0.199,34,12,0.007
OCT,20,3,0.013,0.017,0.017,0.181,35,31,0.006
OCT,20,4,0.013,0.016,0.017,0.159,22,23,0.007
OCT,20,5,0.014,0.015,0.018,0.151,17,20,0.007
OCT,20,6,0.008,0.013,0.018,0.149,20,18,0.01
OCT,20,7,0.003,0.012,0.017,0.178,26,13,0.013
OCT,20,8,0.005,0.01,0.016,0.234,30,15,0.013
OCT,20,9,0.013,0.01,0.016,0.28,33,15,0.009
OCT,20,10,0.022,0.011,0.016,0.313,37,13,0.006
OCT,20,11,0.027,0.013,0.016,0.32,31,9,0.006
OCT,20,12,0.03,0.015,0.016,0.355,28,7,0.007
OCT,20,13,0.035,0.018,0.016,0.381,21,7,0.007
OCT,20,14,0.035,0.021,0.016,0.397,18,8,0.007
OCT,20,15,0.037,0.025,0.016,0.381,16,8,0.006
OCT,20,16,0.036,0.029,0.017,0.344,15,8,0.005
OCT,20,17,0.039,0.033,0.017,0.31,18,7,0.003
OCT,20,18,0.034,0.034,0.017,0.309,23,6,0.008
OCT,20,19,0.025,0.034,0.016,0.304,42,6,0.011
OCT,20,20,0.026,0.033,0.015,0.286,42,6,0.008
OCT,20,21,0.026,0.032,0.016,0.274,67,7,0.007
OCT,20,22,0.023,0.031,0.015,0.254,78,11,0.008
OCT,20,23,0.023,0.029,0.015,0.24,56,8,0.005
OCT,21,0,0.021,0.027,0.015,0.227,NA,NA,0.004
OCT,21,1,0.02,0.025,0.014,0.22,45,10,0.004
OCT,21,2,0.018,0.023,0.014,0.202,39,14,0.004
OCT,21,3,0.017,0.022,0.013,0.179,45,10,0.004
OCT,21,4,0.011,0.02,0.013,NA,67,10,0.007
OCT,21,5,0.006,0.017,0.012,NA,50,10,0.01
OCT,21,6,0.004,0.015,0.012,NA,48,14,0.012
OCT,21,7,0.004,0.013,0.012,NA,41,12,0.012
OCT,21,8,0.007,0.011,0.012,NA,32,11,0.011
OCT,21,9,0.014,0.01,0.014,NA,34,11,0.01
OCT,21,10,0.023,0.011,0.015,0.34,39,18,0.007
OCT,21,11,0.027,0.012,0.014,0.336,33,15,0.006
OCT,21,12,0.032,0.015,0.014,0.331,27,11,0.006
OCT,21,13,0.038,0.019,0.014,0.345,21,10,0.006
OCT,21,14,0.039,0.023,0.015,0.345,17,12,0.005
OCT,21,15,0.037,0.027,0.015,0.334,15,13,0.006
OCT,21,16,0.04,0.031,0.015,0.313,17,10,0.006
OCT,21,17,0.041,0.035,0.015,0.294,21,9,0.007
OCT,21,18,0.04,0.037,0.015,0.288,21,10,0.008
OCT,21,19,0.028,0.037,0.016,0.312,36,9,0.014
OCT,21,20,0.025,0.036,0.017,0.32,51,14,0.011
OCT,21,21,0.022,0.034,0.017,0.325,47,24,0.011
OCT,21,22,0.02,0.032,0.018,0.321,42,23,0.008
OCT,21,23,0.021,0.03,0.018,0.326,35,18,0.005
OCT,22,0,0.019,0.027,0.018,0.329,30,15,0.005
OCT,22,1,0.018,0.024,0.018,NA,21,13,0.005
OCT,22,2,0.015,0.021,0.018,NA,18,11,0.006
OCT,22,3,0.016,0.02,0.018,NA,12,11,0.005
OCT,22,4,0.016,0.019,0.018,NA,13,12,0.006
OCT,22,5,0.01,0.017,0.018,NA,16,10,0.01
OCT,22,6,0.007,0.015,0.018,NA,17,13,0.011
OCT,22,7,0.003,0.013,0.018,NA,21,10,0.015
OCT,22,8,0.004,0.011,0.019,NA,35,11,0.015
OCT,22,9,0.011,0.01,0.017,NA,41,18,0.012
OCT,22,10,0.022,0.011,0.016,NA,45,14,0.008
OCT,22,11,0.03,0.013,0.016,0.365,41,11,0.009
OCT,22,12,0.04,0.016,0.017,0.352,38,10,0.007
OCT,22,13,0.049,0.021,0.018,0.372,34,14,0.007
OCT,22,14,0.05,0.026,0.017,0.392,28,13,0.006
OCT,22,15,0.049,0.032,0.018,0.4,26,12,0.006
OCT,22,16,0.04,0.036,0.019,0.378,29,12,0.008
OCT,22,17,0.034,0.039,0.019,0.373,29,12,0.008
OCT,22,18,0.031,0.04,0.019,0.381,40,10,0.01
OCT,22,19,0.016,0.038,0.018,0.443,73,9,0.022
OCT,22,20,0.011,0.035,0.018,0.508,106,16,0.026
OCT,22,21,0.018,0.031,0.02,0.49,81,33,0.013
OCT,22,22,0.011,0.026,0.02,0.486,68,25,0.017
OCT,22,23,0.006,0.021,0.021,0.472,58,20,0.02
OCT,23,0,0.005,0.016,0.022,0.459,57,20,0.02
OCT,23,1,0.002,0.012,0.022,0.434,57,21,0.022
OCT,23,2,0.001,0.009,0.023,0.434,61,22,0.022
OCT,23,3,0.001,0.007,0.023,0.357,65,25,0.018
OCT,23,4,0.001,0.006,0.023,0.277,52,25,0.018
OCT,23,5,0.001,0.004,0.023,0.265,43,23,0.017
OCT,23,6,0.001,0.002,0.024,0.272,54,24,0.02
OCT,23,7,0.001,0.002,0.025,0.299,72,28,0.02
OCT,23,8,0.003,0.001,0.025,0.348,78,25,0.021
OCT,23,9,0.007,0.002,0.025,0.388,85,26,0.02
OCT,23,10,0.02,0.004,0.026,0.408,87,30,0.018
OCT,23,11,0.037,0.009,0.026,0.414,86,27,0.012
OCT,23,12,0.049,0.015,0.026,0.429,87,25,0.009
OCT,23,13,0.064,0.023,0.029,0.463,67,24,0.008
OCT,23,14,0.063,0.03,0.031,0.47,60,28,0.008
OCT,23,15,0.061,0.038,0.032,0.456,55,28,0.006
OCT,23,16,0.041,0.043,0.031,0.418,48,28,0.006
OCT,23,17,0.042,0.047,0.031,0.373,41,19,0.005
OCT,23,18,0.038,0.049,0.031,0.349,37,15,0.009
OCT,23,19,0.021,0.047,0.031,0.411,69,12,0.021
OCT,23,20,0.014,0.043,0.03,0.464,81,21,0.018
OCT,23,21,0.018,0.037,0.027,0.438,73,19,0.013
OCT,23,22,0.02,0.032,0.026,0.421,59,22,0.013
OCT,23,23,0.014,0.026,0.025,0.396,57,31,0.015
OCT,24,0,0.016,0.023,0.024,0.375,44,28,0.014
OCT,24,1,0.012,0.019,0.023,0.404,38,20,0.014
OCT,24,2,0.011,0.016,0.024,0.377,36,15,0.014
OCT,24,3,0.014,0.015,0.023,0.305,34,19,0.012
OCT,24,4,0.011,0.015,0.024,NA,31,16,0.013
OCT,24,5,0.006,0.013,0.024,NA,37,14,0.018
OCT,24,6,0.004,0.011,0.024,NA,42,19,0.02
OCT,24,7,NA,0.011,0.024,NA,47,21,0.023
OCT,24,8,0.004,0.009,0.023,NA,53,23,0.021
OCT,24,9,0.011,0.009,0.023,NA,59,23,0.017
OCT,24,10,0.023,0.01,0.022,NA,59,22,0.013
OCT,24,11,0.032,0.013,0.022,0.448,78,20,0.009
OCT,24,12,0.04,0.017,0.021,0.431,69,18,0.008
OCT,24,13,0.042,0.022,0.017,0.418,49,16,0.009
OCT,24,14,0.039,0.027,0.015,0.437,49,16,0.009
OCT,24,15,0.038,0.029,0.013,0.426,40,12,0.008
OCT,24,16,0.038,0.033,0.013,0.397,36,11,0.008
OCT,24,17,0.034,0.036,0.013,0.372,34,11,0.006
OCT,24,18,0.03,0.037,0.014,0.351,30,11,0.007
OCT,24,19,0.025,0.036,0.014,0.343,27,10,0.01
OCT,24,20,0.02,0.033,0.014,0.349,37,9,0.014
OCT,24,21,0.016,0.03,0.014,0.366,41,16,0.016
OCT,24,22,0.015,0.027,0.014,0.363,47,21,0.012
OCT,24,23,0.016,0.024,0.015,0.338,48,18,0.008
OCT,25,0,0.018,0.022,0.014,0.335,41,18,0.006
OCT,25,1,0.018,0.02,0.014,0.333,37,16,0.005
OCT,25,2,0.017,0.018,0.013,NA,31,13,0.005
OCT,25,3,0.013,0.017,0.013,NA,25,11,0.007
OCT,25,4,0.013,0.016,0.013,NA,22,11,0.007
OCT,25,5,0.012,0.015,0.013,NA,30,17,0.008
OCT,25,6,0.008,0.014,0.012,NA,29,19,0.011
OCT,25,7,0.003,0.013,0.014,NA,43,18,0.015
OCT,25,8,0.008,0.011,0.014,NA,50,23,0.012
OCT,25,9,0.014,0.011,0.016,NA,59,27,0.013
OCT,25,10,0.022,0.011,0.016,NA,60,33,0.011
OCT,25,11,0.03,0.014,0.016,NA,45,26,0.007
OCT,25,12,0.033,0.016,0.016,0.327,38,15,0.007
OCT,25,13,0.037,0.019,0.016,0.313,29,11,0.006
OCT,25,14,0.039,0.023,0.016,0.313,20,9,0.005
OCT,25,15,0.038,0.027,0.016,0.316,18,7,0.005
OCT,25,16,0.039,0.031,0.016,0.292,17,12,0.006
OCT,25,17,0.038,0.034,0.016,0.278,20,10,0.007
OCT,25,18,0.042,0.037,0.016,0.269,31,13,0.01
OCT,25,19,0.018,0.035,0.016,0.384,51,13,0.029
OCT,25,20,0.009,0.032,0.016,0.533,82,20,0.034
OCT,25,21,0.015,0.03,0.017,0.617,70,28,0.017
OCT,25,22,0.012,0.026,0.017,0.587,57,23,0.016
OCT,25,23,0.014,0.023,0.017,0.583,51,18,0.012
OCT,26,0,0.007,0.019,0.017,0.587,49,17,0.017
OCT,26,1,0.005,0.015,0.018,0.585,52,12,0.019
OCT,26,2,0.005,0.011,0.019,0.574,52,21,0.018
OCT,26,3,0.006,0.009,0.019,0.462,46,17,0.016
OCT,26,4,0.004,0.008,0.018,0.339,44,22,0.018
OCT,26,5,NA,0.007,0.018,0.26,43,21,0.02
OCT,26,6,NA,0.007,0.018,0.229,61,24,0.019
OCT,26,7,0.001,0.004,0.018,0.237,64,25,0.019
OCT,26,8,0.003,0.004,0.017,0.261,66,25,0.018
OCT,26,9,0.009,0.005,0.015,0.294,62,23,0.015
OCT,26,10,0.021,0.007,0.015,0.315,59,23,0.012
OCT,26,11,0.035,0.012,0.015,0.336,56,20,0.01
OCT,26,12,0.045,0.019,0.016,0.331,45,32,0.011
OCT,26,13,0.054,0.024,0.018,0.351,38,26,0.01
OCT,26,14,0.063,0.029,0.019,0.376,33,23,0.008
OCT,26,15,0.062,0.037,0.019,0.368,38,24,0.007
OCT,26,16,0.049,0.042,0.019,0.35,39,22,0.008
OCT,26,17,0.041,0.046,0.019,0.322,36,17,0.009
OCT,26,18,0.029,0.047,0.018,0.335,37,11,0.019
OCT,26,19,0.01,0.044,0.018,0.393,62,9,0.036
OCT,26,20,0.002,0.039,0.018,0.487,91,25,0.039
OCT,26,21,0.002,0.032,0.017,0.566,96,29,0.036
OCT,26,22,0.006,0.025,0.016,0.692,113,29,0.033
OCT,26,23,0.01,0.019,0.016,0.734,131,38,0.028
OCT,27,0,0.023,0.015,0.016,0.734,97,39,0.019
OCT,27,1,0.004,0.011,0.015,0.741,89,33,0.029
OCT,27,2,0.003,0.008,0.014,0.733,86,33,0.027
OCT,27,3,0.003,0.007,0.014,0.688,77,34,0.028
OCT,27,4,0.002,0.007,0.014,0.593,76,33,0.025
OCT,27,5,0.007,0.007,0.014,0.481,73,34,0.024
OCT,27,6,0.006,0.007,0.013,0.336,89,35,0.022
OCT,27,7,0.001,0.006,0.013,0.323,89,37,0.024
OCT,27,8,0.003,0.004,0.015,0.366,99,38,0.023
OCT,27,9,0.008,0.004,0.015,0.395,111,52,0.019
OCT,27,10,0.022,0.006,0.015,0.393,95,44,0.015
OCT,27,11,0.035,0.01,0.015,0.377,79,38,0.009
OCT,27,12,0.043,0.016,0.014,0.389,58,30,0.005
OCT,27,13,0.045,0.02,0.012,0.418,44,25,0.004
OCT,27,14,0.049,0.026,0.011,NA,30,18,0.004
OCT,27,15,0.051,0.032,0.01,NA,33,17,0.004
OCT,27,16,0.05,0.038,0.01,NA,36,15,0.004
OCT,27,17,0.046,0.043,0.011,NA,36,15,0.005
OCT,27,18,0.044,0.046,0.011,NA,38,9,0.006
OCT,27,19,0.026,0.044,0.011,NA,60,18,0.018
OCT,27,20,0.016,0.041,0.011,NA,71,20,0.025
OCT,27,21,0.026,0.039,0.011,NA,73,29,0.013
OCT,27,22,0.028,0.036,0.011,NA,61,26,0.007
OCT,27,23,0.023,0.033,0.011,0.281,50,19,0.007
OCT,28,0,0.019,0.029,0.011,0.264,52,16,0.01
OCT,28,1,0.02,0.025,0.011,0.264,57,20,0.009
OCT,28,2,0.018,0.022,0.011,0.282,51,15,0.009
OCT,28,3,0.018,0.021,0.011,NA,42,22,0.009
OCT,28,4,0.007,0.02,0.012,NA,34,21,0.018
OCT,28,5,0.003,0.017,0.012,NA,35,21,0.02
OCT,28,6,0.004,0.014,0.011,NA,33,23,0.02
OCT,28,7,0.008,0.012,0.011,NA,36,22,0.019
OCT,28,8,0.011,0.011,0.009,NA,40,22,0.014
OCT,28,9,0.017,0.011,0.008,NA,44,19,0.01
OCT,28,10,0.027,0.012,0.008,0.201,44,19,0.005
OCT,28,11,0.036,0.014,0.008,0.194,43,17,0.005
OCT,28,12,0.04,0.018,0.008,0.194,39,16,0.004
OCT,28,13,0.04,0.023,0.008,0.204,39,20,0.003
OCT,28,14,0.04,0.027,0.008,NA,57,12,0.005
OCT,28,15,0.039,0.031,0.008,NA,31,18,0.004
OCT,28,16,0.04,0.035,0.008,NA,25,15,0.004
OCT,28,17,0.04,0.038,0.008,NA,26,14,0.005
OCT,28,18,0.04,0.039,0.007,NA,30,14,0.005
OCT,28,19,0.024,0.038,0.007,NA,46,13,0.016
OCT,28,20,0.016,0.035,0.007,NA,57,17,0.02
OCT,28,21,0.017,0.032,0.007,NA,60,21,0.019
OCT,28,22,0.014,0.029,0.007,NA,67,21,0.018
OCT,28,23,0.018,0.026,0.006,NA,57,22,0.009
OCT,29,0,0.015,0.023,0.006,NA,48,18,0.01
OCT,29,1,0.01,0.019,0.006,NA,40,17,0.014
OCT,29,2,0.005,0.015,0.006,NA,37,17,0.019
OCT,29,3,0.006,0.013,0.006,NA,37,20,0.019
OCT,29,4,0.004,0.011,0.006,NA,41,15,0.017
OCT,29,5,0.009,0.01,0.006,NA,29,21,0.011
OCT,29,6,0.002,0.009,0.006,NA,31,22,0.019
OCT,29,7,0.002,0.007,0.006,NA,50,27,0.02
OCT,29,8,0.002,0.005,0.006,NA,58,30,0.022
OCT,29,9,0.005,0.004,0.007,NA,95,33,0.023
OCT,29,10,0.018,0.006,0.007,NA,107,63,0.018
OCT,29,11,0.034,0.01,0.007,NA,91,55,0.011
OCT,29,12,0.06,0.017,0.008,0.421,71,45,0.014
OCT,29,13,0.062,0.023,0.009,0.402,64,37,0.012
OCT,29,14,0.052,0.03,0.009,0.378,53,35,0.008
OCT,29,15,0.046,0.035,0.009,0.36,43,26,0.007
OCT,29,16,0.05,0.041,0.009,0.298,38,21,0.007
OCT,29,17,0.049,0.047,0.009,0.261,37,27,0.007
OCT,29,18,0.036,0.049,0.01,0.253,49,23,0.011
OCT,29,19,0.033,0.049,0.01,0.264,53,17,0.011
OCT,29,20,0.027,0.044,0.01,0.256,57,17,0.013
OCT,29,21,0.029,0.04,0.01,0.248,60,20,0.009
OCT,29,22,0.027,0.037,0.011,0.248,60,19,0.009
OCT,29,23,0.027,0.035,0.011,0.251,57,18,0.006
OCT,30,0,0.027,0.032,0.011,0.255,55,16,0.005
OCT,30,1,0.028,0.029,0.011,NA,51,20,0.004
OCT,30,2,0.027,0.028,0.011,NA,37,20,0.004
OCT,30,3,0.023,0.027,0.011,NA,26,13,0.006
OCT,30,4,0.025,0.027,0.011,NA,19,9,0.004
OCT,30,5,0.022,0.026,0.011,NA,15,8,0.007
OCT,30,6,0.019,0.025,0.011,NA,15,8,0.01
OCT,30,7,0.017,0.024,0.011,NA,16,8,0.013
OCT,30,8,0.018,0.022,0.011,NA,21,9,0.014
OCT,30,9,0.026,0.022,0.011,NA,28,10,0.008
OCT,30,10,0.03,0.022,0.01,NA,40,10,0.006
OCT,30,11,0.032,0.023,0.01,NA,45,13,0.008
OCT,30,12,0.036,0.025,0.01,NA,45,10,0.009
OCT,30,13,0.039,0.027,0.009,0.212,40,9,0.009
OCT,30,14,0.04,0.03,0.009,0.21,45,11,0.008
OCT,30,15,0.04,0.033,0.009,0.21,47,14,0.009
OCT,30,16,0.041,0.035,0.009,0.206,52,18,0.009
OCT,30,17,0.04,0.037,0.009,0.215,50,16,0.01
OCT,30,18,0.033,0.038,0.009,0.22,60,16,0.009
OCT,30,19,0.028,0.037,0.009,0.222,55,35,0.009
OCT,30,20,0.023,0.036,0.009,0.224,53,39,0.012
OCT,30,21,0.021,0.033,0.009,0.224,59,35,0.012
OCT,30,22,0.017,0.03,0.009,0.229,59,30,0.013
OCT,30,23,0.016,0.027,0.009,0.232,56,28,0.013
OCT,31,0,0.018,0.024,0.01,NA,50,24,0.011
OCT,31,1,0.021,0.022,0.01,NA,44,24,0.008
OCT,31,2,0.025,0.021,0.01,NA,33,21,0.006
OCT,31,3,0.025,0.021,0.011,NA,24,19,0.006
OCT,31,4,0.025,0.021,0.011,NA,16,14,0.006
OCT,31,5,0.022,0.021,0.011,NA,16,11,0.008
OCT,31,6,0.02,0.022,0.012,NA,27,10,0.009
OCT,31,7,0.014,0.021,0.013,NA,44,20,0.013
OCT,31,8,0.012,0.021,0.013,NA,51,22,0.015
OCT,31,9,0.016,0.02,0.013,NA,59,22,0.015
OCT,31,10,0.024,0.02,0.013,NA,65,25,0.012
OCT,31,11,0.031,0.021,0.014,NA,55,21,0.009
OCT,31,12,0.036,0.022,0.014,NA,47,17,0.009
OCT,31,13,0.044,0.025,0.014,NA,51,15,0.007
OCT,31,14,0.048,0.028,0.014,NA,81,16,0.006
OCT,31,15,0.047,0.032,0.014,NA,73,19,0.008
OCT,31,16,0.048,0.037,0.014,NA,55,17,0.007
OCT,31,17,0.05,0.041,0.014,NA,53,20,0.007
OCT,31,18,0.052,0.044,0.015,NA,50,23,0.008
OCT,31,19,0.031,0.044,0.015,NA,57,30,0.021
OCT,31,20,0.01,0.041,0.015,NA,81,31,0.033
OCT,31,21,0.018,0.038,0.015,NA,76,32,0.01
OCT,31,22,0.016,0.034,0.015,0.418,61,24,0.011
OCT,31,23,0.021,0.031,0.015,NA,54,19,0.007
