DATOS MÓVILES 2020_DIF,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppb]
MZO,3,21,27.01,33.84,21.5,1.46,53,10,10.66
MZO,3,22,28.87,32.43,21.37,1.45,47,11,10.53
MZO,3,23,31.25,31.58,21.17,1.45,39,11,7.48
MZO,4,0,32.76,31.07,20.93,1.45,34,12,5.82
MZO,4,1,29.18,30.28,20.78,1.45,36,12,7.52
MZO,4,2,27.59,29.45,20.71,1.45,31,12,7
MZO,4,3,28.70,29.08,20.58,1.45,25,11,6.61
MZO,4,4,27.69,29.13,20.47,1.44,23,11,7.58
MZO,4,5,23.82,28.73,20.44,1.44,22,12,9.24
MZO,4,6,21.08,27.76,20.41,1.44,25,10,12.68
MZO,4,7,17.81,26.08,20.33,1.45,30,8,16.41
MZO,4,8,12.29,23.52,20.27,1.52,38,10,26.76
MZO,4,9,14.47,21.68,20.19,1.62,51,20,30.35
MZO,4,10,30.80,22.08,20.16,1.65,50,20,15.41
MZO,4,11,40.94,23.61,20.14,1.66,36,20,6.49
MZO,4,12,42.32,25.44,20.14,1.67,28,23,6.15
MZO,4,13,38.00,27.21,20.13,1.67,20,20,6.11
MZO,4,14,39.32,29.49,20.11,1.66,19,11,5.16
MZO,4,15,42.64,32.6,20.31,1.64,14,8,5.11
MZO,4,16,43.67,36.52,20.59,1.58,17,9,5.16
MZO,4,17,42.02,39.96,20.91,1.48,23,9,5.7
MZO,4,18,33.42,40.29,21.21,1.45,26,9,5.45
MZO,4,19,26.40,38.47,21.5,1.44,36,8,9.85
MZO,4,20,17.54,35.38,21.51,1.45,49,8,17.02
MZO,4,21,18.33,32.92,21.49,1.46,50,9,16.55
MZO,4,22,12.79,29.6,21.35,1.48,50,11,19.97
MZO,4,23,18.45,26.58,21.34,1.48,45,11,10.34
MZO,5,0,12.51,22.68,21.32,1.48,33,8,15.19
MZO,5,1,5.34,18.1,21.19,1.5,33,6,22.83
MZO,5,2,5.70,14.63,21.12,1.51,40,8,22.25
MZO,5,3,6.72,12.17,21.14,1.52,39,13,22.25
MZO,5,4,12.54,11.55,21.2,1.51,40,13,21.68
MZO,5,5,3.43,9.69,21.25,1.51,39,18,21.73
MZO,5,6,4.41,8.64,21.47,1.51,39,16,22.67
MZO,5,7,4.12,6.85,22.12,1.56,47,16,25.08
MZO,5,8,3.05,5.66,22.68,1.66,66,18,26.3
MZO,5,9,5.38,5.67,23.26,1.73,74,21,27.36
MZO,5,10,10.93,6.32,23.73,1.78,84,23,25.3
MZO,5,11,28.55,9.05,23.81,1.82,76,29,17.82
MZO,5,12,38.46,12.29,23.93,1.86,63,26,17.18
MZO,5,13,41.98,17.11,24.14,1.89,49,27,15.76
MZO,5,14,45.00,22.18,24.33,1.92,38,28,14.56
MZO,5,15,54.25,28.45,24.51,1.89,32,25,9.52
MZO,5,16,49.09,34.2,24.62,1.79,29,22,7.04
MZO,5,17,47.39,39.46,24.71,1.71,21,16,6.42
MZO,5,18,46.62,43.92,24.88,1.66,24,12,6.71
MZO,5,19,43.72,45.81,25.07,1.62,32,11,8.66
MZO,5,20,24.79,44.11,25.34,1.67,45,10,21.73
MZO,5,21,23.91,41.85,26.13,1.72,68,13,15.15
MZO,5,22,24.40,39.27,27.66,1.69,87,17,16.11
MZO,5,23,30.03,36.24,28.04,1.68,86,20,8.1
MZO,6,0,27.97,33.6,28.77,1.69,77,17,10.76
MZO,6,1,28.99,31.3,29.5,1.7,71,18,11.02
MZO,6,2,24.97,28.6,30.74,1.7,56,21,15.96
MZO,6,3,32.63,27.21,31.05,1.69,44,22,6.03
MZO,6,4,33.81,28.34,31.09,1.58,30,19,4.04
MZO,6,5,34.99,29.72,31.07,1.49,25,17,4.4
MZO,6,6,27.06,30.06,31.56,1.48,28,16,12.98
MZO,6,7,27.68,29.76,31.25,1.48,26,17,12.23
MZO,6,8,26.13,29.53,30.59,1.48,27,14,13.81
MZO,6,9,27.23,29.31,30.17,1.49,33,12,13.49
MZO,6,10,29.35,29.86,29.83,1.51,43,15,12.9
MZO,6,11,32.96,29.9,29.85,1.54,47,15,10.93
MZO,6,12,35.80,30.15,29.78,1.56,47,15,11.09
MZO,6,13,38.41,30.58,29.52,1.58,43,14,11.1
MZO,6,14,37.22,31.85,29.64,1.61,44,15,12.29
MZO,6,15,39.56,33.33,29.5,1.62,41,17,11.8
MZO,6,16,38.25,34.85,29.9,1.62,46,20,12.92
MZO,6,17,37.93,36.19,30.12,1.63,48,23,14.42
MZO,6,18,34.51,36.83,30.32,1.72,54,21,15
MZO,6,19,32.28,36.75,30.77,1.84,57,18,15.31
MZO,6,20,30.56,36.09,31.99,1.84,65,19,15.59
MZO,6,21,26.67,34.62,32.23,1.84,64,22,17
MZO,6,22,29.57,33.67,31.06,1.83,59,20,11.21
MZO,6,23,31.07,32.61,30.78,1.81,46,16,8.17
MZO,7,0,32.74,31.92,30.14,1.78,38,14,5.88
MZO,7,1,30.89,31.04,29.65,1.75,37,13,8.33
MZO,7,2,28.15,30.24,28.84,1.64,30,11,11.22
MZO,7,3,32.15,30.23,28.34,1.5,21,15,4.59
MZO,7,4,30.13,30.17,28.62,1.47,18,12,8.22
MZO,7,5,31.46,30.77,28.5,1.45,17,16,7.42
MZO,7,6,29.54,30.77,27.65,1.44,16,16,8.91
MZO,7,7,26.90,30.25,27.22,1.45,18,14,13.23
MZO,7,8,20.86,28.76,27.08,1.48,21,12,18.76
MZO,7,9,24.56,27.97,26.67,1.51,28,12,15.78
MZO,7,10,32.29,28.49,26.22,1.54,33,15,11.8
