DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 promedio 8 hrs.,SO2 promedio 24hrs,CO promedio 8hrs.,NO2 horario,PM10 promedio ponderado 12hrs.,PM2.5 promedio ponderado 12 hrs.
JUL,7,1,33.09,47.53,9.52,0.338,6.62,32,9
JUL,7,2,36.54,41.93,9.48,0.315,6.3,19,7
JUL,7,3,36.91,36.61,9.47,0.298,5.58,12,5
JUL,7,4,32.69,33.4,9.46,0.282,6.37,9,4
JUL,7,5,28.9,32,9.46,0.264,7.25,10,4
JUL,7,6,21.34,30.84,9.43,0.254,12.1,11,5
JUL,7,7,15.11,29.63,9.41,0.28,16.94,16,7
JUL,7,8,15.45,27.5,9.31,0.32,15.68,23,8
JUL,7,9,26.67,26.7,9.18,0.348,9.52,21,8
JUL,7,10,35.26,26.54,9.16,0.376,7.52,19,9
JUL,7,11,39.37,26.85,9.15,0.406,8.16,19,9
JUL,7,12,45.1,28.4,9.18,0.419,6.01,16,10
JUL,7,13,46.93,30.65,9.15,0.428,7.1,10,10
JUL,7,14,50.13,34.25,9.03,0.415,6.04,9,11
JUL,7,15,55.92,39.35,8.75,0.379,5.08,5,12
JUL,7,16,60.26,44.96,8.55,0.329,4.52,3,12
JUL,7,17,61.41,49.3,8.35,0.312,4.44,4,12
JUL,7,18,62.26,52.67,8.21,0.29,4.53,8,9
JUL,7,19,48.97,53.87,8.14,0.254,9.25,53,7
JUL,7,20,40.49,53.3,8,0.243,10.78,79,8
JUL,7,21,36.66,52.01,7.94,0.231,10.18,63,5
JUL,7,22,34.13,50.01,7.61,0.239,10.35,52,3
JUL,7,23,40.73,48.11,7.54,0.24,6.85,37,4
JUL,8,0,33.25,44.74,7.49,0.244,8.36,25,5
JUL,8,1,32.75,41.16,7.48,0.24,7.38,20,5
JUL,8,2,26.52,36.69,7.58,0.238,10.34,15,4
JUL,8,3,28.04,34.07,7.67,0.236,10.65,13,4
JUL,8,4,24.41,32.06,7.8,0.238,11.86,16,6
JUL,8,5,17.19,29.63,8.04,0.245,14.75,24,14
JUL,8,6,19.88,27.85,8.25,0.256,12.83,23,17
JUL,8,7,18.75,25.1,8.36,0.277,11.5,20,17
JUL,8,8,19.96,23.44,8.4,0.305,10.08,16,12
JUL,8,9,20.74,21.93,8.43,0.34,9.2,19,11
JUL,8,10,25.13,21.76,8.42,0.367,7.01,16,11
JUL,8,11,29.97,22,8.45,0.39,7.97,15,10
JUL,8,12,33.92,23.19,8.46,0.398,6.93,20,10
JUL,8,13,37.6,25.74,8.38,0.395,6.08,17,12
JUL,8,14,36.55,27.83,8.31,0.376,5.67,26,15
JUL,8,15,35.51,29.92,8.2,0.351,4.55,19,12
JUL,8,16,30.18,31.2,8.2,0.33,6.42,19,8
JUL,8,17,24.91,31.72,8.28,0.3,6.95,22,12
JUL,8,18,15.51,30.52,8.34,0.289,8.57,27,9
JUL,8,19,16.81,28.88,8.38,0.273,6.88,22,6
JUL,8,20,14.58,26.46,8.44,0.268,7.66,20,3
JUL,8,21,9.49,22.94,8.47,0.283,10.53,21,2
JUL,8,22,11.16,19.77,8.28,0.292,9.77,19,5
JUL,8,23,13.37,17,8.14,0.295,7.74,17,5
JUL,9,0,9.87,14.46,7.99,0.284,9.43,12,3
JUL,9,1,11.51,12.79,7.78,0.275,7.18,10,4
JUL,9,2,15.67,12.81,7.69,0.247,5.86,10,4
JUL,9,3,15.53,12.65,7.52,0.228,6.33,6,4
JUL,9,4,12.39,12.37,7.44,0.21,7.89,6,5
JUL,9,5,9.38,12.36,7.22,0.184,9.58,10,5
JUL,9,6,6.17,11.74,7.24,0.185,10.92,8,5
JUL,9,7,2.89,10.43,7.57,0.211,13.76,18,7
JUL,9,8,3.88,9.68,8.21,0.266,13.58,30,7
JUL,9,9,7.9,9.23,8.74,0.322,11.88,37,9
JUL,9,10,11.5,8.71,9.3,0.374,10.09,33,10
JUL,9,11,16.3,8.8,9.56,0.424,8.63,34,10
JUL,9,12,19.29,9.66,9.87,0.47,8.5,26,9
JUL,9,13,29.15,12.14,10.53,0.526,9.31,25,6
JUL,9,14,44.46,16.92,11.85,0.597,10.06,33,6
JUL,9,15,40.78,21.66,13.8,0.664,7.5,29,11
JUL,9,16,24.28,24.21,14.21,0.643,6.19,23,11
JUL,9,17,16.59,25.29,14.12,0.63,10.3,23,10
JUL,9,18,17.42,26.03,13.95,0.625,10.96,26,9
JUL,9,19,27.54,27.44,13.88,0.597,6.71,29,9
JUL,9,20,24.16,28.05,13.83,0.572,6.79,26,8
JUL,9,21,20.8,27,13.61,0.532,6.83,24,6
JUL,9,22,20.5,24.01,13.74,0.476,9.11,16,5
JUL,9,23,27.84,22.39,14.11,0.413,8.64,15,6
JUL,10,0,28.95,22.97,14.42,0.387,6.45,8,5
JUL,10,1,29.57,24.6,14.64,0.35,7.28,7,5
JUL,10,2,31.12,26.31,14.8,0.307,6.91,7,4
JUL,10,3,29.87,26.6,14.95,0.293,7.11,6,5
JUL,10,4,18.22,25.86,15.04,0.28,9.92,7,7
JUL,10,5,15.93,25.25,15.09,0.267,10.67,9,7
JUL,10,6,12.97,24.31,14.96,0.261,13.47,11,8
JUL,10,7,3.03,21.21,14.56,0.286,20.21,14,9
JUL,10,8,6.18,18.36,13.98,0.349,17.68,25,13
JUL,10,9,20.73,17.26,13.52,0.391,12.72,29,25
JUL,10,10,36.57,17.94,13.24,0.424,9.82,28,25
JUL,10,11,47.17,20.1,13.51,0.462,10.39,28,22
JUL,10,12,55.51,24.76,13.99,0.509,8.96,29,23
JUL,10,13,66.79,31.12,14.41,0.588,9.61,25,20
JUL,10,14,61.16,37.14,14.21,0.624,9.2,25,22
JUL,10,15,56.23,43.79,13.17,0.595,7.09,20,18
JUL,10,16,53.9,49.76,12.9,0.542,6.88,15,14
JUL,10,17,56.32,54.2,12.73,0.518,7.99,13,17
JUL,10,18,61.39,57.31,12.58,0.508,8.26,31,15
JUL,10,19,55.96,58.41,12.38,0.498,11.38,50,13
JUL,10,20,39.82,56.44,12.38,0.501,19.77,53,10
JUL,10,21,37.47,52.78,13.85,0.5,13.24,67,9
JUL,10,22,30.05,48.89,14.26,0.462,11.84,58,9
JUL,10,23,28.44,45.42,14.14,0.447,7.99,64,8
JUL,11,0,24.13,41.7,13.98,0.44,8.08,64,9
JUL,11,1,24.41,37.71,13.93,0.425,6.75,65,12
JUL,11,2,23.34,32.95,14.03,0.421,7.47,64,13
JUL,11,3,20.96,28.58,14.34,0.403,7.53,61,20
JUL,11,4,25.01,26.73,14.36,0.349,6.33,49,19
JUL,11,5,15.15,23.94,14.31,0.27,9.35,34,16
JUL,11,6,10.84,21.53,14.26,0.271,11.68,40,15
JUL,11,7,6.22,18.76,14.31,0.299,15.21,35,15
JUL,11,8,12.49,17.3,14.37,0.333,11.49,37,16
JUL,11,9,18.61,16.58,14.36,0.385,9.32,38,15
JUL,11,10,29.86,17.39,14.18,0.401,7.06,34,17
JUL,11,11,35.41,19.2,13.58,0.422,7.35,31,15
JUL,11,12,39.26,20.98,12.74,0.453,7.34,39,15
JUL,11,13,43.7,24.55,11.77,0.479,7.55,34,13
JUL,11,14,44.86,28.8,10.95,0.495,8.05,27,11
JUL,11,15,44.42,33.58,10.51,0.48,6.64,38,10
JUL,11,16,41.19,37.16,10.41,0.464,7.19,46,11
JUL,11,17,40.28,39.87,10.49,0.448,5.31,41,15
JUL,11,18,34,40.39,10.58,0.442,7.99,37,14
JUL,11,19,31.01,39.84,10.55,0.428,5.75,47,12
JUL,11,20,12.54,36.5,10.31,0.503,16.61,33,6
JUL,11,21,10.63,32.37,8.85,0.549,17.49,28,4
JUL,11,22,16.05,28.77,8.49,0.541,11.12,28,6
JUL,11,23,15.23,25.12,8.55,0.539,9.87,24,14
JUL,12,0,18.63,22.3,8.57,0.519,6.49,18,10
JUL,12,1,18.3,19.55,8.57,0.484,5.81,18,9
JUL,12,2,16.9,17.41,8.37,0.459,6.04,16,8
JUL,12,3,16.18,15.56,7.96,0.445,6.14,12,8
JUL,12,4,15.23,15.9,7.77,0.341,7.26,11,9
JUL,12,5,13.44,16.25,7.72,0.267,7.56,10,9
JUL,12,6,12.73,15.83,7.71,0.248,8.13,10,8
