DATOS MÓVILES 2020_DIF,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MO3,MSO2,MCO,MPM10,MPM2.5
ENE,4,0,28.98,22.63,18.64,1.85,32.84,15.96
ENE,4,1,24.67,15.97,18.45,1.99,35.83,16.87
ENE,4,2,26.32,10.10,18.26,2.06,38.65,18.11
ENE,4,3,24.70,6.26,18.15,2.08,40.62,19.26
ENE,4,4,17.26,6.08,18.14,2.01,40.89,19.79
ENE,4,5,17.62,6.70,18.04,1.94,40.77,19.52
ENE,4,6,20.88,6.89,17.70,1.86,41.58,19.47
ENE,4,7,22.76,7.04,17.33,1.78,42.19,19.92
ENE,4,8,23.51,6.93,16.99,1.70,43.08,20.50
ENE,4,9,22.72,7.39,16.89,1.64,44.07,20.80
ENE,4,10,15.35,9.62,17.03,1.59,44.75,21.13
ENE,4,11,15.98,13.36,17.99,1.60,45.49,21.58
ENE,4,12,9.11,16.37,18.05,1.64,46.83,22.16
ENE,4,13,7.35,20.55,18.24,1.65,47.17,22.31
ENE,4,14,7.51,25.59,18.26,1.66,45.89,22.50
ENE,4,15,6.60,31.71,18.40,1.66,46.25,22.50
ENE,4,16,7.73,37.94,18.80,1.61,46.45,22.01
ENE,4,17,7.42,43.84,18.69,1.56,47.00,21.58
ENE,4,18,9.26,47.31,18.99,1.56,46.32,21.14
ENE,4,19,12.92,48.15,19.32,1.52,45.43,20.68
ENE,4,20,13.44,48.06,19.00,1.50,43.97,20.38
ENE,4,21,13.13,47.30,19.96,1.49,41.44,19.69
ENE,4,22,15.31,45.34,21.84,1.49,40.29,18.66
ENE,4,23,18.78,40.92,21.91,1.50,39.58,18.49
ENE,5,0,13.05,37.18,22.09,1.48,37.68,18.00
ENE,5,1,9.93,33.72,22.32,1.43,34.82,16.85
ENE,5,2,7.05,31.55,22.68,1.40,32.34,15.58
ENE,5,3,6.24,30.61,22.93,1.36,30.66,14.55
ENE,5,4,5.28,30.14,23.07,1.34,30.38,13.63
ENE,5,5,6.28,29.12,23.34,1.32,30.12,13.41
ENE,5,6,6.25,28.60,23.75,1.29,29.47,13.20
ENE,5,7,9.10,29.38,24.10,1.26,28.79,12.64
ENE,5,8,15.86,28.45,24.52,1.30,27.93,12.14
ENE,5,9,13.87,27.67,24.83,1.35,26.95,12.13
ENE,5,10,11.21,27.22,24.70,1.40,26.30,11.79
ENE,5,11,9.18,27.69,23.90,1.44,25.35,11.30
ENE,5,12,8.94,28.95,24.30,1.49,24.59,10.63
ENE,5,13,9.52,31.11,24.64,1.53,24.44,10.35
ENE,5,14,10.50,33.72,24.69,1.57,24.46,10.68
ENE,5,15,10.00,37.06,24.80,1.57,24.54,10.90
ENE,5,16,10.65,41.79,24.70,1.55,24.04,10.99
ENE,5,17,12.68,45.83,25.06,1.52,22.96,10.90
ENE,5,18,14.76,48.45,25.07,1.52,22.94,10.79
ENE,5,19,43.55,45.59,24.95,1.86,23.71,10.93
ENE,5,20,41.47,40.91,25.46,2.21,27.72,11.81
ENE,5,21,27.70,36.31,25.91,2.28,29.62,13.35
ENE,5,22,22.25,31.64,24.72,2.33,30.50,13.34
ENE,5,23,16.81,26.90,24.69,2.36,30.81,13.13
ENE,6,0,14.13,22.32,24.69,2.36,31.27,12.89
ENE,6,1,11.47,18.38,24.73,2.35,31.81,12.99
ENE,6,2,10.07,15.12,24.74,2.32,32.57,13.11
ENE,6,3,12.36,15.90,24.77,1.95,33.30,13.21
ENE,6,4,11.70,17.42,24.80,1.56,33.62,13.37
ENE,6,5,17.31,17.16,24.84,1.47,34.43,13.55
ENE,6,6,20.82,16.23,24.90,1.41,34.94,13.76
ENE,6,7,22.69,14.96,25.02,1.40,35.63,14.14
ENE,6,8,21.73,13.31,25.10,1.43,36.28,14.35
ENE,6,9,20.28,11.62,25.23,1.49,37.17,14.04
ENE,6,10,20.68,10.24,25.47,1.57,38.57,14.25
ENE,6,11,19.04,10.48,25.49,1.64,39.92,14.69
ENE,6,12,15.00,12.73,25.23,1.68,40.75,15.05
ENE,6,13,9.59,18.06,24.87,1.70,41.25,15.62
ENE,6,14,8.78,25.09,24.65,1.69,41.22,15.35
ENE,6,15,6.44,32.94,24.48,1.66,41.31,15.13
ENE,6,16,6.75,41.23,24.38,1.61,41.56,15.49
ENE,6,17,7.82,49.34,24.31,1.55,42.24,15.64
ENE,6,18,11.09,56.27,24.32,1.48,42.94,15.92
ENE,6,19,40.31,56.83,24.30,1.56,43.37,16.59
ENE,6,20,51.64,53.62,24.31,1.89,43.23,16.84
ENE,6,21,32.33,50.23,23.10,1.99,44.66,16.73
ENE,6,22,29.61,44.91,22.64,2.06,46.12,17.53
ENE,6,23,31.92,37.87,22.71,2.14,48.31,18.73
ENE,7,0,34.23,29.90,22.74,2.25,50.35,20.22
ENE,7,1,30.91,21.73,22.78,2.29,52.73,22.06
ENE,7,2,22.79,14.87,22.82,2.31,54.23,23.48
ENE,7,3,27.58,12.25,22.86,2.22,55.41,24.54
ENE,7,4,33.18,11.49,22.94,1.90,57.67,25.64
ENE,7,5,33.08,9.11,23.05,1.85,60.57,27.65
ENE,7,6,32.14,7.20,23.10,1.81,63.55,29.65
ENE,7,7,29.47,6.28,23.17,1.80,65.27,31.16
ENE,7,8,29.82,5.87,23.31,1.78,67.28,32.43
ENE,7,9,24.07,6.31,23.34,1.81,68.54,33.49
ENE,7,10,13.34,7.97,23.24,1.81,68.16,33.87
ENE,7,11,9.06,11.88,23.36,1.78,69.38,33.46
ENE,7,12,9.90,16.15,23.62,1.74,71.56,33.16
ENE,7,13,8.03,20.82,23.85,1.69,74.46,32.75
ENE,7,14,8.62,26.29,24.07,1.66,76.63,32.86
ENE,7,15,8.58,31.73,24.22,1.61,77.49,33.25
ENE,7,16,9.01,37.09,24.27,1.53,77.83,33.26
ENE,7,17,10.23,41.08,24.30,1.47,78.30,33.26
ENE,7,18,12.95,42.06,24.89,1.47,78.31,33.17
ENE,7,19,13.02,41.37,28.68,1.51,77.95,32.60
ENE,7,20,15.15,39.91,30.34,1.52,74.55,32.04
ENE,7,21,13.54,38.06,33.14,1.52,72.01,30.84
ENE,7,22,11.54,35.63,33.46,1.51,69.64,30.33
ENE,7,23,9.36,33.47,34.03,1.50,66.39,28.88
ENE,8,0,9.03,31.47,34.95,1.47,63.66,27.39
ENE,8,1,7.80,30.10,35.62,1.46,60.94,25.82
ENE,8,2,7.67,29.58,35.78,1.42,58.74,24.40
ENE,8,3,6.10,29.74,35.81,1.35,56.91,23.21
ENE,8,4,5.40,30.83,35.72,1.31,53.99,22.00
ENE,8,5,7.31,31.37,35.59,1.28,50.21,19.97
ENE,8,6,7.58,31.94,35.50,1.27,46.56,17.90
ENE,8,7,16.76,30.57,35.41,1.31,44.07,16.05
ENE,8,8,22.32,28.07,35.26,1.39,41.60,14.56
ENE,8,9,19.91,26.03,35.22,1.48,40.24,13.56
ENE,8,10,12.12,25.97,35.23,1.53,39.56,13.24
ENE,8,11,11.19,26.11,35.09,1.58,37.68,13.48
ENE,8,12,12.31,26.10,35.04,1.63,35.22,13.61
ENE,8,13,14.37,27.45,35.10,1.69,32.99,14.02
ENE,8,14,13.11,30.44,35.16,1.74,31.55,14.38
ENE,8,15,9.33,36.79,35.16,1.72,31.30,14.69
ENE,8,16,7.05,44.76,35.17,1.66,30.89,14.90
ENE,8,17,6.28,51.77,35.11,1.58,30.48,15.20
ENE,8,18,9.28,56.40,34.52,1.57,30.52,15.49
ENE,8,19,25.60,57.74,30.82,1.61,31.63,16.57
ENE,8,20,53.05,54.20,29.24,1.89,34.26,17.02
ENE,8,21,52.59,49.37,26.59,2.16,39.09,18.43
ENE,8,22,51.39,42.98,26.41,2.58,46.25,20.25
ENE,8,23,43.59,34.77,25.91,2.74,51.56,22.75
ENE,9,0,35.41,26.32,25.03,2.83,54.94,24.36
ENE,9,1,35.35,17.80,24.38,2.93,59.10,25.94
ENE,9,2,28.09,10.45,24.23,2.95,63.11,27.81
ENE,9,3,31.33,5.37,24.22,2.93,65.69,29.57
ENE,9,4,30.76,4.74,24.26,2.68,68.64,31.04
ENE,9,5,30.87,4.43,24.31,2.41,72.04,32.91
ENE,9,6,27.71,4.19,24.35,2.01,74.39,34.70
ENE,9,7,30.80,4.05,24.45,2.00,77.22,36.02
ENE,9,8,32.02,3.67,24.55,2.19,80.93,37.48
ENE,9,9,27.04,3.87,24.60,2.22,83.34,38.83
ENE,9,10,26.78,4.32,24.71,2.27,85.26,39.62
ENE,9,11,21.42,7.93,24.80,2.28,87.05,40.76
ENE,9,12,18.00,13.88,24.91,2.28,88.61,42.06
ENE,9,13,9.02,21.28,24.92,2.24,88.36,43.24
ENE,9,14,7.87,30.06,24.95,2.22,87.76,43.46
ENE,9,15,7.40,39.85,25.02,2.07,87.62,43.23
ENE,9,16,6.83,50.12,25.09,1.80,88.57,43.41
ENE,9,17,7.67,59.31,25.11,1.69,88.80,43.61
ENE,9,18,8.91,67.42,25.09,1.63,88.62,43.70
ENE,9,19,37.43,67.69,25.02,1.86,87.95,43.11
ENE,9,20,53.21,62.41,24.94,2.44,88.35,43.42
ENE,9,21,55.19,56.36,24.96,3.13,91.21,43.59
ENE,9,22,47.46,48.57,24.91,3.54,93.71,44.51
ENE,9,23,38.16,39.41,24.84,3.63,92.72,44.62
ENE,10,0,27.20,30.94,24.79,3.69,92.41,44.28
ENE,10,1,12.63,25.39,24.74,3.69,90.11,43.57
ENE,10,2,24.48,17.61,24.71,3.71,87.70,42.49
ENE,10,3,30.68,13.72,24.70,3.48,88.09,41.89
ENE,10,4,29.51,13.13,24.70,2.89,88.08,42.48
ENE,10,5,28.44,12.04,24.70,2.25,87.43,42.33
ENE,10,6,29.53,12.00,24.76,1.89,89.23,42.64
ENE,10,7,29.17,11.61,24.74,1.91,90.38,44.53
ENE,10,8,30.13,10.32,24.77,2.06,89.62,45.08
ENE,10,9,34.85,6.98,24.91,2.33,91.80,45.85
ENE,10,10,41.30,6.89,24.96,2.45,94.51,47.46
ENE,10,11,18.75,10.82,24.93,2.43,94.07,48.04
ENE,10,12,6.89,16.55,24.82,2.40,92.08,47.17
ENE,10,13,7.38,22.79,24.83,2.35,91.23,46.08
ENE,10,14,5.80,27.92,24.82,2.29,90.64,45.88
ENE,10,15,5.52,33.87,24.78,2.18,90.51,45.46
ENE,10,16,5.59,39.01,24.76,1.96,89.95,44.80
ENE,10,17,5.33,43.71,24.80,1.66,89.93,44.36
ENE,10,18,6.11,46.99,24.85,1.50,89.61,44.02
ENE,10,19,11.22,45.96,NA,1.47,89.05,43.48
ENE,10,20,22.62,41.18,NA,1.57,86.53,42.47
ENE,10,21,24.29,35.22,NA,1.70,81.25,42.08
ENE,10,22,21.98,30.13,NA,1.78,72.98,39.70
ENE,10,23,26.18,24.01,NA,1.90,71.16,37.69
ENE,11,0,23.48,18.40,NA,2.01,71.08,36.97
ENE,11,1,21.88,13.07,NA,2.13,72.82,37.27
ENE,11,2,21.12,8.29,NA,2.25,73.57,38.04
ENE,11,3,19.98,5.16,NA,2.30,72.50,38.18
ENE,11,4,20.08,4.20,NA,2.22,71.17,36.85
ENE,11,5,19.63,3.62,NA,2.11,70.32,36.02
ENE,11,6,19.25,2.60,NA,2.08,68.23,35.26
ENE,11,7,18.49,2.53,NA,2.02,66.00,33.24
ENE,11,8,19.17,2.39,NA,2.00,65.16,32.29
ENE,11,9,20.22,2.65,NA,2.00,62.09,31.23
ENE,11,10,22.48,3.83,NA,2.00,59.24,29.64
ENE,11,11,18.27,6.52,NA,2.02,59.22,28.74
ENE,11,12,11.92,10.59,NA,2.03,60.03,28.72
ENE,11,13,9.69,16.04,NA,2.01,59.93,28.64
ENE,11,14,10.55,22.00,NA,1.98,59.87,28.64
ENE,11,15,11.85,29.38,NA,1.94,60.06,28.75
ENE,11,16,11.30,37.15,NA,1.87,59.66,29.07
ENE,11,17,11.41,44.12,NA,1.79,59.14,29.13
ENE,11,18,16.32,49.27,NA,1.74,59.08,29.08
ENE,11,19,42.37,47.84,NA,2.04,59.80,29.05
ENE,11,20,45.65,44.10,NA,2.47,64.43,29.79
ENE,11,21,28.69,39.40,NA,2.54,64.04,30.00
ENE,11,22,20.57,35.36,NA,2.58,64.14,29.70
ENE,11,23,16.32,29.65,NA,2.59,63.33,29.62
ENE,12,0,8.82,24.92,NA,2.57,62.19,29.18
ENE,12,1,6.99,22.03,NA,2.55,59.66,27.98
ENE,12,2,6.51,18.67,NA,2.50,57.84,26.60
ENE,12,3,5.36,20.44,NA,2.12,56.60,25.61
ENE,12,4,5.50,23.66,NA,1.65,55.61,25.09
ENE,12,5,8.70,26.41,NA,1.58,55.15,24.62
ENE,12,6,9.95,27.38,NA,1.54,55.02,24.77
ENE,12,7,12.50,27.30,NA,1.54,54.30,24.94
ENE,12,8,14.22,25.48,NA,1.58,52.56,24.94
ENE,12,9,13.20,23.09,NA,1.63,50.84,24.14
ENE,12,10,9.99,23.01,NA,1.67,49.17,23.58
ENE,12,11,9.91,23.63,NA,1.72,47.83,22.74
ENE,12,12,10.40,23.89,NA,1.77,47.51,22.42
ENE,12,13,8.99,25.58,NA,1.79,47.99,22.31
ENE,12,14,9.02,28.90,NA,1.79,48.51,22.35
ENE,12,15,7.70,35.52,NA,1.79,47.90,22.62
ENE,12,16,8.37,44.01,NA,1.78,48.85,23.11
ENE,12,17,6.88,51.07,NA,1.74,49.40,23.65
ENE,12,18,6.42,56.19,NA,1.71,49.43,24.03
ENE,12,19,20.81,56.85,NA,1.73,48.59,24.20
ENE,12,20,43.82,53.25,NA,1.95,45.29,23.69
ENE,12,21,41.18,48.26,NA,2.31,46.72,23.58
ENE,12,22,38.48,42.26,NA,2.74,50.36,24.44
ENE,12,23,32.74,34.29,NA,2.85,54.00,25.95
ENE,13,0,18.63,26.20,NA,2.84,54.40,27.24
ENE,13,1,14.06,19.27,NA,2.85,54.61,28.00
ENE,13,2,14.41,13.21,NA,2.84,55.19,28.15
ENE,13,3,11.94,11.19,NA,2.79,55.38,28.45
ENE,13,4,13.19,12.80,NA,2.53,55.94,28.83
ENE,13,5,16.78,13.92,NA,2.15,55.87,29.16
ENE,13,6,18.61,14.63,NA,1.70,55.07,28.42
ENE,13,7,23.21,14.60,NA,1.63,55.03,28.07
ENE,13,8,26.22,13.16,NA,1.81,56.29,27.64
ENE,13,9,27.66,12.33,NA,1.99,59.51,28.32
ENE,13,10,22.57,11.43,NA,2.06,61.45,28.80
ENE,13,11,15.75,12.83,NA,2.10,62.26,29.34
ENE,13,12,14.64,16.34,NA,2.13,63.18,29.70
ENE,13,13,16.84,22.15,NA,2.19,63.80,29.91
ENE,13,14,9.96,29.16,NA,2.21,64.27,30.00
ENE,13,15,9.32,38.71,NA,2.16,65.30,30.17
ENE,13,16,9.25,49.26,NA,1.98,66.21,30.44
ENE,13,17,9.93,51.18,NA,1.82,66.30,30.37
ENE,13,18,10.16,57.70,NA,1.77,66.59,30.22
ENE,13,19,28.48,57.78,NA,1.83,66.82,30.23
ENE,13,20,45.82,53.05,NA,2.04,67.31,30.19
ENE,13,21,23.79,47.67,NA,2.05,66.11,30.13
ENE,13,22,15.88,42.57,NA,2.05,61.89,29.35
ENE,13,23,8.08,36.37,NA,2.04,57.12,27.73
ENE,14,0,7.29,29.32,NA,2.01,54.90,26.26
ENE,14,1,8.87,23.41,NA,1.98,54.02,25.43
ENE,14,2,8.89,17.56,NA,1.95,53.36,25.21
ENE,14,3,8.55,15.69,NA,1.83,52.72,24.69
ENE,14,4,7.87,17.06,NA,1.58,51.81,24.16
ENE,14,5,8.37,17.66,NA,1.48,50.55,23.54
ENE,14,6,11.72,16.72,NA,1.46,49.48,22.85
ENE,14,7,15.84,14.75,NA,1.51,49.07,22.18
ENE,14,8,18.55,12.45,NA,1.60,47.89,22.25
ENE,14,9,17.18,11.14,NA,1.72,44.96,21.24
ENE,14,10,10.51,11.63,NA,1.76,43.10,20.85
ENE,14,11,8.88,12.91,NA,1.80,41.93,20.30
ENE,14,12,9.01,14.69,NA,1.85,40.72,19.83
ENE,14,13,8.54,17.52,NA,1.89,39.85,19.25
ENE,14,14,6.12,22.58,NA,1.89,38.84,18.57
ENE,14,15,8.44,28.91,NA,1.86,37.87,18.11
ENE,14,16,6.52,36.06,NA,1.78,36.70,17.40
ENE,14,17,6.47,43.38,NA,1.68,36.47,17.10
ENE,14,18,7.50,49.01,NA,1.66,36.64,17.16
ENE,14,19,21.23,51.17,NA,1.69,36.79,17.48
ENE,14,20,44.12,48.98,NA,2.00,35.99,17.85
ENE,14,21,50.60,44.78,NA,2.47,39.36,18.12
ENE,14,22,21.31,40.87,NA,2.51,42.87,19.59
ENE,14,23,11.54,36.40,NA,2.51,43.84,19.96
ENE,15,0,6.78,32.05,NA,2.50,44.36,20.22
ENE,15,1,6.93,27.08,NA,2.48,44.53,20.23
ENE,15,2,7.59,21.64,NA,2.47,44.58,20.08
ENE,15,3,8.39,18.95,NA,2.40,44.64,20.11
ENE,15,4,8.83,19.70,NA,2.05,44.72,20.18
ENE,15,5,11.79,20.79,NA,1.55,45.17,20.08
ENE,15,6,13.07,19.74,NA,1.50,45.59,20.12
ENE,15,7,18.87,17.39,NA,1.54,45.43,20.36
ENE,15,8,20.16,16.20,NA,1.67,45.97,20.08
ENE,15,9,19.66,12.96,NA,1.79,46.76,20.86
ENE,15,10,14.52,11.61,NA,1.86,47.07,20.78
ENE,15,11,10.93,11.53,NA,1.91,47.60,21.01
ENE,15,12,11.19,13.21,NA,1.96,47.78,21.44
ENE,15,13,10.49,17.04,NA,1.99,48.14,21.76
ENE,15,14,8.42,22.19,NA,2.02,48.43,22.06
ENE,15,15,8.16,29.53,NA,1.97,48.55,22.34
ENE,15,16,9.04,32.57,NA,1.86,48.12,22.17
ENE,15,17,11.79,38.30,NA,1.78,48.30,21.86
ENE,15,18,11.17,42.81,NA,1.75,48.00,21.55
ENE,15,19,21.03,44.11,NA,1.77,47.29,21.35
ENE,15,20,37.09,40.88,NA,1.91,47.46,20.78
ENE,15,21,24.52,38.28,NA,1.99,43.69,20.04
ENE,15,22,16.51,35.72,NA,1.99,40.11,18.47
ENE,15,23,8.92,32.90,NA,1.99,39.38,18.06
ENE,16,0,6.44,29.47,NA,1.97,39.65,17.76
ENE,16,1,4.91,26.49,NA,1.93,40.20,17.67
ENE,16,2,6.68,23.33,NA,1.90,40.13,17.78
ENE,16,3,5.62,22.33,NA,1.83,40.21,18.15
ENE,16,4,6.43,24.64,NA,1.64,40.44,18.20
ENE,16,5,5.77,24.90,NA,1.55,40.17,18.74
ENE,16,6,9.19,23.77,NA,1.51,39.74,18.56
ENE,16,7,10.35,22.16,NA,1.52,39.44,18.52
ENE,16,8,14.57,20.46,NA,1.57,37.91,18.38
ENE,16,9,14.65,18.97,NA,1.64,36.89,17.60
ENE,16,10,9.04,19.17,NA,1.67,36.43,17.21
ENE,16,11,7.06,19.84,NA,1.70,36.31,16.93
ENE,16,12,7.55,21.39,NA,1.72,37.13,16.49
ENE,16,13,9.20,23.56,NA,1.74,37.83,16.30
ENE,16,14,8.98,26.75,NA,1.77,38.55,16.45
ENE,16,15,9.38,30.32,NA,1.78,38.37,16.46
ENE,16,16,10.84,34.77,NA,1.77,38.77,16.55
ENE,16,17,10.55,39.28,NA,1.74,38.51,16.56
ENE,16,18,13.54,41.50,NA,1.77,38.61,16.65
ENE,16,19,15.76,41.66,NA,1.83,39.79,16.61
ENE,16,20,10.66,40.46,NA,1.96,39.25,17.33
ENE,16,21,9.88,38.77,NA,2.01,38.32,17.08
ENE,16,22,10.43,36.01,NA,2.05,38.14,17.14
ENE,16,23,6.06,33.25,NA,2.03,37.61,17.06
ENE,17,0,4.86,30.51,NA,1.98,36.77,17.15
ENE,17,1,4.34,27.63,NA,1.95,35.60,17.17
ENE,17,2,3.93,25.61,NA,1.89,34.95,17.09
ENE,17,3,4.03,24.90,NA,1.80,34.22,16.60
ENE,17,4,3.52,24.86,NA,1.64,33.43,16.55
ENE,17,5,4.23,24.67,NA,1.56,32.97,16.07
ENE,17,6,5.48,24.56,NA,1.49,32.66,16.13
ENE,17,7,11.92,22.89,NA,1.53,32.18,15.59
ENE,17,8,16.93,20.07,NA,1.64,32.57,15.25
ENE,17,9,15.70,17.60,NA,1.75,32.28,15.08
ENE,17,10,10.95,16.38,NA,1.81,32.14,15.08
ENE,17,11,9.33,16.31,NA,1.86,31.82,15.04
ENE,17,12,11.01,16.98,NA,1.91,30.70,14.69
ENE,17,13,11.55,19.00,NA,1.98,30.01,14.46
ENE,17,14,8.49,22.61,NA,2.01,29.39,14.17
ENE,17,15,8.56,27.59,NA,1.98,29.47,13.93
ENE,17,16,8.69,33.85,NA,1.90,29.22,13.58
ENE,17,17,12.11,38.88,NA,1.84,29.15,13.50
ENE,17,18,12.83,42.22,NA,1.83,29.16,13.40
ENE,17,19,27.44,41.34,NA,1.86,27.92,13.59
ENE,17,20,33.11,38.75,NA,1.90,27.64,13.01
ENE,17,21,17.21,36.65,NA,1.88,28.01,13.50
ENE,17,22,7.51,34.77,NA,1.85,27.37,12.93
ENE,17,23,11.08,31.46,NA,1.84,27.21,12.56
ENE,18,0,21.50,26.06,NA,1.86,27.72,12.40
ENE,18,1,21.39,20.89,NA,1.84,28.67,12.94
ENE,18,2,13.68,16.77,NA,1.82,30.28,13.41
ENE,18,3,11.80,15.99,NA,1.75,30.99,13.85
ENE,18,4,10.69,16.15,NA,1.68,31.77,14.04
ENE,18,5,11.78,14.48,NA,1.65,32.68,14.23
ENE,18,6,11.09,11.27,NA,1.67,33.59,14.44
ENE,18,7,12.49,9.11,NA,1.68,34.16,14.83
ENE,18,8,14.37,8.45,NA,1.68,34.29,15.23
ENE,18,9,13.50,8.90,NA,1.71,34.08,15.39
ENE,18,10,9.55,10.13,NA,1.75,34.19,15.32
ENE,18,11,9.04,12.11,NA,1.79,34.42,15.37
ENE,18,12,10.12,14.74,NA,1.83,34.74,15.72
ENE,18,13,9.34,18.74,NA,1.86,34.59,16.21
ENE,18,14,9.82,23.27,NA,1.89,34.76,16.36
ENE,18,15,10.33,28.13,NA,1.91,34.91,16.26
ENE,18,16,8.08,33.17,NA,1.91,35.05,16.37
ENE,18,17,4.64,38.30,NA,1.85,35.00,16.48
ENE,18,18,5.40,41.61,NA,1.81,34.60,16.41
ENE,18,19,9.02,42.78,NA,1.79,34.59,15.91
ENE,18,20,12.48,42.44,NA,1.79,33.43,15.56
ENE,18,21,10.74,40.50,NA,1.83,31.99,14.65
ENE,18,22,8.77,38.01,NA,1.81,32.90,14.55
ENE,18,23,6.01,35.70,NA,1.77,33.39,14.45
ENE,19,0,5.88,33.62,NA,1.73,34.23,14.48
ENE,19,1,3.99,31.14,NA,1.73,33.17,14.09
ENE,19,2,4.00,29.18,NA,1.72,31.97,13.73
ENE,19,3,4.81,28.18,NA,1.69,31.43,13.48
ENE,19,4,5.94,27.81,NA,1.63,30.99,13.23
