DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
JULIO,8,6,0.02,0.023,0.007,0.765,22,0.008
JULIO,8,7,0.016,0.021,0.007,0.768,22,0.01
JULIO,8,8,0.012,0.02,0.007,0.773,25,0.01
JULIO,8,9,0.023,0.019,0.007,0.793,30,0.007
JULIO,8,10,0.03,0.02,0.007,0.808,32,0.005
JULIO,8,11,0.038,0.022,0.007,0.816,32,0.004
JULIO,8,12,0.043,0.025,0.007,0.828,33,0.004
JULIO,8,13,0.047,0.029,0.007,0.83,33,0.003
JULIO,8,14,0.047,0.032,0.007,0.839,32,0.004
JULIO,8,15,0.045,0.036,0.007,0.839,34,0.004
JULIO,8,16,0.044,0.039,0.007,0.834,37,0.004
JULIO,8,17,0.041,0.042,0.008,0.826,50,0.008
JULIO,8,18,0.039,0.043,0.008,0.822,47,0.007
JULIO,8,19,0.038,0.043,0.008,0.826,47,0.007
JULIO,8,20,0.035,0.042,0.009,0.83,52,0.007
JULIO,8,21,0.031,0.04,0.009,0.841,74,0.007
JULIO,8,22,0.025,0.037,0.009,0.847,120,0.007
JULIO,8,23,0.026,0.035,0.009,0.849,87,0.006
JULIO,9,0,0.024,0.032,0.009,0.85,61,0.005
JULIO,9,1,0.022,0.03,0.009,0.848,56,0.006
JULIO,9,2,0.023,0.028,0.009,0.847,45,0.005
JULIO,9,3,0.025,0.026,0.009,0.848,30,0.004
JULIO,9,4,0.029,0.026,0.009,0.84,24,0.004
JULIO,9,5,0.028,0.025,0.009,0.831,24,0.004
JULIO,9,6,0.026,0.025,0.009,0.826,17,0.005
JULIO,9,7,0.019,0.024,0.009,0.836,18,0.007
JULIO,9,8,0.019,0.024,0.009,0.86,18,0.007
JULIO,9,9,0.023,0.024,0.009,0.887,22,0.007
JULIO,9,10,0.029,0.025,0.009,0.9,22,0.005
JULIO,9,11,0.037,0.026,0.009,0.905,25,0.004
JULIO,9,12,0.041,0.028,0.009,0.915,22,0.003
JULIO,9,13,0.043,0.03,0.009,0.923,25,0.004
JULIO,9,14,0.048,0.032,0.009,0.929,27,0.004
JULIO,9,15,0.05,0.036,0.009,0.92,24,0.004
JULIO,9,16,0.054,0.041,0.009,0.896,27,0.004
JULIO,9,17,0.057,0.045,0.008,0.868,28,0.004
JULIO,9,18,0.06,0.049,0.008,0.848,29,0.004
JULIO,9,19,0.059,0.051,0.008,0.838,30,0.004
JULIO,9,20,0.049,0.052,0.008,0.865,37,0.009
JULIO,9,21,0.029,0.051,0.008,0.916,52,0.017
JULIO,9,22,0.033,0.049,0.009,0.903,51,0.004
JULIO,9,23,0.03,0.046,0.009,0.895,42,0.005
JULIO,10,0,0.032,0.044,0.009,0.887,28,0.005
JULIO,10,1,0.026,0.04,0.009,0.896,25,0.008
JULIO,10,2,0.019,0.035,0.009,0.9,26,0.01
JULIO,10,3,NA,0.031,0.009,0.896,23,0.009
JULIO,10,4,0.012,0.026,0.009,0.85,25,0.011
JULIO,10,5,0.016,0.024,0.009,0.785,27,0.008
JULIO,10,6,0.015,0.022,0.009,0.786,27,0.008
JULIO,10,7,0.007,0.018,0.009,0.801,26,0.01
JULIO,10,8,0.011,0.015,0.009,0.829,26,0.008
JULIO,10,9,0.02,0.014,0.009,0.829,27,0.006
JULIO,10,10,0.028,0.016,0.009,0.835,31,0.004
JULIO,10,11,0.034,0.018,0.01,0.84,36,0.004
JULIO,10,12,0.041,0.022,0.01,0.849,34,0.003
JULIO,10,13,0.048,0.025,0.01,0.856,36,0.004
JULIO,10,14,0.053,0.03,0.01,0.862,40,0.005
JULIO,10,15,0.055,0.036,0.01,0.849,41,0.004
JULIO,10,16,0.055,0.042,0.01,0.824,36,0.003
JULIO,10,17,0.053,0.046,0.01,0.803,38,0.003
JULIO,10,18,0.056,0.049,0.01,0.792,43,0.004
JULIO,10,19,0.046,0.051,0.01,0.784,68,0.005
JULIO,10,20,0.04,0.051,0.01,0.782,107,0.007
JULIO,10,21,0.034,0.049,0.01,0.783,84,0.008
JULIO,10,22,0.027,0.046,0.009,0.785,54,0.009
JULIO,10,23,0.025,0.042,0.01,0.802,40,0.01
JULIO,11,0,0.025,0.038,0.01,0.802,26,0.009
JULIO,11,1,0.025,0.035,0.009,0.804,21,0.007
JULIO,11,2,0.028,0.031,0.01,0.801,20,0.008
JULIO,11,3,0.032,0.03,0.01,0.797,13,0.004
JULIO,11,4,0.027,0.028,0.009,0.793,10,0.005
JULIO,11,5,0.025,0.027,0.009,0.786,8,0.006
JULIO,11,6,0.023,0.026,0.009,0.78,8,0.007
JULIO,11,7,NA,0.027,0.009,0.776,NA,0.008
JULIO,11,8,0.024,0.026,0.009,0.804,NA,0.009
JULIO,11,9,0.033,0.028,0.009,0.821,11,0.005
JULIO,11,10,0.034,0.028,0.01,0.84,11,0.006
JULIO,11,11,0.041,0.03,0.01,0.855,12,0.004
JULIO,11,12,0.045,0.032,0.01,0.865,13,0.003
JULIO,11,13,0.049,0.036,0.01,0.873,12,0.004
JULIO,11,14,0.049,0.039,0.01,0.878,14,0.004
JULIO,11,15,0.049,0.04,0.01,0.863,15,0.004
JULIO,11,16,0.049,0.044,0.01,0.835,22,0.004
JULIO,11,17,0.047,0.045,0.01,0.818,23,0.005
JULIO,11,18,0.043,0.046,0.01,0.799,25,0.004
JULIO,11,19,0.049,0.047,0.011,0.802,27,0.005
JULIO,11,20,0.042,0.047,0.011,0.821,36,0.009
