DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
ENERO,2,19,0.018,0.028,0.005,NA,29,0.01
ENERO,2,20,0.01,0.026,0.005,NA,38,0.015
ENERO,2,21,0.013,0.024,0.005,NA,56,0.012
ENERO,2,22,0.021,0.023,0.005,NA,58,0.013
ENERO,2,23,0.015,0.02,0.005,NA,62,0.013
ENERO,3,0,0.011,0.018,0.005,NA,55,0.013
ENERO,3,1,0.008,0.016,0.005,NA,54,0.012
ENERO,3,2,0.009,0.013,0.005,NA,49,0.011
ENERO,3,3,0.012,0.012,0.005,NA,43,0.011
ENERO,3,4,0.007,0.012,0.005,NA,38,0.01
ENERO,3,5,0.008,0.011,0.005,NA,37,0.01
ENERO,3,6,0.009,0.01,0.005,NA,37,0.01
ENERO,3,7,0.01,0.009,0.005,NA,40,0.011
ENERO,3,8,0.011,0.009,0.005,NA,54,0.011
ENERO,3,9,0.018,0.01,0.005,NA,74,0.014
ENERO,3,10,0.018,0.012,0.005,NA,86,0.016
ENERO,3,11,0.027,0.013,0.005,NA,71,0.008
ENERO,3,12,0.034,0.017,0.005,NA,50,0.005
ENERO,3,13,0.039,0.021,0.005,NA,37,0.005
ENERO,3,14,0.039,0.024,0.005,NA,31,0.004
ENERO,3,15,0.038,0.028,0.005,NA,32,0.003
ENERO,3,16,0.043,0.032,0.005,NA,31,0.003
ENERO,3,17,0.042,0.035,0.005,NA,29,0.004
ENERO,3,18,0.042,0.038,0.006,NA,35,0.005
ENERO,3,19,0.027,0.038,0.006,NA,41,0.01
ENERO,3,20,0.017,0.036,0.006,NA,46,0.014
ENERO,3,21,0.015,0.033,0.006,NA,61,0.015
ENERO,3,22,0.021,0.03,0.006,NA,73,0.012
ENERO,3,23,0.017,0.028,0.006,NA,73,0.013
ENERO,4,0,0.011,0.024,0.006,NA,68,0.015
ENERO,4,1,0.012,0.02,0.006,NA,72,0.013
ENERO,4,2,0.012,0.016,0.006,NA,75,0.011
ENERO,4,3,0.013,0.015,0.006,NA,74,0.011
ENERO,4,4,0.034,0.017,0.006,NA,65,0.01
ENERO,4,5,0.016,0.017,0.006,NA,62,0.011
ENERO,4,6,0.017,0.016,0.006,NA,62,0.011
ENERO,4,7,0.012,0.016,0.006,NA,70,0.011
ENERO,4,8,0.017,0.016,0.006,NA,71,0.012
ENERO,4,9,0.014,0.017,0.006,NA,85,0.013
ENERO,4,10,0.019,0.018,0.006,NA,93,0.014
ENERO,4,11,0.04,0.021,0.008,NA,94,0.011
ENERO,4,12,0.054,0.024,0.011,NA,107,0.012
ENERO,4,13,0.066,0.03,0.012,NA,92,0.01
ENERO,4,14,0.065,0.036,0.013,NA,67,0.008
ENERO,4,15,NA,NA,NA,NA,67,NA
ENERO,4,16,NA,NA,NA,NA,NA,NA
ENERO,4,17,NA,NA,NA,NA,NA,0.006
ENERO,4,18,NA,NA,NA,NA,82,0.008
ENERO,4,19,NA,NA,NA,NA,96,0.024
