DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2023,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
SEP,2,4,0.027,0.026,0.011,1.326,30,0.005
SEP,2,5,0.027,0.026,0.011,1.248,28,0.005
SEP,2,6,0.024,0.026,0.011,1.194,26,0.006
SEP,2,7,0.008,0.024,0.011,1.208,34,0.014
SEP,2,8,0.013,0.023,0.011,1.226,38,0.013
SEP,2,9,0.021,0.022,0.011,1.249,41,0.01
SEP,2,10,0.04,0.023,0.011,1.264,37,0.006
SEP,2,11,0.046,0.026,0.011,1.28,40,0.006
SEP,2,12,0.054,0.029,0.011,1.29,35,0.005
SEP,2,13,0.056,0.033,0.011,1.3,35,0.006
SEP,2,14,0.055,0.037,0.011,1.3,35,0.005
SEP,2,15,0.055,0.043,0.012,1.275,34,0.005
SEP,2,16,0.055,0.048,0.012,1.259,39,0.007
SEP,2,17,0.056,0.052,0.012,1.246,41,0.006
SEP,2,18,0.058,0.054,0.012,1.233,42,0.004
SEP,2,19,0.05,0.055,0.012,1.226,45,0.006
SEP,2,20,0.037,0.053,0.011,1.274,57,0.013
SEP,2,21,0.033,0.05,0.012,1.284,58,0.011
SEP,2,22,0.031,0.047,0.012,1.29,60,0.01
SEP,2,23,0.034,0.044,0.012,1.285,46,0.009
SEP,3,0,0.036,0.042,0.011,1.28,44,0.007
SEP,3,1,0.037,0.04,0.01,1.269,46,0.005
SEP,3,2,0.033,0.036,0.011,1.261,43,0.008
SEP,3,3,0.036,0.035,0.011,1.244,42,0.005
SEP,3,4,0.031,0.034,0.011,1.181,36,0.006
SEP,3,5,0.03,0.033,0.012,1.154,36,0.007
SEP,3,6,0.023,0.032,0.012,1.135,35,0.007
SEP,3,7,0.02,0.031,0.012,1.141,35,0.007
SEP,3,8,0.021,0.029,0.012,1.158,36,0.007
SEP,3,9,0.036,0.029,0.012,1.169,59,0.006
SEP,3,10,0.041,0.03,0.013,1.185,53,0.005
SEP,3,11,0.045,0.031,0.013,1.206,47,0.005
SEP,3,12,0.048,0.033,0.014,1.22,39,0.004
SEP,3,13,0.051,0.036,0.014,1.23,37,0.004
SEP,3,14,0.054,0.039,0.014,1.234,36,0.003
SEP,3,15,0.053,0.043,0.013,1.226,34,0.004
SEP,3,16,0.052,0.047,0.013,1.204,39,0.004
SEP,3,17,0.054,0.05,0.013,1.193,41,0.003
SEP,3,18,NA,NA,NA,1.186,NA,NA
SEP,3,19,NA,NA,NA,1.172,NA,NA
SEP,3,20,NA,NA,NA,NA,NA,NA
SEP,3,21,NA,NA,NA,NA,NA,NA
SEP,3,22,NA,NA,NA,NA,NA,NA
SEP,3,23,NA,NA,NA,NA,NA,NA
SEP,4,0,NA,NA,NA,NA,NA,NA
SEP,4,1,NA,NA,NA,NA,NA,NA
SEP,4,2,NA,NA,NA,NA,NA,NA
SEP,4,3,NA,NA,NA,NA,NA,NA
SEP,4,4,NA,NA,NA,NA,NA,NA
SEP,4,5,NA,NA,NA,NA,NA,NA
SEP,4,6,NA,NA,NA,NA,NA,NA
SEP,4,7,NA,NA,NA,NA,NA,NA
SEP,4,8,NA,NA,NA,NA,NA,NA
SEP,4,9,NA,NA,NA,NA,NA,NA
SEP,4,10,NA,NA,NA,NA,NA,NA
SEP,4,11,NA,NA,NA,NA,NA,NA
SEP,4,12,NA,NA,NA,NA,NA,NA
