DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
JUL,4,1,0.025,41.597,10.592,0.44,21,15,0.007
JUL,4,2,0.029,38.185,10.726,0.43,19,15,0.004
JUL,4,3,0.028,35.074,10.779,0.41,16,15,0.005
JUL,4,4,0.031,33.651,10.808,0.37,16,14,0.004
JUL,4,5,0.034,33.310,10.821,0.32,16,16,0.004
JUL,4,6,0.025,31.362,13.778,0.34,17,18,0.013
JUL,4,7,0.022,27.896,17.232,0.37,19,21,0.015
JUL,4,8,0.023,27.202,20.805,0.47,26,25,0.017
JUL,4,9,0.037,28.664,22.636,0.58,36,25,0.007
JUL,4,10,0.041,30.189,23.695,0.68,27,20,0.005
JUL,4,11,0.044,32.160,24.276,0.73,22,19,0.005
JUL,4,12,0.047,34.169,24.224,0.76,19,14,0.005
JUL,4,13,0.045,35.521,25.557,0.79,24,16,0.007
JUL,4,14,0.042,37.684,27.753,0.74,33,23,0.009
JUL,4,15,0.046,40.638,29.127,0.71,34,29,0.006
JUL,4,16,0.048,43.657,30.960,0.63,48,24,0.006
JUL,4,17,0.051,45.437,32.839,0.55,48,23,0.006
JUL,4,18,0.056,47.281,34.232,0.48,115,20,0.006
JUL,4,19,0.045,47.390,34.314,0.44,70,18,0.005
JUL,4,20,0.043,46.842,34.320,0.42,44,13,0.006
JUL,4,21,0.041,46.432,34.398,0.40,29,11,0.005
JUL,4,22,0.035,45.598,38.369,0.42,23,10,0.006
JUL,4,23,0.033,43.971,41.173,0.45,18,10,0.005
JUL,5,0,0.030,41.781,46.460,0.44,19,10,0.006
JUL,5,1,0.029,38.990,45.912,0.41,21,13,0.005
JUL,5,2,0.031,35.815,45.958,0.37,16,15,0.004
JUL,5,3,0.028,33.691,46.016,0.36,12,10,0.005
JUL,5,4,0.026,31.613,46.075,0.36,12,8,0.008
JUL,5,5,0.018,28.685,46.136,0.37,12,7,0.012
JUL,5,6,0.016,26.215,43.240,0.38,14,8,0.018
JUL,5,7,0.013,23.670,39.832,0.40,17,9,0.018
JUL,5,8,0.019,22.234,36.813,0.44,18,11,0.012
JUL,5,9,0.024,21.572,38.316,0.45,11,13,0.007
JUL,5,10,0.023,20.581,37.744,0.47,11,11,0.008
JUL,5,11,0.024,20.171,37.275,0.49,14,13,0.008
JUL,5,12,0.031,20.766,36.354,0.51,16,20,0.008
JUL,5,13,0.039,23.373,34.998,0.55,25,18,0.013
JUL,5,14,0.050,27.719,32.876,0.53,24,22,0.011
JUL,5,15,0.046,31.909,31.220,0.51,21,18,0.013
JUL,5,16,0.044,35.092,29.203,0.50,19,20,0.011
JUL,5,17,0.045,37.812,27.333,0.51,19,16,0.008
JUL,5,18,0.024,37.946,26.647,0.58,23,16,0.018
JUL,5,19,0.023,37.790,26.627,0.63,20,25,0.016
JUL,5,20,0.027,37.343,26.760,0.64,17,22,0.013
JUL,5,21,0.032,36.469,28.540,0.68,17,16,0.010
JUL,5,22,0.020,32.706,24.911,0.66,19,16,0.009
JUL,5,23,0.021,29.523,22.217,0.63,14,16,0.012
JUL,6,0,0.025,27.156,16.403,0.60,13,17,0.011
JUL,6,1,0.020,23.970,16.002,0.58,14,10,0.013
JUL,6,2,0.020,23.477,15.967,0.49,16,9,0.012
JUL,6,3,0.022,23.269,15.948,0.43,15,11,0.010
JUL,6,4,0.015,21.760,15.930,0.41,16,17,0.011
JUL,6,5,0.010,19.072,15.917,0.33,17,19,0.016
JUL,6,6,0.008,17.522,15.916,0.34,19,18,0.019
JUL,6,7,0.009,16.039,15.930,0.38,21,19,0.020
JUL,6,8,0.015,14.838,15.416,0.42,17,21,0.015
JUL,6,9,0.023,15.231,11.799,0.44,18,18,0.014
JUL,6,10,0.025,15.849,9.918,0.47,19,16,0.013
JUL,6,11,0.033,17.245,9.992,0.49,24,20,0.010
JUL,6,12,0.039,20.199,9.781,0.50,26,25,0.009
JUL,6,13,0.043,24.332,9.459,0.50,33,24,0.008
JUL,6,14,0.049,29.437,9.407,0.50,27,24,0.008
JUL,6,15,0.053,34.970,9.461,0.46,23,23,0.008
JUL,6,16,0.064,41.093,10.291,0.45,22,22,0.009
JUL,6,17,0.070,46.991,10.863,0.44,22,24,0.008
JUL,6,18,0.056,50.878,10.784,0.44,86,22,0.012
JUL,6,19,0.041,51.953,10.758,0.45,56,18,0.016
JUL,6,20,0.035,51.470,10.656,0.48,38,16,0.015
JUL,6,21,0.040,51.060,9.035,0.49,31,18,0.010
JUL,6,22,0.040,49.962,8.601,0.50,26,19,0.013
JUL,6,23,0.033,47.437,8.891,0.49,27,16,0.014
JUL,7,0,0.030,43.180,14.443,0.49,25,19,0.014
JUL,7,1,0.026,37.658,15.405,0.48,22,21,0.010
JUL,7,2,0.026,33.889,15.521,0.46,19,18,0.007
JUL,7,3,0.019,31.113,15.616,0.42,18,17,0.012
JUL,7,4,0.021,29.334,16.854,0.38,17,17,0.012
JUL,7,5,0.022,27.030,17.016,0.35,18,17,0.010
JUL,7,6,0.014,23.850,17.134,0.34,18,15,0.015
JUL,7,7,0.010,21.012,17.447,0.38,23,16,0.019
JUL,7,8,0.011,18.595,17.845,0.45,27,19,0.022
JUL,7,9,0.026,18.613,18.849,0.48,30,20,0.014
JUL,7,10,0.038,20.210,20.868,0.50,25,21,0.007
JUL,7,11,NA,20.371,20.314,0.53,24,22,0.007
JUL,7,12,NA,NA,NA,NA,NA,NA,NA
JUL,7,13,NA,NA,NA,NA,NA,NA,NA
JUL,7,14,NA,NA,NA,NA,NA,NA,NA
JUL,7,15,NA,NA,NA,NA,NA,NA,NA
JUL,7,16,0.056,NA,21.151,NA,NA,NA,NA
JUL,7,17,0.057,NA,20.562,NA,26,17,NA
JUL,7,18,0.051,NA,20.235,NA,30,16,NA
JUL,7,19,0.046,NA,20.167,NA,27,15,NA
JUL,7,20,0.036,NA,20.123,NA,25,16,NA
JUL,7,21,0.041,47.964,20.091,0.53,27,17,NA
JUL,7,22,0.028,45.118,22.489,0.52,25,21,NA
JUL,7,23,0.024,42.426,22.433,0.50,23,23,NA
JUL,8,0,0.020,37.839,15.771,0.47,16,19,NA
JUL,8,1,0.017,32.804,14.735,0.46,15,18,NA
JUL,8,2,0.010,27.670,17.526,0.45,16,18,NA
JUL,8,3,0.009,23.089,19.749,0.44,22,20,NA
JUL,8,4,0.015,20.405,18.816,0.42,17,20,NA
JUL,8,5,0.010,16.524,19.047,0.39,18,17,NA
JUL,8,6,0.010,14.247,19.672,0.38,20,17,NA
JUL,8,7,0.010,12.547,26.020,0.39,36,20,NA
JUL,8,8,0.015,11.923,35.543,0.45,47,48,NA
JUL,8,9,0.025,12.966,43.291,0.46,37,44,NA
JUL,8,10,0.032,15.790,44.722,0.48,37,39,NA
JUL,8,11,0.034,18.827,45.023,0.47,34,33,NA
JUL,8,12,0.042,22.206,43.964,0.49,31,34,NA
JUL,8,13,0.053,27.623,43.889,0.54,27,27,NA
JUL,8,14,0.050,32.700,43.499,0.55,27,29,NA
JUL,8,15,0.057,38.563,44.038,0.56,23,21,NA
JUL,8,16,0.064,44.721,45.335,0.52,25,20,0.013
JUL,8,17,0.066,49.747,47.233,0.52,23,23,0.010
JUL,8,18,0.047,51.573,47.396,0.51,21,22,0.014
JUL,8,19,0.033,51.509,47.442,0.51,20,15,0.015
JUL,8,20,0.027,49.573,47.459,0.51,17,13,0.018
JUL,8,21,0.031,46.822,47.333,0.46,17,13,0.009
JUL,8,22,0.031,44.418,45.403,0.44,17,12,0.008
