DATOS HORARIOS 2020_DIF,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,PBAR
JUL,6,20,58.38,10.63,0.36,18.31,85.08,18.52,2.26,260.19,27.47,621.18
JUL,6,21,40.07,9.37,0.41,23.82,71.65,11.4,2.12,198.66,26.53,621.78
JUL,6,22,30.59,17.23,0.42,13.3,58.39,11.38,3.86,66.95,26.39,622.35
JUL,6,23,24.81,9.72,0.28,11.31,40.15,7.68,3.24,115.17,24.09,623.17
JUL,7,0,32.46,9.02,0.24,7.91,32.84,8.17,4.09,163.1,20.72,623.75
JUL,7,1,33.09,8.31,0.23,6.62,21.24,8.66,2.35,160.74,19.67,624.34
JUL,7,2,36.54,6.15,0.22,6.3,6.35,5.09,2.82,145.53,19.67,624.17
JUL,7,3,36.91,7.25,0.22,5.58,5.37,3.63,3.72,154.66,19.25,624.1
JUL,7,4,32.69,7.26,0.23,6.37,6.32,2.61,3.29,151.27,18.99,623.85
JUL,7,5,28.9,7.6,0.27,7.25,11.68,4.77,2.16,152.39,18.67,624.01
JUL,7,6,21.34,7.05,0.34,12.1,11.49,6.25,1.65,100.39,18.5,624.29
JUL,7,7,15.11,7.6,0.49,16.94,21.62,7.71,1.93,94.22,18.4,624.51
JUL,7,8,15.45,7.92,0.56,15.68,29.13,9.05,2.34,130.99,19.24,624.9
JUL,7,9,26.67,6.94,0.45,9.52,19.62,8.69,2.4,148.81,21.53,625.08
JUL,7,10,35.26,7.05,0.44,7.52,17.81,9.34,2.27,120.25,23.01,624.99
JUL,7,11,39.37,7.98,0.46,8.16,19.46,9.63,2.5,120.5,24.44,624.86
JUL,7,12,45.1,8.12,0.34,6.01,11.6,10.55,2.62,176.33,26.17,624.36
JUL,7,13,46.93,8,0.33,7.1,4.34,10.23,3.2,132.91,26.99,624.01
JUL,7,14,50.13,7.25,0.24,6.04,8.83,11.99,2.53,165.16,28.14,623.58
JUL,7,15,55.92,7.2,0.2,5.08,NA,13.97,2.14,214.6,28.91,622.75
JUL,7,16,60.26,6.99,0.16,4.52,NA,11.62,2.36,226.93,29.37,622
JUL,7,17,61.41,6.22,NA,4.44,6.29,10.94,2.85,274.52,29.42,621.48
JUL,7,18,62.26,7.01,NA,4.53,11.83,6.85,2.18,248.94,29.78,621.55
JUL,7,19,48.97,7.47,0.25,9.25,98.72,4.99,6.64,119.37,23.75,622.68
JUL,7,20,40.49,7.27,0.27,10.78,105.19,8.62,4.2,156.17,20.19,623.43
JUL,7,21,36.66,7.86,0.27,10.18,46.77,3.1,3.29,118.73,19.68,624.13
JUL,7,22,34.13,9.47,0.29,10.35,40.05,NA,3.98,95.49,19.39,625
JUL,7,23,40.73,8.06,0.2,6.85,22.99,4.06,2.92,121.73,19.08,624.92
JUL,8,0,33.25,7.77,0.19,8.36,12.99,6.12,2.3,160.55,18.12,624.72
JUL,8,1,32.75,8.07,0.21,7.38,14.14,5.31,2.43,122.33,18.52,624.75
JUL,8,2,26.52,8.44,0.22,10.34,10.27,3.07,2.53,86.36,18.4,624.67
JUL,8,3,28.04,9.57,0.23,10.65,11.03,4.84,2.55,95.83,18.26,624.39
JUL,8,4,24.41,10.39,0.29,11.86,18.92,8.17,2.48,111.47,18.28,624.49
JUL,8,5,17.19,13.27,0.32,14.75,32.55,21.12,1.79,78.95,17.83,624.3
JUL,8,6,19.88,12.02,0.38,12.83,21.05,20.67,0.94,151.9,17.68,624.07
JUL,8,7,18.75,10.35,0.37,11.5,17.99,16.69,1.1,242.96,18.2,623.95
JUL,8,8,19.96,8.75,0.41,10.08,11.3,7.97,1.36,155.31,19.41,624.26
JUL,8,9,20.74,7.87,0.49,9.2,21.23,9.2,2.36,127.18,20.41,624.7
JUL,8,10,25.13,6.66,0.44,7.01,13.83,10.71,2.69,126.73,22.02,624.79
JUL,8,11,29.97,8.85,0.41,7.97,14.19,8.49,2.92,119.33,23.05,624.73
JUL,8,12,33.92,8.14,0.35,6.93,23.85,10.14,2.76,153.88,24.78,624.66
JUL,8,13,37.6,6.28,0.3,6.08,14.09,14.84,3.14,172.28,25.35,624.36
JUL,8,14,36.55,5.57,0.22,5.67,35.01,18.44,3.46,190.67,25.97,623.87
JUL,8,15,35.51,4.58,0.18,4.55,11.15,9.11,3.52,204.53,26.45,623.36
JUL,8,16,30.18,6.83,0.25,6.42,20.16,4.47,3.6,195.44,25.23,623.05
JUL,8,17,24.91,NA,0.24,6.95,25.23,15.69,4.52,180.43,21.7,623.22
JUL,8,18,15.51,NA,0.36,8.57,31.13,5.37,2.53,201.06,19.3,623.29
JUL,8,19,16.81,NA,0.29,6.88,16.48,3.36,3.06,205.9,20.25,623.46
JUL,8,20,14.58,NA,0.31,7.66,18.06,NA,1.93,190.86,19.74,623.71
JUL,8,21,9.49,NA,0.42,10.53,23.11,NA,1.6,154.74,19.9,624.26
JUL,8,22,11.16,5.94,0.29,9.77,17.24,7.51,2.69,133.71,19.77,624.93
JUL,8,23,13.37,5.3,0.2,7.74,14.15,4.49,2.67,107.8,19.4,625.3
JUL,9,0,9.87,4.92,0.17,9.43,6.82,1.4,3.5,90.09,18.54,625.51
JUL,9,1,11.51,4.15,0.17,7.18,7.95,3.98,3.25,83.05,17.68,625.25
JUL,9,2,15.67,6.61,0.14,5.86,9.44,4.63,3.2,80.06,17.08,624.86
JUL,9,3,15.53,6.4,0.13,6.33,3.28,3.83,2.06,110.3,17.01,624.72
JUL,9,4,12.39,8.96,0.16,7.89,4.77,5.84,1.91,90.34,17.09,624.57
JUL,9,5,9.38,8.99,0.21,9.58,13.53,4.49,2,109.54,17.23,624.6
JUL,9,6,6.17,12.35,0.3,10.92,6.73,5.82,2.44,92.8,17.02,624.76
JUL,9,7,2.89,16.68,0.41,13.76,27.8,8.36,2.14,100.7,16.98,625.04
JUL,9,8,3.88,20.95,0.6,13.58,42.52,7.78,2.23,101.03,17.38,625.25
JUL,9,9,7.9,17.89,0.62,11.88,43.37,10.4,1.61,99.67,18.52,625.35
JUL,9,10,11.5,17.28,0.56,10.09,28.2,11.76,1.59,121.29,20.2,625.19
JUL,9,11,16.3,13.83,0.53,8.63,34.78,10.17,2.08,93.8,20.78,625.09
JUL,9,12,19.29,13.93,0.53,8.5,18.84,7.1,2.22,95.44,21.65,624.88
JUL,9,13,29.15,18.82,0.66,9.31,22.88,2.41,1.81,124.95,23.51,624.55
JUL,9,14,44.46,30.77,0.87,10.06,41.35,5.82,2.05,121.02,25.35,624.07
JUL,9,15,40.78,41.5,0.94,7.5,24.38,16.66,1.92,160.76,25.77,623.41
JUL,9,16,24.28,14.62,0.43,6.19,16.86,11.52,2.69,110.62,24.9,623.08
JUL,9,17,16.59,12.42,0.51,10.3,22.83,9.51,2.11,77.74,23.98,622.78
JUL,9,18,17.42,10.69,0.52,10.96,29.8,7.97,2.02,144.74,24.3,622.72
JUL,9,19,27.54,12.33,0.31,6.71,32.39,8.97,5.49,226.46,21.8,623.36
JUL,9,20,24.16,12.78,0.33,6.79,23.3,6.52,4.16,206.1,19.94,624.07
JUL,9,21,20.8,8.42,0.34,6.83,22.57,4.2,4.44,154.62,18.16,625.39
JUL,9,22,20.5,9.11,0.42,9.11,7.25,4.75,2.79,83.17,16.47,626.29
JUL,9,23,27.84,14.12,0.44,8.64,14.31,6.09,2.95,219.26,15.37,626.37
JUL,10,0,28.95,12.54,0.23,6.45,1.08,5.18,3.11,240.7,15.17,625.89
JUL,10,1,29.57,9.31,0.21,7.28,5.49,4.12,2.32,291.51,15.43,626.17
JUL,10,2,31.12,10.43,0.18,6.91,7.52,3.16,1.04,205.1,15.33,626.25
JUL,10,3,29.87,9.96,0.19,7.11,5.37,6.5,1.11,169.71,15.52,625.96
JUL,10,4,18.22,11.3,0.23,9.92,7.65,8.06,1.42,190.35,15.11,625.88
JUL,10,5,15.93,10.14,0.24,10.67,10.5,6.79,1.73,234.03,15.02,625.8
JUL,10,6,12.97,9.2,0.37,13.47,14.01,9.09,1.27,125.33,14.67,626.07
JUL,10,7,3.03,7.16,0.64,20.21,17.42,9.24,1.96,79.14,14.62,626.28
JUL,10,8,6.18,7.02,0.73,17.68,36.39,16.95,1.85,109.63,14.92,626.62
JUL,10,9,20.73,6.88,0.55,12.72,33.09,37.1,2.04,155.94,17.9,626.61
JUL,10,10,36.57,10.48,0.44,9.82,26.14,25.95,1.35,151.05,20.83,626.5
JUL,10,11,47.17,20.26,0.5,10.39,28.62,17.58,1.75,113.91,22.65,626.21
JUL,10,12,55.51,25.53,0.61,8.96,29.59,23.63,1.98,126.31,23.71,625.9
JUL,10,13,66.79,28.86,0.87,9.61,21.52,17.11,2.02,132.47,25.65,625.42
JUL,10,14,61.16,25.99,0.66,9.2,24.04,23.48,2.15,135.01,26.77,624.98
JUL,10,15,56.23,16.44,0.41,7.09,15.47,13.8,2.38,107.93,27.9,624.46
JUL,10,16,53.9,8.27,0.31,6.88,10.49,9.96,3.39,119.81,28.94,623.84
JUL,10,17,56.32,8.19,0.35,7.99,10.85,19.78,3.91,77.43,29.52,623.33
JUL,10,18,61.39,7.13,0.36,8.26,49.93,12.96,3.08,89.54,29.87,623.29
JUL,10,19,55.96,7.54,0.41,11.38,67.61,10.17,2.91,99.99,29.07,623.14
JUL,10,20,39.82,12.74,0.63,19.77,56.33,6.95,2.33,82.76,27.73,623.44
JUL,10,21,37.47,43.72,0.86,13.24,81.38,7.52,3.58,50.66,26.87,623.71
JUL,10,22,30.05,19.14,0.35,11.84,49.3,9.28,3.42,60.43,24.9,624.52
JUL,10,23,28.44,11.19,0.29,7.99,69.6,8.02,3.26,87.9,22.94,625.22
JUL,11,0,24.13,8.71,0.26,8.08,64.65,10.38,3.55,93.73,21.63,625.41
JUL,11,1,24.41,8.06,0.23,6.75,66.16,15.08,3.86,82.18,20.52,625.28
JUL,11,2,23.34,12.78,0.33,7.47,63.67,13.61,3.73,58.38,20.2,625.12
JUL,11,3,20.96,17.47,0.26,7.53,56.77,26.72,2.17,98.28,19.4,625.22
JUL,11,4,25.01,11.8,0.2,6.33,38.06,17.88,3.95,75.57,19.78,624.86
JUL,11,5,15.15,8.9,0.23,9.35,19.23,13.13,1.72,113.63,18.43,625.17
JUL,11,6,10.84,8,0.36,11.68,45.36,13.92,1.56,94.44,17.94,625.05
JUL,11,7,6.22,8.42,0.51,15.21,29.82,15.73,1.35,112.52,17.93,625.36
JUL,11,8,12.49,8.33,0.53,11.49,39.18,16.51,2.43,86.36,18.61,625.75
JUL,11,9,18.61,6.6,0.65,9.32,39.46,14.36,3.35,94.28,20.08,625.76
JUL,11,10,29.86,6.35,0.46,7.06,29.02,19.56,4.35,71.52,21.5,625.72
JUL,11,11,35.41,5.66,0.44,7.35,27.99,13.57,3.55,61.77,23.12,625.52
JUL,11,12,39.26,5.48,0.45,7.34,47.38,14.21,4.48,76.51,25.49,625.28
JUL,11,13,43.7,5.62,0.44,7.55,27.99,12.15,5.44,84.87,26.48,624.79
JUL,11,14,44.86,6.35,0.48,8.05,20.82,8.43,5.6,83.95,27.84,624.31
JUL,11,15,44.42,5.82,0.39,6.64,49.66,9.23,5.9,79.61,28.76,623.67
JUL,11,16,41.19,5.84,0.41,7.19,53.99,11.54,4.94,78.13,28.99,623.21
JUL,11,17,40.28,10.17,0.52,5.31,35.43,18.91,5.24,55.23,29,622.56
JUL,11,18,34,9.13,0.41,7.99,33.42,13.79,4.47,131.02,25.09,623.03
JUL,11,19,31.01,6.91,0.32,5.75,57.74,8.71,3.93,206.71,19.6,623.63
JUL,11,20,12.54,7.08,1.04,16.61,18.42,NA,1.61,116.03,20.89,623.8
JUL,11,21,10.63,8.47,0.81,17.49,23.19,NA,2.51,72.89,22.13,624.31
JUL,11,22,16.05,10.7,0.42,11.12,28.22,8.68,3.04,72.9,22.06,624.9
JUL,11,23,15.23,12.46,0.38,9.87,19.38,21.98,2.6,82.42,20.91,625.43
JUL,12,0,18.63,9.37,0.25,6.49,13.04,6.69,2.93,77.2,20.3,625.52
JUL,12,1,18.3,7.95,0.24,5.81,17.38,7.36,2.82,85.42,19.72,625.3
JUL,12,2,16.9,7.97,0.21,6.04,13.16,6.94,2.85,84.57,19,625.21
JUL,12,3,16.18,7.73,0.21,6.14,9.47,7.73,2.03,83.45,18.42,625.07
JUL,12,4,15.23,7.27,0.21,7.26,9.29,9.34,1.87,88.37,17.97,625.02
JUL,12,5,13.44,7.65,0.22,7.56,9.52,9.49,2.27,96.4,17.44,624.98
JUL,12,6,12.73,7.67,0.26,8.13,9.86,7.49,2.6,89.14,17.39,625.04
JUL,12,7,8.51,7.75,0.38,10.61,12.96,5.02,2.18,95.2,17.4,625.3
JUL,12,8,10.37,7.35,0.57,9.65,16.72,7.21,1.91,105.4,18.82,625.74
JUL,12,9,20.65,7.26,0.43,6.34,19.08,8.74,3.1,89.28,20.95,625.76
JUL,12,10,26.31,7.11,0.45,5.97,25.2,6.36,3.93,76.12,22.47,625.92
JUL,12,11,30.93,7.25,0.37,5.53,15.58,5.5,3.78,74.3,23.74,625.75
JUL,12,12,35.03,6.83,0.41,6.02,14.92,6.83,3.34,91.49,25.08,625.34
JUL,12,13,40.17,7.3,0.35,5.16,18.84,9.77,2.64,96.27,26.35,624.83
JUL,12,14,44.24,7.83,0.37,5.83,11.91,9.2,2.47,103.38,27.57,624.09
JUL,12,15,48.68,7.98,0.35,5.62,16.75,16.21,2.82,93.46,28.48,623.23
JUL,12,16,53.06,8.82,0.3,5.77,16.46,25.58,3.15,94.07,29.67,622.62
JUL,12,17,57.02,8.28,0.24,5.36,15.4,18.49,3.37,126.56,30.16,622.31
JUL,12,18,48.43,8.04,0.23,5.77,20.97,6.35,5.04,170.07,28.54,622.28
JUL,12,19,36.87,7.97,0.21,5.06,43.93,9.47,4.64,214.54,24.76,622.51
JUL,12,20,30.64,6.89,0.23,6.94,33.65,10.67,2.96,254.13,22.57,623.07
JUL,12,21,24.39,6.98,0.32,10.44,30.92,6.82,2.27,192.53,22.05,623.87
JUL,12,22,23.9,7.67,0.28,8.25,27.49,NA,1.39,291.49,21.59,624.71
