DATOS HORARIOS 2020_DIF,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
ENE,7,17,42.88,24.84,1.47,10.23,38.97,5.04,74.62,21.66,18.75,623.89,12.31
ENE,7,18,33.91,38.42,1.58,12.95,43.16,4.48,55.24,20.46,23.51,624.12,11.82
ENE,7,19,31.25,115.02,1.72,13.02,54.24,4.57,50.42,18.17,28.89,624.37,12.13
ENE,7,20,27.41,65.19,1.56,15.15,50.5,3.88,59.74,17.19,30.04,624.64,20.4
ENE,7,21,28.58,90.15,1.48,13.54,47.33,4.12,61.07,15.89,32.16,625.08,13.43
ENE,7,22,27.65,31.63,1.4,11.54,35.56,4.01,81.56,14.77,34.4,625.38,18.84
ENE,7,23,29.65,37.53,1.32,9.36,27.94,3.72,81.27,13.38,36.57,625.69,6.54
ENE,8,0,30.47,45.87,1.26,9.03,24.21,3.85,79.65,12.81,37.09,625.77,9.26
ENE,8,1,31.86,40.01,1.34,7.8,21.7,2.71,75.88,12.37,39.12,626.01,12.14
ENE,8,2,29.78,27.73,1.25,7.67,18.64,2,80.37,10.74,43.56,626.18,8.95
ENE,8,3,32.49,24.69,1.23,6.1,17.07,2.64,86.87,9.87,46.97,626.14,6.9
ENE,8,4,36.19,22.87,1.23,5.4,11.71,3.97,88.67,9.29,51.48,625.76,7.37
ENE,8,5,32.9,22.74,1.23,7.31,11.21,3.74,80.34,8.89,54.24,625.68,7.38
ENE,8,6,32.18,22.89,1.3,7.58,16.53,2.73,95.07,8.31,57.64,625.88,7.62
ENE,8,7,18.69,22.7,1.63,16.76,18.77,2.67,100.27,7.46,61.27,626.01,7.71
ENE,8,8,10.44,23.03,1.91,22.32,33.39,2.38,102.73,6.95,63.63,626.39,9.71
ENE,8,9,15.6,23.18,2.03,19.91,48.72,2.55,97.06,8.74,58.23,626.8,16.53
ENE,8,10,29.28,23.07,1.64,12.12,38.69,3.81,94.06,11.43,54.43,627.07,22.44
ENE,8,11,33.64,23.03,1.63,11.19,33.88,4.1,97.52,13.49,51.82,626.86,20.39
ENE,8,12,36.04,23.29,1.67,12.31,29.33,3.15,104.18,16.06,44.07,626.16,17.31
ENE,8,13,43.75,24.14,1.72,14.37,37.71,2.58,102.9,18.3,37.16,625.14,23.91
ENE,8,14,56.08,24.39,1.68,13.11,33.81,1.8,121.97,21.23,31.8,624.16,26.68
ENE,8,15,69.5,24.03,1.49,9.33,32.32,1.64,239.67,23.83,25.08,623.38,33.71
ENE,8,16,74.17,23.61,1.42,7.05,15.95,1.71,220.25,24.84,24.14,622.83,24.22
ENE,8,17,71.7,23.41,1.42,6.28,29.09,2.43,272.23,24.21,25.35,622.72,19.51
ENE,8,18,66.33,24.31,1.5,9.28,44.06,2.55,291.4,23.69,26.47,622.78,18.67
ENE,8,19,44.34,26.21,1.96,25.6,81,1.43,318.95,21.81,28.92,622.94,37.98
ENE,8,20,7.76,27.35,3.93,53.05,113.55,1.05,257.15,20.08,32.76,623.17,31.32
ENE,8,21,5.1,26.39,3.9,52.59,163.39,0.73,250.78,18.38,36.02,623.56,47.17
ENE,8,22,4.92,27.29,5,51.39,207.42,0.97,183.41,17.08,39.28,623.77,62.63
ENE,8,23,3.84,25.61,2.78,43.59,155.29,0.85,229.35,15.57,42.35,624.01,66.48
ENE,9,0,6.61,24.76,2.18,35.41,105.29,0.75,126.38,14.45,46.43,624.05,47.82
ENE,9,1,3.5,24.47,2.18,35.35,121.62,1.67,101.55,14.3,47.55,624.04,50.16
ENE,9,2,7.53,24.08,1.72,28.09,114.89,1.94,106.04,13.56,49.33,623.73,53.8
ENE,9,3,3.66,24.3,1.8,31.33,78.95,1.32,125.44,12.86,51.12,623.38,49.24
ENE,9,4,2.72,23.85,1.87,30.76,82.55,0.77,155.06,12.05,54.59,623.35,42.67
ENE,9,5,2.66,23.95,1.8,30.87,92.68,1.12,83.59,11.57,55.92,623.46,52.07
ENE,9,6,2.98,23.94,1.74,27.71,72.94,1.07,185.95,10.68,58.07,623.79,50.67
ENE,9,7,2.74,25.06,2.69,30.8,86.83,1,179.92,9.45,61.69,623.97,39.26
ENE,9,8,3.59,25.39,3.74,32.02,122.26,1.15,115.83,10.1,60.28,624.42,44.84
ENE,9,9,5.06,24.46,2.39,27.04,106.7,2.08,106.14,11.3,55.88,625.09,48.96
ENE,9,10,11.13,25.6,2.1,26.78,84.8,2.12,113.72,13.42,50.58,625.22,41.5
ENE,9,11,32.57,25.24,1.92,21.42,76.7,1.35,135.21,17.94,38.99,625.21,47.75
ENE,9,12,50.3,25.94,1.83,18,66.94,1.41,193.94,20.89,33.22,624.68,48.5
ENE,9,13,61.86,24.52,1.54,9.02,31.67,2.04,250.15,22.59,31.57,623.78,52.12
ENE,9,14,73.27,25,1.55,7.87,19.45,2.07,252.51,24.16,29.63,622.85,31.9
ENE,9,15,81.04,25.71,1.53,7.4,28.92,2.46,274.73,25.33,27.3,622.19,28.23
ENE,9,16,85.73,25.18,1.53,6.83,38.67,2.27,273.6,26.09,26.07,621.74,28.67
ENE,9,17,78.57,23.93,1.55,7.67,34.7,2.31,252.08,26.1,24.6,621.42,24.3
ENE,9,18,76.03,23.91,1.62,8.91,39.56,1.55,268.86,25.52,24.89,621.32,20.78
ENE,9,19,34.71,24.41,3.73,37.43,65.07,0.68,209.32,23.31,28.96,621.26,23.76
ENE,9,20,8.09,25.43,6.51,53.21,123.03,0.62,220.18,21.24,34.03,621.46,38.83
ENE,9,21,13.46,27.06,6.99,55.19,232.06,0.98,123.87,20.17,36.38,621.76,51.1
ENE,9,22,10.93,26.01,4.87,47.46,267.43,1.27,218.31,18.38,38.69,622.27,84.77
ENE,9,23,7.78,23.91,2.22,38.16,131.48,1.33,242.98,16.93,41.49,622.74,69.28
ENE,10,0,17.98,23.53,2.05,27.2,97.88,1.79,215.5,16.85,41.13,622.59,39.53
ENE,10,1,34.15,23.24,1.54,12.63,66.49,1.29,256.66,16.57,42.25,622.62,33.23
ENE,10,2,13.8,23.36,1.77,24.48,57.04,1.1,196.01,14.83,47.62,622.73,27.79
ENE,10,3,3.61,24.13,1.87,30.68,88.2,1.04,270.85,13.27,49.38,622.8,34.95
ENE,10,4,3.33,23.93,1.78,29.51,82.46,0.78,226.99,12.47,50.48,622.79,56.65
ENE,10,5,4.71,23.89,1.92,28.44,76.93,0.87,115.82,12.48,53.21,622.64,48.45
ENE,10,6,10.62,25.31,1.98,29.53,116.31,0.86,184.67,12.15,56.91,622.87,58.22
ENE,10,7,4.64,24.73,2.37,29.17,114.43,0.89,250.56,11.38,58.98,623.45,84.68
ENE,10,8,7.66,26.06,3.22,30.13,103.87,0.83,175.03,11.65,58.72,623.74,57.96
ENE,10,9,7.45,27.73,3.73,34.85,159.04,0.97,218.72,14.19,50.19,624.27,67.53
ENE,10,10,13.06,26.88,2.7,41.3,149.98,1.27,227.1,17.21,44.12,624.69,80.17
ENE,10,11,35.12,24.42,1.73,18.75,66.08,1.56,265.33,19.64,43.83,624.66,61.68
ENE,10,12,49.12,23.32,1.52,6.89,19.19,2.52,276.37,21.39,41.15,624.06,27.43
ENE,10,13,54.67,NA,1.54,7.38,11.32,3.67,255.85,22.85,37.02,623.16,25.92
ENE,10,14,51.61,NA,1.5,5.8,5.25,3.57,256.55,24.53,30.58,622.07,27.2
ENE,10,15,52.29,NA,1.48,5.52,25.7,4.32,259.56,25.27,29.13,621.51,18.12
ENE,10,16,48.8,NA,1.44,5.59,25.39,5.43,254.63,25.65,23.81,621.07,12.92
ENE,10,17,44.99,NA,1.4,5.33,34.25,5.46,266.65,25.67,19.76,620.91,13.76
ENE,10,18,39.34,NA,1.36,6.11,31.86,4.66,268.88,24.76,18.4,621.07,12.51
ENE,10,19,26.87,NA,1.48,11.22,51.53,3,266.82,22.52,19.09,621.38,10.74
ENE,10,20,10.91,NA,2.34,22.62,62.6,1.48,238.21,20.36,22.53,621.79,14.59
ENE,10,21,6.95,NA,2.62,24.29,105.39,1.64,219.92,19.12,26.03,622.29,41.76
ENE,10,22,10.92,NA,2.09,21.98,68.85,1.11,169.19,18.34,29.56,622.78,27.77
ENE,10,23,3.32,NA,2.45,26.18,87.71,1.34,133.94,17.44,32.03,622.98,20.91
ENE,11,0,3.91,NA,2.35,23.48,96.07,0.93,197.37,15.8,36.05,623.12,22.36
ENE,11,1,2.31,NA,2.36,21.88,108.19,1.01,252.12,14.45,37.76,623.27,40.51
ENE,11,2,1.15,NA,2.3,21.12,75.14,0.93,174.51,13.85,38.9,623.21,46.28
ENE,11,3,1.79,NA,1.89,19.98,62.55,1.52,271.53,12.68,41.88,622.93,38.31
ENE,11,4,3.26,NA,1.66,20.08,50.49,0.96,179.76,11.87,43.48,622.84,24.69
ENE,11,5,2.27,NA,1.81,19.63,56.41,1.31,135.45,12.06,43.54,622.94,28.41
ENE,11,6,2.79,NA,1.83,19.25,66.13,1,224.78,10.9,46.96,623.05,39.93
ENE,11,7,2.8,NA,1.98,18.49,61.02,1.02,195.15,9.98,52.56,623.23,36.37
ENE,11,8,2.74,NA,2.19,19.17,83.63,2.2,99.64,10.06,54.96,623.73,34.99
ENE,11,9,4.39,NA,2.32,20.22,85.36,2.81,106.23,11.46,51.27,624.28,42.31
ENE,11,10,10.58,NA,2.29,22.48,81.63,2.84,104.67,15.13,45.66,624.47,42.02
ENE,11,11,23.33,NA,2.05,18.27,65.72,2.41,103,18.73,38.37,624.28,40.04
ENE,11,12,35.85,NA,1.78,11.92,38.62,2.28,97.86,21.86,30.66,623.99,26.76
ENE,11,13,45.85,NA,1.62,9.69,8.87,1.78,126.02,24.07,24.01,623.13,24.03
ENE,11,14,50.46,NA,1.61,10.55,3.79,2.57,146.35,25.61,17.25,622.1,27.29
ENE,11,15,61.87,NA,1.66,11.85,30.34,2.13,128.35,27.05,14.59,621.36,20.89
ENE,11,16,64.89,NA,1.66,11.3,15.73,1.95,147.94,28.31,12.56,620.85,20.58
ENE,11,17,60.09,NA,1.69,11.41,21.7,2.17,115.18,28.1,10.5,620.57,15.03
ENE,11,18,51.78,NA,1.86,16.32,30.54,1.49,102.33,27.57,10.96,620.64,11.43
ENE,11,19,11.91,NA,4.41,42.37,68.81,0.94,98.18,24.98,13.73,620.87,9.98
ENE,11,20,5.96,NA,5.25,45.65,173.71,1.93,164.7,22.88,17.81,621.17,32.36
ENE,11,21,8.2,NA,2.14,28.69,96.03,2.51,146.67,21.43,24.51,621.78,46.83
