DATOS HORARIOS 2020_DIF,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m3],PM2.5 [µg/m3],TEMP (°C),WS (m/s),WD (°),HR (%)
NOV,7,2,0.0194,0.0097,0.237,0.0046,20,15,13.4,3.9,78.52,59.94
NOV,7,3,0.0202,0.0095,0.212,0.0043,18,13,12.8,3.3,83.15,62.94
NOV,7,4,0.0152,0.0102,0.23,0.0063,15,10,11.9,2.5,98.86,66.82
NOV,7,5,0.011,0.0361,0.25,0.0084,48,12,11,2.7,99.35,70.76
NOV,7,6,0.0095,0.0435,0.299,0.0094,73,48,10.6,2.4,96.50,72.73
NOV,7,7,0.0073,0.0118,0.435,0.0107,52,48,10,2.5,93.32,74.90
NOV,7,8,0.0047,0.0108,0.537,0.0143,35,1,10.7,2.5,91.29,72.73
NOV,7,9,0.011,0.0121,0.553,0.0114,36,5,13.1,2.9,95.46,64.72
NOV,7,10,0.0184,0.0106,0.577,0.0092,32,17,16,3.5,95.67,57.36
NOV,7,11,0.0255,0.0194,0.549,0.0088,33,16,18.4,3,107.18,50.02
NOV,7,12,0.0372,0.0208,0.55,0.0091,51,30,21.2,1.9,121.88,40.04
NOV,7,13,0.0497,0.026,0.565,0.0089,53,26,23.7,1.8,139.07,33.52
NOV,7,14,0.0586,0.0202,0.544,0.0079,42,29,25.9,1.6,206.39,29.21
NOV,7,15,0.0567,0.0141,0.435,0.0056,40,39,26.6,2.1,172.89,27.20
NOV,7,16,0.0515,0.0114,0.361,0.0046,36,24,27.4,2,215.44,23.17
NOV,7,17,0.049,0.0109,0.338,0.0041,32,10,27.2,2.4,278.45,20.51
NOV,7,18,0.0489,0.0114,0.377,0.0057,43,17,26.2,1.8,260.03,22.09
NOV,7,19,0.0324,0.0125,0.821,0.019,71,15,23.8,1.3,284.67,26.38
NOV,7,20,0.0047,0.0126,2.107,0.0435,114,25,21.9,1,164.13,29.67
NOV,7,21,0.0032,0.0132,3.501,0.0429,175,50,20.1,1.2,178.35,33.78
NOV,7,22,0.0168,0.0109,0.767,0.02,126,55,19.5,2.5,155.56,36.74
NOV,7,23,0.0123,0.0111,0.732,0.0209,62,23,17.5,1.6,256.10,39.84
NOV,8,0,0.0014,0.0112,0.973,0.0305,82,18,16.5,0.9,216.03,40.34
NOV,8,1,0.0018,0.0122,1.127,0.0294,104,40,16.5,1.4,105.40,44.86
NOV,8,2,0.006,0.0232,0.577,0.0208,100,46,15.6,1.6,114.16,58.41
NOV,8,3,0.0035,0.0214,0.553,0.0184,56,37,14.9,0.6,185.92,63.42
NOV,8,4,0.0063,0.0224,0.48,0.016,69,28,14.1,1.6,113.80,63.47
NOV,8,5,0.0098,0.0161,0.393,0.0147,65,37,13.5,1.5,110.23,58.80
NOV,8,6,0.0107,0.0333,0.497,0.0155,53,27,13.3,1.7,123.84,54.73
NOV,8,7,NA,0.0466,0.62,0.0191,106,38,12.3,0.9,243.13,60.07
NOV,8,8,0.0057,0.0215,0.795,0.0175,96,55,13,1.2,137.27,57.95
NOV,8,9,0.0125,0.0216,0.696,0.0168,77,84,15.8,1.4,89.46,50.20
NOV,8,10,0.0272,0.0413,0.848,0.0131,59,63,20.3,0.9,160.15,40.76
NOV,8,11,0.0476,0.0468,0.822,0.0091,64,33,22.2,1.7,194.36,40.33
NOV,8,12,0.0376,0.0131,0.417,0.0048,36,32,23.4,2.4,256.96,39.87
NOV,8,13,0.0375,0.0109,0.378,0.004,20,13,24.4,2.6,240.58,37.42
NOV,8,14,0.0409,0.0106,0.45,0.0046,17,22,25.9,2.9,242.13,33.60
NOV,8,15,0.0404,0.0102,0.376,0.0039,21,17,27,2.5,241.43,29.22
NOV,8,16,0.0411,0.0102,0.333,0.0034,20,10,27.5,2.8,261.44,24.71
NOV,8,17,0.0413,0.0101,0.338,0.0039,28,12,27.6,2.2,246.84,24.39
NOV,8,18,0.0439,0.0104,0.377,0.0044,52,21,26.6,1.7,275.18,26.32
NOV,8,19,0.024,0.0106,0.914,0.0178,66,29,24.4,0.9,278.57,30.84
NOV,8,20,0.0052,0.0111,1.933,0.0343,94,42,22.8,0.8,244.48,34.44
NOV,8,21,0.0028,0.0115,2.34,0.0344,135,56,21.2,0.9,203.98,37.19
NOV,8,22,0.0073,0.0107,1.678,0.0251,107,40,20.3,1.8,193.59,37.48
NOV,8,23,0.0187,0.01,0.328,0.008,61,32,19.2,2.5,247.86,39.43
NOV,9,0,0.0148,0.0099,0.297,0.0081,27,14,18,1.6,288.80,45.77
NOV,9,1,0.0087,0.01,0.376,0.0127,30,8,16.9,1,302.61,48.99
NOV,9,2,NA,0.0103,0.411,0.0171,35,4,15.9,0.9,230.57,51.02
NOV,9,3,NA,0.0111,0.461,0.0192,36,27,15.2,1.1,138.58,54.27
NOV,9,4,0.0011,0.0577,0.398,0.0199,63,23,14.3,1.9,110.52,57.83
NOV,9,5,0.0029,0.0657,0.546,0.021,182,62,13.5,1.5,112.72,61.04
NOV,9,6,0.0012,0.0877,0.578,0.0223,126,102,13.2,1.2,103.19,63.10
NOV,9,7,0.0007,0.0452,0.688,0.0201,132,65,12.2,1,215.96,65.89
NOV,9,8,0.0017,0.0179,1.224,0.0193,89,48,13,0.8,170.16,61.27
NOV,9,9,0.006,0.0136,0.922,0.0201,98,35,15.3,2,104.92,54.42
NOV,9,10,0.0152,0.0547,0.771,0.0198,90,33,18.8,1.5,138.80,48.58
NOV,9,11,0.0272,0.0274,0.524,0.0134,106,66,22.4,1.4,228.69,38.64
NOV,9,12,0.0431,0.0109,0.389,0.0073,54,32,24,2.5,255.65,32.79
NOV,9,13,0.0566,0.0115,0.398,0.0064,45,15,25.7,2.1,221.22,28.89
NOV,9,14,0.0531,0.008,0.413,0.0059,30,12,27.8,2.2,244.55,24.41
NOV,9,15,0.0513,0.0069,0.362,0.0052,28,28,28.9,1.9,236.44,20.40
NOV,9,16,0.0529,0.0111,0.342,0.0052,30,7,29.5,1.7,173.64,16.58
NOV,9,17,0.0516,0.0086,0.359,0.0057,31,24,29.3,1.9,192.00,16.98
NOV,9,18,0.0412,0.0057,0.47,0.0099,37,13,28,2.3,228.81,17.61
NOV,9,19,0.0184,0.0053,0.925,0.0253,76,11,25.6,1.7,199.75,20.88
NOV,9,20,0.0052,0.0062,2.332,0.0394,95,26,23.8,0.9,193.75,24.20
NOV,9,21,0.0096,0.0059,0.96,0.0292,112,41,21.7,1.6,252.31,28.29
NOV,9,22,0.0171,0.0059,0.423,0.0172,67,21,20.2,2.1,252.11,33.37
NOV,9,23,0.02,0.0051,0.319,0.01,47,1,19.4,2.3,243.10,39.96
NOV,10,0,0.0133,0.0048,0.309,0.0131,41,18,17.7,1.3,274.99,46.07
NOV,10,1,0.0125,0.0047,0.314,0.0155,36,16,17.4,1.4,227.11,45.72
NOV,10,2,0.0039,0.0053,0.386,0.0222,38,24,16.9,1.2,181.80,51.42
NOV,10,3,0.0101,0.0054,0.247,0.0124,32,18,15.9,0.9,258.54,59.14
NOV,10,4,0.0101,0.0059,0.232,0.0119,25,19,15,0.8,231.63,64.56
NOV,10,5,0.0054,0.0067,0.307,0.0175,23,18,14.6,1.4,135.96,62.92
NOV,10,6,0.0015,0.0075,0.399,0.0222,43,19,13.7,1.4,98.99,58.71
NOV,10,7,0.0016,0.0321,0.585,0.0226,82,24,13,1.8,96.58,59.51
NOV,10,8,0.0025,0.0261,0.86,0.0231,117,45,13.3,1.9,87.84,58.93
NOV,10,9,0.0071,0.0127,0.721,0.0217,136,46,15.8,2.3,94.19,54.81
NOV,10,10,0.0195,0.0089,0.58,0.0151,103,34,19.8,1.4,126.68,47.97
NOV,10,11,0.0306,0.0089,0.41,0.0113,51,18,22.9,1.4,219.39,39.07
NOV,10,12,0.042,0.0066,0.289,0.0056,36,18,24.5,1.9,255.55,34.20
NOV,10,13,0.0448,0.0051,0.294,0.0049,23,14,26.4,2.2,255.78,28.97
NOV,10,14,0.0458,0.0053,0.271,0.0042,16,17,28.3,2.2,262.37,23.60
NOV,10,15,0.0447,0.0066,0.262,0.0042,14,13,29.7,1.9,210.86,17.83
NOV,10,16,0.0494,0.0061,0.284,0.0046,23,8,29.7,2,215.83,17.36
NOV,10,17,0.0501,0.0068,0.296,0.0051,26,7,29.9,1.8,235.54,17.23
NOV,10,18,0.0446,0.0065,0.411,0.0095,44,11,28.4,2,249.24,19.15
NOV,10,19,0.0211,0.0072,0.801,0.0269,82,21,25.8,2,224.45,21.95
NOV,10,20,0.007,0.007,0.973,0.0389,90,37,24.2,1.2,230.50,24.45
NOV,10,21,0.0034,0.0068,1.27,0.0403,120,33,21.9,1.4,282.00,28.85
NOV,10,22,0.0114,0.0053,0.605,0.0248,116,57,20,1.7,244.74,32.09
NOV,10,23,0.0165,0.0054,0.322,0.0152,62,33,19.1,1.4,270.63,33.40
NOV,11,0,0.0131,0.0053,0.348,0.0161,45,19,18.5,1.1,205.00,34.90
NOV,11,1,0.0061,0.0057,0.43,0.0217,57,15,18,1,136.25,36.45
NOV,11,2,0.006,0.0053,0.38,0.0199,65,25,16.6,0.8,218.60,39.07
NOV,11,3,0.0009,0.0047,0.302,0.0217,53,31,15.6,1,296.65,43.70
NOV,11,4,0.0015,0.0074,0.418,0.0235,46,30,14.2,0.9,254.28,47.54
NOV,11,5,0.0017,0.0078,0.375,0.0241,57,34,13.6,0.8,221.89,49.69
NOV,11,6,NA,0.0064,0.462,0.0216,58,46,13.6,1.2,70.05,53.04
NOV,11,7,NA,0.0073,0.618,0.0237,79,32,12.8,1.5,87.81,56.03
NOV,11,8,0.0023,0.0113,0.965,0.0259,90,36,14.2,1.7,109.23,48.64
NOV,11,9,0.0113,0.0674,0.792,0.0224,103,41,17,2.2,106.24,43.83
NOV,11,10,0.0201,0.0263,0.562,0.0168,94,52,20,1.7,96.01,43.13
NOV,11,11,0.0318,0.0164,0.455,0.0123,63,32,23.1,1.6,108.33,37.07
NOV,11,12,0.0394,0.0078,0.341,0.0079,44,27,24.9,1.9,191.99,32.88
NOV,11,13,0.0379,0.0061,0.27,0.0051,21,22,26.8,2.1,239.93,28.26
NOV,11,14,0.0416,0.0058,0.296,0.0047,22,10,28.1,2.2,209.02,25.27
NOV,11,15,0.046,0.0056,0.289,0.0041,23,8,28.9,2.5,257.74,22.88
NOV,11,16,0.0531,0.0061,0.302,0.0049,28,7,29.4,2.5,245.75,21.94
NOV,11,17,0.0498,0.0056,0.297,0.0053,34,16,29.5,2.3,255.98,20.52
NOV,11,18,0.0441,0.0055,0.336,0.0069,40,20,28.4,2.1,289.93,22.22
NOV,11,19,0.0116,0.0056,1.21,0.0326,86,16,26,1.1,276.54,25.99
NOV,11,20,0.0123,0.005,0.809,0.0327,112,24,24.4,1.4,275.83,27.98
NOV,11,21,0.0219,0.005,0.645,0.0228,75,37,22.8,1.9,212.73,30.98
NOV,11,22,0.0272,0.0051,0.423,0.0137,75,22,22.2,2.6,211.91,33.59
NOV,11,23,0.0236,0.0048,0.307,0.01,49,16,20.6,2.2,236.57,40.97
NOV,12,0,0.0186,0.0036,0.307,0.0105,33,9,18.9,1.6,270.60,47.02
NOV,12,1,0.0075,0.0048,0.406,0.0206,62,23,18.2,0.9,194.80,47.48
NOV,12,2,0.0048,0.0056,0.383,0.0231,61,19,17.6,1.4,158.31,52.99
NOV,12,3,0.0133,0.0067,0.266,0.0142,56,36,16.7,1.5,128.31,59.35
NOV,12,4,0.0042,0.0111,0.275,0.0192,35,25,15.7,1.3,97.80,59.90
NOV,12,5,0.0014,0.0134,0.345,0.0227,50,27,15.2,0.9,86.91,60.19
NOV,12,6,0.0008,0.0103,0.492,0.0227,58,33,14.7,0.8,154.39,61.67
NOV,12,7,NA,0.0231,0.623,0.0233,85,30,14,1.3,96.95,63.99
NOV,12,8,0.0021,0.0252,0.821,0.023,129,45,14.4,1.2,103.31,60.94
NOV,12,9,0.0071,0.0605,0.902,0.0247,204,54,16.5,2.1,94.39,56.60
NOV,12,10,0.0179,0.0091,0.68,0.0208,133,150,19.9,1.5,137.13,51.21
NOV,12,11,0.0337,0.0083,0.488,0.0141,72,36,23.3,1.1,179.07,39.25
NOV,12,12,0.0439,0.0068,0.385,0.0103,44,27,24.8,1.7,183.08,32.70
NOV,12,13,0.0489,0.0074,0.315,0.0069,43,18,26.6,2.1,252.23,28.15
NOV,12,14,0.0517,0.0078,0.297,0.0053,31,20,27.9,2,169.48,25.39
NOV,12,15,0.0542,0.0098,0.418,0.0079,23,15,29.4,1.7,158.80,21.75
NOV,12,16,0.061,0.0149,0.367,0.0067,37,20,29.9,1.9,213.43,21.12
NOV,12,17,0.0636,0.0178,0.368,0.0061,43,10,29.5,1.7,251.15,20.55
NOV,12,18,0.0521,0.0087,0.369,0.0078,48,20,28,1.8,281.71,22.26
NOV,12,19,0.0177,0.0067,0.763,0.0291,83,19,25.4,1.3,271.31,26.84
NOV,12,20,0.0027,0.0088,1.057,0.0446,103,23,23.3,0.9,270.88,29.89
NOV,12,21,0.0121,0.0082,1.988,0.0434,149,41,21.9,0.7,204.89,32.72
NOV,12,22,NA,0.0077,1.536,0.0401,170,83,20.5,1,245.87,34.81
NOV,12,23,0.0118,0.0061,0.731,0.0284,121,45,19.7,1.7,172.68,36.24
NOV,13,0,0.004,0.0073,0.757,0.0322,108,42,18.8,1.4,121.04,40.27
NOV,13,1,0.0027,0.0069,0.6,0.0319,92,52,17.8,0.9,276.46,44.14
NOV,13,2,0.0024,0.007,0.49,0.0285,82,41,16.8,0.8,224.84,47.51
NOV,13,3,0.0016,0.0075,0.578,0.0263,73,44,16.2,0.6,242.17,49.14
NOV,13,4,0.0009,0.0088,0.522,0.0287,79,43,15.8,0.8,103.94,51.33
