DATOS HORARIOS 2020_DIF,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),PM2.5 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,13,19,0.027,0.0096,0.527,0.007,36,12,25.49,4.7,42.42,42.14
OCT,13,20,0.026,0.0101,0.461,0.006,23,16,23.8,5.03,47.18,47.44
OCT,13,21,0.023,0.0287,0.434,0.007,21,2,22.68,4.11,60.44,52.54
OCT,13,22,0.020,0.0353,0.438,0.007,36,25,21.44,3.12,78.24,57.89
OCT,13,23,0.020,0.0103,0.381,0.006,27,8,19.94,3.56,87.35,65.43
OCT,14,0,0.021,0.0096,0.334,0.005,11,7,19.09,3.05,75.72,69.21
OCT,14,1,0.021,0.0095,0.329,0.004,15,9,18.55,2.85,74.31,71.8
OCT,14,2,0.019,0.0093,0.322,0.004,11,12,17.96,3.09,77.79,74.5
OCT,14,3,0.019,0.0139,0.31,0.005,12,12,17.84,2.97,72.13,75.24
OCT,14,4,0.015,0.0247,0.332,0.007,11,11,17.82,1.78,108.7,73.94
OCT,14,5,0.008,0.0138,0.356,0.009,23,13,16.14,2.05,93.39,82.87
OCT,14,6,0.004,0.0172,0.47,0.013,22,14,15.82,1.71,98.27,84.19
OCT,14,7,0.002,0.0199,0.639,0.015,41,18,15.66,1.74,83.86,84.4
OCT,14,8,0.004,0.0109,0.765,0.013,49,16,16.33,2.13,85.62,80.76
OCT,14,9,0.010,0.0116,0.651,0.011,36,16,18.94,2.21,78.35,70.4
OCT,14,10,0.020,0.0256,0.582,0.010,33,19,21.74,2,101.02,59.31
OCT,14,11,0.027,0.0110,0.581,0.006,26,15,23.4,2.79,118.39,52.05
OCT,14,12,0.032,0.0198,0.499,0.007,15,7,25.17,2.43,125.17,46.11
OCT,14,13,0.038,0.0279,0.52,0.006,19,8,26.96,1.95,181.02,40.46
OCT,14,14,0.041,0.0250,0.504,0.006,39,18,27.89,2.52,180.86,37.81
OCT,14,15,0.042,0.0267,0.431,0.005,20,16,29.01,2.31,196.59,33.08
OCT,14,16,0.036,0.0271,0.575,0.007,45,15,28.93,2.02,124.05,29.33
OCT,14,17,0.036,0.0144,0.425,0.006,19,13,30.05,1.65,167.4,26.26
OCT,14,18,0.035,0.0116,0.424,0.005,14,13,29.58,1.75,147.46,25.42
OCT,14,19,0.026,0.0108,0.626,0.012,40,12,27.36,1.37,232.61,29.95
OCT,14,20,0.018,0.0108,0.706,0.019,65,8,25.89,2.47,149.23,35.44
OCT,14,21,0.018,0.0128,0.484,0.008,42,18,24.4,3.07,57.38,43.32
OCT,14,22,0.015,0.0097,0.473,0.008,35,9,22.45,2.83,77.27,53.24
OCT,14,23,0.019,0.0094,0.379,0.006,22,11,21.43,2.25,98.7,56.46
OCT,15,0,0.017,0.0086,0.337,0.007,22,12,20.36,1.96,91.31,60.73
OCT,15,1,0.011,0.0177,0.335,0.009,17,12,19.48,2.28,110.13,64.93
OCT,15,2,0.012,0.0301,0.337,0.011,41,17,18.7,2.3,90.41,67.99
OCT,15,3,0.015,0.0161,0.316,0.009,36,20,17.95,1.96,86.29,70.23
OCT,15,4,0.014,0.0115,0.311,0.012,18,15,17.01,1.45,93.24,73.46
OCT,15,5,0.005,0.0177,0.348,0.012,30,14,16.54,1.77,133.02,75.21
OCT,15,6,0.005,0.0120,0.448,0.013,35,22,16.09,2.05,77.72,78.52
OCT,15,7,0.005,0.0103,0.696,0.015,31,24,15.58,1.87,97.47,81.24
OCT,15,8,0.003,0.0105,0.78,0.014,42,19,15.87,2.34,104.06,78.77
OCT,15,9,0.009,0.0120,0.749,0.013,40,18,18.52,2.51,92.9,71.17
OCT,15,10,0.017,0.0112,0.685,0.011,45,17,21.59,2.93,94.2,60.52
OCT,15,11,0.025,0.0101,0.611,0.008,30,7,24,2.74,108.53,49.76
OCT,15,12,0.031,0.0101,0.493,0.006,22,4,25.88,2.71,115.97,38.36
OCT,15,13,0.034,0.0098,0.522,0.007,15,4,27.45,3.41,107.83,35.74
OCT,15,14,0.035,0.0093,0.501,0.006,24,7,28.9,3.46,91.45,31.07
OCT,15,15,0.039,0.0110,0.471,0.006,9,7,29.32,3.35,94.95,29.63
OCT,15,16,0.041,0.0096,0.518,0.007,13,10,30.36,2.99,104.28,27.11
OCT,15,17,0.036,0.0128,0.508,0.007,20,17,30.08,3.32,74.77,25.16
OCT,15,18,0.030,0.0201,0.568,0.009,37,17,29.35,3.8,68.8,27.55
OCT,15,19,0.025,0.0111,0.622,0.012,82,16,26.97,3.62,76.93,31.71
OCT,15,20,0.021,0.0235,0.624,0.013,62,7,25.66,3.43,66.16,32.25
OCT,15,21,0.023,0.0595,0.423,0.009,55,13,24.48,3.85,62.93,31.93
OCT,15,22,0.021,0.0206,0.37,0.009,36,31,22.32,2.91,83.07,33.57
OCT,15,23,0.021,0.0097,0.315,0.008,34,16,20.94,3.09,80.75,36.16
OCT,16,0,0.016,0.0101,0.305,0.012,21,15,19.86,2.48,105.11,37.22
OCT,16,1,0.023,0.0098,0.247,0.007,20,6,19.01,3.02,78.26,36.21
OCT,16,2,0.021,0.0125,0.233,0.007,20,8,17.74,2.47,119.9,38.7
OCT,16,3,0.021,0.0222,0.235,0.007,22,7,17.11,1.96,118.71,39
OCT,16,4,0.013,0.0249,0.233,0.013,33,18,15.91,1.66,81.33,41.28
OCT,16,5,0.015,0.0113,0.265,0.011,31,14,15.33,1.51,80.63,43.01
OCT,16,6,0.009,0.0209,0.375,0.017,33,13,14.59,1.86,115.96,49.25
OCT,16,7,0.009,0.0128,0.547,0.016,35,19,13.87,2.39,108.75,56.91
OCT,16,8,0.009,0.0176,0.71,0.017,47,9,14.84,2.77,104.54,55.54
OCT,16,9,0.019,0.0126,0.575,0.011,55,17,17.79,3.56,94.11,53.41
OCT,16,10,0.029,0.0095,0.47,0.007,54,13,20.59,4.84,77.87,42.22
OCT,16,11,0.034,0.0103,0.405,0.007,43,13,22.35,4.55,71.78,35.3
OCT,16,12,0.035,0.0132,0.458,0.007,35,13,23.65,4.77,68.31,35.65
OCT,16,13,0.032,0.0219,0.444,0.007,46,15,23.96,5.01,66.85,36.36
OCT,16,14,0.030,0.0105,0.489,0.007,34,5,24.11,4.61,70.3,36.33
OCT,16,15,0.030,0.0200,0.444,0.006,36,20,24.02,5.42,63.39,38.5
OCT,16,16,0.029,0.0260,0.421,0.006,36,9,24.8,5.13,58.66,37.67
OCT,16,17,0.028,0.0157,0.414,0.006,38,17,24.94,5.73,60.72,35.49
OCT,16,18,0.027,0.0195,0.394,0.006,36,12,24.09,5.77,50.12,36.42
OCT,16,19,0.022,0.0099,0.397,0.007,64,19,21.5,5.69,41.19,45.93
OCT,16,20,0.020,0.0092,0.354,0.006,43,10,18.9,4.54,46.92,59.78
OCT,16,21,0.020,0.0093,0.321,0.005,18,7,18.11,5.17,40,63.7
OCT,16,22,0.019,0.0237,0.286,0.005,13,6,17.86,4.79,54.64,65
OCT,16,23,0.016,0.0348,0.266,0.007,26,8,17.33,2.71,76.86,66.8
OCT,17,0,0.015,0.0100,0.234,0.006,11,10,16.35,2.45,76.76,71.59
OCT,17,1,0.018,0.0097,0.211,0.005,8,8,16.39,2.49,75.56,72.08
OCT,17,2,0.024,0.0093,0.184,0.003,6,9,16.55,3.47,71.27,67.72
OCT,17,3,0.022,0.0091,0.181,0.004,7,8,15.38,2.74,85.67,70.04
OCT,17,4,0.019,0.0091,0.167,0.005,8,3,14.49,2.62,79.18,73.09
OCT,17,5,0.020,0.0088,0.179,0.005,4,5,14.1,3.49,75.4,74.93
OCT,17,6,0.015,0.0082,0.243,0.007,11,6,13.28,3.17,80.09,77.04
OCT,17,7,0.009,0.0088,0.359,0.012,23,5,12.71,2.75,80.46,76.97
OCT,17,8,0.011,0.0103,0.472,0.012,37,8,13.59,3.03,89.25,71.33
OCT,17,9,0.019,0.0104,0.446,0.009,38,20,15.58,3.86,87.31,63.29
OCT,17,10,0.027,0.0093,0.404,0.007,32,14,18.48,4.15,62.61,43.37
OCT,17,11,0.033,0.0092,0.4,0.007,30,11,20.63,4.41,77.08,34.1
OCT,17,12,0.036,0.0091,0.452,0.008,81,8,22.59,4.13,81.34,31.05
OCT,17,13,0.041,0.0096,0.499,0.009,27,8,24.21,3.91,86.14,29.13
OCT,17,14,0.043,0.0095,0.457,0.008,29,10,25.91,3.13,96.05,24.5
OCT,17,15,0.046,0.0150,0.347,0.006,28,10,27.19,2.39,136.28,23.79
OCT,17,16,0.040,0.0122,0.31,0.005,31,10,28.07,2.79,80.65,21.06
OCT,17,17,0.038,0.0103,0.283,0.004,36,7,28.55,2.81,139.84,18.49
OCT,17,18,0.035,0.0107,0.485,0.008,26,2,28.01,2.67,73.25,18
OCT,17,19,0.023,0.0097,0.69,0.018,46,2,26.33,1.99,69.33,22.08
OCT,17,20,0.013,0.0106,1.02,0.026,60,7,24.51,2.2,68.41,27.64
OCT,17,21,0.017,0.0123,0.606,0.013,77,29,22.69,3,74.4,41.28
OCT,17,22,0.013,0.0094,0.471,0.011,40,3,20.69,2.59,86.52,52.58
OCT,17,23,0.013,0.0276,0.422,0.010,41,30,19.66,3.57,94.96,55.23
OCT,18,0,0.016,0.0117,0.311,0.008,45,17,18.95,3.47,84.56,57.79
OCT,18,1,0.016,0.0094,0.243,0.006,96,12,17.52,2.96,90.02,65.64
OCT,18,2,0.014,0.0194,0.231,0.006,26,11,16.55,2.83,102.55,70.01
OCT,18,3,0.014,0.0155,0.197,0.006,28,17,15.95,3.09,90.25,72.68
OCT,18,4,0.012,0.0096,0.183,0.007,18,6,15.37,2.89,98.52,75.26
OCT,18,5,0.013,0.0176,0.188,0.006,20,10,15.11,3.2,94.28,77.54
OCT,18,6,0.012,0.0098,0.219,0.007,9,16,14.53,3.48,80.22,80.74
OCT,18,7,0.009,0.0067,0.314,0.008,17,14,13.93,3.09,88.68,83.13
OCT,18,8,0.010,0.0093,0.405,0.009,21,11,14.83,2.93,88.86,79.69
OCT,18,9,0.016,0.0092,0.443,0.007,17,10,17.64,2.82,86.75,69.29
OCT,18,10,0.022,0.0090,0.449,0.006,21,7,20.07,3.16,95.31,60.06
OCT,18,11,0.028,0.0135,0.422,0.006,57,6,22.75,1.89,147.2,49.2
OCT,18,12,0.035,0.0184,0.354,0.005,82,7,24.69,1.72,246.87,40.54
OCT,18,13,0.038,0.0237,0.313,0.006,42,8,26.63,2.02,196.69,33
OCT,18,14,0.036,0.0213,0.412,0.007,8,11,28.12,2.09,141.93,29.05
OCT,18,15,0.034,0.0137,0.32,0.005,12,11,29.02,2.65,98.22,23.61
OCT,18,16,0.034,0.0098,0.263,0.003,6,7,29.4,3.19,120.19,21.42
OCT,18,17,0.037,0.0091,0.219,0.003,12,5,29.67,2.82,159.35,21.91
OCT,18,18,0.035,0.0094,0.306,0.005,19,8,28.81,3.5,50.37,22.39
OCT,18,19,0.026,0.0109,0.384,0.009,41,9,26.85,3.71,45.82,24.23
OCT,18,20,0.026,0.0120,0.321,0.008,26,7,25.01,4.39,47.4,26.34
OCT,18,21,0.023,0.0151,0.349,0.007,19,6,23.4,4.23,59.69,36.64
OCT,18,22,0.020,0.0132,0.324,0.006,49,NA,21.97,3.65,80.65,41.8
OCT,18,23,0.019,0.0092,0.214,0.005,29,NA,20.8,3.71,69.64,45.51
OCT,19,0,0.017,0.0092,0.204,0.004,36,NA,19.63,2.04,94.86,49.56
OCT,19,1,0.015,0.0094,0.197,0.006,28,NA,18.84,2.28,119.58,52.96
OCT,19,2,0.013,0.0239,0.18,0.006,21,NA,17.68,2.51,106.96,58.43
OCT,19,3,0.012,0.0120,0.153,0.006,14,NA,16.75,2.28,87.41,62.83
OCT,19,4,0.008,0.0098,0.172,0.009,7,NA,16.19,2.22,92.25,65.57
OCT,19,5,0.008,0.0095,0.195,0.009,11,NA,15.46,2.8,90.51,69.05
OCT,19,6,0.006,0.0202,0.255,0.011,17,NA,15.08,2.76,91.41,71.79
OCT,19,7,0.004,0.0317,0.372,0.013,65,NA,14.7,2.66,75.75,74.31
OCT,19,8,0.004,0.0341,0.624,0.013,79,NA,15.58,2.44,73.77,74.62
OCT,19,9,0.007,0.0219,0.64,0.012,60,NA,17.04,2.29,109.33,67.6
OCT,19,10,0.017,0.0112,0.483,0.009,45,NA,20.77,2.35,92.08,50.74
OCT,19,11,0.022,0.0097,0.483,0.007,32,NA,23.12,3.86,90.92,37.1
OCT,19,12,0.027,0.0096,0.418,0.007,26,NA,25.12,3.64,79.13,31.13
OCT,19,13,0.034,0.0097,0.406,0.007,11,NA,26.72,3.37,94.92,27.14
OCT,19,14,0.037,0.0142,0.326,0.006,25,NA,28.54,2.74,108.91,22.62
OCT,19,15,0.035,0.0105,0.254,0.005,9,9,29.5,3.24,127.68,18.05
OCT,19,16,0.036,0.0095,0.226,0.004,10,11,29.85,3.14,173.65,16.69
OCT,19,17,0.036,0.0096,0.225,0.004,8,6,30.07,2.67,162.94,16.89
OCT,19,18,0.030,0.0094,0.319,0.007,26,2,29.19,3.24,56.44,17.76
OCT,19,19,0.024,0.0305,0.322,0.010,46,1,26.72,5.05,47.45,23
OCT,19,20,0.022,0.0244,0.264,0.008,52,5,24.57,4.88,55.34,28.06
OCT,19,21,0.023,0.0170,0.2,0.005,34,10,23.08,5.63,42.08,32.74
OCT,19,22,0.020,0.0311,0.233,0.007,29,10,22.1,4.61,58.13,36.74
OCT,19,23,0.015,0.0125,0.174,0.007,28,11,19.85,2.33,110.2,44.76
OCT,20,0,0.016,0.0167,0.143,0.006,21,9,18.87,2.93,112.79,51.29
OCT,20,1,0.013,0.0178,0.133,0.007,18,8,17.7,2.94,111.73,56.66
OCT,20,2,0.012,0.0267,0.124,0.007,45,15,16.65,2.75,106.34,61.81
OCT,20,3,0.013,0.0133,NA,0.006,37,49,16.06,3,82.73,66.02
OCT,20,4,0.013,0.0179,0.105,0.007,9,15,16.2,2.8,78.08,68.34
OCT,20,5,0.014,0.0249,0.144,0.007,12,17,16.7,2.84,71.68,68.12
OCT,20,6,0.008,0.0093,0.22,0.010,24,16,15.35,2.4,81.52,72.78
OCT,20,7,0.003,0.0169,0.376,0.013,31,9,14.28,1.97,83.23,78.41
OCT,20,8,0.005,0.0128,0.54,0.013,35,17,15.31,2.36,108.31,74.93
OCT,20,9,0.013,0.0155,0.451,0.009,36,14,17.62,3.04,85.71,67.14
OCT,20,10,0.022,0.0100,0.354,0.006,41,11,19.89,4.15,86.47,57.39
OCT,20,11,0.027,0.0099,0.373,0.006,24,4,21.96,3.28,88.32,49.33
OCT,20,12,0.030,0.0095,0.383,0.007,26,6,23.79,3.06,102.84,40.31
OCT,20,13,0.035,0.0175,0.351,0.007,14,7,25.76,3.04,94.41,30.75
OCT,20,14,0.035,0.0121,0.348,0.007,14,8,27.32,3.05,121.56,24.29
OCT,20,15,0.037,0.0150,0.25,0.006,15,9,28.66,3.13,101.81,18.9
OCT,20,16,0.036,0.0145,0.242,0.005,14,7,29.29,2.83,111.9,14.75
OCT,20,17,0.039,0.0108,0.177,0.003,20,7,29.35,2.42,178.35,14.3
OCT,20,18,0.034,0.0111,0.343,0.008,29,5,28.73,2.46,66.89,15.87
OCT,20,19,0.025,0.0110,0.34,0.011,60,5,26.48,4.07,44.37,18.21
OCT,20,20,0.026,0.0161,0.237,0.008,41,5,24.46,4.88,44.63,21.49
OCT,20,21,0.026,0.0302,0.253,0.007,92,8,23.19,4.9,55,24.59
OCT,20,22,0.023,0.0093,0.191,0.008,89,15,20.69,3.76,85.77,34.78
OCT,20,23,0.023,0.0092,0.136,0.005,34,5,20.1,4.45,79.61,45.08
OCT,21,0,0.021,0.0089,0.137,0.004,48,8,18.91,4.06,87.8,51.07
OCT,21,1,0.020,0.0088,0.123,0.004,44,11,17.71,3.46,80.8,57.98
OCT,21,2,0.018,0.0089,NA,0.004,34,17,17.23,2.8,83.81,65.79
OCT,21,3,0.017,0.0091,NA,0.004,50,7,16.37,2.59,89.02,71.52
OCT,21,4,0.011,0.0086,NA,0.007,89,9,15.37,2.33,86.2,75.7
OCT,21,5,0.006,0.0074,0.171,0.010,34,11,14.54,1.83,96.5,79.37
OCT,21,6,0.004,0.0067,0.225,0.012,45,17,13.99,2.51,110.78,81.26
OCT,21,7,0.004,0.0135,0.382,0.012,34,11,13.65,2.67,85.51,82.1
OCT,21,8,0.007,0.0093,0.471,0.011,24,11,14.61,1.86,97.87,76.59
OCT,21,9,0.014,0.0608,0.429,0.010,36,11,17.85,1.79,73.39,62.63
OCT,21,10,0.023,0.0287,0.364,0.007,43,24,19.85,3.01,79.98,56.04
OCT,21,11,0.027,0.0083,0.31,0.006,28,12,21.63,3.17,76.48,49.37
OCT,21,12,0.032,0.0091,0.3,0.006,20,8,23.34,3.23,87.23,40.62
OCT,21,13,0.038,0.0192,0.282,0.006,15,9,25.16,2.36,160.89,35.95
OCT,21,14,0.039,0.0261,0.223,0.005,13,14,27.22,2.11,151.55,28.58
OCT,21,15,0.037,0.0154,0.29,0.006,14,13,28.96,2.38,119.5,21.98
OCT,21,16,0.040,0.0092,0.309,0.006,18,7,29.43,2.84,118.73,20
OCT,21,17,0.041,0.0136,0.273,0.007,25,8,29.33,2.56,143.41,18.71
OCT,21,18,0.040,0.0131,0.322,0.008,22,11,28.82,1.84,172.19,18.74
OCT,21,19,0.028,0.0299,0.501,0.014,51,9,26.98,2.63,116.09,20.91
OCT,21,20,0.025,0.0520,0.361,0.011,66,19,24.98,3.46,73.04,23.43
OCT,21,21,0.022,0.0285,0.318,0.011,42,33,23.32,2.85,71.7,26.81
OCT,21,22,0.020,0.0166,0.196,0.008,37,22,21.36,3.64,82.55,36.23
OCT,21,23,0.021,0.0095,NA,0.005,28,14,19.87,3.98,88.29,42.23
OCT,22,0,0.019,0.0110,NA,0.005,25,12,18.6,3.6,94.45,47.78
OCT,22,1,0.018,0.0092,NA,0.005,13,10,17.57,2.86,98.38,52.53
OCT,22,2,0.015,0.0144,NA,0.006,15,10,16.5,3.21,87.47,58.07
OCT,22,3,0.016,0.0102,NA,0.005,6,11,15.89,3.52,80.95,62.27
OCT,22,4,0.016,0.0122,NA,0.006,13,12,16.07,2.96,77.6,63.73
OCT,22,5,0.010,0.0093,NA,0.010,19,9,14.79,2.52,86.66,68.98
OCT,22,6,0.007,0.0093,0.195,0.011,18,16,13.93,1.95,77.6,74.12
OCT,22,7,0.003,0.0093,0.351,0.015,26,8,13.67,2.1,85.31,76.65
OCT,22,8,0.004,0.0225,0.524,0.015,48,12,14.32,2.41,90.34,74.14
OCT,22,9,0.011,0.0114,0.441,0.012,48,24,16.8,3.08,103.75,64.55
OCT,22,10,0.022,0.0100,0.305,0.008,48,10,19.57,3.72,87.84,54.15
OCT,22,11,0.030,0.0187,0.376,0.009,38,7,21.46,2.84,115.85,47.7
OCT,22,12,0.040,0.0374,0.272,0.007,34,10,24.02,1.82,159.73,37.06
OCT,22,13,0.049,0.0258,0.51,0.007,30,18,26.22,1.7,136.66,30.29
OCT,22,14,0.050,0.0146,0.356,0.006,23,12,27.91,2.21,227.45,25.99
OCT,22,15,0.049,0.0360,0.417,0.006,24,11,28.79,2.43,163.16,23.81
OCT,22,16,0.040,0.0229,0.343,0.008,33,12,29.55,2.73,125.55,20.49
OCT,22,17,0.034,0.0231,0.405,0.008,29,12,29.58,2.53,98.27,15.19
OCT,22,18,0.031,0.0165,0.365,0.010,51,9,28.74,2.91,72.51,16.24
OCT,22,19,0.016,0.0060,0.874,0.022,106,7,26.86,1.65,79,19.92
OCT,22,20,0.011,0.0361,0.796,0.026,139,22,25.51,2.14,73.53,22.52
OCT,22,21,0.018,0.0795,0.365,0.013,57,50,23.85,2.88,85.16,25.1
OCT,22,22,0.011,0.0153,0.326,0.017,55,18,21.71,1.44,107.99,27.96
OCT,22,23,0.006,0.0369,0.299,0.020,48,14,20.86,1.29,104.96,28.29
OCT,23,0,0.005,0.0279,0.244,0.020,56,20,19.64,1.68,135.93,29.4
OCT,23,1,0.002,0.0306,0.207,0.022,56,21,18.23,0.96,211.8,31.45
OCT,23,2,0.001,0.0267,0.359,0.022,66,23,17.67,0.68,137.48,33.59
OCT,23,3,0.001,0.0198,0.264,0.018,68,28,16.13,0.9,253.53,38.2
OCT,23,4,0.001,0.0122,0.154,0.018,39,25,14.57,1.12,283.26,44.24
OCT,23,5,0.001,0.0124,0.265,0.017,34,21,14.37,0.82,202.28,46.05
OCT,23,6,0.001,0.0322,0.384,0.020,66,25,13.9,1.58,108.07,42.21
OCT,23,7,0.001,0.0161,0.514,0.020,89,32,13.43,1.52,81.38,43.24
OCT,23,8,0.003,0.0222,0.632,0.021,84,22,13.73,2.28,99.68,41.02
OCT,23,9,0.007,0.0239,0.533,0.020,92,26,16.37,2.15,98.37,36.17
OCT,23,10,0.020,0.0286,0.516,0.018,88,34,20.21,1.84,113.92,35.44
OCT,23,11,0.037,0.0187,0.309,0.012,86,24,23.29,1.48,141.02,37.59
OCT,23,12,0.049,0.0405,0.274,0.009,87,23,25.33,1.6,188.5,30.12
OCT,23,13,0.064,0.0864,0.541,0.008,48,23,27.5,1.67,212.21,20.52
OCT,23,14,0.063,0.0707,0.441,0.008,52,34,28.48,2.09,177.67,19.07
OCT,23,15,0.061,0.0543,0.401,0.006,50,29,29.25,2.36,166.97,18
OCT,23,16,0.041,0.0169,0.328,0.006,41,28,30.23,3.43,66.14,13.64
OCT,23,17,0.042,0.0083,0.173,0.005,35,9,29.99,4.46,80.94,12.74
OCT,23,18,0.038,0.0125,0.322,0.009,34,11,29.51,3.39,75,13.45
OCT,23,19,0.021,0.0110,0.81,0.021,101,9,27.36,2.49,82.51,16.47
OCT,23,20,0.014,0.0079,0.698,0.018,93,31,25.03,2.51,71.41,19.49
OCT,23,21,0.018,0.0074,0.332,0.013,65,16,23.12,3.27,91.64,23.7
OCT,23,22,0.020,0.0042,0.3,0.013,45,24,21.83,3.48,92.99,25.86
OCT,23,23,0.014,0.0089,0.208,0.015,54,40,20.07,2.84,99.22,28.76
OCT,24,0,0.016,0.0092,0.155,0.014,32,25,19.3,2.94,92.13,29.51
OCT,24,1,0.012,0.0114,NA,0.014,31,12,18.15,2.14,107.91,33.05
OCT,24,2,0.011,0.0305,0.136,0.014,34,9,17.78,1.82,130.19,35.51
OCT,24,3,0.014,0.0155,NA,0.012,32,23,17.65,2.19,128.18,35.9
OCT,24,4,0.011,0.0150,NA,0.013,28,13,16.5,1.74,95.01,38.41
OCT,24,5,0.006,0.0239,NA,0.018,44,12,15.12,1.7,82.45,42.28
OCT,24,6,0.004,0.0275,0.229,0.020,47,24,14.54,2,87.16,42.53
OCT,24,7,NA,0.0113,0.463,0.023,52,23,13.98,1.93,95.34,43.47
OCT,24,8,0.004,0.0114,0.602,0.021,59,26,15.26,2,96.94,40.67
OCT,24,9,0.011,0.0131,0.541,0.017,65,22,17.16,2.96,102.31,42.76
OCT,24,10,0.023,0.0190,0.49,0.013,60,22,20.42,3.74,104.2,40.54
OCT,24,11,0.032,0.0094,0.363,0.009,97,17,22.46,4.33,93.33,33.79
OCT,24,12,0.040,0.0094,0.329,0.008,60,16,23.86,3.76,86.8,31.92
OCT,24,13,0.042,0.0092,0.327,0.009,29,14,25.61,3.65,89.7,29.17
OCT,24,14,0.039,0.0088,0.378,0.009,49,16,27.03,4.3,91.19,25.51
OCT,24,15,0.038,0.0146,0.38,0.008,32,7,28.02,3.61,95.06,23.96
OCT,24,16,0.038,0.0113,0.366,0.008,32,10,28.56,3.27,98.83,22.83
OCT,24,17,0.034,0.0161,0.346,0.006,31,12,28.75,3.53,79.35,17.37
OCT,24,18,0.030,0.0199,0.316,0.007,26,10,28,4.28,36.1,16.27
OCT,24,19,0.025,0.0085,0.3,0.010,25,9,26.23,3.97,38.36,19.28
OCT,24,20,0.020,0.0102,0.378,0.014,46,9,24.67,3.23,64.33,22.34
OCT,24,21,0.016,0.0151,0.468,0.016,46,23,23.26,2.34,65.5,27.27
OCT,24,22,0.015,0.0102,0.351,0.012,53,27,21.12,2.93,90.67,35.51
OCT,24,23,0.016,0.0179,0.182,0.008,48,16,19.7,3.63,106.85,43.86
OCT,25,0,0.018,0.0073,NA,0.006,35,18,19,3.61,90.45,48.59
OCT,25,1,0.018,0.0067,NA,0.005,32,14,17.87,2.95,85.86,53.5
OCT,25,2,0.017,0.0069,NA,0.005,25,10,16.62,2.82,76.53,58.32
OCT,25,3,0.013,0.0084,NA,0.007,20,9,15.13,2.22,73.71,63.58
OCT,25,4,0.013,0.0197,NA,0.007,19,12,14.51,2.2,109.11,66.09
OCT,25,5,0.012,0.0189,NA,0.008,37,23,14.33,2.48,95.86,67.49
OCT,25,6,0.008,0.0134,NA,0.011,29,21,13.77,2.4,102.3,69.75
OCT,25,7,0.003,0.0399,0.271,0.015,56,16,12.87,2.27,90.41,73.29
OCT,25,8,0.008,0.0284,0.398,0.012,58,29,13.11,1.87,102.76,71.15
OCT,25,9,0.014,0.0484,0.401,0.013,68,31,15.86,1.99,110.54,62
OCT,25,10,0.022,0.0203,0.387,0.011,61,39,19.32,2.5,93.91,50.86
OCT,25,11,0.030,0.0092,0.225,0.007,31,19,22.57,2.44,79.43,36.28
OCT,25,12,0.033,0.0091,0.281,0.007,30,4,25.04,3.23,103.45,25.59
OCT,25,13,0.037,0.0103,0.228,0.006,20,6,26.77,2.79,97.87,22.97
OCT,25,14,0.039,0.0125,NA,0.005,12,8,28.69,2.59,178.46,20.1
OCT,25,15,0.038,0.0120,0.295,0.005,16,5,29.93,2.88,107.6,15.22
OCT,25,16,0.039,0.0228,0.227,0.006,17,17,30.56,2.72,117.27,13.84
OCT,25,17,0.038,0.0099,0.304,0.007,24,8,30.7,2.6,119.65,12.85
OCT,25,18,0.042,0.0090,0.325,0.010,41,16,29.23,2.92,117.23,15.92
OCT,25,19,0.018,0.0088,1.03,0.029,72,14,26.88,1.64,131.17,19.96
OCT,25,20,0.009,0.0205,1.324,0.034,113,27,25,1.86,120.87,22.15
OCT,25,21,0.015,0.0352,0.812,0.017,59,35,24.1,2.32,55.31,20.09
OCT,25,22,0.012,0.0182,0.378,0.016,43,18,21.53,2.66,93.35,24.86
OCT,25,23,0.014,0.0068,0.261,0.012,46,13,20.18,2.83,73.31,27.89
OCT,26,0,0.007,0.0141,0.267,0.017,46,15,18.95,1.81,99.38,28.1
OCT,26,1,0.005,0.0392,0.281,0.019,55,8,17.67,2.17,101.61,30.43
OCT,26,2,0.005,0.0096,0.237,0.018,53,30,17.06,2.08,93.67,32.62
OCT,26,3,0.006,0.0095,0.139,0.016,40,12,15.78,2.11,93.81,35.52
OCT,26,4,0.004,0.0118,NA,0.018,41,28,15.17,1.66,87.42,38.17
OCT,26,5,NA,0.0182,NA,0.020,42,19,14.05,1.73,118.21,42.12
OCT,26,6,NA,0.0184,0.188,0.019,79,28,13.39,1.28,128.07,44.4
OCT,26,7,0.001,0.0181,0.311,0.019,67,25,12.29,1.95,90.87,49.08
OCT,26,8,0.003,0.0075,0.407,0.018,69,26,12.65,2.36,94.54,47.82
OCT,26,9,0.009,0.0082,0.481,0.015,58,20,15.15,2.78,100.39,42.31
OCT,26,10,0.021,0.0179,0.363,0.012,56,24,18.81,2.32,100.05,39.61
OCT,26,11,0.035,0.0159,0.267,0.010,52,18,22.39,1.69,143.28,34.3
OCT,26,12,0.045,0.0298,0.303,0.011,34,43,24.66,1.58,138.99,29.54
OCT,26,13,0.054,0.0460,0.489,0.010,32,20,26.58,1.83,156.58,22.6
OCT,26,14,0.063,0.0503,0.385,0.008,27,20,28.62,1.59,206.5,18.4
