DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
DICIEMBRE,5,0,0.008,0.005,0.008,NA,38,12.18,1.36,98.69,67.90,8.00
DICIEMBRE,5,1,0.008,0.005,0.008,NA,30,11.62,1.47,109.80,70.39,4.23
DICIEMBRE,5,2,0.011,0.006,0.006,NA,41,10.40,1.64,120.51,74.31,2.77
DICIEMBRE,5,3,0.009,0.005,0.006,NA,29,9.75,2.48,120.12,80.38,4.35
DICIEMBRE,5,4,0.012,0.005,0.004,NA,23,9.71,2.22,101.85,81.96,2.79
DICIEMBRE,5,5,0.004,0.005,0.008,NA,29,9.03,2.32,113.99,84.20,2.88
DICIEMBRE,5,6,0.010,0.004,0.005,NA,24,8.86,3.17,110.79,86.15,5.05
DICIEMBRE,5,7,0.010,0.005,0.008,NA,38,8.04,1.80,83.02,86.74,4.50
DICIEMBRE,5,8,0.015,0.005,0.008,NA,45,8.47,2.39,83.67,86.47,58.64
DICIEMBRE,5,9,0.008,0.005,0.009,NA,50,12.42,2.34,99.84,75.26,256.86
DICIEMBRE,5,10,0.013,0.006,0.008,NA,57,16.30,2.14,112.05,63.41,455.98
DICIEMBRE,5,11,0.023,0.005,0.005,NA,49,18.72,2.48,112.80,54.04,621.43
DICIEMBRE,5,12,0.033,0.006,0.006,NA,46,21.95,2.03,195.82,42.43,738.45
DICIEMBRE,5,13,0.042,0.006,0.006,NA,43,24.37,1.86,243.05,33.39,701.30
DICIEMBRE,5,14,0.052,0.009,0.005,NA,41,25.06,2.60,273.43,28.49,658.34
DICIEMBRE,5,15,0.060,0.011,0.006,NA,50,26.33,2.70,270.20,22.62,655.28
DICIEMBRE,5,16,0.062,0.005,0.005,NA,36,26.64,2.40,261.21,19.80,501.47
