DATOS HORARIOS 2022_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
MAYO,3,20,0.035,0.003,0.034,2.21,63,26.306883,1.093355,265.614667,13.68775,9.857755
MAYO,3,21,0.030,0.003,0.037,2.01,82,25.046033,2.134262,263.317,17.387933,19.462097
MAYO,3,22,0.043,0.004,0.018,1.44,91,23.570667,2.470197,219.2645,19.635833,17.044413
MAYO,3,23,0.041,0.003,0.011,1.26,78,22.247317,2.587078,277.036833,21.52695,9.157223
MAYO,4,0,0.033,0.003,0.015,1.31,61,20.725783,1.341585,202.35195,23.937067,7.517753
MAYO,4,1,0.019,0.005,0.024,1.28,65,18.99635,2.166627,142.592917,28.06025,7.647747
MAYO,4,2,0.020,0.004,0.020,1.30,67,17.815333,0.965982,179.709325,28.220733,25.605592
MAYO,4,3,0.024,0.007,0.018,1.29,59,17.751933,1.335745,273.593167,29.186283,17.909513
MAYO,4,4,0.030,0.004,0.014,1.21,49,17.327467,2.04902,277.5665,28.784483,22.688465
MAYO,4,5,0.010,0.004,0.031,1.32,66,15.9575,1.507932,300.446333,30.730717,11.437243
MAYO,4,6,0.020,0.004,0.023,1.43,65,15.5134,1.338283,270.51,32.90765,18.817965
MAYO,4,7,0.010,0.005,0.036,2.20,96,15.547033,1.0321,178.877883,34.026833,33.668302
MAYO,4,8,0.047,0.012,0.039,2.31,173,18.312267,1.189968,108.55025,33.650333,205.372667
MAYO,4,9,0.019,0.011,0.049,2.07,160,23.11895,1.202103,172.024967,27.318117,438.925667
MAYO,4,10,0.039,0.005,0.030,1.62,124,26.5091,1.752797,230.263167,21.3764,665.259167
MAYO,4,11,0.058,0.004,0.012,1.24,70,28.229367,2.162145,249.7968,16.7015,870.4445
MAYO,4,12,0.064,0.004,0.007,1.20,37,30.281933,2.605577,259.695283,14.016717,1040.828167
MAYO,4,13,0.067,0.003,0.006,1.19,33,31.340267,2.877045,253.114,13.347567,1105.475667
MAYO,4,14,0.068,0.003,0.006,1.16,27,31.711017,3.149903,268.594283,12.75415,1053.325
MAYO,4,15,0.077,0.004,0.005,1.16,35,32.331217,2.952707,227.982617,12.525433,932.913833
MAYO,4,16,0.080,0.004,0.006,1.18,48,32.442967,2.773357,221.126733,12.49775,679.899667
MAYO,4,17,0.079,0.003,0.006,1.20,90,32.683667,3.11678,255.170167,12.249717,590.552333
