DATOS HORARIOS 2016_ NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
MZO,4,23,24.66,27.67,0.092,0.13,65.38,4.68,55.26,18.31,35.35,627.15,2.31
MZO,5,0,21.22,35.03,0.082,0.66,49.32,3.01,72.77,17,42.13,627.28,2.42
MZO,5,1,17.54,25.15,0.082,1.44,49.38,2.22,94.27,15.34,48.25,627.43,2.45
MZO,5,2,18.77,6.64,0.052,1.16,43.5,2.44,111.2,14.37,51.2,627.48,2.53
MZO,5,3,18.61,4.85,0.032,0.69,41.78,3.44,75.98,13.46,54.26,627.54,2.59
MZO,5,4,15.74,10.06,0.012,2.59,37.39,1.84,110.38,12.25,56.31,627.61,2.67
MZO,5,5,6.98,0.96,0.012,7.93,45.48,2.84,104,10.78,61.7,627.73,2.72
MZO,5,6,3.85,NA,0.012,10.55,49.19,2.05,116.06,9.96,63.41,627.74,9.43
MZO,5,7,7.08,NA,0.012,8.17,52.23,1.78,107.93,9.84,64.76,627.75,3.21
MZO,5,8,0.99,NA,0.102,13.38,81.52,0.98,149.14,10.81,64.84,627.57,85.75
MZO,5,9,3.25,4.96,0.282,13.78,100.47,1.55,317.49,15.3,55.92,627.19,324.98
MZO,5,10,16.28,0.2,0.292,7.47,71.29,2.07,310.7,18.04,40.4,626.84,572.58
MZO,5,11,22.43,0.6,0.422,9.63,64.34,1.17,227.76,22.06,33.73,626.49,792.2
MZO,5,12,30.52,2.85,0.352,7.59,89.26,1.22,196.54,24.31,29.08,626.28,934.78
MZO,5,13,28.01,NA,0.212,1.71,61.55,1.72,110.97,25.44,24.26,626.2,1026.15
MZO,5,14,34.69,NA,0.172,1.3,38.73,1.71,182.03,27.21,19.95,626.05,956.46
MZO,5,15,43.87,NA,0.152,2.11,52.56,1.6,243.89,28.2,18.52,626.06,921.93
MZO,5,16,44.70,NA,0.152,2.1,56.84,2.03,218.5,28.98,17.09,625.96,763.49
MZO,5,17,39.44,NA,0.122,1.79,60.67,2.48,254.32,28.96,17.29,626.06,543.18
MZO,5,18,36.61,NA,0.082,2.07,53.22,2.2,260.35,27.88,18.71,626.2,305.64
MZO,5,19,33.76,NA,0.112,5.58,59.19,1.22,261.84,25.68,19.96,626.46,65.12
MZO,5,20,21.73,NA,0.212,10.53,60.14,1.29,65.79,23.66,20.73,626.63,2.1
MZO,5,21,15.28,10.42,0.282,10.17,48.83,1.64,69.42,22.5,18.73,626.76,2.05
MZO,5,22,10.73,20.01,0.262,9.15,49.02,1.47,76.6,20.04,23.66,627.03,2.2
MZO,5,23,8.99,30.07,0.242,8.35,54.48,1.74,82.1,17.79,28.88,627.21,2.36
MZO,6,0,9.84,12.56,0.202,7.49,56.93,1.78,92.43,16.77,34.55,627.34,6.87
MZO,6,1,7.86,7.35,0.162,8.14,66.23,1.11,111.81,15.94,44.63,627.36,2.43
MZO,6,2,9.05,14.55,0.122,5.36,61.56,1.8,69.06,14.84,52.32,627.44,2.5
MZO,6,3,7.63,12.12,0.092,6.94,54.73,1.59,99.94,13.97,56.24,627.48,2.55
MZO,6,4,6.55,6.09,0.062,7.11,59.95,1.14,122.28,12.8,60.3,627.58,2.6
MZO,6,5,7.34,4,0.042,6.74,49.58,1.13,116.9,12.62,62.84,627.58,2.61
MZO,6,6,0.99,3.16,0.052,11.02,62.44,0.97,118.31,11.57,68.63,627.59,2.73
MZO,6,7,0.99,19.4,0.082,8.93,77.39,1.01,78.92,11.35,71.65,627.59,3.1
MZO,6,8,1.63,60.88,0.162,8.84,60.33,1.01,95.79,12.79,70.08,627.41,77.3
MZO,6,9,5.54,22.63,0.182,6.9,43.47,1.28,98.08,15.5,62.3,627.18,312.68
MZO,6,10,15.13,12.91,0.202,5.24,70.86,2.13,95.5,18.65,51.21,626.77,560.96
