DATOS HORARIOS 2016_ NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
ENE,7,0,12.82,0.58,0.152,3.13,42.25,2.56,242.92,14.79,51.92,627.5,2.57
ENE,7,1,9.97,0.92,0.122,3.83,37.87,2.38,260.39,13.44,57.12,627.58,2.61
ENE,7,2,10.94,1.76,0.082,2.37,37.73,2.1,222.83,12.84,61.4,627.63,2.7
ENE,7,3,13.55,1.64,0.042,0.65,38.27,2.63,230.47,12.72,64.27,627.62,2.63
ENE,7,4,14.99,1.76,0.012,0.13,19.15,2.52,253.82,12.46,65.39,627.59,2.72
ENE,7,5,11.85,1.42,0.012,1.58,31.34,2.29,266.78,11.4,68.22,627.7,2.72
ENE,7,6,8.70,1.73,0.012,2.99,31.58,1.52,257.38,10.94,68.62,627.65,2.73
ENE,7,7,3.83,2.08,0.112,6.35,41.84,1.43,231.22,11.07,69.37,627.62,2.74
ENE,7,8,1.51,2.89,0.532,8.89,69.4,1.18,248.19,11.19,68.99,627.63,16.26
ENE,7,9,2.48,4.19,0.652,8.68,93.37,1.86,255.88,12.53,67.74,627.42,94.7
ENE,7,10,8.97,3.47,0.342,4.41,54.1,2.15,264.27,14.65,62.2,627.23,211.22
ENE,7,11,16.14,2.8,0.242,2.69,40.39,2.74,283.3,17.28,52.58,626.99,385.9
ENE,7,12,22.68,2.41,0.132,1.71,28,3.38,267.97,19.4,41.31,626.77,577.12
ENE,7,13,27.33,1.78,0.032,0.45,70.75,4.77,248.79,20.3,32.95,626.69,708.26
ENE,7,14,31.49,1.03,0.022,0.08,66.91,5.07,257.32,20.62,29.94,626.8,463.5
ENE,7,15,34.49,0.79,0.012,0.08,61.27,5.07,260.23,21.22,27.64,626.74,603.25
ENE,7,16,38.33,0.74,0.012,0.28,72.07,5.13,264.13,22.2,24.04,626.67,557.94
ENE,7,17,39.29,0.2,0.012,0.08,67.21,4.6,269.8,22.23,23,626.73,366.76
ENE,7,18,36.06,0.2,0.052,2.29,51.04,4.06,272.67,21.29,24.77,626.82,154.41
ENE,7,19,19.04,1.62,0.382,13.1,91.86,3.33,287.23,18.87,27.96,627.08,8.97
ENE,7,20,3.76,4.07,0.772,20.51,116.6,2.18,269.75,16.78,31.25,627.3,18.55
ENE,7,21,2.30,3.79,0.762,17.31,154.46,1.86,225,15.26,36.49,627.46,2.52
ENE,7,22,8.33,3.23,0.482,11.63,100.66,2.59,254.66,15.03,40.19,627.45,7.55
ENE,7,23,9.66,2.67,0.362,9.34,68.89,1.82,246.71,13.79,43.67,627.56,2.62
ENE,8,0,9.10,2.5,0.232,7.37,75.15,1.69,140.54,12.11,51.05,627.69,2.68
ENE,8,1,4.18,2.38,0.212,10.63,67.39,1.21,117.52,11.18,53.72,627.72,2.78
ENE,8,2,0.99,2.95,0.192,11.13,81.5,1.07,153.07,10.31,57,627.82,18.89
ENE,8,3,1.43,2.97,0.112,9.99,87.08,1.17,250.46,9.86,52.21,627.73,2.8
ENE,8,4,2.13,3.2,0.152,9.09,42.99,1,297.13,9.83,54.98,627.8,2.83
ENE,8,5,1.04,3.62,0.302,8.16,70.84,0.98,233.35,8.52,60.88,627.88,2.86
ENE,8,6,1.43,3.68,0.192,8.98,55.28,2.04,318.21,8.53,65.53,627.82,5.14
ENE,8,7,1.04,4.79,0.502,8.86,57.5,1.12,252.03,7.78,68.8,627.71,2.97
ENE,8,8,1.35,8,1.552,9.6,129.02,1.07,118.39,7.85,69.97,627.79,31.79
ENE,8,9,2.74,12.51,1.402,13.88,149.54,1.47,137.55,13.06,61.49,627.29,224.25
ENE,8,10,13.15,11.48,0.692,10.64,84.11,1.46,271.52,17.43,53.89,626.79,413.51
ENE,8,11,23.00,8.76,0.542,10.46,50.03,1.94,250.44,19.71,44.09,626.55,595.69
ENE,8,12,26.08,4.36,0.232,3.55,56.41,3.22,230.59,20.77,34.87,626.54,731.21
ENE,8,13,30.94,3.03,0.112,3.09,62.15,3.66,271.36,21.49,30.16,626.54,797.51
ENE,8,14,36.42,1.83,0.062,2.02,40.18,4.92,266.81,22.66,23.02,626.6,625.93
ENE,8,15,41.31,1.32,0.042,0.81,54.78,4.83,260.45,23.56,19.84,626.49,709.84
ENE,8,16,42.99,0.66,0.012,0.08,154.84,5.67,248.71,23.84,15.44,626.52,572.18
ENE,8,17,41.74,0.28,0.012,0.08,124.21,5.5,245.94,23.55,15.15,626.6,380.69
ENE,8,18,39.62,0.2,0.012,0.79,72.12,4.79,251.38,22.35,16.25,626.76,162.35
ENE,8,19,27.60,0.2,0.112,6.27,70.83,3.63,258.69,19.31,17.54,627.04,10.45
ENE,8,20,14.25,0.2,0.292,12.03,64.15,2.39,271.84,16.96,20.91,627.3,2.44
ENE,8,21,3.69,0.26,0.602,16.58,91.63,2.33,244.83,15.61,24.28,627.45,2.55
ENE,8,22,4.45,0.2,0.482,14.63,115.59,1.42,210.86,14.24,25.63,627.55,2.59
ENE,8,23,3.63,0.2,0.492,12.81,125.01,1.64,207.34,13.38,30.86,627.58,24.34
ENE,9,0,5.72,0.2,0.392,10.91,82.84,1.81,286.53,12.58,37.4,627.67,2.66
ENE,9,1,5.43,1.3,0.302,8.87,69.72,2.51,266.05,11.78,49.47,627.7,2.77
ENE,9,2,11.37,0.81,0.152,5.38,48.55,2.04,253.96,10.92,53.98,627.74,21.11
ENE,9,3,2.98,1.26,0.172,9.76,45.55,1.43,286,10.16,56.09,627.76,10.12
ENE,9,4,1.01,1.69,0.222,10.61,69.22,1.39,259.58,9.24,57.31,627.86,2.84
ENE,9,5,1.00,2.3,0.192,10.28,73.09,1.81,253.78,9.23,58.55,627.77,2.9
ENE,9,6,1.72,2.19,0.192,9.72,65.03,1.81,281.93,9.09,59.89,627.75,2.88
ENE,9,7,1.21,2.44,0.262,9.79,52.07,1.1,185.2,8.68,60.4,627.69,2.94
ENE,9,8,1.04,5.02,0.882,10.97,93.54,1.24,302.22,8.39,59.86,627.6,29.65
ENE,9,9,2.27,6.06,1.062,12.74,161.48,1.02,139.1,10.31,58.5,627.62,105.93
ENE,9,10,5.20,8.12,0.982,17.31,234.94,1.21,156.16,14.29,51.35,627.17,369.58
ENE,9,11,17.94,5.58,0.632,11.88,118.73,1.29,240.54,19.64,39.96,626.6,604.5
ENE,9,12,28.64,3.24,0.352,5.4,55.82,2,220.63,22.11,34.84,626.47,725.92
ENE,9,13,36.16,1.76,0.172,2.48,38.53,2.44,219.98,23.2,24.73,626.4,708.76
ENE,9,14,39.18,1.05,0.062,1.5,41.47,3.13,231.27,23.14,16.83,626.38,589.8
ENE,9,15,43.40,0.57,0.012,0.2,41.96,4.52,240.79,23.29,10.83,626.51,496.66
ENE,9,16,42.55,0.8,0.032,2.77,63.05,3.81,262.72,22.67,11.8,626.63,329.01
ENE,9,17,39.44,0.64,0.092,4.52,43.51,3.11,270.87,22.35,15.66,626.69,246.13
ENE,9,18,31.89,0.82,0.162,9.01,54.13,3.14,271.12,20.4,17.62,626.94,73.85
ENE,9,19,22.57,2.18,0.312,14.85,78.26,3.15,265.68,18.37,19.62,627.15,5.25
