DATOS HORARIOS 2016_ NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
OCT,6,9,1.03,1.32,0.102,2.01,35.54,2.04,130.39,18.07,96.31,624.17,274.16
OCT,6,10,1.57,0.96,0.092,4,18.49,2.35,148.65,22.05,85.84,624.3,556.33
OCT,6,11,1.82,0.42,0.142,4.57,22.44,2.63,128.34,24.43,75.24,624.17,764.53
OCT,6,12,2.47,0.2,0.222,3.44,5.81,2.61,127.93,26.17,60.11,623.8,855.39
OCT,6,13,3.43,NA,0.182,1.61,2.79,2.25,146.41,27.82,47.09,623.19,772.3
OCT,6,14,4.47,NA,0.052,1.19,3.48,2.17,124.32,29.62,36.98,622.45,937.51
OCT,6,15,5.78,NA,0.152,0.91,11.15,2.5,142.99,30.16,32.68,621.73,776.65
OCT,6,16,8.24,NA,0.242,1.27,26.93,2.41,106.23,29.47,33.24,621.23,495.87
OCT,6,17,9.02,NA,0.182,0.08,42.3,2.48,150.57,30.83,31.66,620.93,594.64
OCT,6,18,7.94,NA,0.272,0.08,30.28,2.38,148.01,28.45,36.6,620.92,116.85
OCT,6,19,7.33,NA,0.122,3.69,80.08,2.28,157.98,25.27,48.23,621.13,11.62
OCT,6,20,2.51,NA,0.352,12.38,84.86,1.53,165.49,23.9,53.89,621.59,10.71
OCT,6,21,1.33,0.32,0.022,11,53.08,2.45,14.75,23.59,55.19,622.16,30.41
OCT,6,22,2.87,0.77,0.202,8.06,41.37,2.46,108.64,22.7,56.6,622.54,5.48
OCT,6,23,3.2,0.37,0.172,4.61,140.74,2.59,111.55,20.79,67.76,622.8,5.61
OCT,7,0,1.4,0.2,0.112,4.33,39.46,3.03,96.23,20.36,71.63,622.93,2.07
OCT,7,1,2.06,NA,0.232,3.79,17.28,3.54,86.05,19.61,70.89,622.97,11.59
OCT,7,2,1.49,NA,0.062,2.13,42.19,3.44,81.14,18.69,74.86,622.84,2.09
OCT,7,3,1.71,NA,0.142,0.16,42.83,3.1,86.07,17.87,79.42,622.85,5.66
OCT,7,4,1.75,NA,0.102,0.2,46.44,2.61,86.3,17.09,84.13,622.87,2.14
OCT,7,5,1.34,NA,0.142,0.69,48.77,2.46,97.43,16.43,86.64,622.84,7.04
OCT,7,6,1.51,NA,0.102,1.82,34.64,2.58,110.33,16.11,87.93,623.23,24.32
OCT,7,7,1.28,NA,0.072,2.69,47.45,2.42,118.42,15.57,89.04,623.48,14
