DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,5,4,0.0236,0.0032,2.566,NA,12,3.46,82.24,15.3
SEP,5,5,0.0194,0.0043,2.59,NA,14,3.07,81.86,14.9
SEP,5,6,0.0161,0.0037,2.657,NA,13,2.41,97.97,14.51
SEP,5,7,0.0102,0.0172,2.722,NA,22,3.48,79.53,14.74
SEP,5,8,0.0118,0.0087,2.758,NA,26,3.05,123.12,16.63
SEP,5,9,0.0171,0.003,2.835,NA,26,3.91,97.31,18.66
SEP,5,10,0.0234,0.0044,2.747,NA,23,4.62,87.85,20.82
SEP,5,11,0.0296,0.0232,2.745,NA,25,4.88,83.97,21.83
SEP,5,12,0.0342,0.0113,2.78,NA,22,4.13,81.69,22.3
SEP,5,13,0.0392,0.0028,2.766,NA,26,4.61,100.64,23.38
SEP,5,14,0.0423,0.0019,2.768,NA,26,4.12,106.72,23.93
SEP,5,15,0.0338,0.0023,2.825,NA,19,3.5,86.81,22.99
SEP,5,16,0.0306,0.0109,2.786,NA,21,4.21,68.22,23.31
SEP,5,17,0.032,0.0148,2.778,NA,43,4.41,81.37,23.34
SEP,5,18,0.0288,0.0051,2.751,NA,20,4.02,74.41,21.91
SEP,5,19,0.0262,0.0034,2.773,NA,10,3.78,94.26,19.94
SEP,5,20,0.0204,0.0159,2.803,NA,17,4.38,96.55,17.63
SEP,5,21,0.0159,0.0053,2.902,NA,18,3.04,81.74,17.86
SEP,5,22,0.0119,0.0075,2.786,NA,28,2.6,95.02,17.84
SEP,5,23,0.0145,0.0083,2.678,NA,17,3.12,84.86,17.91
SEP,6,0,0.0164,0.0064,2.633,NA,12,3.25,85.31,17.57
SEP,6,1,0.0178,0.0057,2.609,NA,NA,3.95,97.53,17.27
SEP,6,2,0.0178,0.0067,2.592,NA,8,3.31,92.71,16.98
SEP,6,3,0.0202,0.004,2.596,NA,12,3.81,98.79,16.75
SEP,6,4,0.0181,0.0026,2.59,NA,10,3.39,92.18,16.46
SEP,6,5,0.015,0.0023,2.617,NA,27,2.56,89.32,16.24
SEP,6,6,0.0149,0.0021,2.65,NA,8,3.14,104.42,16.23
SEP,6,7,0.0141,0.0083,2.7,NA,14,3.57,71.05,16.35
SEP,6,8,0.0169,0.0053,2.811,NA,13,3.08,82.35,17.58
SEP,6,9,0.018,0.0199,2.853,NA,19,3.65,79.68,19.69
SEP,6,10,0.0222,0.0151,2.805,NA,18,4.37,70.16,20.3
SEP,6,11,0.0255,0.0176,2.803,NA,19,3.89,97.22,22.28
SEP,6,12,0.0317,0.008,2.782,NA,14,4.15,90.12,23.54
SEP,6,13,0.0344,0.0113,2.734,NA,14,4.63,92.44,24.86
SEP,6,14,0.0343,0.0146,2.708,NA,14,4.66,76.97,25.78
SEP,6,15,0.0341,0.0099,2.743,NA,11,5.25,66.65,25.03
SEP,6,16,0.0298,0.093,2.853,NA,31,4.64,83.87,23.48
SEP,6,17,0.0319,0.0338,2.742,NA,41,4.97,74.96,24.9
SEP,6,18,0.031,0.081,2.724,NA,19,5.26,54.66,23.4
SEP,6,19,0.0269,0.0265,2.721,NA,25,5.6,51.97,21.38
SEP,6,20,0.0225,0.0225,2.765,NA,19,4.93,47.25,20.08
SEP,6,21,0.0224,0.1094,2.792,NA,23,4.44,45.43,19.56
SEP,6,22,0.0188,0.0886,2.73,NA,27,3.24,62.08,19.25
SEP,6,23,0.0167,0.017,2.65,NA,21,2.8,69.1,18.03
SEP,7,0,0.0122,0.007,2.622,NA,13,2.34,84.48,16.66
SEP,7,1,0.0131,0.0067,2.607,NA,7,1.93,89.88,16.8
SEP,7,2,0.0116,0.0098,2.612,NA,16,1.52,167.94,16.74
SEP,7,3,0.0102,0.009,2.593,NA,14,1.77,136.07,16.94
SEP,7,4,0.0075,0.0051,2.594,NA,14,2.08,129.2,16.53
SEP,7,5,0.007,0.0043,2.627,NA,17,1.93,111.65,15.39
SEP,7,6,0.0033,0.0045,2.734,NA,26,2.83,107.47,15.11
SEP,7,7,0.0021,0.0049,2.865,NA,39,2.3,90.73,14.59
SEP,7,8,0.0071,0.0053,2.806,NA,32,1.88,84.55,17.04
SEP,7,9,0.0097,0.0152,2.801,NA,24,2.44,110.51,19.47
SEP,7,10,0.0191,0.0058,2.721,NA,26,4.23,102.02,21.14
SEP,7,11,0.0264,0.0123,2.713,NA,16,4.85,92.61,23.08
SEP,7,12,0.036,0.0062,2.751,NA,19,4.96,94.48,23.96
SEP,7,13,0.0436,0.01,2.748,NA,24,4.1,87.77,25.06
SEP,7,14,0.0499,0.0098,2.715,NA,30,3.5,83.72,26.14
SEP,7,15,0.0561,0.0079,2.692,NA,22,2.66,117.66,27.65
SEP,7,16,0.0616,0.0046,2.64,NA,17,3.13,139.92,28.33
SEP,7,17,0.0622,0.0033,2.692,NA,25,2.58,198.26,26.77
SEP,7,18,0.0507,0.003,2.789,NA,31,3.25,208.29,24.49
SEP,7,19,0.0424,0.0029,2.856,NA,32,2.51,195.94,20.86
SEP,7,20,0.0278,0.0023,2.88,NA,27,1.57,168.63,20.71
SEP,7,21,0.0209,0.0026,2.954,NA,28,2.05,249.97,20.35
