DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),WS (m/s),WD (°),TEMP (°C)
SEP,14,21,0.0213,0.005,2.89,NA,28,3.09,96.92,20.26
SEP,14,22,0.0204,0.0041,2.783,NA,22,2.38,88.69,19.55
SEP,14,23,0.0204,0.0037,2.697,NA,14,3.08,99.56,19.27
SEP,15,0,0.0232,0.0033,2.66,NA,16,2.82,93.57,18.4
SEP,15,1,0.0205,0.0026,2.671,NA,38,3.31,95.31,17.9
SEP,15,2,0.0213,0.0025,2.654,NA,18,2.73,100.53,17.67
SEP,15,3,0.0195,0.0022,2.666,NA,15,2.78,107.65,17.25
SEP,15,4,0.0171,0.0025,2.673,NA,NA,3.2,92.87,16.66
SEP,15,5,0.0158,0.0021,2.687,NA,35,3.23,91.62,15.88
SEP,15,6,0.0175,0.0023,2.737,NA,8,3.18,92.89,15.93
SEP,15,7,0.0144,0.002,2.812,NA,18,2.68,78.97,16.4
SEP,15,8,0.0133,0.0027,2.813,NA,13,2.16,131.67,17.48
SEP,15,9,0.0211,0.0073,2.822,NA,55,2.7,100.15,21.75
SEP,15,10,0.0284,0.0033,2.743,NA,20,3.74,99.27,23.21
SEP,15,11,0.0327,0.0022,2.746,NA,15,3.52,85.58,23.51
SEP,15,12,0.0364,0.0025,2.762,NA,27,3.44,86.95,24.32
SEP,15,13,0.0382,0.0039,2.746,NA,25,3.81,82.83,25.59
SEP,15,14,0.039,0.0049,2.846,NA,11,3.89,99.44,25.87
SEP,15,15,0.0379,0.0042,2.796,NA,17,3.46,77.21,25.15
SEP,15,16,0.0393,0.0036,2.73,NA,10,3.46,70.83,27.25
SEP,15,17,0.0364,0.0187,2.966,NA,16,3.43,130.15,26.99
SEP,15,18,0.031,0.0052,2.918,NA,23,5.28,299.35,23.93
SEP,15,19,0.0258,0.0034,3,NA,24,3.96,309.17,20.65
SEP,15,20,0.0195,0.0043,3.194,NA,36,3.23,247.53,20.36
SEP,15,21,0.0225,0.0051,2.854,NA,27,3.71,65.15,19.93
SEP,15,22,0.0241,0.0163,2.722,NA,21,5.08,59.12,19.12
SEP,15,23,0.023,0.0328,2.732,NA,18,3.45,59.66,18.88
SEP,16,0,0.0216,0.0117,2.715,NA,13,2.81,106.38,18.02
SEP,16,1,0.0209,0.0039,2.703,NA,32,3.47,95.81,17.27
SEP,16,2,0.0203,0.0019,2.67,NA,17,3.36,88.93,16.9
SEP,16,3,0.0186,0.0014,2.674,NA,9,3.21,94.68,16.63
SEP,16,4,0.0191,0.0006,2.651,NA,9,3.63,88.19,16.35
SEP,16,5,0.0185,0.0011,2.683,NA,10,2.79,102.66,16.11
SEP,16,6,0.0137,0.001,2.719,NA,17,2.64,118.71,15.32
SEP,16,7,0.0048,0.002,2.794,NA,29,1.82,121.51,14.22
SEP,16,8,0.0049,0.0094,2.905,NA,34,1.73,98.21,16.67
SEP,16,9,0.0099,0.02,2.902,NA,55,2.59,99.47,18.98
SEP,16,10,0.0207,0.0031,2.786,NA,25,3.53,84.9,21.73
SEP,16,11,0.0288,0.0013,2.756,NA,16,3.62,99.16,24.38
SEP,16,12,0.0315,0.0009,2.774,NA,11,3.51,85.92,23.88
SEP,16,13,0.0321,0.0009,2.772,NA,12,3.73,71.2,25.26
SEP,16,14,0.0334,0.0007,2.751,NA,14,3.06,84.54,25.47
SEP,16,15,0.0347,0.0004,2.747,NA,10,3.09,97.03,26.22
SEP,16,16,0.032,0.0005,2.812,NA,11,3.9,171.13,25.18
SEP,16,17,0.0289,0.0022,2.837,NA,18,4.31,247.63,23.24
SEP,16,18,0.0242,0.0006,2.937,NA,13,3.61,257.97,22.86
SEP,16,19,0.0205,0.0015,3.087,NA,18,3.28,279.99,21.48
SEP,16,20,0.016,0.0056,3.044,NA,19,2.17,145.46,21.29
SEP,16,21,0.0183,0.0041,2.865,NA,24,3.68,108.92,20.42
SEP,16,22,0.0222,0.0019,2.749,NA,17,2.92,122.78,18.58
SEP,16,23,0.0208,0.0008,2.713,NA,14,2.57,117.81,17.73
SEP,17,0,0.0237,0.0004,2.697,NA,11,1.87,126.01,16.68
SEP,17,1,0.0211,0.0017,2.737,NA,11,1.49,126.81,16.85
SEP,17,2,0.0185,0.0033,2.758,NA,11,1.55,91.55,16.67
SEP,17,3,0.0169,0.0039,2.731,NA,19,1.29,179.05,16.4
SEP,17,4,0.0092,0.0059,2.769,NA,23,1.69,115.99,16.19
SEP,17,5,0.003,0.0055,2.757,NA,25,2,136.76,15.36
SEP,17,6,0.0006,0.0044,2.828,NA,22,1.39,123.1,15.17
SEP,17,7,0.0009,0.0051,2.951,NA,33,1.69,107.97,15.42
SEP,17,8,0.0028,0.0073,2.948,NA,37,1.96,128.4,19
SEP,17,9,0.0125,0.01,2.898,NA,35,3.24,96.17,20.73
SEP,17,10,0.0212,0.0048,2.769,NA,19,3.67,106.71,22.83
SEP,17,11,0.0275,0.0036,2.764,NA,17,3.94,86.86,23.69
SEP,17,12,0.032,0.0033,2.742,NA,12,3.34,93.96,25.33
SEP,17,13,0.0345,0.0032,2.749,NA,13,3.11,106.5,25.72
SEP,17,14,0.0368,0.0029,2.771,NA,13,2.75,108.51,25.3
SEP,17,15,0.0379,0.0032,2.787,NA,17,2.45,115.46,26.65
SEP,17,16,0.0354,0.0029,2.788,NA,17,2.96,103.42,26.63
SEP,17,17,0.0312,0.0119,2.772,NA,20,2.6,93.22,27.5
SEP,17,18,0.0286,0.006,2.912,NA,20,3.17,86.19,26.65
SEP,17,19,0.0245,0.0055,2.936,NA,28,3.54,82.31,23.78
SEP,17,20,0.0149,0.0062,3.023,NA,32,2.82,93.25,22.2
SEP,17,21,0.0163,0.0089,2.959,NA,32,2.6,74.13,21.88
SEP,17,22,0.0169,0.0167,2.772,NA,27,2.93,70.24,20.61
SEP,17,23,0.0134,0.0075,2.761,NA,20,3.2,99.86,18.76
SEP,18,0,0.0156,0.0052,2.716,NA,20,3.79,91.09,18.66
SEP,18,1,0.0144,0.0057,2.711,NA,17,4.08,97.27,18.03
SEP,18,2,0.0149,0.0156,2.702,NA,20,3.87,87.98,17.52
SEP,18,3,0.0144,0.019,2.686,NA,19,3.81,93.14,17.24
SEP,18,4,0.0166,0.0259,2.677,NA,20,3.64,67.91,16.89
SEP,18,5,0.0176,0.012,2.697,NA,18,2.06,103.25,16.67
SEP,18,6,0.0155,0.0049,2.814,NA,25,2.94,91.5,16.53
SEP,18,7,0.0129,0.0072,2.838,NA,25,2.85,101.46,16.47
SEP,18,8,0.0142,0.0089,2.882,NA,21,3.56,66.93,17.01
SEP,18,9,0.0172,0.0164,2.862,NA,23,4.48,89.54,19.85
SEP,18,10,0.0226,0.0104,2.813,NA,21,4.37,86.53,22.1
SEP,18,11,0.0254,0.0195,2.792,NA,25,4.13,77.15,22.98
SEP,18,12,0.0263,0.0195,2.875,NA,28,4.04,75.58,22.62
SEP,18,13,0.0318,0.0147,2.863,NA,26,4.45,74.96,23.71
SEP,18,14,0.0356,0.0104,2.851,NA,27,5.1,58.91,24.41
SEP,18,15,0.0372,0.008,2.824,NA,25,5.54,64.69,24.61
SEP,18,16,0.038,0.0102,2.796,NA,26,6.14,53.15,24.39
SEP,18,17,0.0355,0.0094,2.804,NA,31,5.77,57.21,24.39
SEP,18,18,0.0335,0.0126,2.825,NA,30,5.3,65.05,23.85
SEP,18,19,0.0282,0.0117,2.921,NA,31,3.81,80.76,22.29
SEP,18,20,0.0216,0.014,2.907,NA,32,4.07,68.69,20.57
SEP,18,21,0.0166,0.0525,2.818,NA,35,5.65,76.53,19.53
SEP,18,22,0.0142,0.0487,2.776,NA,38,5.03,75.76,18.22
SEP,18,23,0.0169,0.0332,2.744,NA,37,4.72,83.24,17.42
SEP,19,0,0.0131,0.0367,2.731,NA,31,4.14,81.03,16.16
SEP,19,1,0.0192,0.0078,2.726,NA,16,3.55,95.13,15.21
SEP,19,2,0.0184,0.0143,2.711,NA,15,3.55,77.5,14.87
SEP,19,3,0.021,0.0082,2.701,NA,17,3.63,70.35,14.46
SEP,19,4,0.0235,0.0117,2.697,NA,11,4.07,79.38,14.69
SEP,19,5,0.0183,0.0245,2.714,NA,24,3.67,83.55,14.71
SEP,19,6,0.0164,0.0087,2.832,NA,24,3.16,114.32,14.31
SEP,19,7,0.0156,0.0039,2.861,NA,26,3.41,102.4,14.77
SEP,19,8,0.0172,0.0029,2.877,NA,31,3.8,106.71,15.58
SEP,19,9,0.0212,0.0029,2.864,NA,34,4.16,97.51,17.49
SEP,19,10,0.0237,0.0057,2.879,NA,26,4.04,101.81,19.73
SEP,19,11,0.0296,0.0039,2.862,NA,20,3.97,96.9,21.95
SEP,19,12,0.0311,0.0056,2.891,NA,27,4.48,76.79,22.11
SEP,19,13,0.033,0.0033,2.873,NA,23,5.05,59.15,22.16
SEP,19,14,0.0315,0.0073,2.906,NA,23,4.75,64.31,21.84
SEP,19,15,0.0318,0.0102,2.924,NA,22,4.68,61.2,21.98
SEP,19,16,0.0326,0.0076,2.895,NA,21,4.41,61.53,22.41
SEP,19,17,0.032,0.0069,2.887,NA,16,4.56,60.32,22.29
SEP,19,18,0.0308,0.0081,2.83,NA,21,5.76,52.47,21.15
SEP,19,19,0.028,0.0137,2.85,NA,27,5.04,61.5,19.84
SEP,19,20,0.0268,0.0057,2.901,NA,22,4.52,72.03,18.21
SEP,19,21,0.0234,0.0115,2.919,NA,27,4.13,94.59,17.46
SEP,19,22,0.0231,0.0039,2.844,NA,21,4.74,94.24,16.95
SEP,19,23,0.0233,0.0035,2.811,NA,20,4.93,89.84,15.98
SEP,20,0,0.0258,0.0025,2.75,NA,15,5.02,95.82,15.23
SEP,20,1,0.0236,0.0129,2.731,NA,NA,4.16,88.04,14.71
SEP,20,2,0.0175,0.0185,2.737,NA,15,3.19,81.3,14.49
SEP,20,3,0.0193,0.0194,2.718,NA,21,3.38,79.64,14.3
SEP,20,4,0.0234,0.0144,2.712,NA,18,4.01,70.92,14.25
SEP,20,5,0.0211,0.0248,2.718,NA,23,3.31,94.66,13.93
SEP,20,6,0.0186,0.0104,2.778,NA,21,3.14,95.22,12.79
SEP,20,7,0.0173,0.007,2.805,NA,22,3.24,108.36,12.39
SEP,20,8,0.0175,0.0129,2.952,NA,58,2.91,100.87,13.75
SEP,20,9,0.0241,0.026,2.881,NA,37,4.52,81.32,16.53
SEP,20,10,0.0289,0.0243,2.846,NA,33,5.48,73.9,18.68
SEP,20,11,0.0321,0.016,2.872,NA,24,4.66,73.73,20.16
SEP,20,12,0.0373,0.0101,2.874,NA,34,4.32,69.84,22.58
SEP,20,13,0.0381,0.0141,2.853,NA,22,3.98,72.19,24.11
SEP,20,14,0.0376,0.0158,2.879,NA,23,3.66,88.5,25.87
SEP,20,15,0.0373,0.0145,2.904,NA,20,3.53,105.56,25.49
SEP,20,16,0.0377,0.0135,2.881,NA,17,3.53,132.5,26.09
SEP,20,17,0.0383,0.0052,2.853,NA,19,3.68,206.1,26.18
SEP,20,18,0.0355,0.0375,2.963,NA,24,3.93,80.03,25.06
SEP,20,19,0.032,0.0398,2.89,NA,26,4.67,63.15,22.57
SEP,20,20,0.0307,0.0515,2.891,NA,30,4.85,49.97,20.93
SEP,20,21,0.0283,0.0094,2.85,NA,26,3.69,58.47,19.9
SEP,20,22,0.0259,0.0211,2.817,NA,32,3.77,83.15,19.5
SEP,20,23,0.0262,0.0186,2.772,NA,27,4.11,83.45,18.59
SEP,21,0,0.0236,0.0059,2.784,NA,29,3.98,102.81,17.9
SEP,21,1,0.0182,0.0052,2.809,NA,20,3.23,90.76,16.74
SEP,21,2,0.0189,0.005,2.785,NA,19,3.29,98.8,15.67
SEP,21,3,0.0173,0.0037,2.771,NA,21,2.63,94.64,14.5
SEP,21,4,0.0109,0.0035,2.804,NA,28,1.57,90.26,13.66
SEP,21,5,0.0035,0.0044,2.817,NA,34,1.9,118.32,13.15
SEP,21,6,0.0049,0.005,2.898,NA,57,2.32,101.16,12.68
SEP,21,7,0.0025,0.0034,3.114,NA,36,2.29,90.1,12.67
SEP,21,8,0.0039,0.0034,3.119,NA,40,2.78,101.66,14.99
SEP,21,9,0.0083,0.0031,3.021,NA,40,3.29,100.71,15.74
SEP,21,10,0.0197,0.0026,2.928,NA,30,3.24,100.38,18.34
SEP,21,11,0.0309,0.0028,2.842,NA,24,3.46,115.89,21.17
SEP,21,12,0.0358,0.0151,2.837,NA,28,2.26,157.04,24.23
SEP,21,13,0.0453,0.0351,2.81,NA,39,2.2,170.53,26.23
SEP,21,14,0.0566,0.0453,2.816,NA,38,2.15,183.07,27.35
SEP,21,15,0.061,0.0366,2.83,NA,34,2.14,221.61,28.56
SEP,21,16,0.0634,0.0204,2.866,NA,32,2.31,206.81,28.94
SEP,21,17,0.0647,0.0188,2.86,NA,36,2.3,193.94,28.66
SEP,21,18,0.0623,0.0152,2.875,NA,43,2.2,208.19,27.46
SEP,21,19,0.0533,0.009,3.008,NA,40,2.11,232.31,25.87
SEP,21,20,0.0388,0.0054,3.012,NA,52,3.14,195.2,23.33
SEP,21,21,0.0331,0.0039,2.929,NA,37,3.15,243.77,19.82
SEP,21,22,0.0348,0.0036,2.822,NA,29,2.48,222.17,17.13
SEP,21,23,0.0321,0.0032,2.811,NA,16,2.49,222.51,15.8
SEP,22,0,0.0308,0.0032,2.788,NA,17,1.91,181.59,15.85
SEP,22,1,0.0316,0.0031,2.788,NA,10,2.18,279.39,15.74
SEP,22,2,0.0276,0.0035,2.778,NA,12,2.9,295.29,15.85
SEP,22,3,0.0214,0.0034,2.806,NA,25,3.08,304.93,15.64
SEP,22,4,0.0256,0.0036,2.803,NA,24,2.33,275.63,15.62
SEP,22,5,0.0253,0.0032,2.803,NA,21,1.68,235.29,15.33
SEP,22,6,0.0152,0.0029,2.895,NA,24,1.78,231.06,15.19
SEP,22,7,0.0126,0.0029,3.027,NA,26,1.5,259.77,14.95
SEP,22,8,0.0133,0.0033,3.105,NA,31,1.71,195.29,18.05
SEP,22,9,0.0143,0.0036,3.241,NA,36,1.7,197.24,20.98
SEP,22,10,0.0326,0.0045,2.912,NA,35,1.91,255.75,23.57
SEP,22,11,0.0448,0.0044,2.889,NA,20,2.32,247.38,25.48
SEP,22,12,0.0526,0.0033,2.861,NA,17,2.34,211.6,26.53
SEP,22,13,0.0534,0.0041,2.844,NA,24,2.28,216.44,27.66
SEP,22,14,0.0612,0.0056,2.839,NA,22,2.76,182.75,27.34
SEP,22,15,0.0641,0.0053,2.817,NA,25,2.9,197.22,28.64
SEP,22,16,0.0674,0.0061,2.816,NA,26,2.31,206.06,29.26
SEP,22,17,0.0671,0.0056,2.846,NA,32,3.08,250.19,28.47
SEP,22,18,0.0376,0.0035,3.053,NA,48,5.22,303.14,23.72
SEP,22,19,0.0276,0.003,3.038,NA,34,3.47,293.52,20.67
SEP,22,20,0.0286,0.0148,2.919,NA,26,2.96,105.52,20.59
SEP,22,21,0.0308,0.0078,2.897,NA,30,3.89,107.81,18.28
SEP,22,22,0.0292,0.0044,2.907,NA,28,2.44,119.71,17.27
SEP,22,23,0.0286,0.0061,2.839,NA,35,1.52,157.98,16.66
SEP,23,0,0.0198,0.0088,2.886,NA,28,1.89,286.08,17.03
SEP,23,1,0.0071,0.0102,2.953,NA,31,1.51,207.41,16.98
SEP,23,2,0.0067,0.0069,2.9,NA,36,1.56,111.45,16.21
SEP,23,3,0.0011,0.0051,2.858,NA,42,1.81,139.73,15.35
SEP,23,4,0.0015,0.0088,2.922,NA,38,2.05,148.34,14.87
SEP,23,5,0.0097,0.0142,2.857,NA,38,1.89,137.86,14.52
SEP,23,6,0.0071,0.006,2.91,NA,31,1.67,174.7,13.87
SEP,23,7,0.0021,0.0045,3.065,NA,33,1.74,119.96,13.52
SEP,23,8,0.0031,0.0062,3.204,NA,41,1.21,92.12,16.99
SEP,23,9,0.0177,0.0063,2.953,NA,38,1.85,110.86,20.64
SEP,23,10,0.029,0.0057,3.008,NA,31,1.8,232.22,23.53
SEP,23,11,0.038,0.0069,2.96,NA,29,2.46,241.36,24.41
SEP,23,12,0.0457,0.0054,2.836,NA,27,2.71,243.58,25.41
SEP,23,13,0.0491,0.0035,2.816,NA,17,2.67,250.79,26.28
SEP,23,14,0.052,0.0031,2.77,NA,15,2.7,235.64,27.93
SEP,23,15,0.0538,0.0029,2.808,NA,18,2.91,236.63,28.64
SEP,23,16,0.0575,0.0025,2.81,NA,17,2.79,237.48,28.64
SEP,23,17,0.0517,0.0395,2.886,NA,38,4.17,99.89,27.65
SEP,23,18,0.0457,0.0049,2.983,NA,28,3.25,246.43,26.87
SEP,23,19,0.0383,0.0032,3.197,NA,26,1.85,254.17,24.6
SEP,23,20,0.0231,0.0044,3.462,NA,41,1.13,221.45,22.77
SEP,23,21,0.0161,0.0045,3.233,NA,66,2.49,232.11,21.25
SEP,23,22,0.0335,0.0036,2.905,NA,33,2.19,197.63,19.21
SEP,23,23,0.0237,0.0053,2.876,NA,28,2.11,126.76,18.39
SEP,24,0,0.0138,0.0159,2.932,NA,39,1.89,114.93,17.26
SEP,24,1,0.0085,0.0134,2.929,NA,45,2.82,113.44,17.1
SEP,24,2,0.0098,0.0124,2.917,NA,45,2.36,90.52,16.35
SEP,24,3,0.005,0.0043,2.903,NA,36,2.36,104.42,15.74
SEP,24,4,0.0034,0.0031,2.88,NA,15,1.99,96.53,14.97
SEP,24,5,0.003,0.0031,2.906,NA,30,1.65,82.49,14.54
SEP,24,6,0.0003,0.0112,3.182,NA,55,1.53,62.33,13.95
SEP,24,7,0.0008,0.0069,3.162,NA,50,1.94,107.22,14.12
SEP,24,8,0.0009,0.0054,3.347,NA,51,1.81,132.32,16.45
SEP,24,9,0.0069,0.0107,3.117,NA,64,2.16,122.03,19.61
SEP,24,10,0.0215,0.0188,2.896,NA,48,2.59,100.65,22.24
SEP,24,11,0.0371,0.0114,2.858,NA,34,2.99,107.65,23.88
SEP,24,12,0.046,0.0064,2.829,NA,29,2.95,107.16,25.5
SEP,24,13,0.0487,0.0075,2.811,NA,22,3.08,118.98,26.93
SEP,24,14,0.0474,0.0069,2.784,NA,22,3.09,146.55,27.91
SEP,24,15,0.0454,0.0098,2.838,NA,25,2.96,139.12,27.92
SEP,24,16,0.0476,0.0128,2.832,NA,23,2.85,168.71,29.08
SEP,24,17,0.0477,0.006,2.821,NA,27,2.58,202.31,27.66
SEP,24,18,0.0438,0.0016,3.008,NA,28,2.39,284.06,26.27
SEP,24,19,0.0306,0.0015,3.299,NA,31,2.19,294.05,24.52
SEP,24,20,0.0177,0.0079,3.402,NA,72,2.13,233.48,22.85
SEP,24,21,0.0272,0.0161,3.04,NA,61,2.85,84.78,22.27
SEP,24,22,0.0231,0.0077,2.897,NA,32,2.3,107.36,20.39
SEP,24,23,0.0233,0.0143,2.841,NA,32,2.92,124.96,19.32
SEP,25,0,0.031,0.0052,2.849,NA,28,3.06,95.89,18.96
SEP,25,1,0.0213,0.0175,2.816,NA,25,2.87,89.9,18.66
SEP,25,2,0.0198,0.0117,2.801,NA,34,2.3,129.72,17.77
SEP,25,3,0.0206,0.0098,2.8,NA,32,2.43,102.22,17.69
SEP,25,4,0.017,0.0051,2.813,NA,28,1.72,110.68,17.57
SEP,25,5,0.0144,0.0046,2.829,NA,28,1.79,117.71,17.32
SEP,25,6,0.0116,0.0126,2.902,NA,37,2.16,165.36,17.22
SEP,25,7,0.0086,0.0301,3.014,NA,78,1.76,179.22,17.05
SEP,25,8,0.0088,0.0137,3.066,NA,66,1.71,94.34,17.34
SEP,25,9,0.0131,0.0118,3.016,NA,55,2.29,98.22,19.41
SEP,25,10,0.0241,0.008,2.961,NA,45,2.22,124.34,21.73
SEP,25,11,0.032,0.0086,2.945,NA,51,2.37,120.13,23.06
SEP,25,12,0.045,0.0077,2.904,NA,38,2.16,197.55,25.41
SEP,25,13,0.0534,0.0066,2.888,NA,40,2.79,185.76,26.97
SEP,25,14,0.0543,0.0114,2.84,NA,38,2.98,135.07,27.44
SEP,25,15,0.0597,0.0048,2.816,NA,31,3.05,145.4,28.15
SEP,25,16,0.058,0.0169,2.837,NA,26,2.76,131.21,28.83
SEP,25,17,#¡VALOR!,#¡VALOR!,NA,NA,NA,NA,NA,NA
SEP,25,18,0.0487,0.0112,2.977,NA,31,2.88,81.82,27.45
SEP,25,19,0.0253,0.0044,3.129,NA,18,3.44,93.47,23.71
SEP,25,20,0.0291,0.0041,3.093,NA,44,2.89,114.42,21.47
SEP,25,21,0.0185,0.0119,3.106,NA,65,2.6,126.68,20.56
SEP,25,22,0.0176,0.0047,2.982,NA,62,3.69,93.13,20.14
SEP,25,23,0.0192,0.0045,2.928,NA,40,4.1,85.7,19.38
SEP,26,0,0.0193,0.0056,2.866,NA,39,2.88,113.65,18.21
SEP,26,1,0.0151,0.0045,2.865,NA,38,2.31,111.38,16.87
SEP,26,2,0.0133,0.0052,2.85,NA,32,1.91,125.1,15.8
SEP,26,3,0.0079,0.0115,2.884,NA,44,1.83,119.87,15.12
SEP,26,4,0.0049,0.0072,2.902,NA,41,1.75,73.93,14.59
SEP,26,5,0.0046,0.0069,2.937,NA,36,1.52,110.14,14.37
SEP,26,6,0.0006,0.0043,3.002,NA,38,1.54,117.48,13.3
SEP,26,7,0.0004,0.0038,3.132,NA,45,2.01,106.3,12.94
SEP,26,8,0.0037,0.0037,3.174,NA,49,2.49,89.76,15.22
SEP,26,9,0.0079,0.0131,3.21,NA,73,2.7,116.51,18.38
SEP,26,10,0.0211,0.0104,2.962,NA,100,2.93,111.37,21.34
SEP,26,11,0.0366,0.0092,2.936,NA,43,2.3,146.37,23.88
SEP,26,12,0.0525,0.0091,2.939,NA,44,2.13,167.93,25.43
SEP,26,13,0.0579,0.008,2.957,NA,39,2.6,142.8,26.66
SEP,26,14,0.0646,0.0061,2.942,NA,40,2.59,141.89,27.41
SEP,26,15,0.0624,0.0041,2.894,NA,34,3.03,135.94,28.23
SEP,26,16,0.0517,0.0089,2.871,NA,26,2.98,126.36,28
SEP,26,17,0.0472,0.0166,2.87,NA,22,2.69,141.11,28.85
SEP,26,18,0.0493,0.0109,2.9,NA,68,2.61,99.02,28.13
SEP,26,19,0.0429,0.0034,3.002,NA,39,2.64,94.68,26.06
SEP,26,20,0.0331,0.0053,3.086,NA,47,2.77,69.21,23.79
SEP,26,21,0.0315,0.0049,3,NA,39,2.6,92.46,22.19
SEP,26,22,0.0297,0.0045,2.954,NA,34,2.96,94.68,20.8
SEP,26,23,0.026,0.0085,2.916,NA,41,2.32,151.42,19.47
SEP,27,0,0.0198,0.0145,2.931,NA,45,2.08,118.78,18.26
SEP,27,1,0.0169,0.0113,2.945,NA,28,1.37,92.22,17.7
SEP,27,2,0.015,0.005,2.955,NA,29,1.52,108.48,16.96
SEP,27,3,0.0089,0.0067,2.952,NA,39,1.62,127.79,16.05
SEP,27,4,0.0083,0.0086,2.942,NA,37,1.75,110.72,15.26
SEP,27,5,0.0056,0.0085,2.921,NA,43,1.75,67.12,13.93
SEP,27,6,0.0038,0.0089,2.948,NA,47,1.93,131.33,12.9
SEP,27,7,0.0017,0.0116,3.055,NA,44,1.78,98.68,12.69
SEP,27,8,0.005,0.0153,3.117,NA,75,1.93,105.66,15.8
SEP,27,9,0.017,0.0052,3.03,NA,44,2.67,95.06,18.75
SEP,27,10,0.0278,0.0084,3.029,NA,24,2.41,122.77,22.28
SEP,27,11,0.0415,0.0076,2.909,NA,39,2.2,164.19,25
SEP,27,12,0.0495,0.0046,2.853,NA,28,2.38,170.98,26.6
SEP,27,13,0.0528,0.0049,2.837,NA,28,2.57,156.85,27.87
SEP,27,14,0.0515,0.0069,2.899,NA,21,2.66,131.53,28.47
SEP,27,15,0.0529,0.0048,2.848,NA,27,2.74,128.91,29.62
SEP,27,16,0.0515,0.0094,2.887,NA,31,3.52,135.99,29.95
SEP,27,17,0.0528,0.0032,2.889,NA,18,2.65,220.6,30.01
SEP,27,18,0.0512,0.0122,2.983,NA,23,3.06,142.37,29.35
SEP,27,19,0.0408,0.0056,3.006,NA,24,3.22,75.38,26.51
SEP,27,20,0.0338,0.0064,3.15,NA,54,2.19,176.52,24.38
SEP,27,21,0.0308,0.0123,3.093,NA,62,1.9,108.88,23.3
SEP,27,22,0.0247,0.0102,3.096,NA,54,2.13,73.29,21.48
SEP,27,23,0.0197,0.0076,2.931,NA,48,2.22,128.61,20.25
SEP,28,0,0.022,0.0079,2.951,NA,44,1.42,186.49,19.3
SEP,28,1,0.0188,0.0049,2.971,NA,40,1.49,105.26,18.71
SEP,28,2,0.0067,0.0061,2.996,NA,53,1.34,78.76,17.33
SEP,28,3,0.0014,0.0107,2.963,NA,62,1.61,109.06,16.37
SEP,28,4,0.002,0.0097,2.966,NA,61,1.42,91.88,16.05
SEP,28,5,#¡VALOR!,0.0088,3.032,NA,57,1.4,117.97,15.38
SEP,28,6,#¡VALOR!,0.0069,3.005,NA,55,2.02,124.68,14.4
SEP,28,7,#¡VALOR!,0.0067,3.115,NA,69,2.17,119.06,14.12
SEP,28,8,0.0028,0.0087,3.24,NA,86,2.6,101.94,15.99
SEP,28,9,0.0105,0.0057,3.064,NA,54,2.26,118.32,20.53
SEP,28,10,0.0273,0.0115,2.964,NA,41,1.9,181.95,23.83
SEP,28,11,0.0439,0.0171,2.937,NA,47,2.13,159.22,25.47
SEP,28,12,0.0523,0.0101,2.92,NA,41,2.51,118.13,26.87
SEP,28,13,0.0558,0.0071,2.85,NA,34,2.58,125.89,28.66
SEP,28,14,0.0554,0.0055,2.83,NA,32,3.47,109.44,29.26
SEP,28,15,0.0482,0.0155,2.857,NA,45,5.09,68.06,29.71
SEP,28,16,0.0433,0.0244,2.809,NA,40,5.43,55.98,29.67
SEP,28,17,0.0424,0.0263,2.829,NA,30,5.42,51.28,28.96
SEP,28,18,0.0379,0.0716,2.888,NA,33,5.06,62.19,27.7
SEP,28,19,0.0306,0.0076,2.857,NA,47,4.85,51.8,25.25
SEP,28,20,0.0261,0.0255,2.855,NA,29,5,48.65,22.98
SEP,28,21,0.0307,0.0104,2.784,NA,27,6.18,45.76,21.45
SEP,28,22,0.0349,0.0066,2.792,NA,40,6.85,47.99,19.51
SEP,28,23,0.0336,0.0132,2.779,NA,31,5.52,51.47,18.69
SEP,29,0,0.0334,0.0103,2.766,NA,30,4.51,81.86,17.98
SEP,29,1,0.0291,0.0037,2.769,NA,24,4.03,101.86,16.45
SEP,29,2,0.0272,0.0026,2.767,NA,20,3.16,104.27,15.6
SEP,29,3,0.0251,0.0024,2.774,NA,22,3.55,101.44,15.36
SEP,29,4,0.0238,0.0019,2.787,NA,20,3.14,96.56,15.34
SEP,29,5,0.018,0.0018,2.801,NA,19,3.28,101.88,14.98
SEP,29,6,0.0116,0.0018,2.964,NA,29,1.72,107.23,14.69
SEP,29,7,0.0064,0.0027,2.911,NA,32,2.08,146.1,14.4
SEP,29,8,0.0068,0.0028,3.017,NA,40,3.09,117.39,15.22
SEP,29,9,0.0091,0.0045,3.071,NA,54,3.81,99.96,16.52
SEP,29,10,0.018,0.0022,2.985,NA,35,4.4,83.04,17.91
SEP,29,11,0.0292,0.0015,2.883,NA,38,5.89,88.47,19.88
SEP,29,12,0.0344,0.0014,2.902,NA,47,5.87,92.68,20.45
SEP,29,13,0.0377,0.0012,2.882,NA,63,6.81,91.54,20.67
SEP,29,14,0.0384,0.0008,2.92,NA,58,6.15,91.04,20.49
SEP,29,15,0.0382,0.0022,2.901,NA,47,6.16,78.76,20.88
SEP,29,16,0.0394,0.001,2.864,NA,34,6.02,81.03,21.26
