DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR
JUL,7,0,27.28,6.84,2.043,10,27,3.93,166.1,21.25,67.58
JUL,7,1,31.04,6.32,2.01,8.92,12,2.71,147.96,20.27,69.40
JUL,7,2,32.83,5.45,1.98,9.96,10,2.85,136.32,20.09,65.72
JUL,7,3,30.64,5.02,1.977,10.73,11,3.12,142.69,19.74,69.24
JUL,7,4,27.96,5.17,1.97,10.83,7,2.53,148.37,19.43,71.87
JUL,7,5,22.62,4.62,1.984,14.03,13,2.07,111.21,19.04,74.17
JUL,7,6,11.89,5.7,2.086,19.4,18,1.96,63.95,18.76,75.98
JUL,7,7,9.57,7.08,2.147,20.5,24,2.28,88.74,18.86,76.23
JUL,7,8,10.87,7.28,2.109,17.35,27,2.11,132.85,21.19,71.85
JUL,7,9,23.85,7.14,2.002,9.83,9,2.7,161.97,25.29,56.94
JUL,7,10,32.16,6.43,2.016,9.59,13,2.8,128.54,26.6,51.29
JUL,7,11,36.11,6.07,1.993,8.74,13,2.81,132.63,27.79,46.56
JUL,7,12,41.27,5.58,1.981,7.56,14,2.51,145.22,29.03,39.19
JUL,7,13,44.04,5,1.998,7.22,9,3.17,159.36,29.79,35.87
JUL,7,14,44,4.4,2,7.13,9,3.17,164.67,30.37,33.76
JUL,7,15,47.52,3.92,2.019,7.49,2,2.42,184.85,31.68,30.45
JUL,7,16,52.57,4.24,2.106,8.49,14,3.03,242.33,31.73,30.96
JUL,7,17,52.36,3.68,2.106,8.67,16,3.1,273.26,31.56,30.44
JUL,7,18,52.13,3.87,2.136,9.18,17,2.82,244.41,31.43,29.83
JUL,7,19,46.08,4.11,2.166,11.25,73,5.92,120.99,25.2,47.85
JUL,7,20,39.17,3.86,2.136,10.98,54,4.33,154.64,21.12,63.65
JUL,7,21,33.39,3.71,2.148,12.57,15,3.41,95.85,20.32,67.70
JUL,7,22,29.42,4.03,2.164,12.71,18,3.84,96.27,20.1,73.44
JUL,7,23,33.66,4.5,2.051,10,10,3.05,129.17,19.94,71.00
JUL,8,0,31.19,4.33,2.018,10.56,12,2.41,156.41,19.03,74.37
JUL,8,1,28.21,4.14,2.016,11.68,10,2.42,122.07,18.85,77.03
JUL,8,2,19.16,4.43,2.023,17.44,12,2.68,73.96,18.9,77.54
JUL,8,3,21.87,4.83,2.017,15.88,12,2.72,103.58,18.85,77.48
JUL,8,4,20.91,4.8,2.044,15.99,16,2.43,116.7,18.72,78.97
JUL,8,5,16.58,5.6,2.057,16.95,29,1.96,80.72,18.14,82.56
JUL,8,6,15.1,6.52,2.112,18.03,18,1.18,131.12,17.82,82.58
JUL,8,7,13.78,6.86,2.163,15.4,16,1.37,241.29,18.83,80.34
JUL,8,8,17.42,6.63,2.09,12.53,6,1.5,201.51,21.82,71.91
JUL,8,9,18.34,6.63,2.031,10.84,19,2.6,131.97,22.67,64.53
JUL,8,10,24.22,6.16,1.988,8.61,13,2.99,116.62,24.48,56.41
JUL,8,11,28.08,6.14,2.013,9.24,10,2.75,130.14,26.2,49.48
JUL,8,12,32.98,6.01,1.985,7.39,13,3.13,148.49,27.38,44.07
JUL,8,13,35.37,5.09,1.97,7.01,9,3.53,162.7,28.67,40.62
JUL,8,14,34.35,4.12,1.983,6.98,9,4.01,184.97,28.55,39.01
JUL,8,15,31.53,3.94,2.025,7.1,12,3.37,199.08,28.45,39.52
JUL,8,16,29.62,3.59,2.058,7.51,34,4.26,185.01,27.1,45.06
JUL,8,17,24.41,3.32,2.083,8.26,22,4.58,187.78,23.74,59.77
JUL,8,18,13.43,3.12,2.206,10.41,47,2.83,204.69,19.95,79.89
JUL,8,19,11.47,3.39,2.201,10.22,71,2.72,208.72,20.9,76.11
JUL,8,20,11.95,3.44,2.158,9.99,9,2.17,195.45,20.75,72.67
JUL,8,21,8.11,3.65,2.115,12.43,14,2.32,141.62,20.69,72.43
JUL,8,22,7.51,3.68,2.085,11.52,10,2.64,127.66,20.45,70.97
JUL,8,23,10.45,3.95,1.991,10.58,11,2.93,115.97,20.14,68.65
JUL,9,0,8.76,3.82,1.991,12.44,5,3.74,85.98,19.26,75.38
JUL,9,1,8.04,4.58,1.964,11.27,4,3.78,78.42,18.29,82.70
JUL,9,2,12.81,5.01,1.936,10.51,8,2.91,88.25,17.73,82.27
JUL,9,3,11.97,4.89,1.928,10.99,3,2.19,124.22,17.74,80.82
JUL,9,4,11.63,5.29,1.921,10.12,3,2.21,88.44,17.88,80.27
JUL,9,5,5.85,5.11,1.933,13.95,7,2.23,126.43,17.81,81.49
JUL,9,6,3.24,5.43,2.035,14.89,3,2.59,108.24,17.71,83.00
JUL,9,7,3.8,5.58,2.054,15.28,11,2.31,107.62,17.84,81.96
JUL,9,8,2.8,6.1,2.21,16.53,15,2.44,102.32,18.43,80.15
JUL,9,9,7.27,8.48,2.089,12.62,22,1.94,118.77,20.25,73.80
JUL,9,10,11.8,9.17,2.014,10.46,11,1.91,133.15,22.55,64.31
JUL,9,11,14.95,8.62,2.083,9.99,19,2.69,90.77,22.75,60.76
JUL,9,12,19.44,7.27,2.033,9.37,11,2.82,99.33,23.47,55.22
JUL,9,13,24.83,8.41,2.21,10.07,5,2.11,112.24,26.34,47.86
JUL,9,14,31.32,14.35,2.188,9.87,12,2.54,123.43,27.76,43.50
JUL,9,15,28.48,19.43,2.424,9.52,14,2.38,189.84,28.16,38.06
JUL,9,16,20,13.29,2.145,10.76,15,3.15,103.38,26.61,40.85
JUL,9,17,15.44,9.31,2.13,10.94,17,2.52,92.15,24.84,45.14
JUL,9,18,17.87,7.72,2.085,10.58,15,2.23,142.13,25.17,46.86
JUL,9,19,24.43,8.13,2.115,9.32,28,4.29,226.95,23.53,54.60
JUL,9,20,22.99,6.98,2.084,9.7,29,3.73,203.05,20.81,66.21
JUL,9,21,20.26,6.13,2.108,8.26,80,4.18,160.82,18,78.40
JUL,9,22,21.68,6.1,2.052,10.66,22,3.19,72.29,16.38,86.86
JUL,9,23,23.35,6.93,2.192,12.79,9,3.25,45.33,15.76,89.87
JUL,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUL,10,11,36.26,5.38,2.457,11.7,5,2.24,110.45,26.09,66.58
JUL,10,12,45.58,5.93,2.412,10.32,29,2.63,98.73,26.17,54.87
JUL,10,13,50.75,14.08,2.56,10.45,27,2.5,129.48,27.73,46.69
JUL,10,14,49.52,10.24,2.256,8.97,17,2.79,149.65,28.63,41.98
JUL,10,15,48.75,7.18,2.191,8.33,8,2.72,117.2,29.39,37.09
JUL,10,16,49.27,5.39,2.175,8.74,2,3.57,108.44,30.52,30.29
JUL,10,17,51.92,4.79,2.215,10.81,79,4.2,82.54,30.71,28.19
JUL,10,18,56.42,6.07,2.228,10.29,66,3.35,86.97,30.99,27.36
JUL,10,19,54.35,5.28,2.291,12.82,13,2.92,103.34,30.04,30.97
JUL,10,20,42.08,5.51,2.411,18.99,33,2.41,77.82,27.73,37.52
JUL,10,21,35.01,6.74,2.269,14.79,28,3.59,57.3,26.77,37.72
JUL,10,22,28.94,7.35,2.23,13.99,22,3.62,64.77,24.71,49.41
JUL,10,23,26.46,8.45,2.193,11.66,28,3.21,91.19,23.1,60.61
JUL,11,0,19.45,7.85,2.214,13.58,26,3.09,96.17,21.69,61.93
JUL,11,1,19.87,3.83,2.146,11.39,16,3.57,87.15,20.66,64.73
JUL,11,2,22.17,1.45,2.142,10.21,20,4.05,59.53,20.13,70.20
JUL,11,3,20.93,3.78,2.135,10.51,25,2.88,83.24,19.71,71.14
JUL,11,4,20.9,4.32,2.11,9.61,21,3.77,73.69,19.98,67.63
JUL,11,5,15.47,3.61,2.146,12.6,16,2.37,107.28,18.88,74.60
JUL,11,6,10.34,1.96,2.286,14.94,23,2.6,94.1,18.38,76.42
JUL,11,7,6.65,1.57,2.395,17.74,30,2.41,85.31,18.81,73.88
JUL,11,8,10.29,1.23,2.379,14.75,21,2.69,102.6,19.99,69.91
JUL,11,9,15.19,0.97,2.276,11.64,27,3.34,100.71,22.57,63.83
JUL,11,10,24.93,0.65,2.262,10.97,25,4.35,77.59,23.43,53.82
JUL,11,11,32.16,0.5,2.222,9.44,20,4.08,66.88,24.96,49.93
JUL,11,12,37.25,NA,2.206,9.31,17,4.74,87.13,27.38,41.36
JUL,11,13,41.91,NA,2.227,10.24,17,5.37,90.5,28.42,37.97
JUL,11,14,44.52,NA,2.288,10.66,25,5.5,86.87,29.5,35.93
JUL,11,15,41.97,NA,2.227,10,16,5.78,82.94,30.46,32.90
JUL,11,16,38.61,NA,2.207,10.32,13,5,73.44,30.74,32.67
JUL,11,17,36.65,5.48,2.468,9.69,18,5.5,64.72,30.59,32.49
JUL,11,18,34.1,9.07,2.268,9.48,33,4.15,129.87,26.57,46.72
JUL,11,19,27.79,2.03,2.47,10.78,61,4.13,224.88,19.91,81.58
JUL,11,20,12.23,1.68,2.774,21.08,11,1.99,134.5,20.97,86.53
JUL,11,21,9.4,2.65,2.631,19.4,20,2.58,70.97,21.99,81.92
JUL,11,22,15.41,2.92,2.24,12.88,29,3.43,75.01,22,73.12
JUL,11,23,12.43,2.12,2.252,14.06,16,2.54,94.47,21.01,76.43
JUL,12,0,15.16,1.72,2.169,11.06,10,3.13,85.38,20.39,76.70
JUL,12,1,14.24,2.66,2.148,12.29,7,3.42,87.25,19.97,76.20
JUL,12,2,12.4,3.56,2.145,12.18,13,2.61,102.64,19.08,79.63
JUL,12,3,12.64,3.75,2.139,10.78,9,2.11,76.7,18.49,81.70
JUL,12,4,14.13,3.63,2.144,10.15,10,2.25,86.57,18.12,81.68
JUL,12,5,8.05,3.39,2.131,14.18,9,2.54,101.05,17.62,83.56
JUL,12,6,8.74,3.22,2.196,13.34,13,2.69,97.67,17.53,84.05
JUL,12,7,6.32,2.93,2.288,14.85,18,2.59,98.9,18.01,83.74
JUL,12,8,9.88,2.98,2.446,12.08,15,2.71,97.7,20.81,76.34
JUL,12,9,17.1,2.94,2.263,9.38,13,3.49,81.21,23.53,64.28
JUL,12,10,24.01,2.71,2.223,8.42,15,4.38,74.3,24.77,55.15
JUL,12,11,28.45,2.91,2.224,8.63,11,4.33,70.44,26.33,50.05
JUL,12,12,32.38,3.03,2.224,8.57,10,3.47,83.96,27.64,45.10
JUL,12,13,37.16,2.74,2.228,8.22,8,3.05,94.32,29.16,40.40
JUL,12,14,40.77,2.28,2.225,8.47,12,2.85,105.44,29.86,36.64
JUL,12,15,45.34,2.33,2.193,8.36,12,3.06,104.09,30.27,34.40
JUL,12,16,47.98,3.32,2.185,8.71,21,3.66,94.31,31.16,28.99
JUL,12,17,50.87,3.85,2.137,7.77,16,3.46,132.88,31.89,25.12
JUL,12,18,47.42,2.95,2.153,8.24,21,4.85,165.84,29.78,35.71
JUL,12,19,33.09,2.08,2.214,8.59,45,4.39,198.67,25.14,49.44
JUL,12,20,29.44,2.15,2.251,11.17,27,3.22,254.78,23.4,55.01
JUL,12,21,25.05,1.57,2.31,12.18,22,2.36,205.06,22.62,58.91
JUL,12,22,24.19,1.82,2.251,13.12,18,1.94,210.79,22.21,59.91
JUL,12,23,18.55,1.89,2.226,15.03,19,1.68,203.46,21.16,63.96
JUL,13,0,21.05,1.93,2.17,11.66,16,2.35,239.1,21.42,64.36
JUL,13,1,8.97,3.25,2.165,20.12,4,2.4,184.56,20.29,70.81
JUL,13,2,5.72,3.9,2.172,21.7,14,2.08,259.09,19.16,74.82
JUL,13,3,1.41,4.04,2.169,26.12,17,1.98,286.28,18.6,79.23
JUL,13,4,2.77,3.7,2.181,23.05,14,1.86,189.99,18.21,79.69
JUL,13,5,1.26,4.33,2.18,22.62,18,2.06,151.58,16.85,81.56
JUL,13,6,0.56,4.82,2.217,21.58,21,1.98,149.86,16.25,87.25
JUL,13,7,1.53,4.91,2.335,22.73,22,1.4,149.02,17.06,86.82
JUL,13,8,4.32,5.75,2.473,22.36,29,1.63,90.64,22.1,77.02
JUL,13,9,15.51,6.31,2.297,16.03,28,1.8,122.82,25.19,58.83
JUL,13,10,23.86,6.87,2.219,12.23,27,2.18,138.71,26.19,51.14
JUL,13,11,33.76,6.54,2.188,9.64,42,2.36,131.08,27.3,43.92
JUL,13,12,31.65,5.47,2.222,12.65,NA,2.26,163.01,28.37,39.98
JUL,13,13,58.74,14.69,2.203,11.1,NA,2.59,134.06,29.19,34.09
JUL,13,14,57.12,11.07,2.204,9.78,NA,2.42,141.04,30.17,28.39
JUL,13,15,60.13,6.98,2.158,8.69,39,2.66,178.46,30.99,25.52
JUL,13,16,65.55,6.13,2.192,9.38,22,2.73,215.38,31.5,25.21
JUL,13,17,71.1,6.73,2.167,9.62,22,2.92,223.15,31.52,24.49
JUL,13,18,70.89,6.27,2.158,9.29,25,2.94,190.01,31.3,24.48
JUL,13,19,68.11,5.54,2.19,10.64,39,2.36,203.51,29.94,25.32
JUL,13,20,55.19,5.43,2.402,16.45,37,2.36,256.43,27.77,28.00
JUL,13,21,39.11,6.5,2.548,26.13,39,1.95,163.07,26.17,32.20
JUL,13,22,27.64,16.71,2.282,20.53,40,3.08,60.61,25.69,29.74
JUL,13,23,25.62,9.28,2.164,17.03,34,2.59,93.42,23.97,31.08
JUL,14,0,13.46,9.74,2.165,21.15,29,2.21,141.06,21.8,37.93
JUL,14,1,6.53,9.88,2.244,27.1,37,1.95,100.52,20.58,44.22
JUL,14,2,4.13,9.02,2.175,27.93,34,2.3,80.85,19.48,48.06
JUL,14,3,8.61,6.63,2.141,22.33,25,1.54,124.72,18.81,51.24
JUL,14,4,11.9,5.9,2.145,18.87,21,1.56,164.01,17.86,54.26
JUL,14,5,13.57,7.35,2.175,17.05,23,1.54,134.31,17.41,59.42
JUL,14,6,1.53,9.25,2.407,26.3,39,1.61,99.23,16.74,64.26
JUL,14,7,2.51,9.33,2.452,25.26,NA,1.62,80.98,17.41,64.46
JUL,14,8,5.53,7.63,2.435,24.4,NA,1.65,181.33,21.99,56.61
JUL,14,9,20.24,9.31,2.315,20.83,NA,1.99,98.91,24.61,46.51
JUL,14,10,27.76,9.3,2.253,16.31,NA,2.25,110.06,25.45,44.87
JUL,14,11,51.38,32.55,2.284,17.61,NA,2.02,191.31,28.11,38.84
JUL,14,12,78.67,40.74,2.298,15.14,NA,2.23,148.47,28.89,34.55
JUL,14,13,86.32,18.78,2.272,12.06,NA,2.53,227.61,29.89,30.21
JUL,14,14,52.54,8.34,2.195,10.39,NA,2.86,257.82,30.54,24.68
JUL,14,15,74.55,7.58,2.192,10.18,NA,2.42,201.74,31.51,20.06
JUL,14,16,84.6,11.45,2.174,10.12,NA,2.77,132.15,31.76,22.18
