DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
FEB,7,0,2.37,18.43,3.01,56.73,1.09,124.20,10.69,48.19,3.39
FEB,7,1,2.44,14.21,2.93,46.15,1.26,149.27,10.03,54.41,3.40
FEB,7,2,3.09,10.78,2.71,54.85,1.27,89.59,9.50,62.30,3.44
FEB,7,3,2.87,9.17,2.61,30.73,1.54,138.72,8.22,66.54,3.47
FEB,7,4,2.81,7.21,2.63,39.77,1.46,116.40,7.65,70.04,3.53
FEB,7,5,2.88,6.69,2.65,72.69,1.42,140.40,7.37,71.50,3.57
FEB,7,6,2.97,6.38,2.67,56.26,1.20,162.15,6.44,68.39,3.60
FEB,7,7,2.94,6.82,2.90,46.26,1.33,185.72,6.17,73.21,3.62
FEB,7,8,3.03,8.32,3.50,59.83,1.49,117.00,6.16,82.44,25.47
FEB,7,9,2.94,9.88,3.43,92.83,1.60,116.13,9.11,73.08,179.21
FEB,7,10,3.57,8.95,3.10,87.68,1.85,119.45,12.96,64.36,366.64
FEB,7,11,10.57,7.48,2.67,54.58,2.31,123.80,18.07,50.24,670.09
FEB,7,12,25.16,12.86,2.54,18.37,1.90,146.41,21.44,39.32,814.82
FEB,7,13,33.10,21.06,2.57,18.70,1.92,238.90,24.46,28.93,890.26
FEB,7,14,37.76,8.48,2.54,20.67,2.12,245.13,26.00,25.43,715.83
FEB,7,15,39.48,5.78,2.38,10.49,3.18,239.64,26.65,18.36,641.72
FEB,7,16,41.54,5.53,2.37,21.16,3.17,276.29,27.19,16.35,570.10
FEB,7,17,36.74,4.54,2.33,13.15,3.80,269.48,26.86,13.91,338.03
FEB,7,18,32.77,3.96,2.45,26.52,3.01,266.66,24.86,18.85,128.59
FEB,7,19,19.38,3.74,2.71,42.31,2.48,234.67,22.29,22.20,18.19
FEB,7,20,13.75,4.08,2.76,53.32,2.22,211.63,20.12,24.88,2.82
FEB,7,21,16.30,4.09,2.64,53.03,2.52,239.51,18.93,29.08,2.87
FEB,7,22,14.78,4.12,2.76,45.21,2.15,253.09,17.48,37.40,2.92
FEB,7,23,4.83,5.11,3.46,50.61,1.34,233.44,15.28,42.53,3.14
FEB,8,0,4.46,6.09,3.50,64.56,1.30,179.64,13.80,48.79,3.19
FEB,8,1,5.10,9.51,3.24,78.82,1.68,223.86,13.01,51.92,3.23
FEB,8,2,11.73,12.57,2.95,53.58,1.29,155.41,11.67,56.96,3.32
FEB,8,3,11.77,12.43,2.91,49.69,1.19,262.31,10.72,56.98,3.35
FEB,8,4,5.35,11.87,2.77,41.69,1.56,266.85,10.02,62.66,3.35
FEB,8,5,4.92,9.81,2.68,29.40,1.28,224.27,9.20,65.32,3.51
FEB,8,6,6.01,9.63,2.91,47.35,1.30,166.71,8.67,68.90,3.46
FEB,8,7,9.31,9.31,2.85,45.69,1.39,164.94,8.10,75.16,3.49
FEB,8,8,9.45,10.04,2.98,84.31,1.33,127.98,8.25,78.84,28.11
FEB,8,9,7.60,11.05,3.05,79.40,1.63,125.74,12.92,66.85,235.98
FEB,8,10,9.26,12.66,2.84,75.17,1.76,138.13,17.90,53.46,465.21
FEB,8,11,19.02,55.05,2.63,54.83,1.50,215.76,21.66,43.02,653.30
FEB,8,12,33.98,37.38,2.50,46.70,1.74,175.57,23.79,35.11,806.52
FEB,8,13,41.88,13.49,2.43,19.63,2.32,179.13,24.80,29.91,892.63
FEB,8,14,43.26,5.81,2.38,3.73,2.50,140.23,26.08,23.91,753.63
FEB,8,15,44.83,4.67,2.37,1.46,2.06,196.99,27.25,20.52,778.34
FEB,8,16,44.88,4.60,2.43,7.86,2.76,265.02,27.51,19.93,598.12
FEB,8,17,43.89,4.50,2.39,10.15,2.30,227.38,28.18,17.52,465.88
FEB,8,18,43.90,4.22,2.45,13.46,2.41,248.52,27.17,16.90,236.37
FEB,8,19,31.52,4.53,2.88,31.72,2.23,299.56,24.83,18.05,37.91
FEB,8,20,6.67,5.42,3.87,72.67,1.56,215.48,21.25,20.04,2.68
FEB,8,21,12.59,6.39,3.06,131.57,2.70,177.14,19.45,31.76,2.88
FEB,8,22,14.19,5.73,2.70,49.47,2.01,216.49,18.51,42.62,2.92
FEB,8,23,9.65,5.61,2.78,47.45,1.89,238.53,17.12,46.04,3.01
FEB,9,0,9.82,5.51,2.65,36.51,1.61,263.21,15.78,52.34,3.03
FEB,9,1,5.39,6.88,2.78,38.84,1.42,214.49,14.86,56.11,3.10
FEB,9,2,3.54,9.49,2.78,42.17,1.40,115.67,14.04,62.19,3.19
FEB,9,3,3.67,10.93,2.73,33.61,1.45,106.54,13.18,63.85,3.24
FEB,9,4,2.97,13.01,2.64,34.42,1.37,138.29,11.81,69.05,3.31
FEB,9,5,2.99,12.22,2.63,26.34,1.45,127.55,11.06,71.69,3.34
FEB,9,6,3.03,10.93,2.72,26.09,1.21,235.31,10.36,69.61,3.37
FEB,9,7,2.88,10.50,2.81,39.24,1.47,233.87,9.77,69.35,3.41
FEB,9,8,3.33,10.84,3.12,36.55,1.51,98.64,10.25,71.74,38.56
FEB,9,9,4.05,16.33,2.95,45.91,1.91,126.81,14.68,65.55,234.86
FEB,9,10,10.02,15.49,2.73,44.65,2.05,136.92,18.44,53.11,457.78
FEB,9,11,21.11,83.70,3.52,43.63,1.79,135.93,21.83,44.48,639.33
FEB,9,12,27.92,75.71,3.30,49.39,1.66,198.87,24.79,35.57,780.51
FEB,9,13,36.77,31.49,2.76,30.12,2.22,243.39,26.04,31.83,863.84
FEB,9,14,36.64,15.63,2.52,7.68,2.35,223.46,27.25,29.09,731.94
FEB,9,15,25.67,10.07,2.42,2.16,3.56,244.97,27.72,27.70,805.38
FEB,9,16,26.49,9.12,2.45,2.89,4.04,281.06,28.20,26.91,689.83
FEB,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEB,9,18,24.95,7.56,2.51,NA,3.33,278.69,28.42,26.10,251.13
FEB,9,19,25.73,9.50,2.62,NA,2.21,226.06,26.08,29.50,34.98
FEB,9,20,13.51,9.47,3.01,8.29,2.01,213.56,24.32,34.07,2.52
FEB,9,21,14.30,9.56,2.61,13.09,2.82,218.92,23.21,39.75,2.64
FEB,9,22,11.60,8.95,2.50,31.54,2.87,227.36,21.59,42.19,2.70
FEB,9,23,10.02,8.79,2.50,3.34,1.86,213.83,19.69,46.22,2.82
FEB,10,0,8.98,8.71,2.53,2.91,2.08,288.54,18.40,50.67,2.99
FEB,10,1,5.54,7.95,2.47,3.14,2.11,309.58,17.65,53.61,2.93
FEB,10,2,3.45,7.22,2.49,10.49,2.21,296.18,16.74,56.60,2.98
FEB,10,3,3.17,7.24,2.51,22.62,1.88,251.60,15.78,59.87,3.07
FEB,10,4,4.11,6.73,2.44,25.36,1.96,216.04,14.98,62.74,3.13
FEB,10,5,5.18,6.94,2.44,5.41,1.41,212.31,14.26,64.66,3.18
FEB,10,6,3.96,6.90,2.59,21.08,1.50,94.01,13.40,69.35,3.20
FEB,10,7,3.26,7.35,2.84,30.69,1.58,134.35,11.92,73.26,3.32
FEB,10,8,3.09,8.46,3.01,56.38,1.41,161.61,12.65,73.12,37.92
FEB,10,9,4.34,8.80,2.95,69.33,1.27,158.97,19.33,59.72,237.62
FEB,10,10,7.51,9.73,3.12,38.77,1.46,191.05,22.89,46.81,450.26
FEB,10,11,15.28,10.52,2.72,42.72,1.93,249.26,24.31,44.06,641.52
FEB,10,12,24.62,8.37,2.56,19.12,2.50,261.39,25.82,39.80,779.68
FEB,10,13,29.35,7.15,2.51,10.19,2.54,258.32,26.99,35.62,864.82
FEB,10,14,29.89,7.05,2.52,8.44,2.77,249.13,28.16,31.38,724.51
