DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,7,5,0.021,0.017,2.89,NA,39,10.54,2.46,135.05,42.14
OCT,7,6,0.017,0.012,2.92,NA,53,9.62,3.1,131.81,50.7
OCT,7,7,0.013,0.007,3.01,NA,50,9.14,2.81,126.22,53.27
OCT,7,8,0.012,0.016,3.09,NA,66,11.96,3.63,116.33,48.75
OCT,7,9,0.027,0.010,3.01,NA,67,15.35,4.04,102.1,42.15
OCT,7,10,0.039,0.005,2.94,NA,53,18.37,4.75,93.14,35.82
OCT,7,11,0.046,0.004,2.91,NA,38,20.27,4.56,98.89,29.74
OCT,7,12,0.050,0.004,2.91,NA,43,22.22,4.21,84.69,26.38
OCT,7,13,0.055,0.004,2.87,NA,35,24,4.06,99.88,23.36
OCT,7,14,0.056,0.005,2.87,NA,30,25.87,3.26,95.31,20.25
OCT,7,15,0.049,0.019,2.90,NA,31,27.27,3.77,77.55,15.59
OCT,7,16,0.047,0.012,2.92,NA,24,27.97,3.19,123.54,13.43
OCT,7,17,0.043,0.023,2.92,NA,29,27.66,3.71,112.52,13.25
OCT,7,18,0.040,0.012,3.01,NA,28,26.42,3.79,95.86,13.44
OCT,7,19,0.038,0.005,2.93,NA,29,23.6,4.62,40.57,14.71
OCT,7,20,0.034,0.016,2.98,NA,25,21.08,3.89,53.07,17.29
OCT,7,21,0.032,0.023,2.98,NA,27,19.32,3.44,64.57,24.11
OCT,7,22,0.036,0.009,2.84,NA,27,18.06,4.78,50.49,26.18
OCT,7,23,0.035,0.007,2.88,NA,22,15.87,3.83,101.62,32.36
OCT,8,0,0.037,0.005,2.83,NA,26,15.03,4.04,82.34,37.34
OCT,8,1,0.033,0.003,2.84,NA,17,13.6,3.39,96.13,42.31
OCT,8,2,0.032,0.002,2.83,NA,18,12.51,3.43,106.96,48.35
OCT,8,3,0.031,0.002,2.85,NA,21,11.5,3.18,107.26,54.43
OCT,8,4,0.027,0.011,2.94,NA,33,9.92,2.37,113.9,58.87
OCT,8,5,0.023,0.007,2.90,NA,41,9.21,2.03,92.85,61.97
OCT,8,6,0.016,0.005,3.02,NA,39,8.17,2.15,115.34,67.4
OCT,8,7,0.008,0.004,3.19,NA,46,7.89,1.85,78.87,68.65
OCT,8,8,0.009,0.004,3.19,NA,50,10.86,2.5,66.52,62.37
OCT,8,9,0.014,0.035,3.21,NA,71,15.26,2.41,97.11,48.11
OCT,8,10,0.025,0.044,3.08,NA,58,19.6,1.81,201.95,38.85
OCT,8,11,0.040,0.015,2.93,NA,47,22.23,2.02,158.7,31.96
OCT,8,12,0.047,0.005,2.86,NA,31,24.18,2.33,138.07,28.76
OCT,8,13,0.042,0.002,2.87,NA,25,25.33,3.35,127.57,27.2
OCT,8,14,0.042,0.002,2.84,NA,23,26.21,3.62,108.78,24.23
OCT,8,15,0.046,0.002,2.85,NA,20,27.54,3.31,128.68,22.04
OCT,8,16,0.053,0.004,2.85,NA,23,28.28,2.58,153.91,20.82
OCT,8,17,0.057,0.005,2.86,NA,30,28.28,2.62,166.52,20.68
OCT,8,18,0.058,0.006,2.90,NA,29,27.35,2.22,181.78,21.35
OCT,8,19,0.043,0.005,3.28,NA,56,24.2,1.93,200.99,23.58
OCT,8,20,0.012,0.005,3.72,NA,97,21.47,1.77,254.51,27.55
OCT,8,21,0.014,0.004,3.60,NA,79,20.28,1.64,189.78,34.06
OCT,8,22,0.006,0.011,3.61,NA,92,18.76,1.65,156.77,37.31
OCT,8,23,0.005,0.006,3.13,NA,78,17.62,2.22,69.54,43.87
OCT,9,0,0.011,0.006,2.99,NA,37,17.48,2.31,94.08,49.17
OCT,9,1,0.005,0.012,3.01,NA,37,15.58,2.28,121.74,55.41
OCT,9,2,0.004,0.005,3.03,NA,44,14.6,2.17,86.19,59.67
OCT,9,3,0.007,0.006,3.02,NA,53,13.71,1.92,136.17,66.04
OCT,9,4,0.009,0.004,3.02,NA,54,13.23,1.71,135.93,70.04
OCT,9,5,0.009,0.003,3.02,NA,61,12.63,1.63,200,65.35
OCT,9,6,0.013,0.003,3.21,NA,43,12.43,1.24,216.39,61.31
OCT,9,7,0.001,0.006,3.58,NA,60,11.96,1.5,95.56,67.3
OCT,9,8,0.001,0.008,3.92,NA,99,14.86,1.52,106.26,64.37
OCT,9,9,0.010,0.007,3.16,NA,90,18.53,2.01,138.79,56.3
OCT,9,10,0.027,0.021,3.06,NA,57,21.85,1.8,165.6,46.79
OCT,9,11,0.048,0.019,3.03,NA,59,24.05,1.75,186.57,39.63
OCT,9,12,0.063,0.007,3.01,NA,52,25.88,1.85,189.71,33.19
OCT,9,13,0.066,0.004,2.99,NA,41,27.32,2.1,196.43,31.13
OCT,9,14,0.061,0.003,3.02,NA,36,27.82,2.4,212.21,29.04
OCT,9,15,0.066,0.006,2.99,NA,38,29.4,2.21,218.9,24.65
OCT,9,16,0.069,0.006,2.94,NA,33,29.55,2.32,228.94,22.01
OCT,9,17,0.065,0.005,2.92,NA,29,29.29,2.18,235.06,21
OCT,9,18,0.063,0.006,2.99,NA,28,28.24,2.09,261.75,20.94
OCT,9,19,0.045,0.002,3.40,NA,56,24.98,1.64,236.88,25.63
OCT,9,20,0.011,0.003,4.33,NA,97,23.18,2.01,254.8,30.82
OCT,9,21,0.022,0.004,3.76,NA,88,21.79,1.42,259.66,33.65
OCT,9,22,0.012,0.004,3.81,NA,89,20.59,1.83,254.47,37.7
OCT,9,23,0.033,0.004,3.09,NA,60,19.71,1.97,174.96,42.84
OCT,10,0,0.014,0.003,3.09,NA,55,16.87,2.36,120.5,56.61
OCT,10,1,0.018,0.003,3.07,NA,42,16.54,1.66,130.9,63.54
OCT,10,2,0.018,0.003,3.05,NA,72,16.46,1.75,147.86,68.92
OCT,10,3,0.011,0.011,3.07,NA,52,15.44,1.42,134.53,74.35
OCT,10,4,0.010,0.011,3.06,NA,51,15.45,1.54,113.75,75.99
