DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 (ppm),SO2 (ppm),CO (ppm),NO2 (ppm),PM10 (µg/m³),TEMP (°C),WS (m/s),WD (°),HR (%)
OCT,14,14,0.047,0.019,3.01,NA,27,27.76,2.49,215.33,35.44
OCT,14,15,0.044,0.022,2.98,NA,28,29.01,2.29,156.83,30.93
OCT,14,16,0.041,0.015,2.98,NA,20,28.06,2.09,117.72,29.75
OCT,14,17,0.040,0.006,3.04,NA,21,28.83,2.27,243.59,27.43
OCT,14,18,0.039,0.006,3.06,NA,18,28.17,2.36,225.08,26.68
OCT,14,19,0.028,0.004,3.38,NA,25,25.21,1.69,194.91,30.63
OCT,14,20,0.014,0.007,3.62,NA,58,23.92,2.88,189.97,37.46
OCT,14,21,0.021,0.013,3.08,NA,34,22.51,3.37,72.61,48.67
OCT,14,22,0.016,0.006,3.02,NA,32,20.55,3.32,84.09,58.09
OCT,14,23,0.017,0.005,2.95,NA,18,19.25,2.54,86.51,61.81
OCT,15,0,0.018,0.004,2.95,NA,21,18.45,2.74,82.09,64.96
OCT,15,1,0.012,0.004,2.96,NA,9,17.42,2.55,102.27,69.33
OCT,15,2,0.009,0.009,2.99,NA,24,16.65,2.47,106.08,72.2
OCT,15,3,0.010,0.006,2.97,NA,29,15.78,2.29,82.38,74.07
OCT,15,4,0.008,0.004,2.97,NA,26,14.87,1.61,107.86,77.93
OCT,15,5,0.005,0.004,2.99,NA,30,14.24,2.01,134.02,79.78
OCT,15,6,0.003,0.004,3.17,NA,38,13.89,2.13,78.86,83.07
OCT,15,7,0.001,0.004,3.31,NA,49,13.4,2.45,91.79,84.8
OCT,15,8,0.003,0.004,3.26,NA,49,15.88,2.38,116.17,80.77
OCT,15,9,0.007,0.005,3.25,NA,44,18.97,3,88.01,70.32
OCT,15,10,0.018,0.004,3.09,NA,43,21.65,3.51,89.67,58
OCT,15,11,0.028,0.003,3.00,NA,27,24.25,3.24,106.92,46.39
OCT,15,12,0.036,0.002,2.96,NA,18,26.23,3.11,117.1,36.91
OCT,15,13,0.040,0.002,2.98,NA,18,27.79,3.59,98.48,32.78
OCT,15,14,0.041,0.002,3.07,NA,24,28.52,4.02,88.38,30.28
OCT,15,15,0.045,0.003,3.02,NA,20,29.31,3.4,94.23,28.92
OCT,15,16,0.048,0.003,3.01,NA,28,30.18,3.28,97.53,26.38
OCT,15,17,0.042,0.004,2.99,NA,28,29.75,3.63,81.92,25.1
OCT,15,18,0.035,0.007,3.11,NA,27,27.89,3.84,73.74,29.26
OCT,15,19,0.029,0.004,3.22,NA,45,25,3.81,78.53,34.69
OCT,15,20,0.024,0.005,3.13,NA,36,23.19,3.33,62.23,37.31
OCT,15,21,0.028,0.024,2.98,NA,36,22.03,3.96,58.7,36.59
OCT,15,22,0.026,0.006,2.97,NA,27,20.25,3.08,88.4,37.31
OCT,15,23,0.023,0.004,2.95,NA,28,18.47,3.4,76.5,43
OCT,16,0,0.021,0.004,2.95,NA,22,17.26,2.07,120.33,44.6
OCT,16,1,0.026,0.004,2.90,NA,24,16.15,2.66,88.84,44.4
OCT,16,2,0.030,0.003,2.90,NA,23,16.19,3.19,102.55,43.06
OCT,16,3,0.023,0.014,2.90,NA,23,14.76,2.71,119.01,46.32
OCT,16,4,0.019,0.006,2.95,NA,30,13.55,2.28,102.41,49.72
OCT,16,5,0.009,0.002,2.94,NA,26,11.94,1.33,171.8,52.35
OCT,16,6,0.010,0.010,3.00,NA,38,11.54,2.16,138.26,57.45
OCT,16,7,0.010,0.005,3.07,NA,42,10.63,2.37,127.21,63.94
OCT,16,8,0.006,0.024,3.34,NA,63,14.39,3.41,98.8,61.32
OCT,16,9,0.021,0.005,3.08,NA,53,17.42,4.4,93.63,56.1
OCT,16,10,0.033,0.002,3.04,NA,42,20.15,5.41,73.74,44.33
OCT,16,11,0.039,0.002,3.01,NA,35,22.04,5.18,63.43,35.89
OCT,16,12,0.041,0.009,3.02,NA,27,23.58,5.17,67.67,36.22
OCT,16,13,0.037,0.021,3.05,NA,39,23.52,5.2,67.89,36.99
OCT,16,14,0.036,0.006,3.07,NA,30,23.13,4.9,78.2,38.33
OCT,16,15,0.034,0.015,3.07,NA,30,23,5.71,61.57,41.08
OCT,16,16,0.033,0.027,3.06,NA,36,24.05,5.16,61.5,38.77
OCT,16,17,0.033,0.015,3.04,NA,30,24.13,5.96,61.47,36.39
OCT,16,18,0.031,0.014,3.09,NA,29,22.93,5.55,49.88,38.8
OCT,16,19,0.027,0.013,3.07,NA,33,19.98,5.98,55.43,50.63
OCT,16,20,0.023,0.019,3.05,NA,37,17.14,5.56,49.85,64.68
OCT,16,21,0.020,0.028,3.08,NA,27,16.51,5.08,48.74,67.71
OCT,16,22,0.021,0.012,2.99,NA,21,15.97,4.13,47.78,69.45
OCT,16,23,0.020,0.014,2.96,NA,15,15.52,3.44,68.01,70.92
OCT,17,0,0.018,0.005,2.95,NA,10,14.59,3.11,92.73,75.03
OCT,17,1,0.020,0.005,2.93,NA,9,14.78,3.37,81.65,75.7
OCT,17,2,0.026,0.005,2.92,NA,9,15.01,3.57,73.03,70.86
OCT,17,3,0.025,0.005,2.91,NA,11,13.58,3.26,91.09,73.57
OCT,17,4,0.021,0.004,2.92,NA,16,12.57,2.93,88.09,77.41
OCT,17,5,0.020,0.004,2.92,NA,14,12.1,3.74,75.15,80.87
OCT,17,6,0.015,0.004,3.05,NA,17,11.42,3.13,99.28,81.94
OCT,17,7,0.012,0.004,3.08,NA,23,10.71,3.11,93.32,82.78
OCT,17,8,0.014,0.004,3.09,NA,34,12.9,3.33,115.22,76.12
OCT,17,9,0.019,0.003,3.07,NA,30,15.46,4.35,85.05,65.46
OCT,17,10,0.029,0.003,3.02,NA,28,18.05,4.66,72.85,45.86
OCT,17,11,0.037,0.003,3.05,NA,24,20.58,4.37,82.19,34.11
OCT,17,12,0.043,0.003,3.01,NA,33,22.4,4.52,88.34,31.34
OCT,17,13,0.048,0.003,3.05,NA,34,24.2,3.97,92.23,29.07
OCT,17,14,0.052,0.003,3.02,NA,28,25.57,3.53,89.87,24.99
OCT,17,15,0.052,0.004,3.01,NA,29,27.4,2.7,166.11,23.17
OCT,17,16,0.046,0.012,3.11,NA,30,28.03,2.98,172.77,21.14
OCT,17,17,0.041,0.025,3.08,NA,26,28.33,3.01,103.77,18.65
OCT,17,18,0.041,0.006,3.12,NA,20,26.86,3.03,76.98,19.27
OCT,17,19,0.031,0.004,3.39,NA,35,24.04,2.06,70.19,24.01
OCT,17,20,0.020,0.005,3.44,NA,55,21.87,2.4,64.93,31.37
OCT,17,21,0.023,0.006,3.21,NA,54,20.41,3.24,68.5,47.17
OCT,17,22,0.017,0.006,3.25,NA,34,18.71,2.91,92.42,57.8
OCT,17,23,0.017,0.006,3.08,NA,31,17.84,4.11,104.48,60.8
OCT,18,0,0.018,0.005,3.07,NA,30,17.07,4,90.77,63
OCT,18,1,0.019,0.003,3.03,NA,16,15.59,3.15,94.13,70.09
OCT,18,2,0.016,0.005,3.02,NA,21,14.54,2.67,112.11,74.08
OCT,18,3,0.016,0.007,2.99,NA,32,13.89,3.31,92.51,77.67
OCT,18,4,0.016,0.002,3.05,NA,20,13.56,3.51,100.5,80.15
OCT,18,5,0.017,0.002,2.99,NA,17,13.25,3.66,96.77,82.44
OCT,18,6,0.013,0.002,3.08,NA,18,12.53,3.41,96.3,85.37
OCT,18,7,0.010,0.001,3.11,NA,24,12.03,3.35,93.12,87.06
OCT,18,8,0.010,0.001,3.15,NA,22,14.2,3.1,85.19,82.89
OCT,18,9,0.016,0.001,3.16,NA,28,17.85,3.26,89.13,70.33
OCT,18,10,0.026,0.001,3.07,NA,17,20.34,3.38,107.62,57.12
OCT,18,11,0.032,0.001,3.02,NA,15,23.43,2.34,133.38,45.95
OCT,18,12,0.037,0.010,3.00,NA,19,25.45,2.34,185.73,37.73
OCT,18,13,0.042,0.017,3.08,NA,22,27.02,2.41,221.4,31.77
OCT,18,14,0.044,0.016,2.98,NA,22,28.18,2.29,197.42,28.71
OCT,18,15,0.037,0.016,3.09,NA,20,28.5,3.03,154.33,23.29
OCT,18,16,0.038,0.006,3.08,NA,18,29.32,3.56,161.73,21.23
OCT,18,17,0.039,0.014,3.08,NA,19,29.26,3.45,134.87,22.14
OCT,18,18,0.039,0.004,3.14,NA,24,27.2,3.74,61.7,24.29
OCT,18,19,0.032,0.008,3.20,NA,28,24.86,4.19,64.27,26.98
OCT,18,20,0.026,0.018,3.05,NA,35,22.94,5.48,46.29,29.7
OCT,18,21,0.026,0.019,3.02,NA,30,21.46,4.9,63.04,41.55
OCT,18,22,0.024,0.010,3.06,NA,23,20.09,3.7,87.75,47.31
OCT,18,23,0.021,0.008,2.96,NA,15,18.69,3.94,68.56,51.95
OCT,19,0,0.020,0.007,2.95,NA,17,17.58,2.22,97.93,55.43
OCT,19,1,0.017,0.004,2.95,NA,15,16.5,2.28,129.9,59.09
OCT,19,2,0.012,0.010,2.96,NA,22,15.33,2.52,119.32,64.9
OCT,19,3,0.013,0.003,2.96,NA,23,14.73,2.44,103.81,68.43
OCT,19,4,0.012,NA,2.95,NA,17,13.97,2.57,109.57,71.43
OCT,19,5,0.010,NA,2.98,NA,17,13.53,3.2,104.82,73.89
OCT,19,6,0.004,NA,3.04,NA,27,12.5,2.78,122.42,78.03
OCT,19,7,0.003,0.016,3.18,NA,61,12.75,3.29,104.63,81.46
OCT,19,8,0.004,0.015,3.35,NA,57,13.89,2.57,75.19,80.64
OCT,19,9,0.009,0.002,3.21,NA,44,17.31,2.41,98.9,68.4
OCT,19,10,0.018,NA,3.10,NA,38,20.83,3.28,76.57,51.9
OCT,19,11,0.026,NA,3.02,NA,25,23.08,3.77,94.76,38.55
OCT,19,12,0.032,NA,3.00,NA,23,25.17,4.12,93.35,31.14
OCT,19,13,0.040,NA,3.00,NA,21,26.75,3.61,86.6,27.19
OCT,19,14,0.042,NA,2.99,NA,17,28.25,2.85,128.95,23.01
OCT,19,15,0.039,NA,2.99,NA,16,29.4,3.8,147.41,17.88
OCT,19,16,0.040,NA,2.97,NA,21,29.66,3.27,167.37,16.74
OCT,19,17,0.042,NA,3.00,NA,22,29.64,2.99,154.23,17.51
OCT,19,18,0.034,0.003,3.12,NA,30,28.26,3.16,135.34,18.78
OCT,19,19,0.028,NA,3.06,NA,32,24.87,5.12,45.91,25.2
OCT,19,20,0.026,0.006,3.02,NA,33,22.57,5.04,53.06,31
OCT,19,21,0.026,0.004,2.98,NA,30,21.13,5.8,48.52,36.58
OCT,19,22,0.026,0.005,2.97,NA,25,20,4.64,54.46,41.81
OCT,19,23,0.017,0.002,2.98,NA,30,18.05,2.78,109.97,49.69
OCT,20,0,0.019,NA,2.95,NA,19,16.9,3.2,113.86,56.99
OCT,20,1,0.019,NA,2.95,NA,7,15.83,2.94,107.15,61.93
OCT,20,2,0.014,0.003,2.95,NA,12,14.81,2.95,100.65,66.62
OCT,20,3,0.015,0.003,2.94,NA,15,14.1,3.31,75.99,71.1
OCT,20,4,0.016,0.007,2.95,NA,18,14.53,3.95,57.78,72.75
OCT,20,5,0.017,0.009,2.97,NA,24,14.67,3.49,74.36,72.88
OCT,20,6,0.008,0.006,3.03,NA,22,12.76,2.23,124.57,77.71
OCT,20,7,0.002,0.010,3.17,NA,31,11.96,2.07,110.79,83.89
OCT,20,8,0.004,0.008,3.34,NA,47,14.79,2.66,109.34,78.57
OCT,20,9,0.014,0.010,3.13,NA,35,17.61,3.63,89.91,67.87
OCT,20,10,0.025,0.004,3.06,NA,28,19.9,4.25,84.89,54.49
OCT,20,11,0.031,0.003,3.02,NA,20,22.12,3.44,81.72,46.01
OCT,20,12,0.036,0.003,3.02,NA,42,24.08,3.36,103.84,38.23
OCT,20,13,0.041,0.003,2.97,NA,100,25.93,3.16,109.09,29.8
OCT,20,14,0.043,0.002,2.96,NA,22,27.17,3.22,121.74,24.61
OCT,20,15,0.043,0.006,2.98,NA,15,28.11,3.8,84.89,18.97
OCT,20,16,0.042,0.011,2.97,NA,20,28.76,3.54,123.12,15.19
OCT,20,17,0.042,0.011,3.04,NA,21,28.85,2.64,152.52,14.79
OCT,20,18,0.039,0.003,3.05,NA,24,27.54,2.67,65.07,16.36
OCT,20,19,0.030,0.006,3.02,NA,32,24.48,5.16,41.97,20.59
OCT,20,20,0.030,0.004,3.01,NA,26,22.21,5.33,45.09,24.29
OCT,20,21,0.029,0.017,3.00,NA,29,20.94,4.72,57.54,27.56
OCT,20,22,0.022,0.003,3.02,NA,27,18.83,3.98,88.2,39.19
OCT,20,23,0.024,0.002,2.98,NA,28,18.15,4.64,78.57,51.22
OCT,21,0,0.023,0.002,2.96,NA,20,16.76,3.99,87.59,57.46
OCT,21,1,0.020,0.002,2.95,NA,18,15.74,3.33,94.26,63.13
OCT,21,2,0.020,0.003,2.96,NA,15,15.3,3.39,75.26,70.39
OCT,21,3,0.018,0.003,2.96,NA,16,14.68,3.06,88.39,74.71
OCT,21,4,0.013,0.004,2.98,NA,21,13.47,2.77,101.71,79.94
OCT,21,5,0.009,0.003,3.01,NA,22,12.65,2.47,99.49,83.57
OCT,21,6,0.007,0.004,3.12,NA,20,12.19,2.95,104.13,85.29
OCT,21,7,0.004,0.003,3.16,NA,28,11.6,3.08,89.79,86.85
OCT,21,8,0.008,0.003,3.16,NA,30,13.61,3.25,75.19,81.88
OCT,21,9,0.015,0.007,3.12,NA,33,17.69,2.5,71.78,67.82
OCT,21,10,0.024,0.011,3.04,NA,28,20.23,3.15,75.84,53.45
OCT,21,11,0.030,0.004,3.01,NA,23,21.76,3.74,82.07,46.55
OCT,21,12,0.037,0.003,3.00,NA,20,23.73,3.3,93.31,38.68
OCT,21,13,0.043,0.010,2.98,NA,20,25.63,2.91,174.39,33.49
OCT,21,14,0.047,0.025,3.02,NA,29,27.33,2.53,207.37,29.94
OCT,21,15,0.044,0.010,2.96,NA,27,28.67,2.86,137.48,22.08
OCT,21,16,0.047,0.004,3.07,NA,38,29.01,3.28,119.63,20.39
OCT,21,17,0.049,0.004,2.98,NA,29,28.45,2.78,108.19,19.78
OCT,21,18,0.051,0.003,2.98,NA,27,27.86,2,134.8,19.84
OCT,21,19,0.036,0.007,3.25,NA,76,24.86,2.56,107.11,22.94
OCT,21,20,0.027,0.025,3.13,NA,64,22.71,3.15,74.55,26.46
OCT,21,21,0.028,0.017,3.08,NA,35,20.96,3.18,57.85,30.22
OCT,21,22,0.023,0.007,3.03,NA,28,19.25,3.78,92.15,40.93
OCT,21,23,0.024,0.004,2.98,NA,30,18.04,4.49,96.16,47.88
OCT,22,0,0.021,0.004,2.97,NA,26,16.79,3.95,90.68,53.32
OCT,22,1,0.021,0.003,2.96,NA,22,15.6,3.09,88.4,58.2
OCT,22,2,0.018,0.004,2.98,NA,17,14.74,2.96,94.19,62.74
OCT,22,3,0.018,0.004,2.96,NA,20,13.93,3.33,95.49,67.32
OCT,22,4,0.018,0.005,2.98,NA,15,14.17,3.11,71.87,69.03
OCT,22,5,0.014,0.004,3.03,NA,22,13.05,2.57,99.71,72.85
OCT,22,6,0.007,0.004,3.16,NA,25,12.02,2.29,86.56,76.96
OCT,22,7,0.002,0.004,3.22,NA,36,11.79,2.72,107.69,81.32
OCT,22,8,0.004,0.004,3.30,NA,45,13.32,2.65,103.19,77.66
OCT,22,9,0.014,0.004,3.16,NA,43,16.62,3.65,101.31,66.12
OCT,22,10,0.024,0.004,3.07,NA,32,19.65,3.77,98.2,53.67
OCT,22,11,0.032,0.005,3.07,NA,35,22,2.96,108.08,45.71
OCT,22,12,0.042,0.033,3.15,NA,32,25.05,1.98,173.03,36.22
OCT,22,13,0.051,0.015,3.55,NA,36,26.96,2.56,242.72,29.25
OCT,22,14,0.054,0.019,3.44,NA,24,28.21,2.47,236.16,25.65
OCT,22,15,0.052,0.025,3.25,NA,30,29.05,2.74,176.42,23.07
OCT,22,16,0.049,0.009,3.00,NA,30,29.25,2.93,121.16,20.19
OCT,22,17,0.039,0.021,3.05,NA,23,27.89,3.32,85.35,16.75
OCT,22,18,0.036,0.019,3.15,NA,33,27.43,3.2,70.13,17.45
OCT,22,19,0.019,0.003,3.62,NA,57,24.11,1.84,86.34,22.23
OCT,22,20,0.013,0.016,3.36,NA,77,22.78,2.62,70.45,25.8
OCT,22,21,0.020,0.026,3.12,NA,50,21.16,3.32,89.74,29.12
OCT,22,22,0.019,0.007,3.10,NA,45,19.27,2.06,119.77,31.48
OCT,22,23,0.009,0.007,3.15,NA,48,17.8,1.49,110.32,33.27
OCT,23,0,0.003,0.008,3.12,NA,52,16.74,2.1,149.44,34.49
OCT,23,1,0.003,0.016,3.15,NA,46,15.55,1.56,201.84,35.68
OCT,23,2,0.001,0.019,3.24,NA,61,15.11,1.21,101.75,37.35
OCT,23,3,0.001,0.019,3.39,NA,76,13.74,1.26,161.69,45.24
OCT,23,4,0.000,0.013,3.26,NA,71,12.84,1.33,231.69,43.04
OCT,23,5,0.000,0.009,3.40,NA,62,12.27,1.57,145.63,49.83
OCT,23,6,0.000,0.012,3.35,NA,79,10.83,1.92,121.91,55.31
OCT,23,7,0.000,0.012,3.37,NA,92,10.34,1.88,118.59,55.32
OCT,23,8,0.001,0.009,3.46,NA,93,12.76,2.15,117.01,49.94
OCT,23,9,0.008,0.006,3.37,NA,72,17.06,2.66,102.61,37.32
OCT,23,10,0.020,0.014,3.26,NA,65,21.07,2.11,108.4,34.31
OCT,23,11,0.040,0.011,3.19,NA,55,24.51,1.79,214.19,38.43
OCT,23,12,0.056,0.038,3.28,NA,52,26.5,1.87,201.18,30.05
OCT,23,13,0.077,0.092,3.98,NA,57,27.92,2.53,234.52,22.2
OCT,23,14,0.067,0.043,3.17,NA,58,28.64,2.66,193.59,18.79
OCT,23,15,0.069,0.059,3.31,NA,51,29.54,2.59,252.73,17.6
OCT,23,16,0.047,0.032,3.35,NA,61,29.9,3.77,106.41,14.18
OCT,23,17,0.044,0.053,3.57,NA,53,29.5,4.11,126.78,13.63
OCT,23,18,0.040,0.033,3.35,NA,46,28.19,3.5,74.24,14.68
OCT,23,19,0.028,0.006,3.38,NA,58,24.99,3.05,82.64,18.73
OCT,23,20,0.019,0.004,3.30,NA,55,22.43,2.72,69.09,22.19
OCT,23,21,0.021,0.007,3.17,NA,49,20.85,3.2,92.7,26.99
OCT,23,22,0.022,0.005,3.10,NA,53,19.55,3.53,96.51,29.42
OCT,23,23,0.023,0.004,3.01,NA,43,18.2,2.94,101.13,31.66
OCT,24,0,0.021,0.003,3.01,NA,25,17.4,3.18,94.85,32.76
OCT,24,1,0.015,0.003,3.02,NA,19,15.86,2.23,124.53,36.97
OCT,24,2,0.012,0.039,3.25,NA,44,15.24,2.29,149.39,40.79
OCT,24,3,0.011,0.009,3.05,NA,47,14.7,2.6,143.61,43.49
OCT,24,4,0.009,0.017,3.05,NA,42,13.86,2.27,98.79,47.32
OCT,24,5,0.011,0.004,3.04,NA,39,12.65,1.85,72.53,49.67
OCT,24,6,0.007,0.027,3.18,NA,42,12.15,1.91,99.28,50.53
OCT,24,7,0.001,0.030,3.33,NA,79,11.28,1.69,146.52,51.87
OCT,24,8,0.003,0.006,3.35,NA,65,13.45,1.96,100.07,48.78
OCT,24,9,0.011,0.016,3.32,NA,80,17.37,3.03,114.81,45.78
OCT,24,10,0.025,0.011,3.16,NA,71,20.56,3.9,111.71,42.32
OCT,24,11,0.038,0.003,3.10,NA,50,22.44,4.49,98.2,34.19
OCT,24,12,0.046,0.002,3.14,NA,40,23.9,4.17,83.45,31.59
OCT,24,13,0.050,0.002,3.12,NA,45,25.52,3.94,87.78,28.53
OCT,24,14,0.048,0.001,3.06,NA,37,26.81,4.18,98.89,25.42
OCT,24,15,0.047,0.003,3.05,NA,37,28.01,3.45,101.37,23.33
OCT,24,16,0.047,0.002,3.05,NA,33,28.41,3.42,102.35,22.52
OCT,24,17,0.039,0.015,3.08,NA,54,28.18,3.74,72.32,17.79
OCT,24,18,0.035,0.021,3.15,NA,65,26.71,4.7,48.13,17.43
OCT,24,19,0.031,0.002,3.17,NA,30,24.31,4.19,49,21.77
OCT,24,20,0.024,0.002,3.23,NA,39,22.29,3.47,69.02,25.38
OCT,24,21,0.017,0.004,3.32,NA,48,20.59,2.41,65.45,30.28
OCT,24,22,0.017,0.007,3.15,NA,40,18.65,3.21,92.11,40.04
OCT,24,23,0.019,0.005,3.12,NA,36,17.75,3.93,100.27,50.53
OCT,25,0,0.022,0.004,3.02,NA,24,16.98,4.21,91.97,55
OCT,25,1,0.020,0.003,3.01,NA,14,15.56,3.64,78.85,60.34
OCT,25,2,0.018,0.004,3.02,NA,23,14.07,2.97,75.94,65.67
OCT,25,3,0.014,0.004,3.01,NA,24,12.84,2.07,91.27,69.22
OCT,25,4,0.011,0.008,3.05,NA,30,11.97,2.29,123.78,71.53
OCT,25,5,0.010,0.019,3.08,NA,52,11.68,2.45,110.66,74.82
OCT,25,6,0.005,0.014,3.22,NA,60,11.14,2.4,103.92,77.14
OCT,25,7,0.007,0.009,3.18,NA,47,10.46,2.98,77.39,78.88
OCT,25,8,0.005,0.005,3.24,NA,40,12.51,2.57,105.74,75.09
OCT,25,9,0.012,0.009,3.21,NA,41,16.55,2.45,110.24,63.84
OCT,25,10,0.023,0.009,3.15,NA,41,20.01,2.68,98.59,50.47
OCT,25,11,0.032,0.003,3.08,NA,31,22.83,2.81,92.53,37.04
OCT,25,12,0.038,0.002,3.03,NA,21,25.14,3.52,102.37,26.39
OCT,25,13,0.043,0.002,3.06,NA,21,26.83,3.04,103.03,23.07
OCT,25,14,0.041,0.006,3.19,NA,21,28.79,2.98,111.71,19.81
OCT,25,15,0.043,0.014,3.11,NA,22,29.79,3.17,107.82,15.27
OCT,25,16,0.044,0.009,3.07,NA,21,30.17,2.88,95.25,13.97
OCT,25,17,0.047,0.004,2.99,NA,22,29.84,2.9,146.15,13.76
OCT,25,18,0.054,0.003,3.07,NA,35,27.78,2.77,129.11,17.55
OCT,25,19,0.044,0.003,3.34,NA,68,24.05,2.35,134.48,21.56
OCT,25,20,0.021,0.011,3.78,NA,103,22.1,2.42,70.1,25.55
OCT,25,21,0.024,0.011,3.17,NA,52,21.67,3.48,68.36,23.2
OCT,25,22,0.017,0.008,3.19,NA,37,19.12,2.87,95.43,28.22
OCT,25,23,0.017,0.005,3.21,NA,43,17.36,2.65,67.8,32.48
OCT,26,0,0.007,0.010,3.28,NA,45,16.09,2.17,110.21,33.39
OCT,26,1,0.007,0.024,3.22,NA,46,15.32,2.49,113.24,34.13
OCT,26,2,0.003,0.019,3.24,NA,58,13.64,1.88,68.65,37.99
OCT,26,3,0.005,0.019,3.19,NA,54,13.4,2.09,94.2,41.88
OCT,26,4,0.005,0.007,3.12,NA,57,12.57,1.81,102.96,45.8
OCT,26,5,0.000,0.005,3.17,NA,45,11.23,1.92,128.47,51.24
OCT,26,6,0.001,0.010,3.22,NA,64,10.33,1.71,97.23,54.53
OCT,26,7,0.001,0.009,3.30,NA,73,10.17,2.38,90.11,56.25
OCT,26,8,0.004,0.003,3.27,NA,55,12.12,2.76,102.33,52.7
OCT,26,9,0.012,0.003,3.23,NA,47,15.8,3.27,100.5,42.95
OCT,26,10,0.021,0.005,3.14,NA,48,19.55,2.71,118.92,37.81
OCT,26,11,0.038,0.013,3.08,NA,48,23.14,2.11,168.36,32.23
OCT,26,12,0.052,0.014,3.14,NA,46,25.45,2.16,165.2,28.9
OCT,26,13,0.064,0.041,3.31,NA,53,27.04,2.17,214.09,24.27
OCT,26,14,0.069,0.035,3.22,NA,53,28.22,2.46,251.21,20.04
OCT,26,15,0.072,0.014,3.15,NA,50,29.44,2.29,239.22,16.08
OCT,26,16,0.061,0.004,3.02,NA,43,29.77,2.7,175.28,12.66
OCT,26,17,0.052,0.001,2.95,NA,32,29.46,2.99,149.29,10.21
OCT,26,18,0.049,NA,3.11,NA,44,26.93,2.57,166.33,10.31
OCT,26,19,0.021,NA,4.08,NA,85,22.86,1.54,241.29,10.9
OCT,26,20,0.001,0.004,5.59,NA,133,20.72,1.59,270.38,13.6
OCT,26,21,0.000,0.005,4.94,NA,114,19.54,1.78,284.42,19.23
OCT,26,22,0.002,0.005,4.66,NA,118,18.51,2.08,231.73,23.2
OCT,26,23,0.015,0.006,3.62,NA,144,16.58,2.3,142.26,31.1
OCT,27,0,0.012,0.008,3.49,NA,98,16.31,1.71,99.25,34.2
OCT,27,1,0.024,0.011,3.63,NA,116,15.89,1.54,112.97,32.82
OCT,27,2,0.009,0.007,3.51,NA,108,15.17,1.16,221.56,33.63
OCT,27,3,0.003,0.009,3.42,NA,98,14.8,1.44,158.68,36.33
OCT,27,4,0.003,0.011,3.37,NA,105,13.4,1.64,115.06,45.16
OCT,27,5,0.002,0.006,3.24,NA,99,12.44,1.77,93.85,44.26
OCT,27,6,0.000,0.004,3.26,NA,64,12.23,1.76,110.59,43.1
OCT,27,7,0.002,0.007,3.61,NA,91,11.86,1.76,109.24,46.4
OCT,27,8,0.003,0.019,3.61,NA,119,14,2.1,119.71,43.19
OCT,27,9,0.007,0.011,3.44,NA,120,18.44,2.47,108.83,39.06
OCT,27,10,0.022,0.011,3.24,NA,81,22.58,1.75,165.52,42.99
OCT,27,11,0.033,0.006,3.23,NA,54,25.01,1.86,219.82,42.72
OCT,27,12,0.046,0.004,3.17,NA,37,26.69,2.07,209.66,36.27
OCT,27,13,0.050,0.003,3.16,NA,35,27.68,2.47,234.58,30.74
OCT,27,14,0.054,0.002,3.13,NA,34,28.35,2.73,222.62,26.03
OCT,27,15,0.058,0.002,3.05,NA,37,29.37,3.05,228.18,21.28
OCT,27,16,0.055,0.001,3.12,NA,60,29.3,3.19,253.92,21.3
OCT,27,17,0.052,0.001,3.14,NA,44,28.4,3.41,274.55,21.69
OCT,27,18,0.048,0.001,3.16,NA,41,26.83,3.37,266.79,23.57
OCT,27,19,0.031,0.001,3.62,NA,52,23.98,2.23,258.01,30.19
OCT,27,20,0.021,0.002,3.55,NA,79,22.27,2.19,214.76,34.38
OCT,27,21,0.023,0.002,3.44,NA,91,20.81,1.77,215.05,38.55
OCT,27,22,0.029,0.002,3.25,NA,67,19.75,2.45,236.06,48.41
OCT,27,23,0.027,0.002,3.20,NA,42,18.63,2.34,265.15,55.62
OCT,28,0,0.022,0.002,3.25,NA,44,17.68,1.93,255.21,58.56
OCT,28,1,0.021,0.003,3.16,NA,45,16.88,2.26,268.32,62.03
OCT,28,2,0.022,0.005,3.12,NA,34,16.07,2.04,272.14,65.86
OCT,28,3,0.020,0.005,3.11,NA,35,15.5,1.66,276.28,67.51
OCT,28,4,0.012,0.005,3.15,NA,35,14.95,2.08,299.19,69.58
OCT,28,5,0.011,0.005,3.14,NA,40,14.22,1.75,274.5,71.14
OCT,28,6,0.010,0.005,3.17,NA,37,13.71,1.52,213.4,73.75
OCT,28,7,0.004,0.005,3.40,NA,42,13.44,1.24,227.66,75.97
OCT,28,8,0.003,0.008,4.08,NA,84,15.17,1.42,81.98,73.2
OCT,28,9,0.004,0.011,3.70,NA,102,19.41,1.45,107.73,62.99
OCT,28,10,0.022,0.008,3.27,NA,NA,22.31,2.77,280.06,57.7
OCT,28,11,0.034,0.007,3.22,NA,NA,23.56,3.48,281.47,50.74
OCT,28,12,0.042,0.006,3.22,NA,29,25.03,3.21,280.29,43.14
OCT,28,13,0.043,0.005,3.15,NA,38,26.25,3.49,275.59,35.82
OCT,28,14,0.045,0.005,3.10,NA,25,26.75,3.15,250.91,33.6
OCT,28,15,0.044,0.005,3.08,NA,26,27.15,3.88,246.47,31.91
