DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,PM10,WS,WD,TEMP,HR,RADSOL
MZO,8,11,29.13,6.12,3.13,23.18,5.02,93.55,19.39,46.70,751.75
MZO,8,12,34.91,5.90,3.15,25.25,3.91,108.75,22.35,37.63,861.02
MZO,8,13,41.59,9.35,3.16,19.28,2.89,129.77,25.27,33.33,925.93
MZO,8,14,44.84,11.39,3.13,26.26,2.04,212.78,27.57,31.07,705.54
MZO,8,15,44.55,8.64,3.09,21.07,2.15,201.12,28.58,28.54,683.37
MZO,8,16,41.50,7.81,3.03,32.19,2.18,163.82,28.61,24.32,450.36
MZO,8,17,40.28,5.01,2.93,23.52,2.42,153.58,27.79,24.21,312.46
MZO,8,18,39.67,6.82,2.67,22.63,2.15,129.54,28.10,23.43,269.55
MZO,8,19,34.71,8.83,2.76,34.31,2.21,148.89,26.09,24.35,39.29
MZO,8,20,13.31,12.42,2.73,103.29,1.59,218.76,23.47,28.96,32.13
MZO,8,21,4.35,12.15,2.77,122.15,1.61,240.69,22.07,32.11,19.91
MZO,8,22,9.81,12.84,2.78,90.36,2.63,99.61,21.75,35.37,23.87
MZO,8,23,15.03,12.24,2.79,37.71,3.22,98.09,20.48,40.85,18.41
MZO,9,0,18.19,9.05,2.81,31.36,3.74,94.59,19.58,44.60,18.56
MZO,9,1,18.70,13.63,2.80,30.05,3.72,96.07,18.01,50.40,44.06
MZO,9,2,20.74,7.56,2.86,21.69,4.12,98.48,16.72,55.35,11.41
MZO,9,3,20.62,7.25,2.84,17.89,4.14,101.65,15.49,61.37,6.46
MZO,9,4,20.11,6.73,2.90,12.87,4.25,98.69,14.34,66.52,7.64
MZO,9,5,18.69,6.82,2.86,27.50,4.02,99.54,13.58,70.23,9.93
MZO,9,6,14.23,7.07,2.94,27.48,3.77,106.61,12.89,74.14,7.73
MZO,9,7,8.42,7.46,2.88,27.98,3.77,110.81,12.26,77.01,3.96
MZO,9,8,6.18,8.11,2.95,35.69,3.75,107.70,13.10,75.06,80.98
MZO,9,9,12.21,7.95,2.89,31.60,4.16,103.01,15.68,65.55,306.43
MZO,9,10,19.67,7.34,2.98,22.43,3.40,98.98,18.86,54.62,535.14
MZO,9,11,24.46,9.36,2.90,23.13,2.98,124.91,21.70,46.13,706.78
MZO,9,12,27.68,29.76,2.93,32.63,1.96,148.06,25.08,39.33,880.13
MZO,9,13,40.72,17.34,2.89,35.65,2.60,231.79,26.92,36.71,964.84
MZO,9,14,49.50,13.27,2.90,34.90,2.35,241.11,28.86,32.06,951.76
MZO,9,15,50.10,14.67,2.93,22.92,2.38,237.60,30.44,27.41,891.34
MZO,9,16,52.22,10.70,2.89,28.69,2.25,199.36,30.67,25.24,633.22
MZO,9,17,50.47,9.73,2.96,34.85,2.64,229.70,29.71,24.50,347.31
MZO,9,18,45.90,8.87,2.89,32.57,2.47,285.84,29.15,23.96,225.45
MZO,9,19,40.89,8.19,2.98,49.80,2.00,270.10,27.23,28.19,40.84
MZO,9,20,20.09,8.43,2.92,66.78,1.84,282.41,25.66,31.42,31.35
MZO,9,21,19.01,8.69,2.99,78.06,2.43,262.13,24.46,35.77,24.71
MZO,9,22,26.67,8.15,2.94,59.51,2.12,256.42,22.70,42.12,37.63
MZO,9,23,25.48,7.96,2.99,39.78,1.82,198.98,21.30,46.34,6.61
MZO,10,0,20.76,9.75,3.02,28.89,1.96,92.01,21.19,45.46,7.78
MZO,10,1,12.94,8.83,3.03,21.76,1.71,158.59,19.49,45.41,6.80
MZO,10,2,13.87,6.71,3.05,33.10,1.84,89.69,18.56,49.37,7.40
MZO,10,3,19.11,7.18,3.06,17.27,3.27,93.63,17.84,56.32,22.94
MZO,10,4,19.45,7.29,3.07,18.06,2.81,83.45,16.62,63.16,7.54
MZO,10,5,20.86,7.71,3.07,21.88,4.16,91.00,15.78,69.72,10.89
MZO,10,6,18.56,12.55,3.10,20.31,3.91,91.40,15.40,70.84,7.57
MZO,10,7,19.43,7.81,3.09,13.69,4.52,99.32,14.89,70.91,10.33
MZO,10,8,15.98,6.66,3.13,18.06,4.03,98.81,14.96,70.43,54.16
MZO,10,9,19.02,6.54,3.08,20.24,4.63,99.05,17.71,61.15,325.75
MZO,10,10,22.55,6.80,3.16,27.52,5.07,91.26,19.69,53.65,548.97
MZO,10,11,25.77,6.32,3.09,25.10,4.53,103.39,21.60,47.71,549.05
MZO,10,12,28.93,5.29,3.16,23.20,3.84,114.98,22.49,46.04,614.65
MZO,10,13,33.50,8.25,3.11,19.88,3.07,132.95,26.15,36.49,982.82
MZO,10,14,35.87,12.59,3.08,16.06,3.03,138.62,27.97,32.36,871.55
MZO,10,15,40.87,8.77,3.17,20.42,2.59,147.54,29.24,30.80,818.89
MZO,10,16,14.11,10.17,NA,22.65,2.35,192.44,30.72,27.78,644.60
MZO,10,17,46.65,10.79,NA,33.32,2.29,214.43,30.52,27.29,467.65
MZO,10,18,47.11,19.39,NA,39.09,1.90,156.17,31.03,25.51,295.79
MZO,10,19,42.46,19.53,NA,55.52,1.96,154.22,27.98,28.47,42.79
MZO,10,20,23.16,9.23,NA,87.30,1.67,159.89,25.18,33.97,7.48
MZO,10,21,22.01,17.67,NA,97.66,3.80,66.59,24.65,35.77,15.30
MZO,10,22,21.72,18.04,NA,54.54,4.43,85.75,22.33,43.97,6.53
MZO,10,23,19.62,37.88,NA,51.92,5.73,75.13,20.70,50.55,10.54
MZO,11,0,22.71,17.99,NA,48.89,5.26,69.34,19.47,55.25,7.89
MZO,11,1,24.29,13.62,NA,39.87,5.53,66.89,18.04,61.84,4.72
MZO,11,2,23.03,14.38,NA,22.61,4.64,86.51,17.21,65.24,6.95
MZO,11,3,22.72,10.94,NA,15.36,3.65,85.09,16.53,67.01,11.42
MZO,11,4,22.67,8.66,NA,16.45,3.88,95.07,15.96,68.15,3.08
MZO,11,5,20.34,9.58,NA,17.43,3.24,82.64,15.53,69.72,7.52
MZO,11,6,21.09,10.02,NA,22.34,2.84,101.54,15.20,70.83,3.68
MZO,11,7,28.49,8.43,NA,35.59,3.04,115.08,14.27,73.83,3.64
MZO,11,8,33.16,8.61,NA,36.74,3.35,111.86,14.68,73.79,75.38
MZO,11,9,20.02,8.33,NA,48.24,3.96,106.18,17.93,63.31,310.73
MZO,11,10,24.15,7.51,NA,36.06,4.16,107.40,20.65,54.27,553.33
MZO,11,11,26.92,7.59,NA,26.71,3.63,112.92,23.23,46.21,764.09
MZO,11,12,30.32,NA,NA,30.91,3.07,144.39,25.65,38.85,906.54
MZO,11,13,33.09,NA,NA,166.45,2.49,147.60,28.04,30.84,979.29
MZO,11,14,38.23,NA,NA,25.76,2.63,155.95,29.78,27.28,963.43
MZO,11,15,NA,13.08,NA,28.89,2.71,160.70,31.06,25.65,897.25
MZO,11,16,NA,30.32,NA,25.09,2.89,145.92,31.89,23.36,729.75
MZO,11,17,67.82,13.42,NA,41.87,2.19,197.66,31.23,22.64,327.85
MZO,11,18,56.83,4.45,NA,48.85,2.45,258.50,30.38,22.76,243.39
MZO,11,19,52.57,3.64,NA,53.61,2.41,257.53,28.61,24.50,54.83
MZO,11,20,25.46,3.90,NA,75.32,1.63,239.25,26.74,26.35,33.34
MZO,11,21,5.46,4.35,NA,112.43,1.49,221.14,25.73,26.57,20.05
MZO,11,22,13.47,7.35,NA,124.60,2.59,105.75,24.83,29.87,33.45
MZO,11,23,17.91,15.57,NA,73.89,3.57,84.10,23.95,34.77,6.94
MZO,12,0,21.66,5.64,NA,43.74,3.67,99.18,23.03,36.39,20.31
MZO,12,1,19.53,8.97,NA,31.31,2.92,75.09,21.88,39.37,2.70
MZO,12,2,15.84,4.98,NA,26.53,2.52,107.67,20.54,42.55,2.71
MZO,12,3,3.60,5.14,NA,25.97,2.26,130.28,19.25,46.81,7.19
MZO,12,4,5.25,4.07,NA,20.60,1.45,119.80,18.66,48.80,2.75
MZO,12,5,0.19,5.74,NA,31.56,1.35,123.22,17.99,50.31,2.82
MZO,12,6,0.18,6.11,NA,39.60,1.54,127.06,17.69,51.63,2.85
MZO,12,7,0.01,5.40,NA,42.82,1.35,149.01,17.23,52.24,3.74
MZO,12,8,0.48,5.93,NA,63.56,1.55,125.40,17.34,54.15,54.37
MZO,12,9,3.09,6.34,NA,61.68,1.83,125.33,21.03,46.71,282.75
MZO,12,10,13.60,7.34,0.53,51.64,1.64,172.22,25.68,36.72,544.91
MZO,12,11,34.00,5.05,0.54,46.29,2.21,218.49,28.31,34.63,753.03
MZO,12,12,52.06,3.85,0.42,39.65,2.68,245.80,29.44,34.43,914.82
MZO,12,13,58.38,2.93,0.40,24.60,2.76,242.06,30.93,29.42,989.48
MZO,12,14,64.02,2.56,0.40,33.93,3.00,224.89,32.31,24.86,1002.35
MZO,12,15,60.53,2.25,0.38,37.47,2.98,259.20,33.47,20.64,943.65
MZO,12,16,61.88,2.02,0.36,37.45,2.84,251.02,32.90,19.44,604.31
MZO,12,17,66.42,2.38,0.33,35.17,3.14,260.71,32.21,21.08,410.52
MZO,12,18,62.54,2.45,0.39,36.00,3.01,283.69,31.32,22.60,242.60
MZO,12,19,56.91,2.86,0.48,46.84,2.91,272.45,29.47,24.38,50.99
MZO,12,20,34.86,3.13,0.80,50.26,2.20,269.08,27.89,26.78,2.23
MZO,12,21,25.39,3.59,0.74,79.91,2.21,222.67,26.50,29.31,2.18
MZO,12,22,38.28,3.34,0.39,77.52,3.13,233.75,25.04,32.29,11.39
MZO,12,23,36.46,3.27,0.38,52.21,3.00,262.45,23.94,33.92,11.32
MZO,13,0,28.51,3.29,0.44,41.11,2.09,258.14,22.44,37.60,2.53
MZO,13,1,15.63,4.63,0.44,56.80,1.79,141.08,21.27,40.60,7.11
MZO,13,2,13.20,2.43,0.51,52.57,1.43,229.81,20.14,42.88,7.11
MZO,13,3,16.45,2.06,0.46,56.76,1.54,233.86,19.83,45.43,2.70
MZO,13,4,26.77,1.98,0.40,37.47,2.22,234.16,19.64,50.90,2.69
MZO,13,5,25.31,1.57,0.41,33.59,2.24,277.85,18.64,54.07,2.75
MZO,13,6,10.25,1.19,0.47,39.52,2.07,284.40,17.20,58.34,2.90
MZO,13,7,7.43,1.53,0.69,50.57,1.57,245.68,16.86,59.24,3.82
MZO,13,8,3.99,2.61,1.11,78.71,1.31,249.35,18.89,57.13,86.21
MZO,13,9,6.36,3.63,1.32,81.40,1.65,263.32,24.04,44.44,310.33
MZO,13,10,24.51,2.53,0.68,54.81,1.74,209.70,26.97,36.25,550.03
MZO,13,11,42.02,1.93,0.55,39.81,1.83,222.30,29.11,31.50,754.67
MZO,13,12,55.04,1.48,0.54,26.83,2.24,219.85,30.66,26.68,894.11
MZO,13,13,62.74,1.86,0.47,31.00,2.52,224.44,31.70,23.66,954.51
MZO,13,14,74.25,23.92,0.59,29.05,2.75,205.23,32.31,22.48,940.32
MZO,13,15,76.42,16.22,0.48,43.11,2.38,186.84,33.24,21.20,884.86
MZO,13,16,71.32,7.66,0.43,35.59,2.61,179.80,32.97,20.65,492.97
MZO,13,17,65.13,2.78,0.45,46.81,2.87,224.93,31.01,22.70,202.81
MZO,13,18,59.32,2.91,0.52,56.15,3.23,257.28,29.69,24.62,79.87
MZO,13,19,47.75,2.35,0.59,62.27,3.31,247.11,27.95,29.71,21.57
MZO,13,20,40.61,2.68,0.54,101.94,4.55,171.89,25.78,34.26,2.33
MZO,13,21,39.37,4.36,0.49,172.02,5.24,99.83,23.19,43.95,2.45
MZO,13,22,31.15,27.72,0.42,57.63,5.78,76.20,21.88,49.12,15.94
MZO,13,23,26.54,47.40,0.38,72.45,5.53,62.57,21.09,51.61,7.06
MZO,14,0,34.98,23.08,0.39,12.26,3.04,84.01,21.28,47.94,2.67
