DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m3],TEMP (°C),WS (m/s),WD (°),HR (%)
NOV,14,11,0.0315,0.0103,3.489,NA,93,23.8,2.1,247.00,44.13
NOV,14,12,0.0464,0.0056,3.361,NA,52,25.1,2.9,275.49,41.27
NOV,14,13,0.0575,0.0037,3.344,NA,51,26.8,2.8,259.49,34.94
NOV,14,14,0.0717,0.0028,3.411,NA,58,27.8,2.9,246.18,29.52
NOV,14,15,0.0711,0.0022,3.38,NA,53,29.1,2.7,192.57,21.95
NOV,14,16,0.0731,0.0028,3.298,NA,57,28.9,2.7,265.38,20.63
NOV,14,17,0.0703,0.0018,3.337,NA,67,27.5,2.4,245.33,22.42
NOV,14,18,0.061,0.0018,3.545,NA,51,26,2,254.64,23.07
NOV,14,19,0.0282,0.0023,4.329,NA,85,23.1,1.9,260.84,29.37
NOV,14,20,0.0182,0.0036,4.36,NA,140,21.7,2.1,260.41,33.01
NOV,14,21,0.0079,0.0036,4.905,NA,148,20.8,1.5,225.07,35.10
NOV,14,22,0.0116,0.0034,4.267,NA,154,20.3,2.4,253.86,37.68
NOV,14,23,0.0214,0.0139,3.83,NA,106,18.9,2,142.41,42.78
NOV,15,0,0.0202,0.0045,3.766,NA,120,17.8,2.1,194.13,47.31
NOV,15,1,0.0235,0.0041,3.593,NA,90,17.1,1.5,218.56,50.23
NOV,15,2,0.0131,0.0049,3.696,NA,72,16.5,1.3,264.03,51.25
NOV,15,3,0.0104,0.0048,3.583,NA,75,15.6,1.3,187.67,54.64
NOV,15,4,0.0061,0.0049,3.476,NA,80,14.2,1.7,112.09,59.77
NOV,15,5,0.0042,0.0068,3.491,NA,95,12.9,1.8,135.07,59.27
NOV,15,6,0.0057,0.0126,3.616,NA,103,12.8,1.6,100.76,59.75
NOV,15,7,0.001,0.0062,3.659,NA,87,12,1.8,117.71,62.68
NOV,15,8,0.0057,0.0078,3.63,NA,97,13,2.3,112.89,61.37
NOV,15,9,0.0117,0.006,3.551,NA,79,17.1,2.4,117.30,50.52
NOV,15,10,0.0282,0.027,3.455,NA,77,20.4,2.9,120.05,43.07
NOV,15,11,0.0431,0.0173,3.439,NA,86,23.5,2.6,140.25,38.27
NOV,15,12,0.0553,0.0099,3.394,NA,60,25.9,2.9,112.79,30.45
NOV,15,13,0.0592,0.0039,3.296,NA,52,27.2,4.5,101.70,24.22
NOV,15,14,0.0643,0.0034,3.248,NA,51,28,3.7,127.55,22.25
NOV,15,15,0.066,0.0027,3.285,NA,48,29.1,4,104.97,18.65
NOV,15,16,0.0521,0.0013,3.254,NA,72,28.9,5.6,97.61,16.70
NOV,15,17,0.0477,0.0004,3.244,NA,91,27.5,5.8,92.42,18.07
NOV,15,18,0.0398,0.0022,3.238,NA,91,24.7,6.4,62.11,28.19
NOV,15,19,0.0326,0.0056,3.285,NA,100,20.8,6.8,49.52,42.75
NOV,15,20,0.032,0.0069,3.247,NA,97,18.8,6.9,48.02,47.40
NOV,15,21,0.031,0.0086,3.204,NA,105,17.6,5.8,49.57,50.78
NOV,15,22,0.031,0.0181,3.185,NA,44,17,5.7,56.82,52.59
NOV,15,23,0.0308,0.0039,3.192,NA,33,16.4,3.9,71.62,55.08
NOV,16,0,0.0272,0.0033,3.17,NA,27,15.5,3.5,98.52,59.57
NOV,16,1,0.0273,0.0038,3.147,NA,32,14.7,3.2,87.80,64.88
NOV,16,2,0.0267,0.004,3.152,NA,25,14.2,2.9,82.47,67.93
NOV,16,3,0.0232,0.0053,3.14,NA,29,13.2,2.6,157.09,69.80
NOV,16,4,0.0213,0.007,3.149,NA,32,12.5,1.5,175.61,72.02
NOV,16,5,0.0208,0.0049,3.146,NA,34,12.1,1.5,108.36,74.66
NOV,16,6,0.0192,0.0037,3.185,NA,30,12.3,2.4,99.26,76.27
NOV,16,7,0.0167,0.0032,3.235,NA,28,12.8,2.9,110.30,76.55
NOV,16,8,0.013,0.0034,3.271,NA,32,13.8,3.5,89.78,75.59
NOV,16,9,0.0207,0.0035,3.268,NA,29,16.7,4.4,81.03,63.91
NOV,16,10,0.0268,0.0034,3.192,NA,31,18.4,5.8,75.37,54.45
NOV,16,11,0.0282,0.003,3.201,NA,32,20,5.8,90.01,48.78
NOV,16,12,0.0287,0.0027,3.214,NA,38,21.3,5.5,92.32,44.68
NOV,16,13,0.0287,0.0023,3.224,NA,38,22,5,89.65,41.84
NOV,16,14,0.026,0.0054,3.213,NA,26,23.2,5.2,71.45,36.65
NOV,16,15,0.029,0.0133,3.221,NA,37,23.8,5.5,59.63,31.08
NOV,16,16,0.0315,0.0323,3.407,NA,33,23.8,5.9,58.94,28.71
NOV,16,17,0.031,0.0905,4.506,NA,43,22.8,5.6,72.70,31.44
NOV,16,18,0.0282,0.0786,4.123,NA,52,20.4,6.4,57.62,36.08
NOV,16,19,0.0255,0.0854,3.561,NA,49,17.5,6.7,51.24,43.85
NOV,16,20,0.0244,0.0526,3.281,NA,45,16,6.5,53.48,46.79
NOV,16,21,0.0238,0.0187,3.206,NA,39,15.1,5.7,44.93,50.25
NOV,16,22,0.0221,0.0474,3.432,NA,25,14.5,4.6,57.67,54.54
NOV,16,23,0.0215,0.0088,3.137,NA,25,13.9,4.7,73.62,58.01
NOV,17,0,0.023,0.0044,3.102,NA,17,13.4,4.2,89.95,60.63
NOV,17,1,0.0217,0.0032,3.103,NA,15,12.2,3.5,86.40,64.59
NOV,17,2,0.0216,0.0025,3.09,NA,16,11.9,3.7,81.58,66.05
NOV,17,3,0.0227,0.0034,3.085,NA,15,11.8,3.5,68.70,68.01
NOV,17,4,0.0222,0.0077,3.097,NA,14,12,4.2,57.57,68.59
NOV,17,5,0.0222,0.0058,3.093,NA,16,11.8,3.4,69.26,70.95
NOV,17,6,0.0199,0.0055,3.104,NA,20,12,3.6,70.40,72.49
NOV,17,7,0.0169,0.0051,3.189,NA,36,12.4,3.2,88.41,72.06
NOV,17,8,0.0136,0.004,3.264,NA,30,12.7,3.3,90.15,72.93
NOV,17,9,0.0158,0.0036,3.304,NA,32,14.2,3.8,86.42,69.23
NOV,17,10,0.0217,0.0033,3.207,NA,27,16.8,4.6,89.34,59.69
NOV,17,11,0.0236,0.0029,3.215,NA,25,18.8,4.3,96.14,53.59
NOV,17,12,0.0292,0.0025,3.213,NA,32,21,5.3,77.83,45.09
NOV,17,13,0.0292,0.0029,3.24,NA,37,21.2,5.5,63.34,45.17
NOV,17,14,0.0262,0.0149,3.257,NA,29,20.1,5.5,61.26,48.72
NOV,17,15,0.0264,0.0052,3.236,NA,32,20.9,5.2,68.06,45.78
NOV,17,16,0.0237,0.0101,3.293,NA,30,19.9,5.2,60.14,48.81
NOV,17,17,0.0222,0.0157,3.261,NA,33,19,5.4,48.79,51.82
NOV,17,18,0.0207,0.0157,3.333,NA,31,17.9,5.2,47.23,55.29
NOV,17,19,0.0195,0.0168,3.329,NA,27,16.7,4.7,53.10,59.16
NOV,17,20,0.019,0.0375,3.286,NA,26,15.5,5,52.88,62.87
NOV,17,21,0.0215,0.0193,3.238,NA,25,15,5,60.51,64.72
NOV,17,22,0.0235,0.0187,3.174,NA,15,14.7,5,61.52,65.54
NOV,17,23,0.0253,0.0154,3.147,NA,16,14.3,5.2,60.21,66.82
NOV,18,0,0.0252,0.0054,3.126,NA,12,14.1,4.3,64.24,67.01
NOV,18,1,0.0251,0.0049,3.128,NA,NA,13.9,3.7,65.22,68.11
NOV,18,2,0.0273,0.0049,3.124,NA,NA,13.9,4,71.12,68.20
NOV,18,3,0.027,0.0046,3.119,NA,9,13.6,4.6,72.01,69.93
NOV,18,4,0.024,0.0049,3.119,NA,9,13,4.1,80.10,72.43
NOV,18,5,0.0258,0.0042,3.115,NA,12,12.3,4.5,83.27,71.45
NOV,18,6,0.0272,0.0041,3.113,NA,18,12.2,5.1,78.70,66.53
NOV,18,7,0.0266,0.0036,3.172,NA,22,11.6,4.6,79.57,63.73
NOV,18,8,0.0203,0.0035,3.251,NA,32,11.8,3.9,82.68,62.37
NOV,18,9,0.0232,0.0036,3.228,NA,38,13.2,4.9,79.84,61.12
NOV,18,10,0.0276,0.0031,3.198,NA,34,15.4,5.3,74.31,57.12
NOV,18,11,0.0313,0.0032,3.183,NA,30,17,5.5,70.63,50.40
NOV,18,12,0.0345,0.0032,3.172,NA,42,18.6,6.5,87.08,42.62
NOV,18,13,0.0372,0.0026,3.186,NA,58,20.2,6.3,89.20,38.36
NOV,18,14,0.038,0.0025,3.199,NA,72,21,6.6,92.54,37.78
NOV,18,15,0.0384,0.0022,3.214,NA,93,21.1,7.1,81.53,37.37
NOV,18,16,0.0387,0.002,3.23,NA,90,20.9,7.4,80.08,37.10
NOV,18,17,0.0367,0.0017,3.232,NA,77,20.6,6.7,83.36,37.71
NOV,18,18,0.0305,0.0017,3.296,NA,55,19.3,5.7,84.48,41.01
NOV,18,19,0.0265,0.0018,3.31,NA,47,17,5.1,75.08,48.98
NOV,18,20,0.0255,0.0022,3.294,NA,31,15.8,5,75.74,53.31
NOV,18,21,0.0247,0.0022,3.23,NA,28,14.4,5.1,75.23,58.81
NOV,18,22,0.0239,0.0027,3.189,NA,26,13.1,5.1,57.62,64.03
NOV,18,23,0.0242,0.0032,3.161,NA,20,12.4,4.8,65.05,66.56
NOV,19,0,0.0257,0.0035,3.133,NA,20,11.5,4.4,73.78,67.75
NOV,19,1,0.0264,0.0031,3.118,NA,20,10.8,4.7,75.96,69.81
NOV,19,2,0.0261,0.0027,3.119,NA,15,10.3,4.4,75.62,73.70
NOV,19,3,0.0253,0.0027,3.113,NA,12,10.1,3.4,80.96,76.32
NOV,19,4,0.0242,0.0023,3.114,NA,13,9.8,3.2,82.01,77.34
NOV,19,5,0.0222,0.0028,3.125,NA,11,9.2,2.7,93.00,78.37
NOV,19,6,0.0176,0.0024,3.18,NA,15,8.6,2.6,98.21,81.38
NOV,19,7,0.0058,0.0027,3.409,NA,26,7.8,1.8,99.53,83.41
NOV,19,8,0.0039,0.0034,3.406,NA,30,9.2,2.2,122.81,81.55
NOV,19,9,0.0094,0.0058,3.329,NA,51,14,2.2,123.82,67.74
NOV,19,10,0.0259,0.0032,3.176,NA,30,15.7,5.4,71.25,53.07
NOV,19,11,0.0308,0.0027,3.174,NA,23,17.7,6,82.12,45.25
NOV,19,12,0.0328,0.0021,3.181,NA,31,19.6,5.9,85.00,38.97
NOV,19,13,0.0357,0.0018,3.174,NA,41,21.1,6.3,92.47,33.35
NOV,19,14,0.0379,0.0014,3.188,NA,41,22.4,5.7,92.47,29.59
NOV,19,15,0.0403,0.0009,3.19,NA,33,23.6,5.1,98.49,26.55
NOV,19,16,0.0406,0.0012,3.231,NA,38,24.3,4.8,93.85,25.13
NOV,19,17,0.0411,0.0017,3.27,NA,40,24.2,4.3,100.17,25.07
NOV,19,18,0.0366,0.0016,3.356,NA,39,22.9,3.8,100.47,27.18
NOV,19,19,0.0244,0.0028,3.358,NA,56,19.7,4.8,50.15,37.60
NOV,19,20,0.0232,0.0038,3.268,NA,36,17.5,5.8,45.00,46.06
NOV,19,21,0.0225,0.0125,3.251,NA,33,15.8,5.5,48.31,52.35
NOV,19,22,0.0198,0.0116,3.226,NA,28,14.9,4.1,59.53,55.31
NOV,19,23,0.0206,0.0038,3.194,NA,24,14.1,4,73.44,58.45
NOV,20,0,0.0209,0.003,3.178,NA,19,12.8,4.2,87.90,64.59
NOV,20,1,0.0211,0.0028,3.137,NA,13,11.9,4.1,88.18,68.52
NOV,20,2,0.0209,0.0024,3.13,NA,12,11.4,3.4,90.27,70.91
NOV,20,3,0.0207,0.0023,3.126,NA,12,10.9,3.4,88.94,72.69
NOV,20,4,0.0201,0.0019,3.112,NA,16,10.5,3.3,94.94,74.15
NOV,20,5,0.0183,0.0018,3.124,NA,12,9.9,3,100.18,76.87
NOV,20,6,0.0153,0.0015,3.157,NA,18,9.3,3,89.58,80.17
NOV,20,7,0.0108,0.0017,3.221,NA,17,9,3.6,105.87,81.70
NOV,20,8,0.0105,0.0016,3.322,NA,29,9.8,4.1,106.48,79.94
NOV,20,9,0.0157,0.0018,3.287,NA,27,12.8,4.4,92.26,69.31
NOV,20,10,0.0222,0.0016,3.206,NA,29,14.9,5.2,89.50,60.72
NOV,20,11,0.0247,0.0017,3.231,NA,27,16.7,5,91.73,54.51
NOV,20,12,0.0272,0.0016,3.227,NA,28,18.5,5.1,85.18,49.57
NOV,20,13,0.0318,0.0016,3.239,NA,28,20.7,4.8,68.06,44.46
NOV,20,14,0.0344,0.0021,3.28,NA,30,22.8,4.3,69.91,40.14
NOV,20,15,0.0349,0.0028,3.283,NA,28,24.9,4.1,72.54,35.44
NOV,20,16,0.0343,0.0035,3.271,NA,28,25.5,4.9,73.19,33.97
NOV,20,17,0.032,0.0034,3.298,NA,36,25.3,5,78.67,34.15
NOV,20,18,0.027,0.0032,3.394,NA,42,23.6,4.8,91.01,39.53
NOV,20,19,0.0186,0.0035,3.49,NA,59,20.8,4.3,92.09,48.28
NOV,20,20,0.0134,0.0032,3.472,NA,54,19.2,3.7,77.70,53.58
NOV,20,21,0.0161,0.0028,3.338,NA,33,17.9,4.3,77.47,57.46
NOV,20,22,0.0166,0.0029,3.252,NA,29,16.9,5,68.21,61.51
NOV,20,23,0.0171,0.0036,3.25,NA,23,15.7,4.6,61.45,66.42
NOV,21,0,0.0195,0.0037,3.192,NA,29,15.2,4.4,73.69,67.96
NOV,21,1,0.0201,0.0025,3.165,NA,8,14.3,4.1,82.24,71.12
NOV,21,2,0.019,0.0011,3.162,NA,9,13.6,3.7,76.80,74.03
NOV,21,3,0.0206,0.001,3.147,NA,9,13.6,3.6,72.79,73.66
NOV,21,4,0.0206,0.0013,3.136,NA,10,13.3,3.6,88.28,74.22
NOV,21,5,0.0179,0.0008,3.163,NA,12,12.6,3.8,91.76,76.99
NOV,21,6,0.0156,0.0008,3.165,NA,11,11.9,3.4,84.44,81.35
NOV,21,7,0.0142,NA,3.302,NA,14,12.1,2.8,81.16,81.37
NOV,21,8,0.0087,0.0008,3.368,NA,22,12.9,3.3,98.53,79.06
NOV,21,9,0.0141,0.0009,3.315,NA,28,15.9,3.8,106.17,69.58
NOV,21,10,0.0192,0.0008,3.313,NA,26,18.1,3.6,96.39,60.68
NOV,21,11,0.0239,0.0007,3.288,NA,27,19.7,4.6,84.78,54.87
NOV,21,12,0.0268,0.0008,3.288,NA,22,20.9,5.3,62.24,50.49
NOV,21,13,0.0278,0.0009,3.302,NA,24,21.7,4.7,66.87,47.03
NOV,21,14,0.031,0.0009,3.293,NA,31,23.4,5.2,93.03,41.63
NOV,21,15,0.0323,0.0004,3.284,NA,35,24.3,5.1,93.00,37.07
NOV,21,16,0.0324,0.0793,3.336,NA,44,24.3,5.3,88.04,35.67
NOV,21,17,0.0301,0.0029,3.358,NA,37,24,5.1,94.00,36.04
NOV,21,18,0.0271,0.0012,3.368,NA,30,22.1,5,91.26,41.84
NOV,21,19,0.0181,0.001,3.517,NA,35,19.6,3.8,90.15,51.73
NOV,21,20,0.0183,0.0032,3.396,NA,39,18,4.6,58.73,57.75
NOV,21,21,0.0179,0.002,3.347,NA,27,16.5,3.3,57.35,62.47
NOV,21,22,0.0134,0.0018,3.406,NA,26,15.2,2.8,91.54,66.43
NOV,21,23,0.0184,0.0017,3.258,NA,21,14.7,3.9,74.30,69.15
NOV,22,0,0.0184,0.0013,3.233,NA,13,14.2,3.2,87.91,70.38
NOV,22,1,0.0185,0.0018,3.202,NA,8,13.5,3.2,82.35,73.53
NOV,22,2,0.0189,0.0021,3.184,NA,7,13,3,82.19,75.57
NOV,22,3,0.0164,0.0021,3.195,NA,8,12.2,2.9,110.52,79.31
NOV,22,4,0.0148,0.0017,3.197,NA,15,11.7,2.9,108.21,82.23
NOV,22,5,0.0104,0.0018,3.244,NA,15,10.6,1.4,111.82,84.51
NOV,22,6,0.0074,0.0018,3.311,NA,15,9.9,1.8,86.74,86.66
NOV,22,7,0.0073,0.0018,3.33,NA,19,9.5,2.4,77.79,86.94
NOV,22,8,0.0062,0.0019,3.382,NA,26,11,3.3,105.89,84.04
NOV,22,9,0.0112,0.002,3.358,NA,29,14.1,3.1,84.64,72.98
NOV,22,10,0.02,0.0019,3.282,NA,41,16.9,4.3,84.09,60.72
NOV,22,11,0.0248,0.0016,3.284,NA,17,18.9,3.9,88.20,52.41
NOV,22,12,0.0289,0.0015,3.248,NA,13,21.2,3.7,95.18,43.76
NOV,22,13,0.0321,0.001,3.224,NA,17,23.1,3.7,101.98,33.45
NOV,22,14,0.0332,0.0019,3.245,NA,18,24.6,4.2,93.99,26.58
NOV,22,15,0.033,0.0289,3.283,NA,21,26,4.1,89.45,18.57
NOV,22,16,0.0353,0.0524,3.282,NA,20,26.5,3.3,84.27,19.70
NOV,22,17,0.0356,0.047,3.324,NA,25,26.3,3.2,81.73,19.68
NOV,22,18,0.0318,0.0771,3.425,NA,34,25,3,73.24,20.78
NOV,22,19,0.026,0.0138,3.294,NA,24,21.5,6,46.94,29.27
NOV,22,20,0.0236,0.0195,3.258,NA,43,18.8,6.6,46.79,42.51
NOV,22,21,0.0221,0.0075,3.251,NA,40,16.8,5.7,48.47,52.64
NOV,22,22,0.0222,0.0033,3.221,NA,26,15.4,5.3,51.29,58.09
NOV,22,23,0.0203,0.0096,3.231,NA,26,14.4,4.6,75.57,61.05
NOV,23,0,0.0207,0.0022,3.21,NA,20,13.5,4.6,89.52,64.96
NOV,23,1,0.0215,0.0024,3.175,NA,15,12.8,4.2,87.96,66.70
NOV,23,2,0.0222,0.0033,3.149,NA,11,12.1,4,80.04,68.71
NOV,23,3,0.0229,0.0033,3.141,NA,14,12,4.2,69.47,68.42
NOV,23,4,0.0237,0.0042,3.129,NA,12,12.3,4.3,66.50,64.87
NOV,23,5,0.0231,0.005,3.139,NA,11,11.6,3.2,91.58,67.26
NOV,23,6,0.015,0.0057,3.165,NA,14,9.4,2.9,131.66,73.59
NOV,23,7,0.0084,0.0247,3.328,NA,25,8.7,2.9,101.34,79.81
NOV,23,8,0.008,0.0249,3.357,NA,40,10.2,2.9,111.01,75.90
NOV,23,9,0.0138,0.0074,3.318,NA,37,14.5,3.8,101.44,63.15
NOV,23,10,0.0232,0.0042,3.248,NA,23,16.2,5.5,82.27,56.67
NOV,23,11,0.0248,0.0038,3.258,NA,29,18.4,5.1,82.78,50.55
NOV,23,12,0.0293,0.0037,3.253,NA,25,20.4,5,76.99,42.99
NOV,23,13,0.0348,0.0034,3.254,NA,26,22.3,4.1,78.04,36.55
NOV,23,14,0.0411,0.0031,3.215,NA,23,23.6,3.4,105.17,33.14
NOV,23,15,0.0446,0.0035,3.214,NA,33,24.7,3.3,114.54,29.77
NOV,23,16,0.0459,0.0035,3.225,NA,44,25.4,3,113.57,26.95
NOV,23,17,0.0463,0.0034,3.271,NA,29,25.5,2.2,121.52,25.84
NOV,23,18,0.0447,0.0036,3.29,NA,31,23.7,1.7,165.41,27.70
NOV,23,19,0.0242,0.0051,3.879,NA,78,20.4,1.5,160.54,31.41
NOV,23,20,0.0023,0.0079,5.67,NA,150,18.9,1.5,136.42,37.05
NOV,23,21,0.0074,0.0094,3.949,NA,109,18.3,2.6,75.40,41.18
NOV,23,22,0.0121,0.009,3.375,NA,55,17.3,2.8,75.51,46.98
NOV,23,23,0.0109,0.0055,3.312,NA,34,15.6,2.6,104.44,53.58
NOV,24,0,0.0054,0.0058,3.28,NA,36,14.3,3.2,102.95,59.50
NOV,24,1,0.0128,0.0055,3.252,NA,40,13.7,3.6,94.43,63.12
NOV,24,2,0.01,0.0064,3.271,NA,32,12.8,3.6,104.75,65.28
NOV,24,3,0.0041,0.0144,3.472,NA,58,11.8,2.7,112.37,64.85
NOV,24,4,0.002,0.0092,3.421,NA,84,10.7,2.2,101.20,67.53
NOV,24,5,0.0006,0.0082,3.371,NA,62,9.9,2.2,84.05,68.32
NOV,24,6,0.0003,0.0039,3.37,NA,45,9.4,2.5,104.68,70.70
NOV,24,7,0.0002,0.0036,3.594,NA,44,8.7,2.4,90.11,73.83
NOV,24,8,0.0008,0.0036,3.55,NA,61,10,2.6,92.19,72.19
NOV,24,9,0.0055,0.0058,3.531,NA,49,13.7,3.2,97.36,59.84
NOV,24,10,0.0109,0.0052,3.404,NA,47,16.7,2.9,108.06,52.08
NOV,24,11,0.0222,0.005,3.246,NA,38,20.4,2.4,122.95,40.59
NOV,24,12,0.0356,0.0068,3.273,NA,48,23.3,2,157.49,33.26
NOV,24,13,0.0467,0.0031,3.286,NA,48,25.8,2,219.30,28.77
NOV,24,14,0.0537,0.0025,3.333,NA,42,26.5,2.2,176.53,25.55
NOV,24,15,0.0598,0.0022,3.265,NA,38,27.4,2.3,204.42,22.54
NOV,24,16,0.058,0.002,3.295,NA,41,27.5,2.4,252.00,22.01
NOV,24,17,0.0553,0.0016,3.405,NA,42,26.6,2.9,276.50,22.11
NOV,24,18,0.0582,0.0023,3.564,NA,49,24.9,2.5,290.41,24.64
NOV,24,19,0.0237,0.0026,4.844,NA,70,21.7,1.4,296.72,28.01
NOV,24,20,0.0005,0.006,7.821,NA,162,19.6,1.1,233.41,30.99
NOV,24,21,0.0003,0.0081,8.082,NA,273,18.4,1.5,200.65,35.00
NOV,24,22,0.0011,0.0089,5.998,NA,292,17.7,2.1,257.06,40.46
NOV,24,23,0.0054,0.0054,4.184,NA,141,16.6,1.6,283.46,41.17
NOV,25,0,0.0055,0.0048,3.848,NA,130,15.4,1.4,269.02,43.49
NOV,25,1,0.0166,0.0034,3.632,NA,108,15.3,1.7,262.92,46.08
NOV,25,2,0.0116,0.0025,3.751,NA,86,14.2,1.7,148.90,48.05
NOV,25,3,0.0011,0.0044,3.783,NA,107,12.3,1.7,100.80,53.82
NOV,25,4,0.0002,0.0039,3.949,NA,104,11.5,1.1,174.09,54.24
NOV,25,5,0.0003,0.004,3.896,NA,100,11.3,1.1,145.06,55.66
NOV,25,6,0.0001,0.0066,3.724,NA,107,10.7,2,126.51,60.11
NOV,25,7,0.0004,0.0076,3.821,NA,144,9.9,1.9,111.90,63.28
NOV,25,8,0.0002,0.0057,3.93,NA,128,10.5,1.8,117.49,63.16
NOV,25,9,0.0032,0.0048,3.872,NA,46,14.9,2.2,120.51,53.18
NOV,25,10,0.0131,0.0138,3.652,NA,125,18.5,2.6,117.83,46.97
NOV,25,11,0.0353,0.0048,3.403,NA,84,22.4,1.7,176.00,41.62
NOV,25,12,0.0516,0.0068,3.545,NA,59,25.7,1.7,167.35,32.87
NOV,25,13,0.0604,0.0113,3.508,NA,47,26.9,2.1,253.08,27.32
NOV,25,14,0.0638,0.0089,3.471,NA,37,27.5,2.5,237.54,24.47
NOV,25,15,0.0791,0.0292,3.641,NA,51,28.4,2.2,240.57,22.62
NOV,25,16,0.0716,0.0089,3.416,NA,57,28.6,2.4,261.31,20.76
NOV,25,17,0.0643,0.0034,3.334,NA,49,28.1,1.9,219.11,20.23
NOV,25,18,0.0575,0.0027,3.475,NA,42,26.1,1.8,252.16,21.67
NOV,25,19,0.0158,0.0079,5.509,NA,85,22.4,1.3,295.63,24.95
NOV,25,20,0.0003,0.0136,8.052,NA,278,20.3,1.5,263.55,30.15
NOV,25,21,0,0.011,6.699,NA,184,19.1,1.4,290.26,34.04
NOV,25,22,0.0001,0.0117,6.984,NA,214,17.5,1.6,229.43,36.12
NOV,25,23,0.0086,0.0193,3.928,NA,164,17.5,2.4,106.19,38.94
NOV,26,0,0.0156,0.0132,3.55,NA,94,17.8,2.3,62.90,37.95
NOV,26,1,0.0156,0.0079,3.383,NA,52,17.1,2.3,71.03,39.83
NOV,26,2,0.0052,0.0047,3.432,NA,50,15.5,2,92.46,44.62
NOV,26,3,0.0026,0.0054,3.424,NA,51,14.3,2.2,110.76,49.62
NOV,26,4,0.0035,0.0293,3.428,NA,70,13.5,2.2,115.25,53.46
NOV,26,5,0.0032,0.0192,3.526,NA,77,12.8,1.8,85.20,55.85
NOV,26,6,0.0021,0.0046,3.532,NA,56,12.3,1.5,86.51,57.57
NOV,26,7,0.001,0.0032,3.685,NA,50,11.9,2,93.08,59.49
NOV,26,8,0.0013,0.0034,3.765,NA,66,12.2,1.6,113.17,59.68
NOV,26,9,0.0056,0.0265,3.709,NA,100,15.4,2.4,98.93,53.47
NOV,26,10,0.013,0.0335,3.622,NA,99,18.9,3.2,111.86,43.06
NOV,26,11,0.0248,0.0244,3.53,NA,89,21.9,3.1,110.58,34.59
NOV,26,12,0.047,0.0039,3.289,NA,80,24.9,2.5,139.74,29.58
NOV,26,13,0.0571,0.0016,3.175,NA,58,27.3,2.1,114.77,25.24
NOV,26,14,0.0638,0.0011,3.213,NA,55,28.8,1.9,186.56,22.99
NOV,26,15,0.071,0.0012,3.248,NA,56,29.7,2.3,240.62,21.28
NOV,26,16,0.0718,0.0008,3.29,NA,62,29.4,2.7,265.84,20.09
NOV,26,17,0.0662,NA,3.323,NA,48,28.6,2.6,286.96,19.63
NOV,26,18,0.0546,NA,3.725,NA,52,26.7,2.8,302.04,21.29
NOV,26,19,0.0074,NA,5.77,NA,100,23.5,1.5,291.46,23.80
NOV,26,20,0,0.0061,7.633,NA,202,21.4,1.5,290.86,27.94
NOV,26,21,0,0.0091,6.346,NA,251,19.9,1.7,258.77,32.88
NOV,26,22,0.0058,0.0042,4.309,NA,162,18.9,1.8,245.89,35.65
NOV,26,23,0.0223,0.0023,3.71,NA,104,18.3,2.2,290.98,38.53
NOV,27,0,0.0152,0.0016,3.75,NA,111,17.2,1.5,188.54,41.32
NOV,27,1,0.009,0.0026,3.825,NA,108,15.6,1.4,98.87,45.01
NOV,27,2,0.0105,0.0035,3.813,NA,110,15.2,1.6,258.02,48.68
NOV,27,3,0.0007,0.0046,3.74,NA,103,14.5,1.9,277.03,49.42
NOV,27,4,0.0003,0.0057,3.707,NA,98,13.4,1.3,166.77,50.90
NOV,27,5,0.0035,0.0055,3.744,NA,106,12.4,1.5,150.54,56.38
NOV,27,6,0.0029,0.0043,3.647,NA,112,11.7,1.6,115.25,62.03
NOV,27,7,0.0037,0.0043,3.787,NA,87,11,1.6,143.46,64.24
NOV,27,8,0.0018,0.0067,4.209,NA,127,11.8,1.8,116.64,61.74
NOV,27,9,0.0059,0.0186,3.763,NA,159,15.4,1.9,129.59,52.43
NOV,27,10,0.0233,0.0262,3.471,NA,175,20.6,1.7,133.09,41.80
NOV,27,11,0.0456,0.0156,3.375,NA,95,24.4,1.6,216.22,35.78
NOV,27,12,0.0603,0.0118,3.699,NA,66,26.6,1.9,253.15,30.95
NOV,27,13,0.0723,0.0418,4.604,NA,52,28.4,1.9,215.55,24.51
NOV,27,14,0.0821,0.0508,4.116,NA,60,29,2.4,274.28,22.04
NOV,27,15,0.0672,0.0078,3.255,NA,51,29.9,2.2,168.73,18.86
NOV,27,16,0.0598,0.0034,3.176,NA,37,29.6,2.7,142.66,15.85
NOV,27,17,0.0603,0.0082,3.269,NA,37,28.7,2.2,138.21,15.89
NOV,27,18,0.0588,0.0115,3.45,NA,48,26.9,1.6,164.95,16.92
NOV,27,19,0.0171,0.0063,5.356,NA,110,23.2,1.4,229.85,17.12
NOV,27,20,NA,0.0078,5.913,NA,210,21.3,1.6,264.83,24.86
NOV,27,21,NA,0.0075,5.767,NA,153,20.2,1.6,319.89,29.38
NOV,27,22,0.0012,0.0086,6.082,NA,191,18.7,1.5,236.25,31.57
NOV,27,23,0.0003,0.0167,5.383,NA,225,17.1,1.7,158.50,36.58
NOV,28,0,0.0007,0.0588,4.381,NA,204,16.1,1.8,187.79,38.30
