MES,DIA,HORA,O3,SO2,NO2,CO,PM10,TEMP,WIND_SPEED,WIND_DIR,HUMIDITY,RADSOL
JUL,10.0,6.0,0.013,0.004,0.006,1.34,22.0,15.56795,2.384293,126.96035,72.928533,2.814942
JUL,10.0,7.0,0.008,0.004,0.009,1.44,21.0,16.010583,1.755547,87.400467,74.608467,43.050097
JUL,10.0,8.0,0.012,0.004,0.008,1.43,25.0,20.261783,2.05979,119.860967,64.8967,235.630667
JUL,10.0,9.0,0.023,0.004,0.005,1.39,22.0,21.975033,2.899973,97.386717,56.380883,460.281
JUL,10.0,10.0,0.03,0.004,0.004,1.35,16.0,23.16885,3.426947,95.83705,49.920017,673.4915
JUL,10.0,11.0,0.035,0.003,0.004,1.34,14.0,24.425317,3.356548,94.511967,44.526067,853.5265
JUL,10.0,12.0,0.043,0.003,0.003,1.32,9.0,26.237867,2.314727,148.52345,39.907267,983.2875
JUL,10.0,13.0,0.051,0.003,0.004,1.34,9.0,27.281683,2.58652,114.472483,35.181467,1049.447833
JUL,10.0,14.0,0.054,0.003,0.004,1.37,14.0,28.146917,2.733275,142.824717,30.5126,1043.803333
JUL,10.0,15.0,0.051,0.003,0.004,1.34,9.0,29.009567,3.124477,133.504433,26.78545,965.751167
JUL,10.0,17.0,0.053,0.006,0.004,1.32,9.0,29.350867,2.551288,114.169067,26.159583,412.6645
JUL,10.0,18.0,0.052,0.003,0.004,1.32,10.0,29.490917,2.394008,124.441633,25.86305,337.094
JUL,10.0,19.0,0.048,0.003,0.004,1.35,9.0,28.95555,1.726,220.285167,26.232017,175.43185
JUL,10.0,20.0,0.048,0.005,0.01,1.53,29.0,26.292483,3.175738,264.250833,32.512033,8.364077
JUL,10.0,21.0,0.04,0.004,0.006,1.46,32.0,23.632717,4.48523,245.479333,43.48255,5.046338
JUL,10.0,22.0,0.038,0.003,0.005,1.37,33.0,19.718383,4.740467,177.454333,62.564933,2.44112
JUL,10.0,23.0,0.034,0.003,0.004,1.35,25.0,15.5985,3.828468,189.610667,95.715717,2.731788
JUL,11.0,0.0,0.033,0.003,0.006,1.41,19.0,15.945383,2.191445,193.54335,97.690967,2.747962
JUL,11.0,1.0,0.027,0.003,0.007,1.36,19.0,16.178817,1.464042,142.350233,98.812483,2.768613
JUL,11.0,2.0,0.014,0.003,0.011,1.44,24.0,15.8806,1.301893,137.516667,99.178883,2.728013
JUL,11.0,3.0,0.014,0.003,0.01,1.45,28.0,15.713767,1.183893,136.957067,99.7802,2.75455
JUL,11.0,9.0,0.022,0.003,0.014,1.60,28.0,22.30135,2.11534,275.4335,93.099517,453.740333
