DATOS HORARIOS 2018_NATIVITAS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,RADSOL
SEP,10,3,3.07,NA,NA,NA,11.07,1.8,136.06,17.51,97.78,NA,2.36
SEP,10,4,5.11,NA,NA,NA,6.03,1.75,162.33,17.47,98.25,NA,2.38
SEP,10,5,3.27,NA,NA,NA,6.93,1.94,144.28,17.44,98.27,NA,2.38
SEP,10,6,3.83,NA,NA,NA,11.37,2.05,127.01,17.36,98.24,NA,2.34
SEP,10,7,0.63,NA,NA,NA,9.39,1.74,146.92,17.33,98.42,NA,6.7
SEP,10,8,0.2,NA,NA,NA,12.42,1.77,130.82,17.8,98.17,NA,77.99
SEP,10,9,4.42,NA,NA,6.38,6.51,1.98,171.48,19.58,96.12,NA,219.72
SEP,10,10,8.66,NA,NA,6.39,16.63,2.19,202.35,21.14,91.69,NA,310.74
SEP,10,11,13.16,NA,NA,3.54,2.2,1.95,190.04,23.06,84.25,NA,412.68
SEP,10,12,16.05,NA,NA,5.02,4.48,1.76,236.25,25.25,75.88,NA,624.5
SEP,10,13,22.62,NA,NA,5.89,6,2.04,279.84,27.18,60.65,NA,773.01
SEP,10,14,23.98,NA,NA,4.42,5.61,2.25,260.24,27.28,52.48,NA,593.75
SEP,10,15,22.6,NA,NA,3.36,2.3,2.14,231.5,27.69,48.92,NA,594.39
SEP,10,16,20.59,NA,NA,3.41,4.19,2.35,259.33,27.43,49.03,NA,386.29
SEP,10,17,20.09,NA,NA,5.44,10.74,2.81,247.31,25.91,54.59,NA,219.48
SEP,10,18,14.3,NA,NA,7.85,20.94,3.22,228.96,23.59,63.61,NA,110.75
SEP,10,19,11.05,NA,NA,10.51,14.83,2.87,234.01,21.72,71.54,NA,28.12
SEP,10,20,8.77,NA,NA,13.12,14.08,2.49,240.06,20.94,74.41,NA,2.74
SEP,10,21,8.66,NA,NA,12.49,13.04,2.12,232.15,21.2,71.03,NA,2.68
SEP,10,22,7.87,NA,NA,12.26,13.44,1.71,231.04,20.85,71.75,NA,2.7
SEP,10,23,7.87,NA,NA,8.52,15.63,2.08,188.78,20.58,74.3,NA,2.77
SEP,11,0,13.24,NA,NA,4.27,18,3.94,160.73,17.91,90.64,NA,2.93
SEP,11,1,12.72,NA,NA,7.83,5.17,1.72,87.1,17.71,97,NA,2.93
SEP,11,2,10.16,NA,NA,11.61,8.97,1.76,84.35,17.17,96.98,NA,2.96
SEP,11,3,2.78,NA,NA,18.23,16.8,2.24,114.73,17.09,98.41,NA,2.96
