DATOS HORARIOS 2019_NATIVITAS,,,,,,,,,,,,,","
,,,,,,,,,,,,,","
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,"RADSOL,"
DIC,2,23,0.53,8.58,0.98,NA,47.73,1.26,163.57,13.52,49.81,NA,"3.93,"
DIC,3,0,NA,9.36,1.33,NA,63.57,1.46,138.27,12.74,56.23,NA,"3.44,"
DIC,3,1,NA,8.23,0.33,NA,54.01,1.4,144.77,11.67,66.46,NA,"3.46,"
DIC,3,2,NA,6.66,0.26,NA,30.22,1.26,106.62,11.07,65.89,NA,"2.99,"
DIC,3,3,NA,7.48,0.2,NA,20.88,1.4,111.73,10.71,73.99,NA,"2.39,"
DIC,3,4,NA,10.7,0.18,NA,23.88,1.79,128.4,9.21,79.95,NA,"3.07,"
DIC,3,5,NA,9.61,0.11,NA,26.41,1.92,119.92,8.91,81.31,NA,"3.62,"
DIC,3,6,NA,5.18,0.17,NA,21.3,1.67,91.68,8.74,81.92,NA,"3.15,"
DIC,3,7,NA,5.26,0.42,NA,30.01,1.66,88.62,8.39,82.81,NA,"2.77,"
DIC,3,8,NA,7.14,0.64,NA,46.63,1.58,115.85,9.71,81.39,NA,"63.23,"
DIC,3,9,2.57,5.08,0.35,NA,24.96,2.37,102.07,14.07,67.72,NA,"269.01,"
DIC,3,10,9.09,3.78,0.26,NA,16.49,2.74,101.02,17.02,61.79,NA,"465.56,"
DIC,3,11,16.59,6.54,0.15,NA,22.5,2.19,109.62,20.86,53.35,NA,"623.52,"
DIC,3,12,26.77,50.04,0.06,NA,15.63,1.73,213.11,24.16,42.68,NA,"735.78,"
DIC,3,13,42.96,33.99,0.14,NA,34.95,2.1,219.74,25.86,34.17,NA,"699.06,"
DIC,3,14,43.66,18.21,0.11,NA,20.96,2.14,224.24,26.61,29.68,NA,"696.01,"
DIC,3,15,53.61,NA,0.16,NA,32.19,2.27,261.32,27.6,25.79,NA,"654.99,"
