DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
MAYO,6,8,0.022,0.030,0.002,0.64,61,48,0.026
MAYO,6,9,0.034,0.030,0.002,0.70,60,51,0.024
MAYO,6,10,0.061,0.032,0.002,0.72,59,46,0.014
MAYO,6,11,0.073,0.035,0.002,0.75,57,43,0.017
MAYO,6,12,0.090,0.042,0.002,0.77,53,39,0.012
MAYO,6,13,0.097,0.050,0.002,0.76,50,36,0.008
MAYO,6,14,0.094,0.061,0.002,0.72,42,32,0.007
MAYO,6,15,0.095,0.071,0.002,0.68,39,30,0.010
MAYO,6,16,0.086,0.079,0.002,0.60,35,29,0.005
MAYO,6,17,0.093,0.086,0.002,0.54,32,25,0.009
MAYO,6,18,0.086,0.089,0.002,0.53,37,25,0.013
MAYO,6,19,0.084,0.091,0.002,0.52,38,28,0.015
MAYO,6,20,0.065,0.088,0.003,0.50,83,28,0.014
MAYO,6,21,0.058,0.083,0.004,0.51,86,34,0.019
MAYO,6,22,0.064,0.079,0.004,0.52,78,40,0.012
MAYO,6,23,0.072,0.076,0.005,0.49,85,50,0.008
MAYO,7,0,0.068,0.074,0.004,0.49,68,41,0.007
MAYO,7,1,0.067,0.071,0.004,0.48,48,34,0.006
MAYO,7,2,0.057,0.067,0.004,0.45,38,31,0.007
MAYO,7,3,0.052,0.063,0.004,0.43,34,28,0.008
MAYO,7,4,0.043,0.060,0.005,0.42,34,25,0.013
MAYO,7,5,0.048,0.059,0.005,0.42,37,26,0.008
MAYO,7,6,0.039,0.056,0.004,0.42,41,33,0.013
MAYO,7,7,0.022,0.050,0.004,0.51,52,35,0.028
MAYO,7,8,0.023,0.044,0.004,0.60,56,48,0.028
MAYO,7,9,0.041,0.041,0.004,0.64,58,47,0.019
MAYO,7,10,0.062,0.041,0.004,0.67,56,42,0.013
MAYO,7,11,0.079,0.045,0.004,0.69,52,37,0.010
MAYO,7,12,0.087,0.050,0.004,0.71,50,35,0.009
MAYO,7,13,0.088,0.055,0.004,0.72,45,38,0.009
MAYO,7,14,0.096,0.062,0.004,0.72,39,34,0.010
MAYO,7,15,0.094,0.071,0.004,0.65,39,32,0.010
MAYO,7,16,0.091,0.080,0.004,0.58,35,27,0.008
MAYO,7,17,0.092,0.086,0.004,0.56,32,26,0.008
MAYO,7,18,0.090,0.090,0.004,0.53,33,28,0.010
MAYO,7,19,0.079,0.090,0.004,0.54,33,25,0.015
MAYO,7,20,0.054,0.085,0.003,0.57,46,25,0.025
MAYO,7,21,0.055,0.081,0.002,0.61,55,26,0.023
MAYO,7,22,0.063,0.077,0.002,0.66,58,25,0.023
MAYO,7,23,0.063,0.073,0.002,0.68,58,27,0.019
MAYO,8,0,0.061,0.070,0.002,0.71,59,32,0.017
MAYO,8,1,0.070,0.067,0.002,0.71,67,34,0.011
MAYO,8,2,0.072,0.065,0.002,0.71,59,34,0.006
MAYO,8,3,0.069,0.063,0.002,0.69,50,33,0.006
MAYO,8,4,0.058,0.064,0.002,0.64,46,31,0.008
MAYO,8,5,NA,NA,0.002,0.60,45,29,0.009
MAYO,8,6,NA,NA,0.002,0.55,44,28,0.012
MAYO,8,7,NA,NA,0.002,0.53,46,29,0.018
MAYO,8,8,NA,NA,0.002,0.51,44,32,0.012
MAYO,8,9,NA,NA,0.002,0.52,46,33,0.012
MAYO,8,10,NA,NA,0.002,0.54,44,33,0.012
MAYO,8,11,NA,NA,0.002,0.55,41,31,0.010
