DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
MARZO,8,4,0.013,0.021,0.002,0.49,31,22,0.026
MARZO,8,5,0.013,0.021,0.002,0.41,33,22,0.036
MARZO,8,6,0.018,0.019,0.002,0.39,33,23,0.027
MARZO,8,7,0.013,0.017,0.002,0.41,31,22,0.033
MARZO,8,8,0.005,0.014,0.002,0.53,36,21,0.037
MARZO,8,9,0.012,0.013,0.002,0.61,41,20,0.026
MARZO,8,10,0.031,0.016,0.002,0.63,38,20,0.009
MARZO,8,11,0.044,0.019,0.002,0.64,32,21,0.005
MARZO,8,12,0.047,0.023,0.002,0.66,30,16,0.003
MARZO,8,13,0.049,0.028,0.002,0.67,29,14,0.004
MARZO,8,14,0.047,0.031,0.002,0.68,27,15,0.004
MARZO,8,15,0.044,0.035,0.002,0.67,27,17,0.004
MARZO,8,16,0.043,0.04,0.002,0.57,31,16,0.003
MARZO,8,17,0.044,0.044,0.002,0.51,38,16,0.003
MARZO,8,18,0.041,0.045,0.002,0.5,36,14,0.003
MARZO,8,19,0.032,0.044,0.002,0.52,37,13,0.009
MARZO,8,20,0.021,0.04,0.002,0.55,39,13,0.014
MARZO,8,21,0.027,0.037,0.002,0.56,36,21,0.009
MARZO,8,22,0.027,0.035,0.002,0.55,27,18,0.014
MARZO,8,23,0.02,0.032,0.002,0.55,24,17,0.014
MARZO,9,0,0.01,0.028,0.002,0.54,27,17,0.015
MARZO,9,1,0.009,0.023,0.002,0.53,28,18,0.013
MARZO,9,2,0.009,0.019,0.002,0.5,24,16,0.019
MARZO,9,3,0.006,0.016,0.002,0.46,20,15,0.03
MARZO,9,4,0.009,0.014,0.002,0.4,20,14,0.031
MARZO,9,5,0.013,0.013,0.002,0.39,21,17,0.022
MARZO,9,6,0.011,0.011,0.002,0.39,27,19,0.023
MARZO,9,7,0.016,0.01,0.002,0.45,29,19,0.029
MARZO,9,8,0.011,0.01,0.002,0.6,42,21,0.038
MARZO,9,9,0.022,0.012,0.002,0.64,53,25,0.027
MARZO,9,10,0.027,0.014,0.003,0.65,48,29,0.015
MARZO,9,11,0.037,0.018,0.005,0.66,47,29,0.008
MARZO,9,12,0.05,0.023,0.005,0.68,38,30,0.007
MARZO,9,13,0.057,0.029,0.005,0.68,30,25,0.004
MARZO,9,14,0.06,0.035,0.005,0.68,27,21,0.002
MARZO,9,15,0.054,0.04,0.005,0.61,28,17,0.004
MARZO,9,16,0.054,0.045,0.005,0.46,35,18,0.002
MARZO,9,17,0.053,0.049,0.005,0.44,45,20,0.003
MARZO,9,18,0.048,0.052,0.005,0.45,44,16,0.003
MARZO,9,19,0.037,0.052,0.005,0.48,42,16,0.006
MARZO,9,20,0.032,0.049,0.005,0.5,36,13,0.012
MARZO,9,21,0.036,0.047,0.005,0.52,35,11,0.009
MARZO,9,22,0.027,0.043,0.005,0.53,29,16,0.008
MARZO,9,23,0.022,0.039,0.005,0.54,28,16,0.015
MARZO,10,0,0.025,0.035,0.005,0.52,23,15,0.007
MARZO,10,1,0.031,0.032,0.005,0.5,21,13,0.011
MARZO,10,2,0.026,0.029,0.005,0.47,20,15,0.008
MARZO,10,3,0.027,0.028,0.005,0.41,19,17,0.02
MARZO,10,4,0.007,0.025,0.005,0.37,16,16,0.027
MARZO,10,5,0.006,0.021,0.005,0.33,17,14,0.033
MARZO,10,6,0.022,0.021,0.005,0.32,21,16,0.035
MARZO,10,7,0.013,0.02,0.005,0.37,25,15,0.032
MARZO,10,8,0.013,0.018,0.005,0.5,36,19,0.032
MARZO,10,9,0.011,0.016,0.006,0.68,44,22,0.034
MARZO,10,10,0.017,0.014,0.005,0.8,61,34,0.033
MARZO,10,11,0.035,0.015,0.003,0.84,49,34,0.012
MARZO,10,12,0.051,0.021,0.003,0.84,34,25,0.003
MARZO,10,13,0.051,0.027,0.003,0.85,24,15,0.003
MARZO,10,14,0.053,0.031,0.003,0.85,22,11,0.003
MARZO,10,15,0.055,0.036,0.003,0.79,24,11,0.003
MARZO,10,16,0.059,0.041,0.003,0.67,27,11,0.003
MARZO,10,17,0.059,0.047,0.003,0.51,48,14,0.003
MARZO,10,18,0.05,0.052,0.003,0.42,56,11,0.003
MARZO,10,19,0.038,0.052,0.003,0.41,47,11,0.005
MARZO,10,20,0.031,0.05,0.003,0.46,40,12,0.013
MARZO,10,21,0.03,0.047,0.003,0.48,33,11,0.011
MARZO,10,22,0.032,0.044,0.003,0.48,30,11,0.008
MARZO,10,23,0.032,0.041,0.003,0.47,24,12,0.006
MARZO,11,0,0.031,0.038,0.003,0.45,21,12,0.008
MARZO,11,1,0.028,0.034,0.003,0.44,22,12,0.019
MARZO,11,2,0.023,0.031,0.003,0.44,19,14,0.022
MARZO,11,3,0.007,0.027,0.003,0.42,20,12,0.011
MARZO,11,4,0.015,0.025,0.003,0.39,20,10,0.024
MARZO,11,5,0.018,0.023,0.003,0.36,22,14,0.036
MARZO,11,6,0.018,0.022,0.003,0.37,29,16,0.034
MARZO,11,7,0.017,0.02,0.003,0.48,33,22,0.037
MARZO,11,8,0.016,0.018,0.002,0.71,58,28,0.037
MARZO,11,9,0.017,0.016,0.002,0.78,59,37,0.031
MARZO,11,10,0.042,0.019,0.002,0.81,53,30,0.023
MARZO,11,11,0.052,0.024,0.002,0.83,46,27,0.008
MARZO,11,12,0.054,0.029,NA,0.9,42,17,0.005
MARZO,11,13,0.054,0.034,NA,0.91,37,NA,0.004
MARZO,11,14,0.054,0.038,NA,0.91,30,NA,0.004
MARZO,11,15,0.055,0.043,NA,0.81,40,NA,0.003
MARZO,11,16,0.055,0.048,NA,0.56,42,NA,0.002
MARZO,11,17,0.054,0.052,NA,0.48,38,NA,0.002
MARZO,11,18,0.049,0.053,NA,0.47,32,NA,0.004
MARZO,11,19,0.033,0.051,NA,0.47,33,NA,0.012
MARZO,11,20,0.015,0.046,NA,0.53,33,NA,0.025
MARZO,11,21,0.013,0.041,NA,0.59,38,NA,0.026
MARZO,11,22,0.019,0.037,NA,0.64,43,NA,0.03
MARZO,11,23,0.017,0.032,NA,0.67,41,NA,0.014
MARZO,12,0,0.005,0.026,NA,0.74,39,NA,0.035
MARZO,12,1,0.006,0.02,NA,0.83,44,23,0.04
MARZO,12,2,0.007,0.014,NA,0.88,49,25,0.033
MARZO,12,3,0.008,0.011,NA,0.9,47,30,0.034
MARZO,12,4,0.008,0.01,NA,0.86,50,31,0.032
MARZO,12,5,0.018,0.011,NA,0.81,51,31,0.032
MARZO,12,6,0.005,0.009,NA,0.77,50,31,0.031
MARZO,12,7,0.022,0.01,NA,0.73,45,29,0.03
MARZO,12,8,0.035,0.014,NA,0.73,40,30,0.015
MARZO,12,9,0.045,0.018,NA,0.74,36,27,0.011
MARZO,12,10,0.052,0.024,NA,0.67,46,27,0.01
MARZO,12,11,0.055,0.03,NA,0.63,59,28,0.013
MARZO,12,12,0.06,0.037,0.013,0.59,60,31,0.012
MARZO,12,13,0.065,0.043,0.014,0.55,50,28,0.014
MARZO,12,14,0.073,0.051,0.014,0.54,45,28,0.013
MARZO,12,15,0.072,0.057,0.015,0.55,39,25,0.012
MARZO,12,16,0.067,0.061,0.016,0.51,42,24,0.013
MARZO,12,17,0.067,0.064,0.017,0.42,46,22,0.011
MARZO,12,18,0.066,0.066,0.018,0.42,53,18,0.011
MARZO,12,19,0.052,0.065,0.018,0.41,119,16,0.011
MARZO,12,20,0.041,0.063,0.021,0.41,NA,14,0.012
MARZO,12,21,0.038,0.059,0.024,0.41,NA,17,0.012
MARZO,12,22,0.038,0.055,0.029,0.41,NA,17,0.009
MARZO,12,23,0.04,0.051,0.037,0.4,NA,18,0.005
MARZO,13,0,0.04,0.048,NA,0.36,NA,11,0.003
MARZO,13,1,0.038,0.044,NA,0.34,NA,NA,0.003
MARZO,13,2,0.033,0.04,NA,0.33,NA,NA,0.003
MARZO,13,3,0.033,0.038,NA,0.33,NA,NA,NA
MARZO,13,4,0.029,0.036,NA,0.33,NA,NA,NA
MARZO,13,5,0.029,0.035,NA,0.33,NA,NA,0.006
MARZO,13,6,0.03,0.034,NA,0.32,NA,NA,0.007
MARZO,13,7,0.025,0.032,NA,0.32,NA,NA,0.014
MARZO,13,8,0.026,0.03,NA,0.32,21,NA,0.018
MARZO,13,9,0.029,0.029,NA,0.33,20,NA,0.016
MARZO,13,10,0.034,0.029,NA,0.35,26,NA,0.014
MARZO,13,11,0.043,0.031,NA,0.37,38,NA,0.012
MARZO,13,12,0.073,0.036,NA,0.41,44,NA,0.011
MARZO,13,13,0.069,0.041,NA,0.46,42,35,0.004
MARZO,13,14,0.059,0.045,NA,0.49,33,27,0.003
MARZO,13,15,0.061,0.049,NA,0.52,28,25,0.003
MARZO,13,16,0.063,0.054,NA,0.53,26,21,0.002
MARZO,13,17,0.061,0.058,NA,0.54,27,18,0.002
MARZO,13,18,0.059,0.061,NA,0.55,27,19,0.002
MARZO,13,19,0.05,0.062,NA,0.56,28,19,0.006
MARZO,13,20,0.03,0.057,NA,0.57,33,16,0.009
MARZO,13,21,0.035,0.052,NA,0.56,31,17,0.009
MARZO,13,22,0.039,0.05,NA,0.55,29,21,0.008
MARZO,13,23,0.029,0.046,NA,0.56,26,17,0.01
MARZO,14,0,0.032,0.042,0.023,0.55,25,15,0.006
MARZO,14,1,0.024,0.037,0.018,0.54,28,14,0.008
MARZO,14,2,0.017,0.032,0.017,0.53,26,14,0.02
MARZO,14,3,0.015,0.028,0.017,0.51,26,18,0.017
MARZO,14,4,0.013,0.025,0.017,0.47,26,18,0.012
MARZO,14,5,0.01,0.022,0.016,0.45,27,17,0.018
MARZO,14,6,0.008,0.018,0.016,0.44,29,20,0.024
MARZO,14,7,0.004,0.015,0.016,0.5,32,23,0.038
MARZO,14,8,0.005,0.012,0.015,0.61,38,26,0.043
MARZO,14,9,0.013,0.011,0.015,0.71,41,29,0.039
MARZO,14,10,0.034,0.013,0.013,0.75,45,27,0.008
MARZO,14,11,0.044,0.017,0.008,0.76,34,22,0.004
MARZO,14,12,0.054,0.022,0.004,0.78,28,20,0.005
MARZO,14,13,0.054,0.027,0.002,0.8,24,17,0.005
MARZO,14,14,0.059,0.034,0.002,0.81,27,14,0.002
MARZO,14,15,0.063,0.041,0.002,0.75,27,18,0.002
MARZO,14,16,0.07,0.049,0.002,0.65,28,17,0.003
MARZO,14,17,0.074,0.056,0.002,0.56,25,19,0.003
MARZO,14,18,0.066,0.06,0.002,0.54,24,20,0.003
MARZO,14,19,0.039,0.06,0.002,0.56,26,17,0.015
MARZO,14,20,0.017,0.055,0.002,0.65,31,15,0.036
MARZO,14,21,0.016,0.05,0.002,0.73,37,17,0.029
MARZO,14,22,0.018,0.045,0.002,0.76,42,20,0.027
MARZO,14,23,0.014,0.039,0.002,0.81,46,21,0.032
MARZO,15,0,0.028,0.034,0.002,0.83,51,28,0.04
MARZO,15,1,0.02,0.027,0.002,0.84,50,27,0.035
MARZO,15,2,0.019,0.021,0.002,0.83,50,27,0.021
MARZO,15,3,0.009,0.018,0.002,0.79,47,28,0.024
MARZO,15,4,0.009,0.017,0.002,0.69,46,30,0.018
MARZO,15,5,0.017,0.017,0.002,0.59,42,27,0.012
MARZO,15,6,0.007,0.015,0.002,0.54,39,23,0.024
MARZO,15,7,0.008,0.015,0.002,0.54,42,23,0.038
MARZO,15,8,NA,NA,0.002,0.63,48,24,0.037
MARZO,15,9,NA,NA,0.003,0.67,52,33,0.04
MARZO,15,10,NA,NA,0.003,0.71,53,33,0.024
MARZO,15,11,NA,NA,0.004,0.71,48,34,0.014
MARZO,15,12,NA,NA,0.005,0.72,41,30,0.012
MARZO,15,13,NA,NA,0.006,0.72,42,27,0.018
MARZO,15,14,NA,NA,0.006,0.72,43,23,0.022
MARZO,15,15,NA,NA,0.007,0.67,44,25,0.014
MARZO,15,16,NA,NA,0.007,0.55,43,27,0.01
MARZO,15,17,NA,NA,0.007,0.51,39,26,0.008
MARZO,15,18,0.06,NA,0.007,0.5,37,25,0.004
MARZO,15,19,0.058,NA,0.008,0.53,35,24,0.006
MARZO,15,20,0.05,NA,0.008,0.54,35,20,0.024
MARZO,15,21,0.044,NA,0.01,0.68,38,16,0.014
MARZO,15,22,0.04,NA,0.013,0.87,38,15,0.01
MARZO,15,23,0.043,NA,0.022,0.96,37,14,0.008
MARZO,16,0,0.037,NA,0.03,1.03,32,17,NA
MARZO,16,1,0.035,0.046,0.038,1.01,35,18,NA
MARZO,16,2,0.04,0.043,0.045,1.02,33,17,NA
MARZO,16,3,0.033,0.04,0.048,0.99,31,19,NA
MARZO,16,4,0.037,0.039,0.049,0.94,27,19,NA
MARZO,16,5,0.032,0.037,0.05,0.78,26,20,0.013
MARZO,16,6,0.029,0.036,0.051,0.56,27,20,0.012
MARZO,16,7,0.027,0.034,0.051,0.45,28,21,0.03
MARZO,16,8,0.021,0.032,0.052,0.37,31,20,0.03
MARZO,16,9,0.029,0.031,0.052,0.38,34,20,0.025
MARZO,16,10,0.036,0.031,0.054,0.33,39,20,0.021
MARZO,16,11,0.046,0.032,0.054,0.34,46,28,0.019
