DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2022,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ENERO,2,11,0.0339,0.0101,0.0054,0.7592,50,42,NA
ENERO,2,12,0.0472,0.0154,0.0098,0.8536,61,47,NA
ENERO,2,13,0.0605,0.0225,0.0132,0.9566,61,46,NA
ENERO,2,14,0.0589,0.0295,0.0147,1.0003,55,47,NA
ENERO,2,15,0.0475,0.0347,0.0150,0.9661,35,39,NA
ENERO,2,16,0.0499,0.0405,0.0150,0.8816,21,22,NA
ENERO,2,17,0.0486,0.0456,NA,0.8300,19,15,NA
ENERO,2,18,0.0414,0.0485,NA,0.8213,18,12,NA
ENERO,2,19,0.0256,0.0474,NA,0.8141,29,11,NA
ENERO,2,20,0.0362,0.0461,NA,0.6779,41,17,NA
ENERO,2,21,0.0371,0.0431,NA,0.5416,46,18,NA
ENERO,2,22,0.0326,0.0399,NA,0.4565,63,23,NA
ENERO,2,23,0.0351,0.0383,NA,0.4631,63,27,NA
ENERO,3,0,0.0300,0.0358,NA,0.7758,58,24,NA
ENERO,3,1,0.0307,0.0336,NA,1.0126,55,25,NA
ENERO,3,2,0.0320,0.0324,NA,1.1511,44,25,NA
ENERO,3,3,0.0302,0.0330,NA,1.3949,37,23,NA
ENERO,3,4,0.0336,0.0326,NA,1.5109,32,23,NA
ENERO,3,5,0.0337,0.0322,NA,1.6303,28,23,NA
ENERO,3,6,0.0358,0.0326,NA,1.6717,24,21,NA
ENERO,3,7,0.0314,0.0322,NA,1.7305,24,15,NA
ENERO,3,8,0.0254,0.0316,NA,1.4626,26,16,NA
ENERO,3,9,0.0322,0.0318,NA,1.2184,29,23,NA
ENERO,3,10,0.0369,0.0324,NA,1.0525,27,19,NA
ENERO,3,11,0.0378,0.0333,NA,0.7538,33,20,NA
ENERO,3,12,0.0409,0.0343,NA,0.6427,38,26,NA
ENERO,3,13,0.0478,0.0360,NA,0.5302,38,26,NA
ENERO,3,14,0.0565,0.0386,NA,0.5044,39,29,NA
ENERO,3,15,0.0730,0.0438,NA,0.4548,36,30,NA
ENERO,3,16,0.0751,0.0500,NA,0.4543,43,30,NA
ENERO,3,17,0.0734,0.0552,NA,0.5019,47,33,NA
ENERO,3,18,0.0569,0.0577,0.0368,0.5633,47,34,NA
ENERO,3,19,0.0358,0.0574,0.0372,0.6976,51,30,NA
ENERO,3,20,0.0150,0.0542,0.0377,0.9087,65,34,NA
ENERO,3,21,0.0058,0.0489,0.0355,1.1091,81,41,NA
ENERO,3,22,NA,NA,0.0346,1.2909,91,47,NA
ENERO,3,23,0.0061,NA,0.0307,1.3798,109,52,NA
ENERO,4,0,0.0127,NA,0.0293,1.3822,106,61,NA
ENERO,4,1,0.0149,NA,0.0271,1.3587,87,52,NA
ENERO,4,2,0.0124,NA,0.0278,1.3257,80,43,NA
ENERO,4,3,0.0072,NA,0.0289,1.2112,81,43,NA
ENERO,4,4,0.0041,NA,0.0290,1.0260,69,47,NA
ENERO,4,5,0.0043,NA,0.0291,0.8288,59,44,NA
ENERO,4,6,0.0046,0.0083,0.0305,0.6533,54,38,NA
ENERO,4,7,0.0053,0.0082,0.0329,0.5744,56,40,NA
ENERO,4,8,0.0050,0.0072,0.0320,0.5839,60,42,NA
ENERO,4,9,0.0076,0.0063,0.0303,0.6210,56,38,NA
ENERO,4,10,0.0125,0.0063,0.0305,0.6524,62,41,NA
ENERO,4,11,0.0290,0.0091,0.0288,0.6672,65,48,NA
ENERO,4,12,0.0499,0.0148,0.0271,0.6803,63,45,NA
ENERO,4,13,0.0614,0.0219,0.0257,0.7098,60,45,NA
ENERO,4,14,0.0666,0.0297,0.0251,0.7007,47,41,NA
ENERO,4,15,0.0675,0.0374,0.0237,0.6760,33,31,NA
ENERO,4,16,0.0708,0.0457,0.0230,0.6390,26,24,NA
ENERO,4,17,0.0776,0.0544,0.0227,0.6071,31,22,NA
ENERO,4,18,0.0690,0.0615,0.0223,0.5965,33,27,NA
ENERO,4,19,0.0193,0.0603,0.0221,0.9427,44,25,NA
ENERO,4,20,0.0046,0.0546,0.0217,1.4196,66,34,NA
ENERO,4,21,0.0031,0.0473,0.0217,1.8836,91,36,NA
ENERO,4,22,0.0039,0.0395,0.0215,2.2760,126,53,NA
ENERO,4,23,0.0052,0.0317,0.0211,2.4118,117,57,NA
ENERO,5,0,0.0048,0.0234,0.0206,2.4743,110,56,NA
ENERO,5,1,0.0054,0.0144,0.0205,2.5137,107,56,NA
ENERO,5,2,0.0055,0.0065,0.0190,2.5534,102,56,NA
ENERO,5,3,0.0037,0.0045,0.0162,2.2148,92,60,NA
ENERO,5,4,0.0043,0.0045,0.0156,1.7488,87,53,NA
ENERO,5,5,0.0048,0.0047,0.0151,1.2828,79,51,NA
ENERO,5,6,0.0120,0.0057,0.0151,0.9048,72,48,NA
ENERO,5,7,0.0059,0.0058,0.0125,0.8006,81,48,NA
ENERO,5,8,0.0049,0.0058,0.0112,0.7987,81,70,NA
ENERO,5,9,0.0109,0.0065,0.0100,0.8112,77,62,NA
ENERO,5,10,0.0264,0.0091,0.0081,0.7822,73,60,NA
ENERO,5,11,0.0511,0.0150,0.0078,0.7786,62,51,NA
ENERO,5,12,0.0691,0.0231,0.0075,0.7626,55,46,NA
ENERO,5,13,0.0724,0.0316,0.0073,0.7568,42,39,NA
ENERO,5,14,0.0605,0.0376,0.0072,0.7582,35,31,NA
ENERO,5,15,0.0549,0.0437,0.0072,0.7431,32,27,NA
ENERO,5,16,0.0500,0.0494,0.0071,0.6994,29,25,NA
ENERO,5,17,0.0520,0.0545,0.0071,0.6548,33,24,NA
ENERO,5,18,0.0524,0.0578,0.0071,0.6502,38,24,NA
ENERO,5,19,0.0136,0.0531,0.0069,0.7491,40,27,NA
ENERO,5,20,0.0109,0.0458,0.0067,0.8947,52,25,NA
ENERO,5,21,0.0116,0.0382,0.0063,0.9814,63,35,NA
ENERO,5,22,0.0099,0.0319,0.0061,1.1285,73,37,NA
ENERO,5,23,0.0096,0.0262,0.0060,1.2516,73,37,NA
ENERO,6,0,0.0099,0.0212,0.0059,1.2929,68,33,NA
ENERO,6,1,0.0051,0.0154,0.0058,1.3422,62,39,NA
ENERO,6,2,NA,NA,0.0058,1.3726,62,37,NA
ENERO,6,3,0.0030,NA,0.0055,1.2784,59,35,NA
ENERO,6,4,0.0028,NA,0.0053,1.1302,57,34,NA
ENERO,6,5,0.0011,NA,0.0051,1.0374,54,34,NA
ENERO,6,6,0.0047,NA,0.0035,0.8970,50,32,NA
