DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
ABRIL,8,20,0.0415,0.0070,1.406,41,26.03,2.57,257.46,15.57
ABRIL,8,21,0.0332,0.0072,1.307,48,24.51,2.88,247.98,16.93
ABRIL,8,22,0.0375,0.0071,1.142,40,23.21,3.44,234.82,19.16
ABRIL,8,23,0.0288,0.0076,1.180,51,21.51,2.52,189.38,23.64
ABRIL,9,0,0.0274,0.0077,1.180,37,19.94,1.72,166.12,26.86
ABRIL,9,1,0.0163,0.0084,1.227,28,18.40,1.43,245.73,28.41
ABRIL,9,2,0.0160,0.0086,1.255,37,18.12,1.79,214.08,30.58
ABRIL,9,3,0.0123,0.0094,1.183,26,17.25,1.45,249.81,31.18
ABRIL,9,4,0.0187,0.0075,1.157,26,16.34,1.30,157.69,32.13
ABRIL,9,5,0.0068,0.0101,1.342,35,15.35,1.48,92.33,36.21
ABRIL,9,6,0.0076,0.0113,1.429,33,14.75,1.60,257.14,36.17
ABRIL,9,7,0.0031,0.0118,1.892,50,14.44,1.36,178.38,37.56
ABRIL,9,8,0.0028,0.0147,2.190,41,17.18,1.47,109.11,36.80
ABRIL,9,9,0.0046,0.0166,1.875,55,22.09,1.45,143.66,29.51
ABRIL,9,10,0.0272,0.0144,1.397,48,25.51,1.94,210.70,24.74
ABRIL,9,11,0.0448,0.0094,1.161,36,27.48,2.33,254.78,21.19
ABRIL,9,12,0.0492,0.0078,1.135,22,28.83,3.08,260.87,15.89
ABRIL,9,13,0.0517,0.0074,1.129,25,29.40,4.60,281.40,14.60
ABRIL,9,14,0.0547,0.0068,1.077,21,29.92,4.52,252.45,13.85
ABRIL,9,15,0.0556,0.0067,1.068,14,30.60,4.73,255.35,12.57
ABRIL,9,16,0.0556,0.0065,1.060,19,30.91,4.51,263.28,11.70
ABRIL,9,17,0.0565,0.0064,1.061,35,30.81,4.48,263.33,11.84
ABRIL,9,18,0.0541,0.0063,1.066,37,30.12,4.37,258.92,11.89
ABRIL,9,19,0.0467,0.0059,1.185,27,28.45,3.81,274.77,12.11
ABRIL,9,20,0.0402,0.0065,1.233,36,25.80,3.50,252.03,16.05
ABRIL,9,21,0.0368,0.0069,1.223,53,24.28,3.61,245.17,17.61
ABRIL,9,22,0.0380,0.0071,1.367,47,22.85,3.87,243.62,18.85
ABRIL,9,23,0.0344,0.0067,1.311,58,21.10,3.10,266.50,21.86
ABRIL,10,0,0.0311,0.0066,1.245,41,20.14,2.31,268.29,23.94
ABRIL,10,1,0.0272,0.0070,1.210,38,19.09,2.01,280.39,26.26
ABRIL,10,2,0.0224,0.0082,1.214,29,17.69,1.92,212.50,28.28
ABRIL,10,3,0.0294,0.0083,1.109,33,16.89,2.21,234.48,30.65
ABRIL,10,4,0.0280,0.0080,1.118,31,16.09,2.28,263.57,32.10
ABRIL,10,5,0.0193,0.0083,1.165,27,15.03,1.78,273.68,33.91
ABRIL,10,6,0.0127,0.0083,1.336,34,14.05,1.42,225.73,35.19
ABRIL,10,7,0.0045,0.0087,1.650,44,13.92,1.46,239.05,37.21
ABRIL,10,8,0.0062,0.0090,1.766,41,19.13,1.13,230.02,32.59
ABRIL,10,9,0.0217,0.0089,1.316,33,22.42,2.05,259.78,27.42
ABRIL,10,10,0.0336,0.0088,1.248,29,25.07,2.33,272.56,22.61
ABRIL,10,11,0.0432,0.0081,1.112,19,26.25,3.61,262.20,19.92
ABRIL,10,12,0.0432,0.0075,1.116,16,27.74,4.05,280.69,15.85
ABRIL,10,13,0.0469,0.0072,1.115,15,28.83,3.98,278.99,14.24
ABRIL,10,14,0.0530,0.0071,1.080,7,29.75,4.06,248.48,13.56
ABRIL,10,15,0.0527,0.0072,1.078,18,30.67,4.20,245.70,11.38
ABRIL,10,16,0.0524,0.0068,1.056,30,30.98,4.07,258.00,9.87
ABRIL,10,17,0.0510,0.0067,1.096,22,30.89,4.06,286.01,9.59
ABRIL,10,18,0.0493,0.0066,1.120,35,30.36,3.75,281.65,9.68
ABRIL,10,19,0.0452,0.0070,1.261,36,28.69,3.26,281.48,10.22
ABRIL,10,20,0.0300,0.0074,1.564,47,25.85,2.17,247.03,11.71
ABRIL,10,21,0.0299,0.0076,1.445,49,24.09,2.24,237.28,13.33
ABRIL,10,22,0.0325,0.0076,1.229,53,23.11,3.14,233.84,14.79
ABRIL,10,23,0.0345,0.0080,1.192,44,21.73,3.53,258.48,19.42
ABRIL,11,0,0.0245,0.0076,1.278,23,19.61,2.65,305.57,21.31
ABRIL,11,1,0.0225,0.0078,1.297,19,18.35,1.72,238.75,22.17
ABRIL,11,2,0.0149,0.0085,1.422,35,17.22,1.77,229.40,23.54
ABRIL,11,3,0.0205,0.0083,1.322,29,16.94,1.38,258.69,24.87
ABRIL,11,4,0.0226,0.0082,1.295,29,16.18,1.41,248.52,26.60
ABRIL,11,5,0.0223,0.0082,1.309,32,15.47,1.25,237.46,29.45
ABRIL,11,6,0.0196,0.0085,1.402,43,14.76,1.12,242.54,31.65
ABRIL,11,7,0.0093,0.0092,1.596,51,14.52,1.30,120.04,39.60
ABRIL,11,8,0.0085,0.0111,1.791,57,18.24,1.30,70.92,35.44
ABRIL,11,9,0.0243,0.0143,1.648,50,22.95,1.64,226.86,27.28
ABRIL,11,10,0.0370,0.0111,1.226,47,25.42,2.65,263.81,23.15
ABRIL,11,11,0.0412,0.0099,1.116,27,26.64,2.28,202.27,23.14
ABRIL,11,12,0.0435,0.0093,1.156,17,28.35,2.71,252.20,19.42
ABRIL,11,13,0.0483,0.0087,1.149,30,29.34,3.18,261.99,16.16
ABRIL,11,14,0.0505,0.0083,1.113,35,30.33,3.40,251.92,13.44
ABRIL,11,15,0.0527,0.0081,1.088,71,31.30,3.16,230.49,11.22
ABRIL,11,16,0.0546,0.0080,1.099,55,31.82,3.29,249.85,11.14
ABRIL,11,17,0.0559,0.0083,1.121,88,31.39,3.63,265.72,11.97
ABRIL,11,18,0.0544,0.0083,1.201,73,30.59,3.79,267.16,12.45
ABRIL,11,19,0.0509,0.0083,1.202,42,28.45,3.47,266.06,13.80
ABRIL,11,20,0.0409,0.0086,1.286,41,27.13,3.50,255.64,14.64
ABRIL,11,21,0.0413,0.0087,1.140,50,26.17,4.36,239.09,15.33
ABRIL,11,22,0.0372,0.0083,1.193,66,24.00,3.11,221.17,18.65
ABRIL,11,23,0.0354,0.0083,1.128,108,22.23,3.44,236.81,22.00
ABRIL,12,0,0.0376,0.0079,1.128,72,21.48,3.48,238.26,23.83
ABRIL,12,1,0.0293,0.0077,1.116,34,19.71,2.51,272.82,26.28
ABRIL,12,2,0.0287,0.0063,1.149,30,18.49,1.78,266.50,28.43
ABRIL,12,3,0.0276,0.0061,1.147,33,17.59,1.94,234.95,30.24
ABRIL,12,4,0.0267,0.0061,1.152,27,16.68,1.90,263.90,31.87
ABRIL,12,5,0.0272,0.0061,1.215,32,15.75,1.52,257.26,33.62
ABRIL,12,6,0.0243,0.0062,1.312,26,15.04,1.52,249.01,35.57
ABRIL,12,7,0.0065,0.0065,1.739,32,14.50,1.48,197.64,38.46
ABRIL,12,8,0.0036,0.0093,2.099,18,17.78,1.31,136.83,37.40
ABRIL,12,9,0.0219,0.0080,1.414,23,22.38,2.09,272.07,31.02
ABRIL,12,10,0.0355,0.0074,1.194,NA,24.87,2.32,254.59,26.76
ABRIL,12,11,0.0408,0.0068,1.161,NA,27.09,2.35,257.50,23.20
