DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MAYO,3,20,0.0315,0.0065,1.35,56,25.03,3.28,260.52,10.48
MAYO,3,21,0.0274,0.0069,1.352,69,23.04,2.98,221.39,12.52
MAYO,3,22,0.0261,0.0067,1.257,67,21.61,3.22,227,14.34
MAYO,3,23,0.025,0.0067,1.221,46,19.99,2.49,225.1,17.34
MAYO,4,0,0.0236,0.0068,1.254,61,18.1,2.04,218.06,22.03
MAYO,4,1,0.0257,0.0069,1.257,64,16.88,2.1,250.36,26.11
MAYO,4,2,0.0219,0.007,1.284,54,16.55,2.19,300.86,27.60
MAYO,4,3,0.0191,0.008,1.354,54,15.74,2.29,287.9,30.04
MAYO,4,4,0.0228,0.0075,1.364,60,15.03,2.42,268.29,32.75
MAYO,4,5,0.0199,0.0077,1.357,63,14.49,2.46,277.79,32.84
MAYO,4,6,0.0102,0.009,1.504,63,13.23,1.98,244.55,34.68
MAYO,4,7,0.0098,0.0075,1.772,83,13.43,1.9,257.16,39.91
MAYO,4,8,0.0152,0.0077,1.645,89,17.65,2.23,264.87,37.55
MAYO,4,9,0.027,0.008,1.419,79,20.89,2.83,247.08,29.68
MAYO,4,10,0.0339,0.0078,1.297,50,23.21,2.75,256.05,26.39
MAYO,4,11,0.0391,0.0078,1.338,40,25.26,2.49,247.07,22.79
MAYO,4,12,0.042,0.0074,1.246,43,26.76,2.32,215.17,19.85
MAYO,4,13,0.0424,0.0074,1.291,42,27.51,2.68,218.23,16.43
MAYO,4,14,0.0443,0.0068,1.226,35,28.61,2.36,183.48,12.95
MAYO,4,15,0.0477,0.0092,1.274,40,29.35,2.85,170.3,12.62
MAYO,4,16,0.051,0.0085,1.237,42,30.06,2.26,147.27,11.69
MAYO,4,17,0.0509,0.0082,1.215,44,30.34,2.69,231.4,11.14
MAYO,4,18,0.0491,0.0074,1.298,48,29.54,2.91,220.12,11.65
MAYO,4,19,0.0457,0.0071,1.427,45,27.77,3.65,285.98,12.38
MAYO,4,20,0.0331,0.007,1.663,54,25.54,2.84,317.38,12.60
MAYO,4,21,0.0178,0.0074,1.916,66,23.95,2.11,305.39,12.32
MAYO,4,22,0.0127,0.0087,1.9,101,22.34,2.31,215.97,13.18
MAYO,4,23,0.0252,0.014,1.338,96,21.45,2.63,165.82,14.85
MAYO,5,0,0.0168,0.0108,1.247,83,19.53,1.79,145.98,21.58
MAYO,5,1,0.0123,0.0113,1.262,72,18.68,1.75,148.38,23.06
MAYO,5,2,0.009,0.0274,1.275,75,17.92,1.54,82.23,25.09
MAYO,5,3,0.0041,0.0254,1.327,69,16.97,1.6,258.41,26.90
MAYO,5,4,0.0066,0.0268,1.342,67,17.4,1.51,168.36,29.92
MAYO,5,5,0.0102,0.0181,1.414,82,17.2,1.93,159.32,41.74
MAYO,5,6,0.0202,0.0103,1.468,71,17.24,1.81,114.4,60.54
MAYO,5,7,0.0202,0.0103,1.432,73,17.27,2.16,130.96,63.43
MAYO,5,8,0.0112,0.0186,1.821,102,20.22,1.46,183.98,54.58
MAYO,5,9,0.0239,0.0166,1.457,101,22.8,3.81,114.67,51.51
MAYO,5,10,0.0358,0.0116,1.412,100,23.71,5.84,89.51,46.97
MAYO,5,11,0.0429,0.0119,1.373,109,25.17,5.55,88.35,40.21
MAYO,5,12,0.046,0.0157,1.356,79,26.56,4.8,86.83,34.11
MAYO,5,13,0.0505,0.013,1.356,69,28.06,4.18,80.25,28.79
MAYO,5,14,0.0536,0.0119,1.362,65,29.65,3.56,90.43,25.62
MAYO,5,15,0.0557,0.0111,1.33,66,30.9,3.28,117.67,21.83
MAYO,5,16,0.0563,0.0098,1.295,64,31.78,2.62,140.34,19.27
MAYO,5,17,0.0522,0.0112,1.297,62,31.72,3.52,124.62,20.95
MAYO,5,18,0.0379,0.0208,1.302,82,27.59,6.37,54.8,28.09
MAYO,5,19,0.0322,0.0273,1.353,191,22.45,6.51,73.33,44.60
MAYO,5,20,0.0322,0.0205,1.335,139,19.74,4.41,117.29,53.13
MAYO,5,21,0.0328,0.0192,1.395,59,17.53,3.89,156.61,65.72
MAYO,5,22,0.0281,0.0167,1.344,46,15.25,2.81,167.43,78.58
MAYO,5,23,0.0254,0.0134,1.336,28,15.84,2.5,283.19,82.45
MAYO,6,0,0.0224,0.0121,1.265,28,16.36,2.7,249.17,77.56
MAYO,6,1,0.0272,0.0116,1.253,26,16.93,2.01,95.66,71.79
MAYO,6,2,0.018,0.0121,1.322,45,16.37,2.64,158.95,74.07
MAYO,6,3,0.0143,0.013,1.282,40,15.55,2.25,132.84,80.42
MAYO,6,4,0.0114,0.0115,1.289,37,15.69,3.34,85.74,78.23
MAYO,6,5,0.0108,0.0105,1.323,40,15.35,2.11,127.26,78.27
MAYO,6,6,0.0109,0.0095,1.425,39,15.01,2.57,115.48,79.50
MAYO,6,7,0.0076,0.0094,1.489,44,15.25,2.32,105.6,79.57
MAYO,6,8,0.0112,0.0089,1.504,50,17.7,3.07,86.23,72.95
MAYO,6,9,0.0167,0.0099,1.447,56,20.64,3.68,88.66,61.31
