DATOS HORARIOS 2021_NATIVITAS,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR,RADSOL
OCTUBRE,5,19,0.0279,0.0082,NA,0.781,20,20.35,4.71,52.7,58.63,11.49
OCTUBRE,5,20,0.0265,0.0076,NA,0.7608,17,19.37,4.86,62.8,61.48,2.58
OCTUBRE,5,21,0.0271,0.0055,NA,0.7045,15,18.49,5.2,70.39,64.83,4.38
OCTUBRE,5,22,0.0238,0.0047,NA,0.7306,9,17.81,3.05,83.37,67.48,2.67
OCTUBRE,5,23,0.0248,0.0043,NA,0.6861,9,17.07,3.1,88.72,71.31,2.71
OCTUBRE,6,0,0.0255,0.0041,NA,0.6636,NA,16.46,3.31,72.65,74.17,2.70
OCTUBRE,6,1,0.0224,0.0043,NA,0.6544,NA,16.54,3.56,72.97,73.20,2.76
OCTUBRE,6,2,0.0262,0.0045,NA,0.6538,10,16.41,3.84,64.27,73.53,4.36
OCTUBRE,6,3,0.0266,0.0046,NA,0.6454,8,16.23,3.14,75.19,74.23,6.22
OCTUBRE,6,4,0.0257,0.0045,NA,0.6548,9,15.99,3.63,68.27,75.00,6.22
OCTUBRE,6,5,0.0236,0.0045,NA,0.6631,10,15.62,3.02,81.99,77.30,2.78
OCTUBRE,6,6,0.0146,0.0045,NA,0.7822,11,15.16,2.86,101.21,81.67,2.82
OCTUBRE,6,7,0.0125,0.0045,NA,0.8533,18,14.92,2.7,91.95,83.91,9.24
OCTUBRE,6,8,0.0175,0.0045,NA,0.7994,24,17.2,3.07,102.26,77.30,194.07
OCTUBRE,6,9,0.0265,0.0045,NA,0.767,18,19.27,4.33,84.32,66.35,368.45
OCTUBRE,6,10,0.0336,0.0045,NA,0.7408,13,20.81,4.9,81.26,58.22,588.73
OCTUBRE,6,11,0.0387,0.0044,NA,0.7616,14,21.75,5.49,86.93,54.46,756.97
OCTUBRE,6,12,0.0434,0.0044,NA,0.7865,15,22.9,4.81,84.43,51.41,674.85
OCTUBRE,6,13,0.0466,0.0044,NA,0.7821,15,22.81,4.88,71.1,51.04,502.16
OCTUBRE,6,14,0.0491,0.0045,NA,0.7717,13,23.62,4.52,72.3,48.52,571.58
OCTUBRE,6,15,0.0446,0.0049,NA,0.7791,18,24.66,4.14,67.54,43.97,661.74
OCTUBRE,6,16,0.0414,0.0125,NA,0.8738,21,24.65,3.77,65.39,43.49,350.35
OCTUBRE,6,17,0.0387,0.0075,NA,0.8343,16,23.64,3.73,61.42,46.32,177.69
OCTUBRE,6,18,0.0363,0.0092,NA,0.8793,14,22.91,4.19,55.3,48.09,78.11
OCTUBRE,6,19,0.0328,0.0109,NA,0.8639,22,21.72,3.75,51.22,52.30,6.02
OCTUBRE,6,20,0.0284,0.0142,NA,0.857,20,20.6,3.88,76.17,57.89,2.49
OCTUBRE,6,21,0.0281,0.0079,NA,0.7666,45,19.53,4.07,61.13,61.91,2.59
OCTUBRE,6,22,0.0255,0.0102,NA,0.7729,29,18.11,3.09,69.47,66.97,2.66
OCTUBRE,6,23,0.0280,0.006,NA,0.7035,12,16.7,3.24,89.82,70.72,2.69
OCTUBRE,7,0,0.0301,0.0052,NA,0.6974,11,16.15,3.09,88.42,71.57,2.78
OCTUBRE,7,1,0.0307,0.0048,NA,0.6769,NA,15.38,3.66,80.56,73.64,2.78
OCTUBRE,7,2,0.0291,0.0048,NA,0.6692,8,14.69,3.27,85.4,74.81,2.86
OCTUBRE,7,3,0.0288,0.0048,NA,0.6616,7,14.55,3.57,82.33,73.65,4.88
OCTUBRE,7,4,0.0284,0.0045,NA,0.6568,13,14.11,3.47,93.07,74.93,2.82
