DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
SEP,6,4,15.39,NA,27.37875,36.27041667,7.04125,0.2575
SEP,6,5,15.79,NA,27.56083333,37.67125,6.6075,0.245
SEP,6,6,17.51,NA,27.55333333,38.10791667,6.32625,0.25375
SEP,6,7,17.36,NA,27.91291667,38.49125,6.195,0.285
SEP,6,8,16,NA,27.48166667,39.41791667,6.2,0.31625
SEP,6,9,14.59,NA,27.59,40.19416667,6.1275,0.345
SEP,6,10,11.53,NA,26.41916667,40.13708333,6.25375,0.38375
SEP,6,11,11.68,NA,26.37416667,40.17791667,6.84125,0.3875
SEP,6,12,14.63,NA,26.8625,40.71,7.91375,0.4
SEP,6,13,17.06,20.75833333,27.9275,40.91375,9.31625,0.4225
SEP,6,14,15.56,21.01277778,28.78958333,41.07375,10.4925,0.4325
SEP,6,15,23.93,NA,28.75208333,40.7975,11.12375,0.445
SEP,6,16,17.3,21.51277778,29.80958333,42.43375,12.1275,0.4325
SEP,6,17,18.71,21.99,31.15166667,44.91,13.045,0.39125
SEP,6,18,15.93,23.46,32.16916667,45.96333333,13.36875,0.37
SEP,6,19,13.42,23.45611111,31.77291667,46.12958333,13.2725,0.38125
SEP,6,20,14.83,23.23333333,31.48458333,46.25625,12.625,0.39625
SEP,6,21,19.81,23.13888889,32.41,46.38125,11.49875,0.4075
SEP,6,22,14.99,NA,32.83125,46.04458333,10.76625,0.40375
SEP,6,23,15.13,23.17222222,32.95083333,43.82583333,10.475,0.37375
SEP,7,0,19.96,22.80722222,32.41625,41.72458333,9.52625,0.3725
SEP,7,1,22.22,22.69631579,32.47583333,39.28458333,8.85375,0.37875
SEP,7,2,21.29,22.24944444,32.68666667,39.3075,8.4075,0.37875
SEP,7,3,22.54,22.90666667,33.115,38.28416667,7.98625,0.3775
SEP,7,4,21.61,23.63105263,33.66583333,37.45416667,7.61625,0.36875
SEP,7,5,20.11,23.71166667,33.92333333,39.67166667,7.4375,0.38
SEP,7,6,22.52,24.15684211,34.81708333,41.23583333,7.27,0.38125
SEP,7,7,23.9,25.11473684,35.24708333,41.31208333,7.3075,0.4275
SEP,7,8,22.23,25.70105263,35.87583333,39.93208333,7.74625,0.4775
SEP,7,9,18.55,25.59105263,36.24583333,38.54416667,7.77,0.5025
SEP,7,10,16.67,25.9885,37.01416667,38.51458333,7.965,0.5175
SEP,7,11,15.21,26.08368421,37.07541667,38.53625,8.43875,0.5375
SEP,7,12,15.48,26.18722222,36.7275,38.55625,9.36125,0.545
SEP,7,13,14.94,NA,36.01791667,38.8525,10.6075,0.51625
SEP,7,14,15.21,NA,35.40916667,38.64958333,12.26125,0.51625
SEP,7,15,14.02,NA,35.21458333,38.6175,14.17625,0.47875
SEP,7,16,10.81,NA,34.5325,37.5775,16.53125,0.44
SEP,7,17,11.93,NA,33.75666667,35.30666667,19.02,0.4175
SEP,7,18,18.03,NA,33.13333333,34.44791667,20.98875,0.4175
SEP,7,19,17.95,NA,34.16625,34.39916667,22.06875,0.41625
SEP,7,20,17.49,NA,35.23125,34.33875,21.7425,0.4325
SEP,7,21,14.31,NA,34.88666667,34.22833333,21.38,0.43625
SEP,7,22,12.69,NA,34.19208333,34.23625,20.52625,0.43
SEP,7,23,14.31,NA,34.42916667,34.06541667,18.6775,0.425
SEP,8,0,10.75,NA,34.33583333,33.87583333,16.36625,0.405
SEP,8,1,8.93,NA,33.84208333,32.55,14.385,0.38875
SEP,8,2,7.83,NA,32.54375,30.5825,12.9325,0.35625
SEP,8,3,7.33,NA,31.41083333,28.75083333,12.17,0.3175
