DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
JUL,4,3,20.05,25.56304348,40.64416667,22.92958333,12.61875,0.28
JUL,4,4,19.92,25.40652174,40.40625,23.21666667,11.65,0.28125
JUL,4,5,16.96,25.43045455,39.97416667,23.54916667,10.60125,0.27375
JUL,4,6,16.92,25.23454545,39.36083333,23.55291667,9.75,0.2775
JUL,4,7,22.43,24.83818182,39.51916667,23.55375,8.315,0.3775
JUL,4,8,18.94,24.9,39.64291667,23.03458333,6.74125,0.4425
JUL,4,9,15.29,24.33454545,38.6525,22.76416667,6.17125,0.51625
JUL,4,10,21.94,23.66454545,37.82416667,24.23916667,6.615,0.6275
JUL,4,11,20.53,24.61590909,38.48708333,26.70375,7.68875,0.69
JUL,4,12,13.73,24.21380952,38.79708333,28.53791667,9.3175,0.71875
JUL,4,13,13.2,24.272,38.45625,30.44791667,11.41375,0.8025
JUL,4,14,17.67,25.013,39.29333333,31.91875,13.0375,0.815
JUL,4,15,12.05,25.8035,39.32826087,30.98041667,14.99125,0.7325
JUL,4,16,6.86,24.735,38.30636364,29.44791667,17.54625,0.66375
JUL,4,17,6.9,23.2365,38.22090909,28.46,19.50625,0.59
JUL,4,18,6.22,22.3485,36.80590909,28.13333333,21.29375,0.47125
JUL,4,19,7.24,21.921,34.40318182,27.85583333,22.66125,0.39875
JUL,4,20,8.5,21.602,33.65590909,25.74916667,23.11375,0.35375
JUL,4,21,9.79,21.21809524,33.05318182,25.425,22.91,0.275
JUL,4,22,9.39,20.85714286,33.27863636,26.81125,22.20875,0.425
JUL,4,23,12.4,21.20333333,34.05636364,27.46291667,21.12625,0.425
JUL,5,0,11.67,21.74809524,34.85727273,28.80958333,19.07625,0.53
JUL,5,1,10.12,22.59619048,35.87909091,31.6725,16.81375,0.665
JUL,5,2,13.77,23.64714286,36.90363636,36.09666667,14.3925,0.725
JUL,5,3,11.11,24.22095238,37.40727273,39.01166667,12.09875,0.79
JUL,5,4,4.68,24.18190476,37.43636364,38.85125,11.07,0.80875
JUL,5,5,6.41,24.18181818,37.69272727,38.46666667,10.28375,0.7925
JUL,5,6,10.25,24.43272727,38.40454545,38.27416667,10.2375,0.6175
JUL,5,7,10.84,24.62590909,38.36636364,38.47125,10.25,0.61625
JUL,5,8,9.27,24.6,37.72045455,39.08125,10.36625,0.62875
JUL,5,9,8.22,25.22,38.80409091,40.61583333,10.88375,0.51875
