DATOS MÓVILES 2018_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MPM2.5,MPM10,MSO2 24 HRS,MO3,MCO
AGO,9,13,13.28,24.025,32.53833333,17.08583333,10.0825,0.55125
AGO,9,14,12.1,23.43789474,32.47083333,17.5825,11.91625,0.59
AGO,9,15,11.32,23.73421053,32.66291667,18.26416667,13.99875,0.57625
AGO,9,16,12.84,23.96263158,32.46166667,18.93041667,15.50375,0.53875
AGO,9,17,9.89,24.18,33.06916667,18.98958333,17.13125,0.49875
AGO,9,18,16.27,23.896,32.51958333,19.10666667,18.135,0.48625
AGO,9,19,18.97,24.181,33.09458333,19.05208333,19.0475,0.5075
AGO,9,20,18.2,24.159,32.98375,18.8475,19.02875,0.51625
AGO,9,21,17.63,23.961,32.50958333,19.1475,18.22,0.5275
AGO,9,22,19.49,23.754,32.04291667,21.02458333,16.81125,0.46625
AGO,9,23,15.15,23.754,32.27041667,22.10458333,14.9625,0.3975
AGO,10,0,NA,23.754,32.08125,23.29041667,13.3325,0.38
AGO,10,1,NA,23.754,32.20625,24.52541667,11.5725,0.36875
AGO,10,2,16.67,24.39157895,32.26958333,25.26833333,10.35875,0.3425
AGO,10,3,15.77,24.61684211,32.23166667,25.49166667,9.32,0.30125
AGO,10,4,16.07,24.35894737,32.08958333,25.60375,8.50375,0.27625
AGO,10,5,17.94,24.39555556,31.70833333,25.70958333,7.66125,0.26
AGO,10,6,19.98,24.27444444,31.55833333,25.79916667,7.20375,0.3125
AGO,10,7,19.48,24.36944444,31.06875,25.875,6.79375,0.40625
AGO,10,8,15.99,24.605,30.68208333,25.94458333,6.29125,0.46875
AGO,10,9,17.03,NA,30.31208333,26.00708333,5.9075,0.535
AGO,10,10,18,NA,29.4225,26.18541667,6.125,0.58125
AGO,10,11,11.91,NA,29.19208333,25.67208333,6.6925,0.67625
AGO,10,12,16.8,NA,28.66625,25.86458333,7.35625,0.75875
AGO,10,13,13.77,NA,28.7925,25.505,8.85125,0.78625
AGO,10,14,12.75,24.06333333,28.65083333,25.23291667,11.48125,0.7725
AGO,10,15,13.81,24.30444444,28.69541667,24.59958333,14.8825,0.71625
AGO,10,16,12.09,NA,28.59833333,23.8225,18.2725,0.67
AGO,10,17,17.38,NA,29.05291667,23.78583333,20.5175,0.64875
AGO,10,18,36.29,NA,30.28291667,23.68208333,20.755,0.7775
AGO,10,19,12.69,NA,29.91458333,23.70416667,21.595,0.72625
AGO,10,20,21.32,NA,29.70416667,24.28583333,21.19125,0.69125
AGO,10,21,21.55,NA,29.12,23.915,20.285,0.70375
AGO,10,22,17.91,NA,27.77916667,21.95708333,18.48875,0.7
AGO,10,23,16.81,NA,26.99208333,20.88416667,15.83875,0.685
AGO,11,0,16.63,NA,27.09,19.72125,13.105,0.6875
AGO,11,1,19.82,NA,27.32625,18.49333333,11.08,0.65875
AGO,11,2,18.37,NA,27.39208333,17.74791667,10.59125,0.49
AGO,11,3,22.11,NA,27.39666667,17.52666667,9.0625,0.45375
AGO,11,4,21.02,NA,27.42041667,17.40916667,8.54,0.41
AGO,11,5,18.08,21.82055556,27.53666667,17.29125,7.9275,0.37375
AGO,11,6,17.5,21.64444444,27.42375,17.16875,7.195,0.36125
AGO,11,7,19.1,21.09833333,27.13,17.05041667,6.55375,0.37375
AGO,11,8,19.05,20.78944444,27.51416667,16.96291667,5.94125,0.3975
AGO,11,9,17.55,20.51210526,27.87833333,16.92125,5.61875,0.4225
AGO,11,10,25.16,20.58210526,28.0975,17.60041667,5.5825,0.495
AGO,11,11,19.71,20.06166667,28.62875,17.61041667,6.9375,0.54125
AGO,11,12,13.05,20.10333333,28.51791667,16.76125,9.26,0.56375
AGO,11,13,13.89,19.61222222,28.22,15.59666667,11.68375,0.585
AGO,11,14,13.9,18.63888889,27.95541667,14.5175,14.02,0.6
AGO,11,15,13.03,17.98,27.605,14.02083333,16.5575,0.59
AGO,11,16,11.44,17.96105263,27.28125,13.87916667,19.2375,0.5625
AGO,11,17,9.69,17.80473684,26.16083333,13.76666667,22.03125,0.535
AGO,11,18,12.76,17.09789474,25.20375,13.66916667,24.4875,0.4725
AGO,11,19,17.81,17.1885,25.29166667,13.54625,24.91625,0.45125
AGO,11,20,15.14,18.011,25.9475,12.91625,23.67625,0.4525
AGO,11,21,18.51,17.73714286,26.47583333,12.75083333,21.96125,0.4525
AGO,11,22,18.63,17.48136364,27.5,13.17958333,20.37,0.43125
AGO,11,23,15.38,17.79761905,28.39083333,14.25458333,18.9325,0.41125
AGO,12,0,11.23,17.79761905,29.30458333,15.53416667,17.36,0.40125
AGO,12,1,9.62,18.02904762,29.2125,16.26416667,15.8425,0.42875
AGO,12,2,9.71,18.0145,29.19708333,16.52166667,14.5025,0.41375
AGO,12,3,8.57,18.33473684,28.89375,16.63166667,14.15125,0.3775
AGO,12,4,8.72,18.63055556,28.3875,16.71916667,14.655,0.3425
AGO,12,5,11.7,NA,28.00541667,16.83958333,14.98,0.31
AGO,12,6,NA,NA,27.41791667,16.89208333,15.85,0.295
AGO,12,7,10.85,NA,26.52625,16.98666667,16.07375,0.30125
AGO,12,8,14.81,NA,25.49375,17.04708333,15.8125,0.3125
AGO,12,9,12.77,NA,24.29125,16.98625,15.645,0.28875
AGO,12,10,12.86,NA,23.07375,15.61666667,15.5775,0.31125
AGO,12,11,12.22,NA,21.46333333,14.89666667,15.54125,0.34125
AGO,12,12,11.5,NA,21.235,14.71916667,15.80875,0.3675
AGO,12,13,9.45,NA,21.02791667,14.635,16.9475,0.38
AGO,12,14,7.79,NA,20.36083333,14.58833333,17.80625,0.39125
AGO,12,15,8.76,NA,20.04125,14.56083333,18.85625,0.3925
AGO,12,16,9.62,NA,19.485,14.53125,20.60125,0.38375
AGO,12,17,7.74,NA,19.03083333,14.51208333,21.8025,0.3725
AGO,12,18,9.12,NA,18.74208333,14.50541667,22.715,0.35375
AGO,12,19,10.11,NA,17.7525,14.48375,22.935,0.33375
AGO,12,20,12.51,NA,16.51666667,14.46041667,22.645,0.3275
AGO,12,21,14.72,NA,16.26291667,14.46458333,21.625,0.32625
AGO,12,22,17.49,NA,15.47166667,13.95416667,19.51,0.33125
AGO,12,23,12.5,NA,14.54708333,12.88666667,17.665,0.32375
AGO,13,0,14.29,NA,13.95375,12.8725,15.2925,0.3125
AGO,13,1,10.39,NA,13.64083333,12.59458333,13.35625,0.30375
AGO,13,2,8.57,NA,13.22166667,12.38583333,12.18125,0.2875
AGO,13,3,6.08,NA,12.98916667,12.27958333,11.65875,0.27
AGO,13,4,6.25,NA,12.79166667,12.18166667,11.19125,0.24625
AGO,13,5,NA,NA,12.44166667,12.06625,11.47,0.22375
AGO,13,6,NA,NA,12.23333333,12.0075,12.0825,0.24
AGO,13,7,NA,NA,12.28458333,11.91166667,11.845,0.3075
AGO,13,8,NA,NA,11.86041667,11.83166667,12.11875,0.3575
