DATOS HORARIOS 2021_DIF,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
ENE,12,13,0.0291,0.0176,0.0064,14,20,19.2,2.2,256.572083,36,624.8,2.796
ENE,12,14,0.0338,0.015,0.0068,17,13,21.4,1.9,186.01655,32,623.7,3.071
ENE,12,15,0.035,0.0147,0.0049,14,27,21.9,2.5,244.9745,30,623,2.29
ENE,12,16,0.0369,0.0136,0.004,8,16,22.9,2.6,280.894667,29,622.5,1.941
ENE,12,17,0.0322,0.0137,0.0055,31,13,22.2,2.9,278.773,30,622.4,0.726
ENE,12,18,0.027,0.0144,0.0072,37,14,21.3,3.5,268.895833,30,622.5,0.258
ENE,12,19,0.0175,0.0142,0.0149,50,42,20,2.1,280.887667,30,622.9,0.028
ENE,12,20,0.0054,0.0155,0.0235,107,35,18.5,1.3,242.769667,34,623.4,0.01
ENE,12,21,0.0089,0.0151,0.0191,73,24,17.6,1.3,237.9255,35,624.1,0.009
ENE,12,22,0.0088,0.0157,0.0142,46,18,16.2,1.4,262.374167,37,624.7,0.009
ENE,12,23,0.0061,0.0151,0.0155,40,17,15.3,1.4,231.0245,40,625,0.009
ENE,13,0,0.0043,0.0145,0.0162,30,18,14.4,1.4,252.616,43,625,0.01
ENE,13,1,0.0035,0.0152,0.0173,34,15,13.2,1.2,200.473735,47,625.1,0.01
ENE,13,2,0.003,0.0157,0.0164,43,19,12.5,0.8,196.438633,50,625.2,0.009
ENE,13,3,0.0029,0.0155,0.0151,50,22,11.3,1,262.613333,54,625.1,0.009
ENE,13,4,0.0025,0.0174,0.0153,47,20,10.1,1.1,249.551333,57,624.8,0.01
ENE,13,5,0.0028,0.0203,0.016,49,23,9.5,1.3,210.026283,59,624.8,0.009
ENE,13,6,0.0032,0.0178,0.0152,58,13,9,1,159.734767,59,625,0.009
ENE,13,7,0.003,0.0212,0.0155,55,18,8.9,1.5,115.854733,60,625.3,0.008
ENE,13,8,0.0034,0.0794,0.0175,87,26,9.1,1.6,117.924167,61,625.7,0.053
ENE,13,9,0.0045,0.0353,0.0183,119,45,10.9,2.7,102.304867,55,626.1,0.509
ENE,13,10,0.0092,0.0387,0.017,96,50,13,2.9,114.696867,50,626.4,1.214
ENE,13,11,0.0181,0.0291,0.0121,56,43,16.1,2.6,109.084167,42,626.4,2.242
ENE,13,12,0.0272,0.0218,0.0096,35,30,18.6,1.9,119.587633,37,625.9,2.99
ENE,13,13,0.032,0.0274,0.0075,23,26,20.1,1.5,160.88225,34,625,3.487
ENE,13,14,0.0377,0.0213,0.0072,27,30,21.8,1.7,184.383067,31,624,3.102
ENE,13,15,0.0403,0.0189,0.0061,29,23,22,2,206.924133,30,623.2,2.228
ENE,13,16,0.0402,0.0159,0.0064,22,21,22.4,2.7,244.830333,28,622.8,1.489
ENE,13,17,0.0401,0.0154,0.0057,32,15,22.6,2.8,279.147083,27,622.9,1.025
ENE,13,18,0.041,0.0149,0.0067,40,17,22.1,2.8,303.233667,27,623,0.351
ENE,13,19,0.0282,0.0136,0.011,54,16,20.4,2.5,301.2425,30,623.2,0.029
ENE,13,20,0.019,0.0138,0.0162,63,15,19.5,2.5,304.967667,30,623.4,0.009
ENE,13,21,0.0104,0.0134,0.0218,72,16,18.7,1.4,300.3345,30,623.7,0.009
ENE,13,22,0.005,0.0145,0.0261,72,15,18.3,1,172.8412,30,623.9,0.009
ENE,13,23,0.0104,0.0195,0.0193,93,14,17.6,2.1,125.1644,33,624.3,0.008
ENE,14,0,0.0149,0.0152,0.0132,62,17,17.1,2.5,88.054783,36,624.4,0.008
ENE,14,1,0.0144,0.0226,0.0113,42,19,16,2.8,85.17315,38,624,0.01
ENE,14,2,0.014,0.0258,0.0116,42,15,15.1,2.6,73.803333,39,624,0.008
ENE,14,3,0.0134,0.0226,0.0112,28,21,14.1,2.5,83.044583,40,623.7,0.009
ENE,14,4,0.011,0.0272,0.0142,35,20,13.4,2,71.801483,41,623.6,0.009
ENE,14,5,0.0084,0.0227,0.0162,39,11,12.8,1.8,90.511033,42,623.7,0.009
ENE,14,6,0.0071,0.0223,0.0188,43,14,12.6,1.1,100.680667,41,623.9,0.01
ENE,14,7,0.0075,0.0222,0.0208,42,22,12.9,1.5,86.084733,40,624.1,0.009
ENE,14,8,0.006,0.0215,0.0227,85,21,13.1,1.3,93.493033,40,624.3,0.04
ENE,14,9,0.005,0.0254,0.0228,121,27,13.4,2,120.21065,39,624.8,0.28
ENE,14,10,0.0059,0.0233,0.0204,82,28,14.1,1.4,109.778583,39,625.4,0.508
ENE,14,11,0.0112,0.0241,0.0192,78,24,15.6,1.3,108.63305,37,625.4,1.195
ENE,14,12,0.0175,0.0367,0.0192,75,36,17.9,1,161.429167,33,625.1,1.873
ENE,14,13,0.0254,0.0231,0.0135,68,35,19.7,1.5,252.5342,32,624.4,1.776
ENE,14,14,0.0317,0.0241,0.0092,56,23,19.7,2.7,288.383833,34,624,1.378
ENE,14,15,0.0307,0.0196,0.0133,67,23,19.6,2.6,290.606333,35,623.5,1.104
ENE,14,16,0.0335,0.0184,0.0128,66,30,19.7,2.4,293.1865,34,623.3,0.902
ENE,14,17,0.0339,0.0172,0.0117,61,27,20,2.1,279.2975,35,623.2,0.618
ENE,14,18,0.032,0.0167,0.0102,51,21,20.2,1.1,276.01,35,623.3,0.246
ENE,14,19,0.0122,0.0165,0.0256,68,19,19.4,1.1,209.340667,37,623.5,0.022
ENE,14,20,0.0043,0.0176,0.0347,121,23,18.2,1.1,144.6159,39,623.7,0.009
ENE,14,21,0.0037,0.0174,0.0322,155,38,16.9,1.2,120.859133,42,623.8,0.009
ENE,14,22,0.0042,0.0178,0.029,148,39,15.9,1.2,96.877017,46,623.9,0.009
ENE,14,23,0.0031,0.0185,0.0291,161,70,15.2,1.2,127.314483,48,624.1,0.01
ENE,15,0,0.0031,0.0237,0.0277,113,52,14.4,0.9,153.024895,52,624,0.009
ENE,15,1,0.0031,0.0249,0.0273,133,56,13.7,1,145.244717,54,623.8,0.009
ENE,15,2,0.0016,0.018,0.0223,123,63,11.8,1.1,287.640667,59,623.7,0.01
ENE,15,3,0.0014,0.0186,0.0229,84,40,10.9,1.3,239.0075,60,623.4,0.01
ENE,15,4,0.002,0.0174,0.0231,68,35,10.9,1.3,246.225833,57,623.3,0.009
ENE,15,5,0.0026,0.0168,0.0237,60,17,10.9,1.1,263.457167,56,623.4,0.008
ENE,15,6,0.0025,0.0168,0.0227,64,22,10.4,1.1,153.043355,58,623.6,0.01
ENE,15,7,0.0029,0.0157,0.0218,66,22,9.9,0.8,212.853817,60,623.9,0.009
ENE,15,8,0.0029,0.0155,0.0212,113,25,9.5,0.7,266.5455,62,624.1,0.051
ENE,15,9,0.0032,0.0206,0.0271,141,43,11.3,0.9,224.987517,56,624.7,0.398
ENE,15,10,0.0069,0.0371,0.0262,152,49,13.4,1.8,90.151717,50,625.1,1.059
ENE,15,11,0.0163,0.0257,0.0233,94,53,16.6,2.3,119.58645,40,625.1,2.106
ENE,15,12,0.0301,0.0196,0.0162,73,48,19,2.6,118.8403,34,624.7,2.887
ENE,15,13,0.0415,0.0201,0.0095,46,36,21.7,1.8,141.63025,26,623.9,3.423
ENE,15,14,0.045,0.0225,0.0085,39,28,23.7,1.7,193.860283,21,622.9,3.262
ENE,15,15,0.0498,0.0195,0.006,16,21,24.1,2,194.648067,20,622.1,2.952
ENE,15,16,0.0513,0.0169,0.0057,24,18,24.2,2.4,264.620867,20,621.8,1.854
ENE,15,17,0.0531,0.0168,0.006,33,15,24.2,2,259.856433,20,621.8,0.949
ENE,15,18,0.0485,0.0159,0.0074,46,20,23.4,2,279.849667,20,621.9,0.335
ENE,15,19,0.0266,0.017,0.0216,71,18,21.7,1.2,293.438167,22,622.2,0.031
ENE,15,20,0.0046,0.0161,0.0413,130,23,20.3,0.8,178.475783,25,622.5,0.01
ENE,15,21,0.0115,0.0177,0.0402,269,49,19,0.8,150.80575,29,622.9,0.01
ENE,15,22,0.0173,0.0173,0.039,345,124,17.8,0.9,172.034,31,623.3,0.008
ENE,15,23,0.0059,0.0158,0.0366,217,107,16.6,0.9,210.747167,32,623.5,0.009
ENE,16,0,0.0024,0.0183,0.0347,151,57,15.5,1.3,125.028653,34,623.7,0.009
ENE,16,1,0.0044,0.0281,0.0316,120,51,15.4,2.3,130.736667,33,623.7,0.008
ENE,16,2,0.0025,0.0241,0.0301,109,48,14.1,2.8,97.35875,37,623.7,0.008
ENE,16,3,0.0113,0.0421,0.0227,86,43,13,2.7,87.08415,40,623.6,0.009
ENE,16,4,0.0125,0.0359,0.0182,104,49,12.4,2.6,95.371117,42,623.6,0.008
ENE,16,5,0.0053,0.0209,0.0199,77,34,11.3,2.4,80.059317,46,623.7,0.009
ENE,16,6,0.0036,0.0157,0.0203,56,22,10.3,2.5,87.7316,48,623.8,0.008
ENE,16,7,0.0032,0.0172,0.0203,60,11,9.9,2.1,90.4116,50,623.9,0.009
ENE,16,8,0.0057,0.0229,0.022,78,14,9.7,2,95.79775,51,624.5,0.055
ENE,16,9,0.0077,0.0445,0.0227,107,37,11.1,2.5,110.300683,46,625,0.437
ENE,16,10,0.012,0.0422,0.0191,103,50,14.1,3.1,98.751367,38,625.4,1.13
ENE,16,11,0.0228,0.0191,0.0142,61,40,16.8,3.2,99.23105,31,625.2,1.869
ENE,16,12,0.0307,0.0237,0.0134,38,21,19.4,2.4,106.800867,29,624.6,2.831
ENE,16,13,0.0451,0.0166,0.0115,45,27,22.2,1.6,129.91555,24,623.7,3.182
ENE,16,14,0.0519,0.0159,0.009,46,36,23.9,1.8,175.8706,18,622.6,2.987
ENE,16,15,0.0529,0.0169,0.0069,22,23,25.2,1.8,214.966667,16,621.7,2.46
ENE,16,16,0.0512,0.0147,0.0059,12,16,26.1,2.1,246.2347,15,621.2,1.967
ENE,16,17,0.0515,0.0137,0.0057,40,18,25.3,2.9,289.275,17,621,1.024
ENE,16,18,0.0407,0.0138,0.0083,56,17,23.8,2.4,296.765,21,621.2,0.288
ENE,16,19,0.024,0.0136,0.0217,58,13,22.3,1.2,257.145333,22,621.5,0.031
ENE,16,20,0.0107,0.0143,0.031,92,23,21.7,1.9,176.5625,26,621.9,0.009
ENE,16,21,0.0092,0.0135,0.022,84,22,20.6,1.3,169.153717,35,622.2,0.009
ENE,16,22,0.0173,0.0139,0.0139,74,26,19.9,2.5,226.078833,35,622.6,0.008
ENE,16,23,0.0195,0.0138,0.0101,49,19,19,2.3,231.696,36,622.7,0.009
ENE,17,0,0.0194,0.0143,0.0088,50,16,18.6,2.4,218.391,39,622.7,0.008
ENE,17,1,0.0168,0.0143,0.0083,56,29,17.7,1.3,229.775067,42,622.8,0.009
ENE,17,2,0.0121,0.0142,0.0116,35,17,17,1.2,236.395833,44,622.7,0.008
ENE,17,3,0.0198,0.0139,0.0056,26,18,16.5,2.1,252.001333,47,622.5,0.009
ENE,17,4,0.0152,0.0142,0.0083,20,16,15.3,1.5,299.197833,51,622.4,0.009
ENE,17,5,0.0149,0.0145,0.0087,22,12,14.5,1.3,251.628083,55,622.4,0.009
ENE,17,6,0.015,0.0135,0.0088,26,13,13.9,1.5,250.468167,57,622.8,0.009
ENE,17,7,0.0144,0.0135,0.0099,28,15,13.3,1.5,287.348667,60,623.2,0.009
ENE,17,8,0.0096,0.0129,0.0139,28,21,13,1.2,291.542,62,623.6,0.06
ENE,17,9,0.0104,0.0139,0.0165,41,18,14.9,1.2,165.656417,52,624,0.461
ENE,17,10,0.0232,0.0146,0.0086,30,25,18.4,1.2,244.856183,42,624.4,1.324
ENE,17,11,0.03,0.0138,0.0062,42,16,19.5,2.4,264.835067,37,624.6,2.191
ENE,17,12,0.0322,0.0142,0.0055,36,12,20.6,2.8,274.7945,35,624.3,2.581
ENE,17,13,0.0331,0.0157,0.0052,17,10,22.2,3.1,261.043167,31,623.5,3.55
ENE,17,14,0.0312,0.0158,0.0037,19,10,23.6,3.7,266.5135,23,622.7,3.574
ENE,17,15,0.0344,0.0137,0.0034,2,11,24.9,2.9,253.186883,16,621.8,3.069
ENE,17,16,0.0358,0.0153,0.0038,7,8,25.4,3.5,266.240133,14,621.5,2.216
ENE,17,17,0.0374,0.0134,0.0037,17,3,25.2,2.8,279.978167,13,621.5,1.158
ENE,17,18,0.0363,0.0132,0.0047,21,5,24.6,2.2,256.257,12,621.6,0.415
ENE,17,19,0.0167,0.0133,0.0194,38,7,22.4,1.2,237.722167,13,621.7,0.038
ENE,17,20,0.005,0.0139,0.0298,112,10,20.5,1.1,224.6285,15,622,0.009
ENE,17,21,0.0066,0.0145,0.0271,124,30,19.2,1.5,181.136333,19,622.5,0.01
ENE,17,22,0.0056,0.0142,0.0259,92,24,18,1.5,90.923833,23,622.8,0.009
ENE,17,23,0.0042,0.0153,0.0261,120,38,16.5,1,103.366367,24,623.1,0.009
ENE,18,0,0.0043,0.0184,0.023,123,41,15.3,2.1,106.8557,26,623.4,0.009
ENE,18,1,0.0123,0.0195,0.0142,78,42,14.9,2.8,109.129033,26,623.3,0.009
ENE,18,2,0.014,0.0422,0.0112,53,20,14.2,3,104.534383,33,623.3,0.008
ENE,18,3,0.012,0.0414,0.013,66,26,13.7,2.9,101.470033,37,623.2,0.009
ENE,18,4,0.0082,0.0468,0.0158,68,21,12.9,2.6,101.223417,41,623.3,0.008
ENE,18,5,0.0066,0.0371,0.0171,83,33,12.1,2.5,92.82215,45,623.4,0.007
ENE,18,6,0.0039,0.0393,0.0191,76,30,11.1,1.9,86.318617,48,623.7,0.009
ENE,18,7,0.003,0.0304,0.0198,95,21,10.2,2,95.132817,49,624.1,0.009
ENE,18,8,0.0031,0.0182,0.0208,67,15,10,1.8,94.020317,49,624.5,0.059
ENE,18,9,0.0062,0.0166,0.0179,72,15,11.4,2,89.905717,43,625,0.458
ENE,18,10,0.0116,0.0339,0.0165,83,36,14.2,2.3,101.024933,39,625,1.247
ENE,18,11,0.0201,0.04,0.0133,79,35,17.3,3.2,105.56335,37,624.9,2.168
ENE,18,12,0.0269,0.0208,0.0124,57,32,20,2.1,93.914067,35,624.4,3.101
ENE,18,13,0.0343,0.0178,0.0079,37,25,22,1.8,168.860683,32,623.5,3.315
ENE,18,14,0.0388,0.0163,0.0066,26,24,23.4,1.8,173.366317,30,622.5,3.324
ENE,18,15,0.0391,0.0161,0.005,12,18,24.9,2.1,233.8389,26,621.8,2.996
ENE,18,16,0.038,0.0158,0.005,18,10,25.3,3.2,231.817833,26,621.3,2.137
ENE,18,17,0.0374,0.0173,0.0044,31,16,25.4,3,263.399133,25,621.2,1.196
ENE,18,18,0.0372,0.0175,0.0049,35,11,24.8,2.1,289.7735,26,621.2,0.403
ENE,18,19,0.0315,0.0166,0.0095,45,11,23.1,1.3,283.099583,27,621.5,0.041
ENE,18,20,0.018,0.0175,0.0156,79,11,21.4,3.9,171.497667,33,622.2,0.009
ENE,18,21,0.0229,0.0174,0.0086,43,12,19.3,3.8,168.048167,36,622.6,0.009
ENE,18,22,0.0131,0.018,0.0162,38,10,18.3,1.7,238.365333,38,622.9,0.009
ENE,18,23,0.011,0.016,0.0148,41,19,17.1,1,281.6451,43,623.1,0.008
ENE,19,0,0.0055,0.0166,0.0197,36,13,16.2,0.8,230.88735,47,623.2,0.008
ENE,19,1,0.0037,0.0195,0.022,48,19,15.7,1.3,117.70575,48,623.2,0.009
ENE,19,2,0.0035,0.0191,0.0202,57,34,14.8,0.9,159.9963,50,623.3,0.009
ENE,19,3,0.0024,0.0207,0.0197,48,30,14.2,1.3,141.614883,52,623.4,0.008
ENE,19,4,NA,0.024,0.0191,40,32,13.7,1.1,136.7333,50,623.5,0.009
ENE,19,5,NA,0.0383,0.0184,62,19,13.4,1.7,112.8095,51,623.5,0.01
ENE,19,6,0.003,0.0318,0.018,62,27,12.8,1.2,105.8238,55,623.8,0.008
ENE,19,7,0.0025,0.0374,0.0199,63,16,12.5,1,100.96505,55,624,0.008
ENE,19,8,0.0017,0.0214,0.0188,82,28,11.7,1.2,95.206467,57,624.4,0.06
ENE,19,9,0.0045,0.0209,0.0203,97,25,14,1.3,80.978283,49,624.7,0.465
ENE,19,10,0.0073,0.0182,0.0219,98,38,16.3,1.7,102.125833,44,625.1,1.269
ENE,19,11,0.0205,0.0356,0.0154,84,40,19.6,1.8,121.567767,43,625.1,2.108
ENE,19,12,0.0312,0.0413,0.011,55,32,21.6,1.6,136.929717,38,624.8,3.111
ENE,19,13,0.0323,0.0182,0.007,33,22,23.2,2,176.698283,35,624.2,3.599
ENE,19,14,0.0302,0.0169,0.0061,13,13,25,2.1,155.405433,30,623.3,3.764
ENE,19,15,0.0318,0.0166,0.0068,12,13,25.8,2.8,129.90575,29,622.5,3.112
ENE,19,16,0.0303,0.0172,0.0065,20,13,26.8,2.3,134.084467,27,622.1,2.195
ENE,19,17,0.0278,0.0172,0.0063,14,11,27,1.9,132.494417,25,622,1.18
ENE,19,18,0.0274,0.0179,0.0079,33,6,26.3,2.1,199.53375,26,622.1,0.361
ENE,19,19,0.0246,0.0184,0.0128,50,7,24.6,1.9,222.688137,29,622.5,0.037
ENE,19,20,0.0066,0.018,0.0311,69,16,23.4,1.2,210.320167,31,623,0.01
ENE,19,21,0.0088,0.0204,0.0245,105,22,22.8,2.5,99.938533,33,623.9,0.009
ENE,19,22,0.028,0.019,0.0101,104,27,20.3,4.7,90.45905,48,624.8,0.009
ENE,19,23,0.027,0.0172,0.0099,51,23,19.1,2.9,86.644383,52,625.1,0.009
ENE,20,0,0.0212,0.0163,0.0128,23,19,18.4,2.3,102.20465,55,624.9,0.008
ENE,20,1,0.0195,0.0159,0.0111,33,15,17.3,2.1,98.2942,60,624.9,0.008
ENE,20,2,0.0193,0.0144,0.0089,20,14,16.4,2.2,92.14225,63,624.9,0.009
ENE,20,3,0.0183,0.0148,0.0085,17,14,16,3.2,88.48215,65,624.9,0.009
ENE,20,4,0.0217,0.0158,0.0063,25,20,15.1,3.4,83.095567,67,625,0.008
ENE,20,5,0.0253,0.0156,0.0054,31,26,14.5,3.8,79.833133,69,625.2,0.008
ENE,20,6,0.0263,0.0145,0.0056,34,25,14.1,3.8,72.441233,71,625.3,0.009
ENE,20,7,0.0243,0.0136,0.0073,30,21,14.1,3.8,78.52255,70,625.6,0.008
ENE,20,8,0.0179,0.014,0.0115,39,14,13.8,3,80.051017,72,626,0.055
ENE,20,9,0.0177,0.0148,0.0122,44,29,14.8,3.6,83.93765,68,626.7,0.437
ENE,20,10,0.0236,0.0143,0.0087,43,21,16.6,4.4,83.481817,60,627.3,1.222
ENE,20,11,0.0276,0.0139,0.0074,42,18,17.8,4.6,81.720933,54,627.3,2.015
ENE,20,12,0.0319,0.0153,0.0078,38,22,19.6,4.7,84.592083,47,626.8,3.094
ENE,20,13,0.0361,0.0183,0.0098,39,25,21.1,4.2,100.940283,43,626.2,2.922
ENE,20,14,0.0397,0.0166,0.0102,39,27,22.1,3.5,85.418717,40,625.3,2.672
ENE,20,15,0.0389,0.0155,0.011,37,36,22.5,2.9,87.141283,38,624.5,1.604
ENE,20,16,0.0375,0.0153,0.011,41,29,24,2.9,87.22835,35,623.9,1.776
ENE,20,17,0.0362,0.0146,0.011,40,21,24.4,2.1,104.323267,34,623.6,0.965
ENE,20,18,0.0367,0.0135,0.0095,38,15,24,1.8,119.257363,34,623.7,0.354
ENE,20,19,0.0203,0.0134,0.0223,50,15,23.2,1.6,101.91335,35,624.1,0.032
ENE,20,20,0.0064,0.0136,0.0329,103,24,22.2,0.9,158.308417,37,624.5,0.009
ENE,20,21,0.0044,0.0138,0.0326,145,39,21.6,1.2,212.782167,39,625.1,0.009
ENE,20,22,0.013,0.0168,0.0163,100,47,20.7,2.8,120.333967,45,625.9,0.009
ENE,20,23,0.0146,0.0136,0.0085,50,29,19.1,3.1,76.49425,57,626.2,0.009
ENE,21,0,0.0138,0.0124,0.0084,28,13,18,2.3,85.199033,61,626.2,0.009
ENE,21,1,0.0123,0.0132,0.0084,15,22,16.6,2.2,85.568017,66,626,0.009
ENE,21,2,0.011,0.0133,0.0088,20,12,15.6,2.3,88.723333,70,626,0.009
ENE,21,3,0.0084,0.0126,0.0083,15,16,14.8,2.7,90.971583,74,625.6,0.009
ENE,21,4,0.0096,0.0164,0.0083,14,15,14.3,2.7,93.257067,77,625.2,0.009
ENE,21,5,0.0095,0.0227,0.0089,29,19,13.8,2.9,89.587,80,625.1,0.008
ENE,21,6,0.0056,0.0239,0.0121,46,22,13.3,2.4,89.5327,83,625.3,0.009
ENE,21,7,0.0026,0.0223,0.0144,49,31,12.9,2.1,93.2575,85,625.5,0.009
ENE,21,8,0.0021,0.0196,0.0157,64,27,12.7,2,106.544917,85,625.7,0.059
ENE,21,9,0.0044,0.0194,0.0148,63,35,14.1,1.9,102.475217,79,626.2,0.475
ENE,21,10,0.0105,0.0195,0.0129,63,28,16.6,2.6,98.1063,71,626.5,1.298
ENE,21,11,0.0176,0.0151,0.0101,44,24,19,2.8,100.834683,63,626.2,2.275
ENE,21,12,0.0282,0.0178,0.0091,33,19,21.4,1.8,140.844617,53,625.8,3.149
ENE,21,13,0.0368,0.0157,0.0086,38,25,23.1,1.6,135.834483,46,625,3.549
ENE,21,14,0.0393,0.014,0.0058,35,25,24.9,2.7,249.6213,39,624,3.646
ENE,21,15,0.0423,0.014,0.0049,25,23,26,3.3,267.719333,32,623.1,3.162
ENE,21,16,0.043,0.0131,0.0047,23,14,26.6,3.4,269.717333,28,622.6,2.241
ENE,21,17,0.0407,0.0127,0.0046,24,12,27.1,3.2,278.900167,23,622.3,1.278
ENE,21,18,0.0425,0.0129,0.0053,32,12,26.4,2.7,283.410167,27,622.3,0.444
ENE,21,19,0.0286,0.013,0.0119,48,16,24.7,1.7,284.133667,28,622.5,0.047
ENE,21,20,0.0051,0.0121,0.0311,78,17,22.6,1.5,271.853167,32,622.8,0.01
ENE,21,21,0.0101,0.0123,0.0189,78,19,21,2.1,263.915167,31,623.2,0.009
ENE,21,22,0.0105,0.0127,0.0177,48,10,20,1.2,270.713667,33,623.7,0.009
ENE,21,23,0.0075,0.0129,0.0193,67,13,19.7,1.4,289.057667,35,624.1,0.01
ENE,22,0,0.0027,0.0131,0.0225,71,19,18.2,1.2,254.651333,40,624.2,0.009
ENE,22,1,0.0071,0.0137,0.0198,60,25,17.6,1.9,256.8885,43,624.2,0.009
ENE,22,2,0.0191,0.013,0.0103,43,23,17.4,1.9,238.985167,46,624.1,0.01
ENE,22,3,0.0205,0.0125,0.009,31,16,16.5,1.4,224.58045,51,623.9,0.009
ENE,22,4,0.0162,0.0124,0.0116,36,24,14.9,1.2,260.836,56,623.8,0.009
ENE,22,5,0.0182,0.0122,0.0122,31,25,14.1,1.3,288.982167,60,623.8,0.009
ENE,22,6,0.0126,0.0128,0.0169,46,27,13.3,1.2,303.540333,64,624.2,0.009
ENE,22,7,0.0115,0.0137,0.0183,47,27,12.9,0.8,266.267833,66,624.6,0.009
ENE,22,8,0.0092,0.014,0.0197,71,27,12.9,0.6,273.43485,67,624.8,0.059
ENE,22,9,0.01,0.014,0.0325,112,34,16.2,0.6,186.663533,52,625.1,0.437
ENE,22,10,0.0118,0.0137,0.0276,101,43,18.9,0.9,186.247517,46,625.4,1.188
ENE,22,11,0.0235,0.0163,0.0129,73,32,20.7,1.4,218.395067,44,625.3,2.135
ENE,22,12,0.0319,0.0134,0.0062,36,20,22,1.9,229.22885,40,624.9,3.103
ENE,22,13,0.0378,0.014,0.0049,19,19,23.1,2.5,271.069117,36,624.3,3.273
ENE,22,14,0.0415,0.0136,0.0057,33,19,24.5,2.3,249.799533,34,623.2,3.306
ENE,22,15,0.0437,0.0147,0.0044,25,20,26.2,2.8,277.024167,29,622.4,3.055
ENE,22,16,0.0431,0.0165,0.0045,18,13,27.3,2.4,277.226317,27,621.7,2.227
ENE,22,17,0.0444,0.0144,0.0044,35,13,27.3,2.8,273.2825,26,621.5,1.22
ENE,22,18,0.0421,0.0122,0.0044,28,13,27.1,2.3,291.846833,24,621.6,0.436
ENE,22,19,0.0255,0.013,0.0129,41,11,25.2,1.9,308.9545,22,621.8,0.047
ENE,22,20,0.0049,0.0135,0.0298,75,9,23.2,1,258.690667,27,622.1,0.009
ENE,22,21,0.0036,0.0134,0.0289,107,22,21.7,1.3,247.907833,30,622.6,0.008
ENE,22,22,0.0035,0.0131,0.0268,89,27,20.5,0.4,286.1185,31,623,0.008
ENE,22,23,0.0035,0.0141,0.0244,101,27,19.9,1.7,282.800667,32,623.3,0.009
ENE,23,0,0.0034,0.0133,0.0212,76,30,18.7,0.7,222.0485,34,623.4,0.008
ENE,23,1,0.0032,0.0128,0.0222,75,26,17.9,0.9,197.503833,36,623.4,0.009
ENE,23,2,0.0028,0.014,0.0198,69,25,16.1,0.7,282.8765,41,623.6,0.009
ENE,23,3,0.0045,0.0137,0.018,42,25,15.2,1.3,288.590833,45,623.4,0.009
ENE,23,4,0.002,0.0148,0.0197,44,23,14.3,1.7,273.190833,47,623.2,0.009
ENE,23,5,0.0044,0.0136,0.0187,46,28,14.2,1.1,234.350033,51,623.4,0.009
ENE,23,6,0.0034,0.0129,0.019,42,24,14,0.9,249.5925,54,623.5,0.009
ENE,23,7,0.0029,0.0154,0.0199,48,24,13.6,0.9,208.3342,53,623.7,0.01
ENE,23,8,0.0091,0.0182,0.0208,83,24,13.2,1.2,106.156883,54,624,0.058
ENE,23,9,0.0042,0.0435,0.0221,102,41,14.6,1.6,103.812283,46,624.6,0.415
ENE,23,10,0.0136,0.0563,0.019,124,51,17.9,1,133.028833,40,624.9,1.026
ENE,23,11,0.0191,0.028,0.0196,90,43,20.3,1,199.677083,37,624.9,1.471
ENE,23,12,0.0305,0.016,0.0081,70,29,21.6,1.5,241.03125,35,624.5,2.336
ENE,23,13,0.0352,0.0159,0.0055,26,17,23.6,2.2,276.162167,30,623.9,3.192
ENE,23,14,0.0413,0.0179,0.0054,23,20,24.9,2.3,253.277308,27,623,3.035
ENE,23,15,0.046,0.0164,0.0052,10,25,26.8,1.9,254.695833,25,622,2.896
ENE,23,16,0.0478,0.0147,0.0064,13,24,27.5,1.9,228.998217,23,621.4,2.126
ENE,23,17,0.0477,0.0144,0.0047,28,12,27.5,2.5,274.520667,22,621.2,1.169
ENE,23,18,0.0503,0.016,0.0051,43,10,27.1,1.8,283.321167,23,621.2,0.441
ENE,23,19,0.0362,0.0169,0.0134,55,12,25.2,1.3,292.899333,25,621.2,0.048
ENE,23,20,0.0062,0.0168,0.0386,100,23,23.4,0.9,224.536,28,621.6,0.009
ENE,23,21,0.014,0.0162,0.0316,171,36,23.1,2,218.889167,28,622,0.009
ENE,23,22,0.0277,0.0176,0.0121,84,42,22.7,2.2,218.479333,30,622.4,0.008
ENE,23,23,0.0218,0.0185,0.0131,57,18,21,2,255.983167,35,622.7,0.009
ENE,24,0,0.0168,0.0206,0.0144,61,23,19,1.2,260.754167,39,622.6,0.009
ENE,24,1,0.0096,0.0199,0.0204,65,29,18.3,1.1,233.843833,41,622.8,0.009
ENE,24,2,0.0116,0.0169,0.0174,71,29,17.5,0.9,243.0655,44,622.8,0.01
ENE,24,3,0.0089,0.0158,0.017,59,26,16.3,0.4,259.674333,49,622.8,0.008
ENE,24,4,0.0047,0.0138,0.0183,43,28,15.2,0.8,281.160468,51,622.7,0.009
ENE,24,5,0.0022,0.0134,0.0196,55,29,13.7,0.9,262.263833,51,622.7,0.009
ENE,24,6,0.0027,0.0133,0.0205,60,35,13.4,0.8,238.514873,50,622.7,0.009
