DATOS HORARIOS 2021_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
MAYO,5,21,0.0448,0.006,0.812,0.0074,54,22,18.61,4.24,153.79,67.50,625.49,0.01
MAYO,5,22,0.0388,0.0058,0.776,0.008,49,23,17.39,3,188.88,78.99,626.12,0.01
MAYO,5,23,0.0345,0.0058,0.715,0.0084,21,18,17.45,1.97,282.71,79.45,626.38,0.01
MAYO,6,0,0.0286,0.0063,0.73,0.0102,21,24,17.58,2.09,272.33,77.64,626.52,0.01
MAYO,6,1,0.0335,0.0123,0.735,0.0091,35,32,18.35,1.82,93.56,71.23,626.20,0.01
MAYO,6,2,0.0243,0.0087,0.707,0.0111,31,36,17.62,2.6,153.18,76.58,625.59,0.01
MAYO,6,3,0.0223,0.0078,0.705,0.01,26,24,17.01,2.19,111.16,80.84,625.34,0.01
MAYO,6,4,0.0291,0.009,0.796,0.0141,47,32,17.14,2.88,83.67,77.55,624.88,0.01
MAYO,6,5,0.0117,0.0075,0.793,0.0152,41,42,16.95,2.07,107.99,76.74,625.07,0.01
MAYO,6,6,0.0051,0.0083,0.86,0.0178,33,23,16.88,2.85,101.78,76.64,625.10,0.01
MAYO,6,7,NA,0.0126,1.065,0.0217,44,32,16.79,2.67,87.5,77.77,625.23,0.08
MAYO,6,8,0.0079,0.0155,1.146,0.0221,66,35,17.98,2.7,89.64,73.95,625.59,0.50
MAYO,6,9,0.025,0.0096,1.011,0.0127,53,40,20.31,3.92,84.77,64.43,625.81,1.36
MAYO,6,10,0.0365,0.0077,0.992,0.0093,36,27,22.14,4.75,92.09,57.21,625.89,2.46
MAYO,6,11,0.0463,0.0076,0.968,0.0066,37,28,23.95,4.07,84.66,50.70,625.94,3.62
MAYO,6,12,0.0551,0.0072,0.918,NA,34,28,25.15,4.13,96.75,43.91,625.54,4.56
MAYO,6,13,0.0611,0.0062,0.772,NA,104,27,26.83,3.37,101.59,38.53,624.94,5.00
MAYO,6,14,0.0643,0.0058,0.901,NA,117,23,28.39,4.32,106.19,32.68,624.15,5.02
