DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
AGO,7,15,40.40,6.99,0.482,5.40,33,15
AGO,7,16,47.33,7.20,0.448,8.62,33,15
AGO,7,17,50.17,7.32,0.435,6.72,35,15
AGO,7,18,51.64,7.38,0.410,9.18,35,15
AGO,7,19,51.02,7.49,0.400,9.86,34,15
AGO,7,20,48.43,7.56,0.413,13.01,34,15
AGO,7,21,44.19,7.61,0.429,14.87,35,15
AGO,7,22,39.79,7.56,0.430,6.83,35,16
AGO,7,23,35.15,7.26,0.408,7.90,36,16
AGO,8,0,31.99,7.25,0.366,4.87,36,15
AGO,8,1,31.22,7.27,0.331,0.61,35,15
AGO,8,2,30.92,7.39,0.297,0.73,36,15
AGO,8,3,30.80,7.49,0.264,0.82,36,15
AGO,8,4,30.50,7.63,0.218,4.07,36,15
AGO,8,5,31.07,7.61,0.171,4.82,36,15
AGO,8,6,28.95,7.68,0.171,13.98,37,15
AGO,8,7,25.73,7.65,0.205,17.66,39,16
AGO,8,8,22.23,7.41,0.257,15.29,40,16
AGO,8,9,19.59,6.62,0.305,10.10,40,16
AGO,8,10,18.74,6.01,0.339,6.46,31,16
AGO,8,11,18.93,5.36,0.377,6.89,31,15
AGO,8,12,21.57,4.72,0.392,2.07,33,15
AGO,8,13,24.49,4.55,0.412,2.81,36,14
AGO,8,14,28.87,4.32,0.407,3.02,36,14
AGO,8,15,34.47,4.09,0.373,1.62,36,13
AGO,8,16,39.69,3.86,0.315,0.30,35,13
AGO,8,17,43.35,3.70,0.267,0.30,33,13
AGO,8,18,44.95,3.50,0.241,0.30,32,13
AGO,8,19,44.91,3.31,0.220,2.15,33,13
AGO,8,20,43.29,3.12,0.226,7.81,33,12
AGO,8,21,40.85,2.91,0.219,7.40,32,12
AGO,8,22,38.25,2.83,0.204,9.08,31,11
AGO,8,23,35.38,2.72,0.197,9.82,30,11
AGO,9,0,32.45,2.60,0.198,6.94,30,11
AGO,9,1,29.60,2.48,0.199,4.98,31,11
AGO,9,2,26.75,2.34,0.199,7.03,31,11
AGO,9,3,24.22,2.19,0.189,8.44,31,11
AGO,9,4,21.16,2.06,0.175,11.41,31,11
AGO,9,5,17.93,2.05,0.170,14.82,31,12
AGO,9,6,15.13,2.02,0.180,14.24,30,12
AGO,9,7,13.99,2.09,0.256,19.84,30,12
AGO,9,8,10.83,NA,0.330,16.87,29,12
AGO,9,9,8.44,NA,0.362,14.54,28,12
AGO,9,10,8.49,NA,0.391,13.50,29,12
AGO,9,11,11.64,NA,0.418,6.50,29,13
AGO,9,12,16.07,NA,0.443,6.79,27,12
AGO,9,13,23.25,NA,0.464,5.09,24,13
AGO,9,14,32.95,NA,0.481,6.64,25,13
AGO,9,15,38.49,NA,0.419,5.24,26,15
AGO,9,16,47.71,NA,0.370,5.91,27,15
AGO,9,17,55.40,NA,0.359,4.56,28,16
AGO,9,18,60.98,NA,0.346,0.30,28,16
AGO,9,19,63.56,NA,0.325,2.71,30,16
AGO,9,20,63.41,NA,0.309,6.70,31,17
AGO,9,21,60.76,NA,0.318,11.15,31,17
AGO,9,22,57.86,NA,0.294,2.96,33,17
AGO,9,23,53.97,NA,0.275,0.74,33,17
AGO,10,0,50.15,NA,0.248,1.31,33,17
AGO,10,1,47.63,NA,0.226,3.79,33,17
AGO,10,2,43.30,NA,0.206,11.35,33,17
AGO,10,3,40.28,NA,0.194,8.73,34,17
AGO,10,4,38.46,NA,0.176,8.98,34,18
AGO,10,5,36.76,NA,0.146,14.68,34,18
AGO,10,6,31.73,4.01,0.164,23.80,35,18
AGO,10,7,26.10,3.87,0.231,21.99,36,18
AGO,10,8,20.70,3.91,0.289,15.96,37,18
AGO,10,9,14.80,5.00,0.332,12.23,38,18
AGO,10,10,13.16,5.02,0.368,4.05,38,18
AGO,10,11,11.83,4.91,0.401,5.16,38,17
AGO,10,12,12.93,4.82,0.445,6.76,41,17
AGO,10,13,16.60,4.74,0.461,3.58,46,17
AGO,10,14,21.65,4.66,0.452,2.09,47,17
AGO,10,15,26.58,4.73,0.396,2.07,47,17
AGO,10,16,31.28,4.41,0.361,4.21,46,17
AGO,10,17,34.23,4.10,0.343,6.84,47,16
AGO,10,18,34.30,4.05,0.332,10.85,48,16
AGO,10,19,33.16,4.10,0.320,8.74,46,16
AGO,10,20,30.01,4.12,0.308,12.45,44,16
AGO,10,21,24.25,3.72,0.333,14.78,44,15
AGO,10,22,18.63,3.67,0.344,13.28,44,16
AGO,10,23,14.80,3.64,0.347,7.11,44,16
AGO,11,0,11.07,3.61,0.337,6.57,44,16
AGO,11,1,8.01,3.53,0.320,5.55,45,16
AGO,11,2,6.11,3.39,0.297,2.67,44,16
AGO,11,3,5.89,3.41,0.278,0.30,44,16
AGO,11,4,5.90,3.58,0.257,4.82,43,15
AGO,11,5,7.17,3.74,0.215,4.10,43,15
AGO,11,6,9.32,3.79,0.200,4.18,42,15
AGO,11,7,11.35,3.87,0.206,5.11,39,14
AGO,11,8,13.03,3.86,0.236,8.67,37,14
AGO,11,9,16.45,3.07,0.274,6.30,36,14
AGO,11,10,19.76,3.12,0.310,4.37,35,13
AGO,11,11,22.49,3.06,0.344,3.81,34,13
AGO,11,12,26.84,3.03,0.371,4.16,30,13
AGO,11,13,31.42,3.03,0.394,2.52,24,12
AGO,11,14,36.07,3.49,0.422,5.22,22,12
AGO,11,15,40.82,4.11,0.434,5.07,22,11
AGO,11,16,45.10,4.07,0.395,0.78,22,12
AGO,11,17,50.97,4.47,0.373,1.46,20,11
AGO,11,18,57.55,4.76,0.362,0.45,20,12
AGO,11,19,60.79,4.74,0.336,0.30,20,12
AGO,11,20,60.47,4.76,0.311,2.46,20,12
AGO,11,21,58.17,4.83,0.310,7.11,19,12
AGO,11,22,55.30,4.76,0.282,2.67,19,12
AGO,11,23,51.03,4.67,0.255,0.92,19,11
AGO,12,0,46.93,4.68,0.252,1.35,19,11
AGO,12,1,39.80,4.73,0.229,1.80,18,11
AGO,12,2,31.37,4.71,0.197,3.42,18,11
AGO,12,3,25.66,4.68,0.187,2.94,18,11
AGO,12,4,21.80,4.46,0.174,3.76,19,11
AGO,12,5,18.79,4.29,0.145,4.77,18,11
AGO,12,6,14.96,4.15,0.139,6.70,18,11
AGO,12,7,11.34,4.03,0.160,8.08,19,11
AGO,12,8,9.19,3.89,0.179,6.66,19,11
AGO,12,9,8.72,3.91,0.189,2.23,20,11
AGO,12,10,9.94,3.91,0.198,1.41,20,11
AGO,12,11,11.93,4.06,0.224,4.18,20,11
AGO,12,12,16.93,4.96,0.274,7.70,21,11
AGO,12,13,25.41,6.18,0.363,9.29,22,12
AGO,12,14,33.09,5.86,0.380,3.82,23,14
AGO,12,15,41.27,5.23,0.367,2.50,23,14
AGO,12,16,48.42,5.80,0.380,6.17,24,14
AGO,12,17,55.72,5.68,0.388,1.00,24,15
AGO,12,18,62.75,5.55,0.397,1.93,24,15
AGO,12,19,66.94,5.60,0.385,4.69,24,15
AGO,12,20,67.05,5.55,0.365,12.25,25,15
AGO,12,21,62.52,5.62,0.314,15.14,26,16
AGO,12,22,60.14,5.68,0.301,3.64,26,16
AGO,12,23,56.90,5.73,0.288,0.90,26,16
AGO,13,0,52.58,5.97,0.305,6.06,26,16
AGO,13,1,46.09,6.24,0.301,8.49,27,16
AGO,13,2,38.04,6.33,0.289,10.64,27,17
AGO,13,3,33.04,6.39,0.281,4.84,27,17
AGO,13,4,29.35,6.52,0.265,6.85,27,17
AGO,13,5,26.81,6.63,0.242,7.75,28,17
AGO,13,6,21.43,6.71,0.281,18.34,28,17
AGO,13,7,16.49,6.71,0.355,14.80,29,17
AGO,13,8,12.98,6.72,0.371,11.63,28,18
AGO,13,9,11.77,6.59,0.403,9.05,28,18
AGO,13,10,12.71,6.53,0.446,7.42,29,18
AGO,13,11,14.32,6.37,0.473,6.59,29,19
AGO,13,12,17.37,5.56,0.490,6.26,29,18
AGO,13,13,22.18,4.40,0.500,3.98,28,18
AGO,13,14,28.34,4.19,0.465,2.60,27,16
AGO,13,15,34.72,4.06,0.406,2.17,27,15
AGO,13,16,41.79,3.53,0.347,0.98,26,15
AGO,13,17,48.40,3.32,0.306,0.30,25,14
AGO,13,18,53.65,3.24,0.263,0.30,24,14
AGO,13,19,56.85,3.19,0.243,2.82,24,13
AGO,13,20,57.83,3.06,0.228,5.02,24,13
AGO,13,21,55.23,2.92,0.225,6.99,23,13
AGO,13,22,53.04,2.88,0.224,5.91,23,12
AGO,13,23,51.10,2.83,0.213,1.03,23,12
AGO,14,0,48.93,2.55,0.207,0.30,22,12
AGO,14,1,45.04,2.24,0.202,0.30,22,12
AGO,14,2,40.38,2.16,0.196,4.07,22,12
AGO,14,3,35.28,2.10,0.182,4.57,22,12
AGO,14,4,30.58,1.99,0.171,5.29,22,12
AGO,14,5,27.47,1.93,0.158,8.43,22,12
AGO,14,6,23.84,1.86,0.170,14.47,22,12
AGO,14,7,21.99,1.93,0.248,16.32,22,12
AGO,14,8,16.50,1.90,0.346,17.25,22,12
AGO,14,9,14.19,1.90,0.395,11.87,22,12
AGO,14,10,15.40,1.97,0.422,4.65,22,12
AGO,14,11,18.23,2.72,0.445,8.05,22,12
AGO,14,12,24.17,3.29,0.452,3.79,22,13
AGO,14,13,33.28,3.94,0.465,4.25,22,13
AGO,14,14,47.39,4.80,0.482,4.84,24,13
AGO,14,15,56.51,5.73,0.454,4.93,24,14
AGO,14,16,67.83,6.72,0.427,10.53,26,15
AGO,14,17,75.66,7.12,0.418,6.53,27,16
AGO,14,18,81.84,7.53,0.431,6.13,28,16
