DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
DIC,3,15,33.76,2.99,0.392,0.84,51,19
DIC,3,16,42.19,2.90,0.322,1.50,52,19
DIC,3,17,49.30,2.74,0.247,1.63,52,19
DIC,3,18,54.51,2.63,0.199,3.02,53,20
DIC,3,19,53.50,2.55,0.329,11.99,53,20
DIC,3,20,48.77,2.45,0.575,20.99,54,20
DIC,3,21,41.50,2.34,0.801,20.58,54,20
DIC,3,22,33.14,2.33,0.885,18.00,54,19
DIC,3,23,25.22,2.29,0.972,16.69,57,20
DIC,4,0,18.80,2.28,0.994,13.17,58,21
DIC,4,1,11.46,2.32,1.032,13.67,60,22
DIC,4,2,5.34,2.38,1.067,14.92,62,23
DIC,4,3,4.59,2.38,0.926,15.00,64,24
DIC,4,4,7.14,2.43,0.685,10.18,64,24
DIC,4,5,10.93,2.47,0.480,13.09,66,25
DIC,4,6,12.12,2.47,0.416,13.63,69,27
DIC,4,7,12.49,2.46,0.426,14.27,71,28
DIC,4,8,11.01,2.49,0.544,15.08,74,29
DIC,4,9,11.51,2.43,0.609,15.31,78,31
DIC,4,10,13.48,2.40,0.627,19.18,79,31
DIC,4,11,16.98,2.33,0.628,19.43,80,32
DIC,4,12,20.38,2.17,0.621,9.42,81,32
DIC,4,13,23.76,2.22,0.604,3.31,80,33
DIC,4,14,31.18,2.23,0.573,1.09,81,33
DIC,4,15,39.29,2.34,0.476,0.93,81,33
DIC,4,16,47.86,2.64,0.334,0.30,80,33
DIC,4,17,56.68,3.00,0.233,0.30,81,33
DIC,4,18,63.16,3.33,0.183,2.78,82,33
DIC,4,19,61.13,3.25,0.359,33.50,82,33
DIC,4,20,55.56,3.33,0.840,43.48,85,33
DIC,4,21,48.61,3.44,1.284,39.52,87,33
DIC,4,22,40.15,3.48,1.729,35.21,90,34
DIC,4,23,31.53,3.46,1.863,29.54,94,36
DIC,5,0,22.91,3.50,1.900,22.22,96,36
DIC,5,1,13.62,3.58,1.932,23.16,96,36
DIC,5,2,5.16,3.60,1.954,20.85,95,36
DIC,5,3,4.07,3.61,1.759,8.26,95,35
DIC,5,4,4.05,3.56,1.270,11.73,94,35
DIC,5,5,3.84,3.52,0.813,14.36,92,34
DIC,5,6,3.67,3.68,0.363,14.35,90,32
DIC,5,7,3.51,3.83,0.271,14.78,88,31
DIC,5,8,3.06,3.96,0.315,14.14,85,30
DIC,5,9,3.39,4.09,0.365,12.85,83,29
DIC,5,10,4.73,4.34,0.375,10.55,81,28
DIC,5,11,6.29,4.47,0.405,10.18,81,27
DIC,5,12,11.60,4.70,0.427,0.42,81,27
DIC,5,13,19.96,5.69,0.459,3.95,84,27
DIC,5,14,28.97,6.48,0.474,1.87,83,28
DIC,5,15,39.83,8.67,0.459,2.05,84,28
DIC,5,16,50.67,9.74,0.390,1.22,84,28
DIC,5,17,61.67,10.73,0.317,0.30,85,29
DIC,5,18,69.52,11.34,0.320,5.40,84,29
DIC,5,19,71.23,11.64,0.376,22.91,85,29
DIC,5,20,67.87,11.67,0.435,29.14,82,30
DIC,5,21,60.05,11.65,0.521,37.81,77,29
DIC,5,22,51.05,11.69,0.656,35.01,75,28
DIC,5,23,40.42,11.93,0.795,34.58,74,27
DIC,6,0,30.54,12.16,0.843,30.95,76,29
DIC,6,1,22.06,12.16,0.855,13.88,77,30
DIC,6,2,13.78,12.22,0.851,24.11,77,30
DIC,6,3,9.93,12.27,0.808,24.99,78,31
DIC,6,4,7.86,12.27,0.764,23.95,81,32
DIC,6,5,7.47,12.43,0.667,20.98,82,33
DIC,6,6,7.36,12.53,0.544,20.73,83,33
DIC,6,7,7.12,12.55,0.460,22.90,84,33
DIC,6,8,6.09,12.69,0.528,22.23,85,34
DIC,6,9,3.16,12.95,0.608,20.90,86,34
DIC,6,10,2.47,13.08,0.646,20.39,87,34
DIC,6,11,3.84,13.32,0.660,15.38,88,35
DIC,6,12,7.88,13.40,0.662,9.24,87,35
DIC,6,13,13.85,12.43,0.678,7.85,85,35
DIC,6,14,18.93,11.69,0.686,6.44,85,34
