DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
ABR,6,6,23.40,1.44,0.167,6.40,54,29
ABR,6,7,22.67,1.43,0.169,17.20,52,29
ABR,6,8,21.93,1.43,0.207,23.36,51,28
ABR,6,9,21.95,1.47,0.251,18.37,49,27
ABR,6,10,24.98,1.50,0.262,4.39,48,27
ABR,6,11,29.51,1.50,0.268,2.03,48,26
ABR,6,12,33.24,1.48,0.275,1.70,46,26
ABR,6,13,35.66,1.45,0.274,0.77,47,25
ABR,6,14,38.74,1.44,0.271,0.30,49,24
ABR,6,15,43.67,1.43,0.261,1.04,50,24
ABR,6,16,49.08,1.42,0.216,1.16,51,24
ABR,6,17,53.49,1.41,0.170,1.53,52,23
ABR,6,18,55.19,1.41,0.156,2.47,56,22
ABR,6,19,55.86,1.40,0.149,2.71,58,23
ABR,6,20,54.52,1.39,0.162,9.99,57,22
ABR,6,21,52.81,1.37,0.185,8.72,55,23
ABR,6,22,50.29,1.37,0.204,8.55,54,23
ABR,6,23,47.17,1.38,0.220,8.81,53,23
ABR,7,0,43.39,1.43,0.237,10.04,56,22
ABR,7,1,38.51,1.49,0.262,17.26,57,22
ABR,7,2,32.93,1.50,0.290,18.82,58,22
ABR,7,3,26.10,1.51,0.313,29.79,58,22
ABR,7,4,21.15,1.50,0.322,27.59,58,22
ABR,7,5,16.86,1.49,0.315,24.63,59,22
ABR,7,6,13.59,1.47,0.321,21.66,59,22
ABR,7,7,9.68,1.49,0.359,26.95,60,22
ABR,7,8,6.71,1.59,0.430,28.33,60,22
ABR,7,9,7.71,1.60,0.447,19.74,60,22
ABR,7,10,11.67,1.60,0.437,8.31,60,22
ABR,7,11,18.02,1.59,0.417,1.99,60,22
ABR,7,12,24.91,1.59,0.395,1.56,59,22
ABR,7,13,31.76,1.60,0.387,1.42,57,21
ABR,7,14,37.80,1.60,0.366,0.91,54,21
ABR,7,15,45.03,1.60,0.311,0.46,52,21
ABR,7,16,52.01,1.60,0.223,0.46,51,22
ABR,7,17,56.45,1.60,0.178,0.32,50,21
ABR,7,18,58.75,1.58,0.155,0.30,47,21
ABR,7,19,59.30,1.58,0.149,2.43,44,21
ABR,7,20,57.05,1.59,0.171,14.96,44,20
ABR,7,21,54.02,1.59,0.194,14.74,44,20
ABR,7,22,51.72,1.59,0.203,8.04,43,20
ABR,7,23,48.91,1.56,0.203,4.00,43,20
ABR,8,0,45.69,1.52,0.200,4.16,40,20
ABR,8,1,41.91,1.46,0.200,7.77,39,20
