DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
SEP,4,1,28.35,2.72,0.225,10.25,32,11
SEP,4,2,24.62,2.75,0.225,9.33,33,11
SEP,4,3,21.23,2.71,0.216,14.12,34,12
SEP,4,4,17.03,2.66,0.209,16.27,35,12
SEP,4,5,13.51,2.63,0.198,16.76,35,12
SEP,4,6,9.61,2.67,0.244,19.76,36,12
SEP,4,7,7.86,2.65,0.336,19.49,36,12
SEP,4,8,6.73,2.64,0.443,17.73,38,12
SEP,4,9,5.69,2.64,0.503,13.69,39,13
SEP,4,10,7.82,2.64,0.517,6.59,38,13
SEP,4,11,12.98,2.63,0.525,3.19,39,13
SEP,4,12,19.49,2.68,0.530,2.49,39,13
SEP,4,13,26.67,2.67,0.528,2.24,39,13
SEP,4,14,34.33,2.61,0.466,0.30,39,14
SEP,4,15,36.89,2.54,0.363,0.30,39,14
SEP,4,16,42.73,2.54,0.251,0.30,39,14
SEP,4,17,47.36,2.55,0.195,0.30,40,14
SEP,4,18,48.88,2.77,0.196,1.90,40,14
SEP,4,19,48.61,2.77,0.196,2.54,40,15
SEP,4,20,45.93,2.75,0.197,8.22,40,15
SEP,4,21,43.75,2.84,0.191,1.96,40,15
SEP,4,22,40.42,2.90,0.193,3.09,40,15
SEP,4,23,36.24,2.93,0.197,6.76,40,15
SEP,5,0,33.15,3.07,0.191,4.58,39,15
SEP,5,1,29.48,3.27,0.184,5.68,38,15
SEP,5,2,26.58,3.40,0.168,4.17,38,15
SEP,5,3,23.90,3.55,0.156,1.96,38,16
SEP,5,4,21.98,3.74,0.145,4.92,38,16
SEP,5,5,19.79,3.97,0.147,3.29,37,16
SEP,5,6,17.75,4.15,0.191,7.78,36,16
SEP,5,7,15.24,4.31,0.273,18.14,34,16
SEP,5,8,12.97,4.46,0.354,14.70,31,16
SEP,5,9,12.34,4.57,0.443,15.27,30,16
SEP,5,10,13.50,4.74,0.485,7.43,30,16
SEP,5,11,16.34,5.17,0.501,4.70,29,16
SEP,5,12,21.07,5.90,0.522,7.80,30,16
SEP,5,13,27.55,6.75,0.534,7.27,31,17
SEP,5,14,34.70,7.17,0.513,4.71,32,17
SEP,5,15,42.24,7.35,0.455,6.47,32,18
SEP,5,16,50.20,7.83,0.384,3.92,32,19
SEP,5,17,56.24,8.11,0.306,3.46,35,19
SEP,5,18,59.05,8.10,0.281,6.21,38,20
SEP,5,19,59.37,8.34,0.282,4.87,38,20
SEP,5,20,57.66,8.44,0.287,10.59,37,20
SEP,5,21,54.37,8.42,0.291,6.00,37,21
SEP,5,22,51.44,8.39,0.281,5.23,37,21
SEP,5,23,49.27,8.36,0.259,6.00,36,21
SEP,6,0,46.54,8.28,0.247,1.95,35,21
SEP,6,1,43.98,8.22,0.234,4.74,35,21
