DATOS MÓVILES 2019_DIF,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
FEB,16,13,NA,1.34,NA,0.69,57,21
FEB,16,14,29.94,1.36,NA,1.10,56,21
FEB,16,15,32.85,1.38,NA,0.30,50,20
FEB,16,16,35.26,1.42,NA,1.54,50,20
FEB,16,17,41.94,1.45,NA,1.91,50,20
FEB,16,18,47.22,1.48,NA,3.07,51,20
FEB,16,19,47.84,1.51,NA,11.10,51,20
FEB,16,20,45.11,1.53,NA,17.52,51,20
FEB,16,21,42.55,1.53,NA,10.74,50,21
FEB,16,22,39.80,1.53,NA,7.28,48,21
FEB,16,23,36.22,1.51,NA,6.56,48,20
FEB,17,0,32.50,1.52,NA,5.22,46,20
FEB,17,1,28.06,1.54,NA,7.96,45,20
FEB,17,2,22.01,1.56,NA,15.02,45,20
FEB,17,3,18.10,1.58,NA,15.68,46,20
FEB,17,4,18.17,1.60,NA,5.27,46,20
FEB,17,5,17.90,1.61,NA,3.16,45,20
FEB,17,6,16.27,1.60,NA,9.27,45,20
FEB,17,7,14.49,1.59,NA,14.38,44,20
FEB,17,8,12.00,1.55,NA,19.14,44,19
FEB,17,9,10.34,1.51,NA,21.35,40,19
FEB,17,10,12.55,1.50,NA,7.44,39,18
FEB,17,11,16.25,1.51,NA,2.84,38,17
FEB,17,12,18.47,1.54,NA,2.17,38,17
FEB,17,13,20.37,1.56,NA,1.61,38,17
FEB,17,14,23.33,1.61,NA,0.91,39,17
FEB,17,15,26.61,1.69,NA,0.30,40,17
FEB,17,16,30.94,1.76,NA,0.30,43,17
FEB,17,17,35.04,1.81,NA,0.37,44,17
FEB,17,18,36.13,1.90,NA,0.30,45,17
FEB,17,19,35.05,2.01,NA,2.76,45,18
FEB,17,20,32.41,2.09,NA,7.79,46,18
FEB,17,21,29.72,2.12,NA,10.03,46,18
FEB,17,22,27.56,2.13,NA,6.53,46,17
FEB,17,23,25.29,2.13,NA,6.40,45,17
FEB,18,0,22.63,2.12,NA,4.91,45,17
FEB,18,1,19.91,2.14,NA,3.57,45,17
FEB,18,2,17.47,2.17,NA,3.76,44,17
FEB,18,3,14.78,2.16,NA,12.67,43,17
FEB,18,4,12.91,2.16,NA,16.46,43,17
FEB,18,5,11.53,2.19,NA,14.12,43,17
FEB,18,6,10.55,2.23,NA,16.15,44,17
FEB,18,7,9.74,2.28,NA,14.80,45,17
FEB,18,8,NA,2.35,NA,17.62,47,17
FEB,18,9,NA,2.41,NA,22.19,49,17
FEB,18,10,NA,2.46,NA,20.40,50,18
FEB,18,11,NA,2.48,NA,16.39,52,18
FEB,18,12,NA,2.48,NA,7.91,53,19
FEB,18,13,NA,2.50,NA,6.59,53,19
FEB,18,14,34.17,2.49,NA,3.54,54,19
FEB,18,15,35.82,2.43,NA,0.82,52,19
FEB,18,16,36.94,2.33,NA,0.30,50,19
FEB,18,17,42.13,2.25,NA,0.92,48,19
FEB,18,18,45.31,2.16,NA,2.12,48,19
FEB,18,19,44.53,2.05,NA,5.51,48,18
FEB,18,20,41.41,1.97,NA,6.53,47,18
FEB,18,21,36.25,1.93,NA,6.44,46,17
FEB,18,22,29.85,1.94,NA,12.61,46,17
FEB,18,23,25.27,1.92,NA,8.44,46,17
FEB,19,0,20.40,1.93,NA,10.69,45,17
FEB,19,1,15.84,1.91,NA,10.62,45,17
FEB,19,2,11.03,1.90,NA,12.97,45,17
FEB,19,3,8.79,1.90,NA,14.84,45,16
FEB,19,4,7.34,1.89,NA,15.07,45,16
FEB,19,5,NA,1.89,NA,15.96,45,16
FEB,19,6,NA,1.87,NA,15.09,45,17
FEB,19,7,NA,1.89,NA,15.74,45,17
FEB,19,8,NA,1.98,NA,15.41,46,17
FEB,19,9,NA,2.54,NA,21.67,47,17
FEB,19,10,NA,3.10,NA,21.40,47,18
FEB,19,11,NA,3.23,NA,12.85,47,18
FEB,19,12,NA,3.25,NA,6.16,45,17
FEB,19,13,17.12,3.23,NA,1.70,45,17
FEB,19,14,19.61,3.19,NA,2.03,44,17
FEB,19,15,21.94,3.14,NA,1.18,44,17
FEB,19,16,26.26,3.12,NA,0.30,47,17
FEB,19,17,30.08,3.10,NA,0.58,50,17
FEB,19,18,32.80,3.07,NA,0.74,51,17
FEB,19,19,33.26,3.07,NA,3.46,52,17
FEB,19,20,31.37,3.09,NA,8.95,53,17
FEB,19,21,28.25,3.14,NA,12.06,53,17
FEB,19,22,24.85,3.11,NA,10.84,53,17
FEB,19,23,21.32,3.14,NA,7.49,53,17
FEB,20,0,17.86,3.19,NA,11.43,53,17
FEB,20,1,14.21,3.21,NA,15.37,53,17
FEB,20,2,11.49,3.21,NA,11.53,54,17
FEB,20,3,8.80,3.20,NA,14.31,54,17
FEB,20,4,7.50,3.20,NA,15.48,54,17
FEB,20,5,5.91,3.19,NA,14.28,53,17
FEB,20,6,5.67,3.17,NA,15.71,52,17
FEB,20,7,NA,3.13,NA,16.45,51,17
FEB,20,8,NA,3.37,NA,14.86,51,17
FEB,20,9,NA,4.30,NA,20.95,52,16
FEB,20,10,NA,4.16,NA,15.66,52,16
FEB,20,11,NA,4.25,NA,14.26,51,16
FEB,20,12,10.26,4.31,NA,9.03,52,17
FEB,20,13,16.10,4.34,NA,5.21,52,17
FEB,20,14,18.96,4.34,NA,1.85,51,17
FEB,20,15,20.50,4.34,NA,0.47,50,17
FEB,20,16,24.51,4.34,NA,0.36,48,17
FEB,20,17,28.78,4.35,NA,1.17,44,17
FEB,20,18,31.46,4.36,NA,1.29,43,17
FEB,20,19,31.59,4.37,NA,4.60,42,17
FEB,20,20,29.49,4.34,NA,7.39,41,17
FEB,20,21,25.62,4.28,NA,9.86,40,16
FEB,20,22,22.26,4.26,NA,5.25,40,16
FEB,20,23,19.64,4.24,NA,3.26,39,16
FEB,21,0,15.63,4.17,NA,10.81,39,15
FEB,21,1,12.81,4.12,NA,13.23,38,15
FEB,21,2,9.87,4.11,NA,12.25,38,15
FEB,21,3,NA,4.11,NA,12.47,38,15
FEB,21,4,NA,4.12,NA,12.05,38,14
FEB,21,5,NA,4.15,NA,11.73,38,14
FEB,21,6,NA,4.17,NA,11.86,38,14
FEB,21,7,NA,4.19,NA,12.66,38,14
FEB,21,8,NA,3.87,NA,12.32,39,14
FEB,21,9,NA,2.75,NA,17.94,38,14
FEB,21,10,NA,2.38,NA,18.09,37,14
FEB,21,11,NA,2.13,NA,3.10,36,14
FEB,21,12,NA,1.99,NA,0.79,35,13
FEB,21,13,14.59,1.93,NA,0.30,35,13
FEB,21,14,15.80,1.91,NA,1.04,35,13
FEB,21,15,16.79,1.91,NA,0.70,37,13
FEB,21,16,19.33,1.91,NA,0.36,38,13
FEB,21,17,21.77,1.90,NA,0.50,39,13
FEB,21,18,23.36,1.89,NA,0.30,39,13
FEB,21,19,23.04,1.86,NA,3.14,39,13
FEB,21,20,21.52,1.85,NA,8.88,44,13
FEB,21,21,19.44,1.85,NA,10.35,44,13
FEB,21,22,17.14,1.86,NA,11.18,44,13
FEB,21,23,14.89,1.86,NA,8.20,45,13
FEB,22,0,12.00,1.88,NA,11.73,45,13
FEB,22,1,10.05,1.89,NA,13.09,46,13
FEB,22,2,7.69,1.90,NA,12.87,46,13
