DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
OCTUBRE,4,22,NA,0.030,0.74,0.004,18,NA,18.17,1.27,212.99,74.22,623.97,NA
OCTUBRE,4,23,NA,0.028,0.72,0.005,17,NA,18.38,1.24,213.36,71.53,624.19,NA
OCTUBRE,5,0,NA,0.022,0.78,0.009,17,NA,18.93,1.90,87.22,70.00,624.04,NA
OCTUBRE,5,1,NA,0.021,0.75,0.008,21,NA,18.13,3.19,79.27,76.69,623.83,NA
OCTUBRE,5,2,NA,0.022,0.73,0.007,24,NA,17.93,2.15,74.60,76.68,623.72,NA
OCTUBRE,5,3,NA,0.016,0.75,0.010,15,NA,17.59,2.10,103.56,78.83,623.49,NA
OCTUBRE,5,4,NA,0.013,0.77,0.012,19,NA,17.11,1.57,103.64,80.37,623.27,NA
OCTUBRE,5,5,NA,0.012,0.80,0.010,32,NA,16.73,2.23,124.75,83.09,623.28,NA
OCTUBRE,5,6,NA,0.007,1.05,0.013,29,NA,16.70,2.08,96.02,83.91,623.55,NA
OCTUBRE,5,7,NA,0.005,1.27,0.014,37,NA,16.48,2.11,82.39,85.45,623.84,NA
OCTUBRE,5,8,NA,0.005,1.25,0.015,44,NA,16.92,2.29,88.85,83.44,624.18,NA
OCTUBRE,5,9,NA,0.009,1.17,0.012,55,NA,17.57,2.66,78.17,80.94,624.61,NA
OCTUBRE,5,10,NA,0.017,1.07,0.010,45,NA,19.19,3.73,90.12,71.58,624.79,1.03
OCTUBRE,5,11,NA,0.027,0.97,0.008,50,NA,21.25,3.55,88.03,62.26,624.73,2.33
OCTUBRE,5,12,NA,0.035,0.92,0.007,38,NA,22.66,2.77,104.48,56.38,624.27,2.40
