DATOS MÓVILES 2019_NATIVITAS,,,,,,
,,,,,,
,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10
ENE,10,8,12.73,19.92,0.219,23
ENE,10,9,11.02,17.29,0.233,23
ENE,10,10,10.81,15.14,0.241,22
ENE,10,11,11.48,12.33,0.245,21
ENE,10,12,12.90,11.12,0.246,19
ENE,10,13,15.24,11.38,0.250,19
ENE,10,14,19.62,11.27,0.250,18
ENE,10,15,24.54,10.82,0.238,18
ENE,10,16,30.18,10.43,0.217,18
ENE,10,17,35.26,10.05,0.202,18
ENE,10,18,38.69,9.71,0.197,18
ENE,10,19,39.85,9.41,0.237,19
ENE,10,20,37.30,9.53,0.359,19
ENE,10,21,36.11,9.73,0.482,20
ENE,10,22,32.14,9.38,0.568,23
ENE,10,23,26.49,9.33,0.626,24
ENE,11,0,23.22,8.89,0.717,26
ENE,11,1,21.11,8.39,0.808,28
ENE,11,2,21.83,7.68,0.882,30
ENE,11,3,22.03,7.08,0.884,33
ENE,11,4,24.01,7.18,0.795,34
ENE,11,5,21.99,7.64,0.702,36
ENE,11,6,25.10,7.90,0.657,38
ENE,11,7,28.95,8.26,0.634,40
ENE,11,8,27.11,8.63,0.598,41
ENE,11,9,24.38,9.51,0.554,43
ENE,11,10,18.87,9.61,0.511,45
ENE,11,11,17.67,9.06,0.490,45
ENE,11,12,20.48,8.67,0.468,46
ENE,11,13,26.19,7.97,0.442,47
ENE,11,14,28.79,7.94,0.403,47
ENE,11,15,31.13,7.89,0.369,48
ENE,11,16,34.56,8.11,0.319,48
ENE,11,17,38.03,8.07,0.292,48
ENE,11,18,40.48,8.05,0.294,49
ENE,11,19,39.96,8.01,0.306,49
ENE,11,20,37.32,7.92,0.306,49
ENE,11,21,32.79,7.74,0.324,47
ENE,11,22,27.85,7.52,0.360,44
ENE,11,23,22.16,7.36,0.425,43
ENE,12,0,19.11,7.15,0.447,42
ENE,12,1,14.91,6.92,0.431,40
ENE,12,2,12.21,6.70,0.396,38
ENE,12,3,10.17,6.44,0.364,35
ENE,12,4,7.81,5.57,0.353,33
ENE,12,5,6.22,4.94,0.335,32
ENE,12,6,5.70,4.43,0.317,30
ENE,12,7,NA,3.96,0.286,28
ENE,12,8,NA,3.64,0.324,27
ENE,12,9,NA,2.86,0.417,25
ENE,12,10,NA,2.50,0.480,24
ENE,12,11,NA,2.35,0.502,24
ENE,12,12,NA,3.04,0.507,24
ENE,12,13,NA,3.15,0.508,23
ENE,12,14,NA,3.20,0.491,22
ENE,12,15,19.53,3.29,0.456,22
ENE,12,16,20.78,3.28,0.390,21
ENE,12,17,21.88,3.36,0.306,21
ENE,12,18,24.68,3.39,0.256,20
ENE,12,19,25.49,3.43,0.267,20
ENE,12,20,23.34,3.58,0.376,20
ENE,12,21,22.65,3.81,0.478,22
ENE,12,22,19.88,3.92,0.487,22
ENE,12,23,17.06,4.19,0.509,22
ENE,13,0,13.71,4.42,0.524,22
ENE,13,1,10.08,4.61,0.532,22
ENE,13,2,6.88,4.79,0.539,22
ENE,13,3,5.38,5.11,0.508,22
ENE,13,4,6.44,5.38,0.391,22
ENE,13,5,6.76,5.47,0.279,21
ENE,13,6,5.94,5.59,0.270,21
ENE,13,7,5.72,5.67,0.262,21
ENE,13,8,5.37,5.70,0.260,21
ENE,13,9,5.73,5.99,0.253,20
ENE,13,10,7.10,5.90,0.246,19
ENE,13,11,8.79,5.68,0.250,19
ENE,13,12,10.66,4.89,0.261,18
ENE,13,13,13.22,4.72,0.272,18
ENE,13,14,16.63,4.66,0.288,18
ENE,13,15,20.30,4.73,0.281,18
