DATOS MÓVILES 2019_NATIVITAS,,,,,,
,,,,,,
,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10
ABR,21,1,32.95,2.35,0.481,25
ABR,21,2,29.24,2.34,0.481,26
ABR,21,3,24.73,2.56,0.469,26
ABR,21,4,21.94,2.74,0.394,27
ABR,21,5,18.92,2.83,0.362,27
ABR,21,6,16.84,3.04,0.323,29
ABR,21,7,14.34,3.22,0.294,29
ABR,21,8,11.10,3.43,0.319,30
ABR,21,9,9.17,3.62,0.343,30
ABR,21,10,9.56,3.73,0.373,31
ABR,21,11,12.23,3.76,0.389,31
ABR,21,12,15.61,3.79,0.390,31
ABR,21,13,20.55,3.80,0.372,35
ABR,21,14,25.79,3.79,0.350,36
ABR,21,15,31.32,3.74,0.322,36
ABR,21,16,36.97,3.65,0.287,36
ABR,21,17,40.97,3.61,0.267,36
ABR,21,18,43.41,3.62,0.245,37
ABR,21,19,44.22,3.64,0.248,37
ABR,21,20,43.76,3.64,0.273,37
ABR,21,21,42.72,3.58,0.292,36
ABR,21,22,40.84,3.52,0.308,35
ABR,21,23,38.37,3.39,0.318,33
ABR,22,0,35.45,3.34,0.337,33
ABR,22,1,32.10,3.36,0.357,33
ABR,22,2,28.57,3.41,0.378,34
ABR,22,3,25.83,3.21,0.370,35
ABR,22,4,24.27,3.03,0.345,35
ABR,22,5,22.58,2.95,0.332,35
ABR,22,6,20.74,2.75,0.338,34
ABR,22,7,17.65,2.62,0.384,34
ABR,22,8,14.98,2.38,0.406,33
ABR,22,9,14.77,2.20,0.413,33
ABR,22,10,16.06,2.14,0.403,32
ABR,22,11,17.91,2.15,0.405,33
ABR,22,12,20.08,2.13,0.404,32
ABR,22,13,22.19,2.13,0.404,28
ABR,22,14,25.38,2.14,0.380,28
ABR,22,15,30.63,2.14,0.317,28
ABR,22,16,36.00,2.13,0.270,27
ABR,22,17,39.37,2.12,0.238,27
ABR,22,18,41.73,2.10,0.224,27
ABR,22,19,42.78,2.07,0.220,27
ABR,22,20,41.38,2.06,0.246,27
ABR,22,21,40.16,2.05,0.263,27
ABR,22,22,38.50,2.02,0.277,28
ABR,22,23,36.32,2.03,0.281,28
ABR,23,0,33.72,2.00,0.283,28
ABR,23,1,31.75,1.99,0.292,27
ABR,23,2,32.10,1.96,0.299,26
ABR,23,3,29.55,1.93,0.289,26
ABR,23,4,28.32,1.90,0.255,25
ABR,23,5,26.44,1.87,0.229,25
ABR,23,6,24.49,1.86,0.221,25
ABR,23,7,21.42,1.84,0.265,25
ABR,23,8,18.58,1.84,0.317,25
ABR,23,9,15.86,1.82,0.338,26
ABR,23,10,12.67,1.83,0.334,26
ABR,23,11,13.96,1.84,0.338,25
ABR,23,12,16.95,1.83,0.339,26
ABR,23,13,21.34,1.83,0.339,26
ABR,23,14,26.13,1.82,0.332,27
ABR,23,15,32.27,1.83,0.287,27
ABR,23,16,38.64,1.83,0.232,27
ABR,23,17,44.18,1.83,0.205,28
ABR,23,18,47.22,1.83,0.202,29
ABR,23,19,48.19,1.86,0.202,29
ABR,23,20,48.23,1.87,0.211,30
ABR,23,21,48.45,1.86,0.215,31
ABR,23,22,47.27,1.82,0.217,31
ABR,23,23,45.55,1.78,0.219,31
ABR,24,0,43.51,1.76,0.222,31
ABR,24,1,41.27,1.73,0.235,32
ABR,24,2,39.99,1.73,0.237,31
ABR,24,3,39.23,1.78,0.242,32
ABR,24,4,37.62,1.82,0.243,32
ABR,24,5,34.97,1.85,0.251,33
ABR,24,6,32.39,1.86,0.276,33
ABR,24,7,28.50,1.89,0.326,34
ABR,24,8,24.39,1.96,0.409,34
ABR,24,9,22.11,2.03,0.451,35
ABR,24,10,21.06,2.07,0.467,36
ABR,24,11,21.75,2.13,0.465,37
ABR,24,12,23.46,2.17,0.456,37
ABR,24,13,25.95,2.22,0.442,37
ABR,24,14,29.48,2.23,0.413,38
ABR,24,15,34.77,2.23,0.360,38
ABR,24,16,40.44,2.23,0.275,38
ABR,24,17,44.53,2.23,0.216,38
ABR,24,18,46.68,2.23,0.195,38
ABR,24,19,46.86,2.21,0.191,38
ABR,24,20,46.08,2.19,0.201,37
ABR,24,21,44.80,2.17,0.214,36
ABR,24,22,43.28,2.18,0.227,36
ABR,24,23,41.44,2.19,0.231,36
ABR,25,0,38.66,2.19,0.238,35
ABR,25,1,36.15,2.15,0.247,35
ABR,25,2,33.91,2.08,0.256,35
ABR,25,3,31.16,1.99,0.266,35
ABR,25,4,28.06,1.91,0.272,35
ABR,25,5,23.87,1.88,0.291,35
ABR,25,6,19.76,1.84,0.322,35
ABR,25,7,15.79,1.80,0.373,36
ABR,25,8,12.67,1.76,0.480,37
ABR,25,9,9.37,2.15,0.547,38
