DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
SEPTIEMBRE,7,0,0.017,0.019,0.005,0.809,11,0.004
SEPTIEMBRE,7,1,0.018,0.017,0.005,0.787,11,0.005
SEPTIEMBRE,7,2,0.013,0.016,0.005,0.754,9,0.005
SEPTIEMBRE,7,3,0.013,0.016,0.005,0.732,10,0.004
SEPTIEMBRE,7,4,0.015,0.015,0.005,0.703,9,0.004
SEPTIEMBRE,7,5,0.013,0.015,0.005,0.682,9,0.005
SEPTIEMBRE,7,6,0.01,0.015,0.005,0.685,9,0.007
SEPTIEMBRE,7,7,0.007,0.013,0.005,0.718,11,0.009
SEPTIEMBRE,7,8,0.006,0.012,0.005,0.755,11,0.009
SEPTIEMBRE,7,9,0.011,0.011,0.005,0.778,11,0.006
SEPTIEMBRE,7,10,0.017,0.011,0.005,0.789,10,0.004
SEPTIEMBRE,7,11,0.023,0.013,0.005,0.797,12,0.003
SEPTIEMBRE,7,12,0.028,0.014,0.005,0.806,12,0.004
SEPTIEMBRE,7,13,0.035,0.017,0.005,0.824,14,0.005
SEPTIEMBRE,7,14,0.042,0.021,0.005,0.824,14,0.005
SEPTIEMBRE,7,15,0.042,0.026,0.005,0.796,14,0.003
SEPTIEMBRE,7,16,0.047,0.031,0.005,0.763,13,0.003
SEPTIEMBRE,7,17,0.035,0.034,0.005,0.758,18,0.006
SEPTIEMBRE,7,18,0.015,0.033,0.006,0.813,22,0.014
SEPTIEMBRE,7,19,0.017,0.033,0.006,0.844,20,0.009
SEPTIEMBRE,7,20,0.014,0.031,0.006,0.887,15,0.009
SEPTIEMBRE,7,21,0.015,0.028,0.006,0.895,15,0.006
SEPTIEMBRE,7,22,0.017,0.025,0.006,0.891,13,0.004
SEPTIEMBRE,7,23,0.017,0.022,0.006,0.885,12,0.003
SEPTIEMBRE,8,0,0.019,0.019,0.006,0.877,10,0.002
SEPTIEMBRE,8,1,0.017,0.016,0.006,0.857,11,0.002
SEPTIEMBRE,8,2,0.016,0.017,0.006,0.784,10,0.002
SEPTIEMBRE,8,3,0.018,0.017,0.006,0.737,8,0.002
SEPTIEMBRE,8,4,0.016,0.017,0.006,0.681,8,0.003
SEPTIEMBRE,8,5,0.013,0.017,0.006,0.654,9,0.004
SEPTIEMBRE,8,6,0.008,0.016,0.006,0.672,7,0.006
SEPTIEMBRE,8,7,0.004,0.014,0.006,0.712,6,0.008
SEPTIEMBRE,8,8,0.006,0.012,0.006,0.758,8,0.007
SEPTIEMBRE,8,9,0.009,0.011,0.006,0.804,10,0.006
SEPTIEMBRE,8,10,0.016,0.011,0.006,0.835,12,0.004
SEPTIEMBRE,8,11,0.021,0.012,0.006,0.852,14,0.006
SEPTIEMBRE,8,12,0.027,0.013,0.006,0.862,17,0.004
SEPTIEMBRE,8,13,0.036,0.016,0.007,0.87,14,0.004
SEPTIEMBRE,8,14,0.043,0.02,0.007,0.847,15,0.003
SEPTIEMBRE,8,15,0.034,0.024,0.007,0.814,15,0.005
SEPTIEMBRE,8,16,0.023,0.026,0.007,0.781,12,0.004
SEPTIEMBRE,8,17,0.026,0.028,0.007,0.748,12,0.004
SEPTIEMBRE,8,18,0.024,0.029,0.007,0.733,10,0.004
SEPTIEMBRE,8,19,0.021,0.029,0.007,0.74,13,0.004
SEPTIEMBRE,8,20,0.011,0.027,0.007,0.768,19,0.007
SEPTIEMBRE,8,21,0.009,0.024,0.007,0.803,36,0.009
SEPTIEMBRE,8,22,0.005,0.019,0.007,0.868,41,0.011
SEPTIEMBRE,8,23,0.002,0.015,0.007,0.916,39,0.011
SEPTIEMBRE,9,0,0.001,0.012,0.007,0.998,32,0.011
SEPTIEMBRE,9,1,0.003,0.009,0.007,1.023,22,0.01
SEPTIEMBRE,9,2,0.007,0.007,0.007,1.038,20,0.007
SEPTIEMBRE,9,3,0.004,0.005,0.007,1.033,17,0.008
SEPTIEMBRE,9,4,0.002,0.004,0.007,1.002,15,0.008
SEPTIEMBRE,9,5,0.003,0.003,0.007,0.962,17,0.007
SEPTIEMBRE,9,6,0.002,0.003,0.007,0.91,20,0.008
SEPTIEMBRE,9,7,0.003,0.003,0.007,0.873,25,0.008
SEPTIEMBRE,9,8,0.006,0.004,0.007,0.818,29,0.009
SEPTIEMBRE,9,9,0.014,0.005,0.007,0.806,34,0.008
SEPTIEMBRE,9,10,0.022,0.007,0.007,0.797,30,0.008
SEPTIEMBRE,9,11,0.033,0.011,0.006,0.789,26,0.005
SEPTIEMBRE,9,12,0.044,0.016,0.006,0.789,19,0.004
SEPTIEMBRE,9,13,0.05,0.022,0.006,0.786,14,0.003
SEPTIEMBRE,9,14,0.058,0.029,0.006,0.765,9,0.003
SEPTIEMBRE,9,15,0.056,0.035,0.006,0.74,10,0.003
SEPTIEMBRE,9,16,0.055,0.041,0.006,0.7,12,0.003
SEPTIEMBRE,9,17,0.053,0.046,0.006,0.68,16,0.003
SEPTIEMBRE,9,18,0.05,0.05,0.006,0.685,21,0.004
SEPTIEMBRE,9,19,0.039,0.051,0.006,0.722,24,0.009
SEPTIEMBRE,9,20,0.024,0.048,0.006,0.801,30,0.016
SEPTIEMBRE,9,21,0.019,0.044,0.006,0.886,40,0.019
SEPTIEMBRE,9,22,0.022,0.04,0.006,0.94,44,0.013
SEPTIEMBRE,9,23,0.02,0.035,0.006,0.984,40,0.013
SEPTIEMBRE,10,0,0.019,0.031,0.006,1.001,35,0.007
SEPTIEMBRE,10,1,0.02,0.027,0.006,0.999,31,0.004
SEPTIEMBRE,10,2,0.023,0.023,0.006,0.975,23,0.003
SEPTIEMBRE,10,3,0.022,0.021,0.006,0.93,15,0.002
SEPTIEMBRE,10,4,0.019,0.02,0.006,0.848,12,0.003
SEPTIEMBRE,10,5,0.016,0.02,0.006,0.763,13,0.004
SEPTIEMBRE,10,6,0.007,0.018,0.006,0.724,18,0.009
SEPTIEMBRE,10,7,0.002,0.016,0.006,0.706,31,0.01
SEPTIEMBRE,10,8,0.009,0.015,0.006,0.723,32,0.011
SEPTIEMBRE,10,9,0.019,0.014,0.006,0.743,33,0.007
SEPTIEMBRE,10,10,0.032,0.016,0.006,0.759,29,0.006
SEPTIEMBRE,10,11,0.045,0.019,0.006,0.775,29,0.005
SEPTIEMBRE,10,12,0.054,0.023,0.006,0.786,24,0.004
SEPTIEMBRE,10,13,0.056,0.028,0.006,0.788,18,0.004
SEPTIEMBRE,10,14,0.062,0.035,0.006,0.778,16,0.004
SEPTIEMBRE,10,15,0.061,0.042,0.006,0.76,14,0.004
SEPTIEMBRE,10,16,0.059,0.048,0.006,0.734,14,0.005
SEPTIEMBRE,10,17,0.058,0.053,0.006,0.718,14,0.004
SEPTIEMBRE,10,18,0.053,0.056,0.006,0.708,14,0.005
SEPTIEMBRE,10,19,0.043,0.056,0.005,0.734,12,0.011
SEPTIEMBRE,10,20,0.025,0.052,0.006,0.778,16,0.012
SEPTIEMBRE,10,21,0.025,0.048,0.006,0.804,23,0.009
SEPTIEMBRE,10,22,0.025,0.044,0.006,0.826,29,0.007
SEPTIEMBRE,10,23,0.024,0.039,0.006,0.836,29,0.006
SEPTIEMBRE,11,0,0.026,0.035,0.006,0.838,25,0.005
SEPTIEMBRE,11,1,0.024,0.031,0.006,0.834,25,0.005
SEPTIEMBRE,11,2,0.027,0.027,0.006,0.828,19,0.003
SEPTIEMBRE,11,3,0.026,0.025,0.006,0.788,19,0.003
SEPTIEMBRE,11,4,0.025,0.025,0.007,0.731,17,0.005
SEPTIEMBRE,11,5,0.025,0.025,0.007,0.701,15,0.005
SEPTIEMBRE,11,6,0.026,0.026,0.007,0.677,18,0.004
